period,group,statistic,home_value,away_value,home_total,away_total,home_display,away_display,compare_code,key
ALL,Match overview,Ball possession,56.0,44.0,,,56%,44%,1,ballPossession
ALL,Match overview,Expected goals,2.43,1.79,,,2.43,1.79,1,expectedGoals
ALL,Match overview,Big chances,4.0,3.0,,,4,3,1,bigChanceCreated
ALL,Match overview,Total shots,23.0,17.0,,,23,17,1,totalShotsOnGoal
ALL,Match overview,Goalkeeper saves,3.0,8.0,,,3,8,2,goalkeeperSaves
ALL,Match overview,Corner kicks,10.0,8.0,,,10,8,1,cornerKicks
ALL,Match overview,Fouls,9.0,7.0,,,9,7,1,fouls
ALL,Match overview,Passes,491.0,388.0,,,491,388,1,passes
ALL,Match overview,Tackles,10.0,25.0,,,10,25,2,totalTackle
ALL,Match overview,Free kicks,7.0,9.0,,,7,9,2,freeKicks
ALL,Match overview,Yellow cards,3.0,2.0,,,3,2,1,yellowCards
ALL,Shots,Total shots,23.0,17.0,,,23,17,1,totalShotsOnGoal
ALL,Shots,Shots on target,10.0,5.0,,,10,5,1,shotsOnGoal
ALL,Shots,Hit woodwork,0.0,0.0,,,0,0,3,hitWoodwork
ALL,Shots,Shots off target,6.0,5.0,,,6,5,1,shotsOffGoal
ALL,Shots,Blocked shots,7.0,7.0,,,7,7,3,blockedScoringAttempt
ALL,Shots,Shots inside box,18.0,13.0,,,18,13,1,totalShotsInsideBox
ALL,Shots,Shots outside box,5.0,4.0,,,5,4,1,totalShotsOutsideBox
ALL,Attack,Big chances scored,1.0,2.0,,,1,2,2,bigChanceScored
ALL,Attack,Big chances missed,3.0,1.0,,,3,1,1,bigChanceMissed
ALL,Attack,Through balls,2.0,1.0,,,2,1,1,accurateThroughBall
ALL,Attack,Fouled in final third,1.0,2.0,,,1,2,2,fouledFinalThird
ALL,Attack,Offsides,0.0,6.0,,,0,6,2,offsides
ALL,Passes,Accurate passes,427.0,312.0,,,427,312,1,accuratePasses
ALL,Passes,Throw-ins,14.0,7.0,,,14,7,1,throwIns
ALL,Passes,Final third entries,52.0,38.0,,,52,38,1,finalThirdEntries
ALL,Passes,Long balls,10.0,16.0,29.0,53.0,10/29 (34%),16/53 (30%),1,accurateLongBalls
ALL,Passes,Crosses,3.0,8.0,23.0,16.0,3/23 (13%),8/16 (50%),2,accurateCross
ALL,Duels,Duels,41.0,59.0,,,41%,59%,2,duelWonPercent
ALL,Duels,Dispossessed,16.0,6.0,,,16,6,1,dispossessed
ALL,Duels,Ground duels,32.0,40.0,72.0,72.0,32/72 (44%),40/72 (56%),2,groundDuelsPercentage
ALL,Duels,Aerial duels,6.0,15.0,21.0,21.0,6/21 (29%),15/21 (71%),2,aerialDuelsPercentage
ALL,Duels,Dribbles,15.0,6.0,24.0,10.0,15/24 (63%),6/10 (60%),1,dribblesPercentage
ALL,Defending,Tackles won,8.0,14.0,10.0,25.0,80%,56%,1,wonTacklePercent
ALL,Defending,Total tackles,10.0,25.0,,,10,25,2,totalTackle
ALL,Defending,Interceptions,12.0,8.0,,,12,8,1,interceptionWon
ALL,Defending,Recoveries,50.0,57.0,,,50,57,2,ballRecovery
ALL,Defending,Clearances,14.0,28.0,,,14,28,2,totalClearance
ALL,Goalkeeping,Total saves,3.0,8.0,,,3,8,2,goalkeeperSaves
ALL,Goalkeeping,Goals prevented,-0.3288,1.5594,,,-0.33,1.56,2,goalsPrevented
ALL,Goalkeeping,Goal kicks,5.0,10.0,,,5,10,2,goalKicks
1ST,Match overview,Ball possession,58.0,42.0,,,58%,42%,1,ballPossession
1ST,Match overview,Expected goals,0.82,1.13,,,0.82,1.13,2,expectedGoals
1ST,Match overview,Big chances,1.0,2.0,,,1,2,2,bigChanceCreated
1ST,Match overview,Total shots,10.0,7.0,,,10,7,1,totalShotsOnGoal
1ST,Match overview,Goalkeeper saves,0.0,3.0,,,0,3,2,goalkeeperSaves
1ST,Match overview,Corner kicks,4.0,6.0,,,4,6,2,cornerKicks
1ST,Match overview,Passes,251.0,177.0,,,251,177,1,passes
