name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,expectedGoals,expectedGoalsOnTarget,keyPass,totalClearance,outfielderBlock,sofascoreId,challengeLost,dispossessed,wonContest,clearanceOffLine,interceptionWon,errorLeadToAShot,goals,goalAssist,accurateCross,bigChanceMissed,totalOffside,punches,bigChanceCreated
Matz Sels,matz-sels,M. Sels,G,26,188.0,2453,M,78152,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,699062400,"{'value': 6300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماتس سيلس', 'hi': 'मैट्ज़ सेल्स', 'bn': 'ম্যাটজ সেলস'}, 'shortNameTranslation': {'ar': 'م. سيلس', 'hi': 'एम. सेल्स', 'bn': 'এম. সেলস'}}",17.0,13.0,7.0,3.0,10.0,10.0,3.0,7.0,4.0,1.0,1.0,1.0,90.0,22.0,6.4,4.0,0.00084017,"{'original': 6.4, 'alternative': 6.1}",0,-0.4742,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neco Williams,williams-neco,N. Williams,D,3,183.0,3163,M,927356,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,987120000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويليامز، نيكو', 'hi': 'विलियम्स, नेको', 'bn': 'উইলিয়ামস, নেকো'}, 'shortNameTranslation': {'ar': 'ن. ويليامز', 'hi': 'एन. विलियम्स', 'bn': 'এন. উইলিয়ামস'}}",34.0,27.0,1.0,,9.0,12.0,18.0,26.0,4.0,,,,90.0,56.0,6.9,18.0,0.0373824,"{'original': 6.9, 'alternative': 6.8}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,4.0,1.0,3.0,4.0,7.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,2.0,0.2411,0.0514,1.0,,,,,,,,,,,,,,,,
Andrew Omobamidele,andrew-omobamidele,A. Omobamidele,D,20,188.0,706,M,983066,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1024790400,"{'value': 7700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندرو أوموباميديلي', 'hi': 'एंड्रयू ओमोबामिडेले', 'bn': 'অ্যান্ড্রু ওমোবামিডেলে'}, 'shortNameTranslation': {'ar': 'أ. أوموباميديلي', 'hi': 'ए. ओमोबामिडेले', 'bn': 'এ. ওমোবামিডেলে'}}",49.0,42.0,5.0,3.0,28.0,30.0,14.0,19.0,4.0,,,,90.0,56.0,6.8,7.0,0.00804055,"{'original': 6.8, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,2.0,,3.0,,,,1.0,,,,2.0,,0.1365,,,2.0,1.0,,,,,,,,,,,,,,
Murillo,murillo,Murillo,D,5,180.0,9796,M,1199282,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,1025740800,"{'value': 53000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}, 'shortNameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}}",61.0,51.0,8.0,2.0,30.0,33.0,21.0,28.0,10.0,,,,90.0,70.0,7.0,12.0,0.022233,"{'original': 7, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,Murillo,,,,1.0,6.0,4.0,1.0,,,,2.0,1.0,1.0,,4.0,,,,1.0,1.0,murillosantiago40,1.0,1.0,1.0,1.0,1.0,,,,,,,,
Ola Aina,ola-aina,O. Aina,D,34,182.0,4048,M,800417,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,844732800,"{'value': 18200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أولا أينا', 'hi': 'ओला आइना', 'bn': 'ওলা আইনা'}, 'shortNameTranslation': {'ar': 'أ. أينا', 'hi': 'ओ. आइना', 'bn': 'ও. আইনা'}}",40.0,33.0,1.0,,10.0,15.0,23.0,26.0,6.0,,,,89.0,68.0,7.0,15.0,0.0561446,"{'original': 7, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,,1.0,1.0,4.0,2.0,,,,2.0,2.0,1.0,,,,,1.0,1.0,,,,,1.0,,4.0,,,,,,,,
Ryan Yates,ryan-yates,R. Yates,M,22,190.0,881,M,846252,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,880070400,"{'value': 10300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان ييتس', 'hi': 'रयान येट्स', 'bn': 'রায়ান ইয়েটস'}, 'shortNameTranslation': {'ar': 'ر. ييتس', 'hi': 'आर. येट्स', 'bn': 'আর. ইয়েটস'}}",27.0,25.0,,,15.0,16.0,10.0,11.0,,,,,66.0,37.0,6.7,3.0,0.00598148,"{'original': 6.7, 'alternative': 6.7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,,1.0,1.0,2.0,3.0,,1.0,1.0,1.0,,,1.0,2.0,1.0,0.0716,0.2489,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,
Danilo,danilo,Danilo,M,35,177.0,4572,M,1064039,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,988502400,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانيلو', 'hi': 'डेनिलो', 'bn': 'দানিলো'}, 'shortNameTranslation': {'ar': 'دانيلو', 'hi': 'डेनिलो', 'bn': 'দানিলো'}}",48.0,39.0,3.0,3.0,15.0,16.0,24.0,39.0,5.0,,,,89.0,67.0,8.4,17.0,0.056295,"{'original': 8.4, 'alternative': 8}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,7.0,,,1.0,3.0,1.0,,3.0,,1.0,1.0,,2.0,,0.8569,1.6478,3.0,,,Danilo,,,,,2.0,,1.0,,,,,,
Giovanni Reyna,giovanni-reyna,G. Reyna,M,13,185.0,5145,M,989056,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,1037145600,"{'value': 7500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيوفاني رينا', 'hi': 'जियोवानी रेयना', 'bn': 'জিওভানি রেইনা'}, 'shortNameTranslation': {'ar': 'ج. رينا', 'hi': 'जी. रेयना', 'bn': 'জি রেইনা'}}",21.0,17.0,2.0,1.0,7.0,8.0,11.0,15.0,4.0,,,,71.0,34.0,7.4,8.0,0.210344,"{'original': 7.4, 'alternative': 7.1}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,2.0,3.0,7.0,5.0,1.0,2.0,1.0,,1.0,1.0,,1.0,,0.1599,0.0172,3.0,,,gioareyna,2.0,2.0,,,1.0,,,1.0,1.0,,,,
Morgan Gibbs-White,morgan-gibbs-white,M. Gibbs-White,M,10,171.0,6717,M,865912,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,948931200,"{'value': 62000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مورغان غيبز-وايت', 'hi': 'मॉर्गन गिब्स-व्हाइट', 'bn': 'মরগান গিবস-হোয়াইট'}, 'shortNameTranslation': {'ar': 'م. غيبز-وايت', 'hi': 'एम. गिब्स-व्हाइट', 'bn': 'এম. গিবস-হোয়াইট'}}",49.0,38.0,2.0,1.0,4.0,5.0,34.0,46.0,3.0,,,,90.0,69.0,7.5,20.0,0.270543,"{'original': 7.5, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,3.0,3.0,7.0,10.0,6.0,,1.0,,2.0,2.0,3.0,2.0,1.0,0.1134,0.0486,,,,Morgangibbs27,,,3.0,,,,1.0,,,,,,
Callum Hudson-Odoi,callum-hudson-odoi,C. Hudson-Odoi,M,7,177.0,9379,M,867442,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,973555200,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالوم هادسون أودوي', 'hi': 'कैलम हडसन-ओडोई', 'bn': 'ক্যালাম হাডসন-ওডোই'}, 'shortNameTranslation': {'ar': 'ك. هودسون أودوي', 'hi': 'सी. हडसन-ओडोई', 'bn': 'সি. হাডসন-ওডোই'}}",33.0,30.0,1.0,1.0,4.0,4.0,27.0,33.0,2.0,,,,90.0,51.0,6.8,12.0,0.1006,"{'original': 6.8, 'alternative': 6.7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,4.0,,,6.0,2.0,2.0,1.0,2.0,,1.0,,3.0,,2.0,0.3188,0.2568,2.0,,,Calteck10,2.0,1.0,1.0,,,,,,1.0,1.0,,,
