name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,goalAssist,totalCross,accurateCross,aerialLost,duelLost,duelWon,dispossessed,totalContest,wonContest,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,keyPass,aerialWon,shotOffTarget,errorLeadToAGoal,wasFouled,expectedGoals,sofascoreId,challengeLost,bigChanceMissed,outfielderBlock,blockedScoringAttempt,onTargetScoringAttempt,goals,expectedGoalsOnTarget,totalOffside,bigChanceCreated,goodHighClaim,savedShotsFromInsideTheBox
Alphonse Aréola,alphonse-areola,A. Aréola,G,23,195,3093,M,96531,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,730771200,"{'value': 6500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألفونس أريولا', 'hi': 'अल्फोंस एरियोला', 'bn': 'আলফোনস আরেওলা'}, 'shortNameTranslation': {'ar': 'أ. أريولا', 'hi': 'ए. एरियोला', 'bn': 'এ. আরেওলা'}}",22.0,19.0,5.0,2.0,18.0,19.0,1.0,3.0,5.0,1.0,90.0,27.0,6.4,3.0,0.00018057,"{'original': 6.4, 'alternative': 6.4}",0,-0.4069,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vladimír Coufal,vladimir-coufal,V. Coufal,D,34,179,1643,M,138024,"{'alpha2': 'CZ', 'alpha3': 'CZE', 'name': 'Czechia', 'slug': 'czechia'}",EUR,714441600,"{'value': 2900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فلاديمير كوفال', 'hi': 'व्लादिमीर कुफाल', 'bn': 'ভ্লাদিমির কউফল'}, 'shortNameTranslation': {'ar': 'ف. كوفال', 'hi': 'वी. कुफाल', 'bn': 'ভি. কউফল'}}",51.0,37.0,9.0,3.0,14.0,17.0,24.0,40.0,6.0,,90.0,87.0,7.4,26.0,0.198702,"{'original': 7.4, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,6.0,1.0,2.0,5.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,
Konstantinos Mavropanos,konstantinos-mavropanos,K. Mavropanos,D,15,194,2675,M,829022,"{'alpha2': 'GR', 'alpha3': 'GRC', 'name': 'Greece', 'slug': 'greece'}",EUR,881798400,"{'value': 16300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كونستانتينوس مافروبانوس', 'hi': 'कोंस्टैंटिनोस मावरोपानोस', 'bn': 'কনস্টানটাইনস মাভ্রোপানোস'}, 'shortNameTranslation': {'ar': 'ك. مافروبانوس', 'hi': 'के. मावरोपानोस', 'bn': 'কে. মাভ্রোপানোস'}}",71.0,53.0,12.0,4.0,37.0,41.0,16.0,30.0,8.0,,90.0,84.0,6.6,18.0,0.00320586,"{'original': 6.6, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,1.0,11.0,,,,6.0,,3.0,2.0,,1.0,,7.0,1.0,1.0,1.0,0.1542,,,,,,,,,,,,
Nayef Aguerd,nayef-aguerd,N. Aguerd,D,21,188,26523,M,877102,"{'alpha2': 'MA', 'alpha3': 'MAR', 'name': 'Morocco', 'slug': 'morocco'}",EUR,828144000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نايف أكرد', 'hi': 'नायेफ़ अगुएर्ड', 'bn': 'নায়েফ আগুয়ের্ড'}, 'shortNameTranslation': {'ar': 'ن. أكرد', 'hi': 'एन. अगुएर्ड', 'bn': 'এন. আগুয়ের্ড'}}",81.0,69.0,15.0,7.0,41.0,45.0,28.0,36.0,9.0,,90.0,86.0,7.1,12.0,0.187303,"{'original': 7.1, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,2.0,2.0,3.0,,,,1.0,,2.0,1.0,,,1.0,1.0,,,,,nayefaguard,,,,,,,,,,,
Emerson Palmieri,emerson-palmieri,Emerson,D,3,176,2307,M,155997,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,775872000,"{'value': 9100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيمرسون بالميري', 'hi': 'एमर्सन पामिएरी', 'bn': 'এমারসন পালমিরি'}, 'shortNameTranslation': {'ar': 'إيمرسون', 'hi': 'एमर्सन पामिएरी', 'bn': 'এমারসন'}}",60.0,51.0,9.0,2.0,27.0,35.0,24.0,25.0,6.0,,90.0,82.0,6.2,16.0,0.0139268,"{'original': 6.2, 'alternative': 6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,1.0,8.0,5.0,1.0,2.0,,,,3.0,2.0,1.0,1.0,1.0,2.0,1.0,,,0.3562,,3.0,1.0,,,,,,,,,
Edson Álvarez,edson-alvarez,E. Álvarez,M,11,190,10874,M,847151,"{'alpha2': 'MX', 'alpha3': 'MEX', 'name': 'Mexico', 'slug': 'mexico'}",EUR,877651200,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيدسون ألفاريز', 'hi': 'एडसन अल्वारेज़', 'bn': 'এডসন আলভারেজ'}, 'shortNameTranslation': {'ar': 'إ. ألفاريز', 'hi': 'ई. अल्वारेज़', 'bn': 'ই. আলভারেজ'}}",60.0,51.0,1.0,,29.0,32.0,22.0,29.0,7.0,,89.0,75.0,7.0,12.0,0.0166036,"{'original': 7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,,1.0,4.0,3.0,1.0,,,2.0,2.0,3.0,2.0,,1.0,,,,,,,EdsonAlvarez19,1.0,,1.0,,,,,,,,
James Ward-Prowse,james-ward-prowse,J. Ward-Prowse,M,8,177,4283,M,161717,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,783648000,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس وارد-براوس', 'hi': 'जेम्स वार्ड-प्रोव्स', 'bn': 'জেমস ওয়ার্ড-প্রোস'}, 'shortNameTranslation': {'ar': 'ج. وارد-براوس', 'hi': 'जे. वार्ड-प्रोव्स', 'bn': 'জে. ওয়ার্ড-প্রোস'}}",66.0,58.0,5.0,5.0,29.0,33.0,31.0,38.0,7.0,,90.0,79.0,7.2,11.0,0.0344726,"{'original': 7.2, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,5.0,2.0,4.0,5.0,3.0,,,,,2.0,1.0,1.0,,2.0,,2.0,,,,0.0635,prowsey16,,,2.0,1.0,,,,,,,
Mohammed Kudus,mohammed-kudus,M. Kudus,M,20,176,89694,M,905163,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,965174400,"{'value': 60000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'محمد قدوس', 'hi': 'मोहम्मद कुडूस', 'bn': 'মোহাম্মদ কুদুস'}, 'shortNameTranslation': {'ar': 'م. قدوس', 'hi': 'एम. कुडूस', 'bn': 'এম. কুদুস'}}",28.0,23.0,1.0,,7.0,10.0,18.0,26.0,10.0,,90.0,76.0,7.8,26.0,0.27266,"{'original': 7.8, 'alternative': 7.6}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,8.0,2.0,1.0,10.0,16.0,6.0,8.0,6.0,,1.0,3.0,2.0,6.0,1.0,1.0,4.0,2.0,,3.0,0.3034,Kudus,,,,1.0,1.0,1.0,0.2988,,,,
Tomáš Souček,tomas-soucek,T. Souček,M,28,192,3227,M,799041,"{'alpha2': 'CZ', 'alpha3': 'CZE', 'name': 'Czechia', 'slug': 'czechia'}",EUR,793843200,"{'value': 11600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماش سوتشيك', 'hi': 'टॉमस सौसेक', 'bn': 'তোমাস সোউচেক'}, 'shortNameTranslation': {'ar': 'ت. سوتشيك', 'hi': 'टी. सौसेक', 'bn': 'টি. সোউচেক'}}",36.0,28.0,1.0,1.0,12.0,13.0,16.0,24.0,7.0,,90.0,48.0,6.5,11.0,0.0116257,"{'original': 6.5, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,,1.0,,9.0,14.0,6.0,1.0,,,4.0,1.0,,,1.0,3.0,,6.0,,,,,,1.0,,,,,,,1.0,,,
Lucas Paquetá,lucas-paqueta,L. Paquetá,M,10,180,54701,M,839981,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,872640000,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكاس باكيتا', 'hi': 'लुकास पेकटा', 'bn': 'লুকাস পাকেতা'}, 'shortNameTranslation': {'ar': 'ل. باكيتا', 'hi': 'एल. पेकटा', 'bn': 'এল. পাকেতা'}}",56.0,38.0,5.0,2.0,14.0,18.0,24.0,38.0,3.0,,90.0,74.0,7.0,26.0,0.286414,"{'original': 7, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,4.0,9.0,7.0,1.0,1.0,1.0,,1.0,,,7.0,3.0,1.0,4.0,,,2.0,,Paqueta,1.0,,,,,,,,1.0,,
