name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,totalClearance,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,keyPass,totalCross,shotOffTarget,expectedGoals,dispossessed,wasFouled,onTargetScoringAttempt,blockedScoringAttempt,expectedGoalsOnTarget,accurateCross,goals,totalOffside,wonContest,goalAssist,bigChanceCreated
Dean Henderson,,,dean-henderson,D. Henderson,G,1,188,5014,M,deanhenderson,788134,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,858124800,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دين هندرسون', 'hi': 'डीन हेंडरसन', 'bn': 'ডিন হেন্ডারসন'}, 'shortNameTranslation': {'ar': 'د. هندرسون', 'hi': 'डी. हेंडरसन', 'bn': 'ডি. হেন্ডারসন'}}",20.0,9.0,15.0,4.0,5.0,7.0,4.0,13.0,7.0,2.0,2.0,1.0,1.0,90.0,25.0,6.0,11.0,0.00069679,"{'original': 6, 'alternative': 5.9}",0,-1.1823,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Muñoz,,,daniel-munoz,D. Muñoz,M,2,183,11977,M,daniel.chitiva,870360,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833068800,"{'value': 28000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانييل مونوز', 'hi': 'डैनियल मुनोज़', 'bn': 'ড্যানিয়েল মুনোজ'}, 'shortNameTranslation': {'ar': 'د. مونوز', 'hi': 'डी. मुनोज़', 'bn': 'ডি. মুনোজ'}}",23.0,16.0,1.0,,9.0,9.0,7.0,14.0,4.0,,,,,90.0,45.0,6.7,12.0,0.0247966,"{'original': 6.7, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,2.0,7.0,5.0,3.0,1.0,5.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,,,,,,,,,,,,,,
Joachim Andersen,,,joachim-andersen,J. Andersen,D,5,190,2408,M,,362682,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,833500800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يواكيم أندرسن', 'hi': 'जोआचिम एंडरसन', 'bn': 'জোয়াকিম অ্যান্ডারসেন'}, 'shortNameTranslation': {'ar': 'ي. أندرسن', 'hi': 'जे. एंडरसन', 'bn': 'জে. অ্যান্ডারসেন'}}",28.0,14.0,16.0,4.0,8.0,12.0,6.0,17.0,4.0,,,,,90.0,42.0,6.4,15.0,0.00336347,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,1.0,1.0,1.0,1.0,,,6.0,1.0,4.0,,,,,,1.0,,,,,,,,,,,,,
Chris Richards,,,chris-richards,C. Richards,D,26,188,2004,M,,931844,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,954201600,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريس ريتشاردز', 'hi': 'क्रिस रिचर्ड्स', 'bn': 'ক্রিস রিচার্ডস'}, 'shortNameTranslation': {'ar': 'ك. ريتشاردز', 'hi': 'सी. रिचर्ड्स', 'bn': 'সি. রিচার্ডস'}}",18.0,13.0,5.0,2.0,9.0,12.0,4.0,6.0,1.0,,,,,90.0,39.0,6.9,5.0,0.00111345,"{'original': 6.9, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,2.0,2.0,3.0,,,13.0,1.0,1.0,1.0,1.0,,,,,1.0,0.0401,,,,,,,,,,,
Tyrick Mitchell,,,tyrick-mitchell,T. Mitchell,M,3,174,1365,M,,988275,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,936144000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيريك ميتشل', 'hi': 'टायरिक मिशेल', 'bn': 'টাইরিক মিচেল'}, 'shortNameTranslation': {'ar': 'ت. ميتشل', 'hi': 'टी. मिशेल', 'bn': 'টি. মিচেল'}}",27.0,13.0,10.0,1.0,6.0,12.0,7.0,15.0,8.0,,,,,90.0,40.0,6.2,16.0,0.00296548,"{'original': 6.2, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,3.0,,,2.0,,,3.0,2.0,,,,,,,,,,,,,,,,,
Adam Wharton,,,adam-wharton,A. Wharton,M,20,182,5314,M,,1109771,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1076025600,"{'value': 63000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آدم وارتون', 'hi': 'एडम व्हार्टन', 'bn': 'অ্যাডাম ওয়ার্টন'}, 'shortNameTranslation': {'ar': 'أ. وارتون', 'hi': 'ए. व्हार्टन', 'bn': 'এ. ওয়ার্টন'}}",31.0,22.0,4.0,2.0,11.0,14.0,11.0,17.0,3.0,,,,,90.0,48.0,7.2,12.0,0.00861369,"{'original': 7.2, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,4.0,9.0,1.0,,2.0,,3.0,7.0,6.0,1.0,1.0,2.0,,,,1.0,1.0,,,,,,,,,
Jordan Ayew,,,jordan-ayew,J. Ayew,F,9,182,14311,M,jordanayew9,103045,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,684547200,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان أيو', 'hi': 'जॉर्डन अय्यू', 'bn': 'জর্ডান আইউ'}, 'shortNameTranslation': {'ar': 'ج. أيو', 'hi': 'जे. अय्यू', 'bn': 'জে. আইউ'}}",17.0,12.0,1.0,,3.0,3.0,9.0,15.0,3.0,,,,,90.0,37.0,6.6,10.0,0.00889909,"{'original': 6.6, 'alternative': 6.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,4.0,7.0,8.0,1.0,,2.0,,,1.0,,3.0,4.0,,1.0,,0.0633,,3.0,1.0,1.0,0.0269,,,,,,
Will Hughes,,,will-hughes,W. Hughes,M,19,185,1013,M,,193554,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,798076800,"{'value': 5500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويل هيوز', 'hi': 'विल ह्यूजेस', 'bn': 'উইল হিউজেস'}, 'shortNameTranslation': {'ar': 'و. هيوز', 'hi': 'डब्ल्यू. ह्यूजेस', 'bn': 'ডব্লিউ. হিউজেস'}}",15.0,12.0,,,8.0,9.0,6.0,8.0,2.0,,,,,79.0,24.0,7.6,3.0,0.153204,"{'original': 7.6, 'alternative': 7.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,5.0,,,1.0,1.0,,3.0,3.0,,,4.0,2.0,,,,2.0,,,,2.0,,,,,
Jefferson Lerma,,,jefferson-lerma,J. Lerma,M,8,179,5382,M,jeffersonlerma,355796,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,783043200,"{'value': 7400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيفرسون ليرما', 'hi': 'जेफरसन लेर्मा', 'bn': 'জেফারসন লারমা'}, 'shortNameTranslation': {'ar': 'ج. ليرما', 'hi': 'जे. लेर्मा', 'bn': 'জে. লারমা'}}",28.0,21.0,3.0,1.0,12.0,17.0,9.0,11.0,9.0,,,,,90.0,41.0,7.1,9.0,0.00650549,"{'original': 7.1, 'alternative': 6.9}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,4.0,3.0,,1.0,3.0,,,,,,2.0,,,2.0,0.114,1.0,,1.0,,0.3582,,1.0,,,,
Matheus França,Matheus França,,matheus-franca,Matheus França,F,9,184,3730,M,,1116593,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,1080777600,"{'value': 9300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماتيوس فرانكا', 'hi': 'मैथियस फ्रांस', 'bn': 'ম্যাথিউস ফ্রাঙ্কা'}, 'shortNameTranslation': {'ar': 'م. فرانكا', 'hi': 'मैथियस फ्रांस', 'bn': 'ম্যাথিউস ফ্রাঙ্কা'}}",16.0,12.0,1.0,1.0,8.0,9.0,4.0,8.0,9.0,,,,,84.0,36.0,6.2,14.0,0.0392615,"{'original': 6.2, 'alternative': 5.9}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,,16.0,3.0,4.0,4.0,1.0,,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.1205,2.0,,1.0,1.0,0.0447,,,1.0,,,
