name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltySave,penaltyFaced,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,accurateCross,aerialLost,duelLost,challengeLost,dispossessed,interceptionWon,totalTackle,wasFouled,fouls,sofascoreId,onTargetScoringAttempt,goals,unsuccessfulTouch,totalContest,wonContest,outfielderBlock,wonTackle,penaltyWon,keyPass,penaltyConceded,goalAssist,bigChanceCreated,blockedScoringAttempt,totalOffside,shotOffTarget,hitWoodwork,bigChanceMissed,penaltyMiss,errorLeadToAShot
Alphonse Aréola,alphonse-areola,A. Aréola,G,23,195,3093,M,96531,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,730771200,"{'value': 6500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألفونس أريولا', 'hi': 'अल्फोंस एरियोला', 'bn': 'আলফোনস আরেওলা'}, 'shortNameTranslation': {'ar': 'أ. أريولا', 'hi': 'ए. एरियोला', 'bn': 'এ. আরেওলা'}}",24.0,11.0,19.0,7.0,5.0,8.0,6.0,16.0,1.0,1.0,2.0,12.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,90.0,41.0,7.9,15.0,0.0,0.0,0.00081641,"{'original': 7.9, 'alternative': 7.7}",0,0.5373,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vladimír Coufal,vladimir-coufal,V. Coufal,D,34,179,1643,M,138024,"{'alpha2': 'CZ', 'alpha3': 'CZE', 'name': 'Czechia', 'slug': 'czechia'}",EUR,714441600,"{'value': 2900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فلاديمير كوفال', 'hi': 'व्लादिमीर कुफाल', 'bn': 'ভ্লাদিমির কউফল'}, 'shortNameTranslation': {'ar': 'ف. كوفال', 'hi': 'वी. कुफाल', 'bn': 'ভি. কউফল'}}",14.0,8.0,4.0,,6.0,6.0,3.0,10.0,1.0,3.0,4.0,3.0,,,,,,,,,90.0,37.0,6.5,11.0,0.0,0.0,0.0362064,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Kurt Zouma,kurt-zouma,K. Zouma,D,4,190,2242,M,139227,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,783216000,"{'value': 8500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كورت زوما', 'hi': 'कर्ट ज़ौमा', 'bn': 'কার্ট জৌমা'}, 'shortNameTranslation': {'ar': 'ك. زوما', 'hi': 'के. ज़ौमा', 'bn': 'কে. জৌমা'}}",17.0,12.0,2.0,,12.0,14.0,,3.0,1.0,2.0,3.0,3.0,,,,,,,,,90.0,26.0,6.5,5.0,0.0,0.0,3.332e-05,"{'original': 6.5, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,,,2.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Nayef Aguerd,nayef-aguerd,N. Aguerd,D,21,188,26523,M,877102,"{'alpha2': 'MA', 'alpha3': 'MAR', 'name': 'Morocco', 'slug': 'morocco'}",EUR,828144000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نايف أكرد', 'hi': 'नायेफ़ अगुएर्ड', 'bn': 'নায়েফ আগুয়ের্ড'}, 'shortNameTranslation': {'ar': 'ن. أكرد', 'hi': 'एन. अगुएर्ड', 'bn': 'এন. আগুয়ের্ড'}}",24.0,16.0,6.0,1.0,15.0,16.0,1.0,8.0,,1.0,3.0,6.0,,,,,,,,,67.0,37.0,6.6,10.0,0.1268,0.4037,0.00027936,"{'original': 6.6, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,3.0,,1.0,3.0,1.0,,2.0,nayefaguard,1.0,1.0,1.0,,,,,,,,,,,,,,,,
Emerson Palmieri,emerson-palmieri,Emerson,D,3,176,2307,M,155997,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,775872000,"{'value': 9100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيمرسون بالميري', 'hi': 'एमर्सन पामिएरी', 'bn': 'এমারসন পালমিরি'}, 'shortNameTranslation': {'ar': 'إيمرسون', 'hi': 'एमर्सन पामिएरी', 'bn': 'এমারসন'}}",19.0,15.0,,,10.0,13.0,5.0,6.0,,7.0,4.0,6.0,,,,,,,,,90.0,50.0,7.7,6.0,0.0,0.0,0.00858547,"{'original': 7.7, 'alternative': 7.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,1.0,3.0,,,3.0,4.0,2.0,2.0,,,,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,
Tomáš Souček,tomas-soucek,T. Souček,M,28,192,3227,M,799041,"{'alpha2': 'CZ', 'alpha3': 'CZE', 'name': 'Czechia', 'slug': 'czechia'}",EUR,793843200,"{'value': 11600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماش سوتشيك', 'hi': 'टॉमस सौसेक', 'bn': 'তোমাস সোউচেক'}, 'shortNameTranslation': {'ar': 'ت. سوتشيك', 'hi': 'टी. सौसेक', 'bn': 'টি. সোউচেক'}}",23.0,15.0,2.0,2.0,11.0,16.0,4.0,7.0,2.0,4.0,4.0,6.0,,,,,,,,,90.0,40.0,7.2,9.0,0.0,0.0,0.0118648,"{'original': 7.2, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,3.0,7.0,2.0,,5.0,1.0,1.0,2.0,,,,1.0,,,2.0,1.0,,3.0,1.0,,,,,,,,,
James Ward-Prowse,james-ward-prowse,J. Ward-Prowse,M,8,177,4283,M,161717,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,783648000,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس وارد-براوس', 'hi': 'जेम्स वार्ड-प्रोव्स', 'bn': 'জেমস ওয়ার্ড-প্রোস'}, 'shortNameTranslation': {'ar': 'ج. وارد-براوس', 'hi': 'जे. वार्ड-प्रोव्स', 'bn': 'জে. ওয়ার্ড-প্রোস'}}",23.0,21.0,1.0,,15.0,15.0,7.0,11.0,1.0,4.0,3.0,2.0,,,,,,,,,81.0,37.0,7.6,5.0,0.0378,0.0,0.112464,"{'original': 7.6, 'alternative': 7.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,1.0,2.0,5.0,2.0,1.0,1.0,2.0,1.0,,prowsey16,,,,,,1.0,,,2.0,,2.0,1.0,1.0,,,,,,
Jarrod Bowen,jarrod-bowen,J. Bowen,M,20,174,8771,M,552884,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,851040000,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جارود بوين', 'hi': 'जारोड बोवेन', 'bn': 'জারড বোয়েন'}, 'shortNameTranslation': {'ar': 'ج. بوين', 'hi': 'जे. बोवेन', 'bn': 'জে. বোয়েন'}}",12.0,9.0,,,5.0,6.0,4.0,6.0,1.0,3.0,,3.0,,,,,,,,,90.0,28.0,6.8,13.0,0.3821,0.7787,0.0228637,"{'original': 6.8, 'alternative': 6.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,2.0,5.0,,2.0,,1.0,1.0,1.0,jarrodbowen,2.0,,8.0,,,,1.0,,,,,,,2.0,,,,,
Lucas Paquetá,lucas-paqueta,L. Paquetá,M,10,180,54701,M,839981,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,872640000,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكاس باكيتا', 'hi': 'लुकास पेकटा', 'bn': 'লুকাস পাকেতা'}, 'shortNameTranslation': {'ar': 'ل. باكيتا', 'hi': 'एल. पेकटा', 'bn': 'এল. পাকেতা'}}",35.0,26.0,2.0,1.0,11.0,15.0,15.0,22.0,2.0,6.0,1.0,10.0,,,,,,,,,90.0,60.0,6.7,22.0,0.8526,0.9925,0.0448458,"{'original': 6.7, 'alternative': 6.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,,3.0,17.0,6.0,6.0,2.0,2.0,1.0,1.0,Paqueta,1.0,1.0,3.0,2.0,1.0,,2.0,,2.0,,,,,,1.0,1.0,,,
Saïd Benrahma,said-benrahma,S. Benrahma,F,10,172,12009,M,354808,"{'alpha2': 'DZ', 'alpha3': 'DZA', 'name': 'Algeria', 'slug': 'algeria'}",EUR,808012800,"{'value': 9400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سعيد بن رحمة', 'hi': 'सईद बनराहमा', 'bn': 'সাঈদ, বেনরাহমা'}, 'shortNameTranslation': {'ar': 'س. بن رحمة', 'hi': 'एस. बनराहमा', 'bn': 'এস. বেনরাহমা'}}",14.0,11.0,,,5.0,7.0,7.0,9.0,,3.0,,2.0,,,,,,,,,69.0,27.0,6.2,9.0,0.0656,0.0,0.0311454,"{'original': 6.2, 'alternative': 6.2}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,1.0,,7.0,3.0,1.0,,1.0,,1.0,said_benrahma11,,,2.0,4.0,2.0,,,,,,,,1.0,1.0,2.0,,,,
