name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,sofascoreId,accurateOppositionHalfPasses,totalCross,duelLost,duelWon,challengeLost,totalContest,wonContest,shotOffTarget,totalClearance,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,aerialWon,onTargetScoringAttempt,outfielderBlock,aerialLost,dispossessed,interceptionWon,keyPass,bigChanceMissed,blockedScoringAttempt,accurateCross,hitWoodwork,firstName,lastName,totalOffside,bigChanceCreated,goals,goalAssist,punches,totalKeeperSweeper,accurateKeeperSweeper
José Sá,jose-sa,J. Sá,G,1,192,3995,M,252669,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,727228800,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوزيه سا', 'hi': 'जोस सा', 'bn': 'জোসে সা'}, 'shortNameTranslation': {'ar': 'ج. سا', 'hi': 'जे. सा', 'bn': 'জে. সা'}}",33.0,21.0,12.0,1.0,21.0,23.0,10.0,15.0,2.0,2.0,4.0,90.0,52.0,6.8,12.0,0.0,0.0,8.835e-05,"{'original': 6.8, 'alternative': 6.1}",0,-0.6529,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nélson Semedo,nelson-semedo,N. Semedo,M,27,177,7468,M,252821,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,753408000,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيلسون سيميدو', 'hi': 'नेल्सन सेमेदो', 'bn': 'নেলসন সেমেডো'}, 'shortNameTranslation': {'ar': 'ن. سيميدو', 'hi': 'एन. सेमेदो', 'bn': 'এন. সেমিডো'}}",43.0,36.0,7.0,1.0,22.0,25.0,20.0,7.0,,,,90.0,63.0,6.2,10.0,0.0249,0.0,0.0151347,"{'original': 6.2, 'alternative': 6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,nelsonsemedo50,14.0,2.0,5.0,6.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
Craig Dawson,craig-dawson,C. Dawson,D,,188,423,M,50027,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,641952000,"{'value': 980000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريغ داوسون', 'hi': 'क्रेग डावसन', 'bn': 'ক্রেগ ডসন'}, 'shortNameTranslation': {'ar': 'ك. داوسون', 'hi': 'सी. डावसन', 'bn': 'সি. ডসন'}}",37.0,33.0,2.0,,27.0,30.0,7.0,3.0,,,,71.0,47.0,6.4,4.0,0.0748,0.5156,0.00238767,"{'original': 6.4, 'alternative': 6.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,6.0,,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
Max Kilman,max-kilman,M. Kilman,D,3,192,1235,M,894474,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,864345600,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكس كيلمان', 'hi': 'मैक्स किलमन', 'bn': 'ম্যাক্স কিলম্যান'}, 'shortNameTranslation': {'ar': 'م. كيلمان', 'hi': 'एम. किलमन', 'bn': 'এম. কিলম্যান'}}",64.0,57.0,8.0,4.0,42.0,44.0,20.0,9.0,,,,90.0,73.0,6.2,9.0,0.0,0.0,0.00911767,"{'original': 6.2, 'alternative': 6.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,15.0,,6.0,3.0,1.0,1.0,1.0,,2.0,1.0,1.0,,,3.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
Rayan Aït-Nouri,rayan-ait-nouri,R. A. Nouri,M,21,179,39814,M,931278,"{'alpha2': 'DZ', 'alpha3': 'DZA', 'name': 'Algeria', 'slug': 'algeria'}",EUR,991785600,"{'value': 39000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان آيت نوري', 'hi': 'रेयान ऐत नूरी', 'bn': 'রায়ান আইত নুরী'}, 'shortNameTranslation': {'ar': 'ر. أ. نوري', 'hi': 'आर. ऐ. नूरी', 'bn': 'আর. এ. নুরী'}}",38.0,32.0,5.0,3.0,20.0,22.0,16.0,2.0,,,,86.0,61.0,6.3,12.0,0.318,0.0,0.0708738,"{'original': 6.3, 'alternative': 6.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,r_aitnouri,12.0,,6.0,10.0,1.0,4.0,2.0,1.0,,5.0,4.0,,1.0,,2.0,,,,3.0,,1.0,1.0,,,,,,,,,,,,
Pedro Neto,pedro-neto,P. Neto,M,7,172,39950,M,879349,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,952560000,"{'value': 58000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيدرو نيتو', 'hi': 'पेड्रो नेटो', 'bn': 'পেড্রো নেটো'}, 'shortNameTranslation': {'ar': 'ب. نيتو', 'hi': 'पी. नेटो', 'bn': 'পি. নেটো'}}",31.0,27.0,1.0,1.0,6.0,6.0,29.0,4.0,,,,90.0,55.0,6.8,19.0,0.1376,0.0,0.0384888,"{'original': 6.8, 'alternative': 6.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,pedroneto_30,21.0,4.0,6.0,5.0,,5.0,3.0,1.0,,1.0,,3.0,1.0,1.0,,,,1.0,2.0,1.0,2.0,,1.0,,,,,,,,,,,
João Gomes,joao-gomes,J. Gomes,M,8,176,15514,M,1015267,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,981936000,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو غوميش', 'hi': 'जोआओ गोम्स', 'bn': 'জোয়াও গোমেস'}, 'shortNameTranslation': {'ar': 'جواو غوميش', 'hi': 'जोआओ गोम्स', 'bn': 'জোয়াও গোমেস'}}",17.0,15.0,,,9.0,10.0,8.0,4.0,,,,56.0,26.0,6.0,5.0,0.0419,0.0,0.0353195,"{'original': 6, 'alternative': 5.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,joaogomes.01,7.0,1.0,5.0,1.0,3.0,1.0,1.0,,,,,1.0,,,,,,,2.0,1.0,,,1.0,1.0,,,,,,,,,,
Mario Lemina,mario-lemina,M. Lemina,M,99,184,8485,M,307284,"{'alpha2': 'GA', 'alpha3': 'GAB', 'name': 'Gabon', 'slug': 'gabon'}",EUR,746841600,"{'value': 6400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماريو ليمينا', 'hi': 'मारियो लेमिना', 'bn': 'মারিও লেমিনা'}, 'shortNameTranslation': {'ar': 'م. ليمينا', 'hi': 'एम. लेमिना', 'bn': 'এম. লেমিনা'}}",43.0,38.0,1.0,,27.0,28.0,16.0,7.0,,,,90.0,63.0,6.5,12.0,0.6837,0.0,0.00995316,"{'original': 6.5, 'alternative': 6.4}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,11.0,1.0,6.0,6.0,1.0,3.0,2.0,1.0,,3.0,2.0,2.0,,2.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,
Matheus Nunes,matheus-nunes,M. Nunes,D,27,183,18816,M,945122,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,904176000,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماثيوس نونيز', 'hi': 'मैथियस नून्स', 'bn': 'ম্যাথিউস নুনেস'}, 'shortNameTranslation': {'ar': 'م. نونيز', 'hi': 'एम. नून्स', 'bn': 'এম. নুনেস'}}",58.0,51.0,1.0,,24.0,25.0,35.0,5.0,,,,90.0,74.0,6.9,11.0,0.0803,0.0,0.166938,"{'original': 6.9, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,matheusnunes,28.0,2.0,4.0,7.0,1.0,5.0,5.0,1.0,,,,1.0,2.0,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,,,,,,
Matheus Cunha,matheus-cunha,M. Cunha,F,10,184,62297,M,886363,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,927763200,"{'value': 73000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماثيوس كونيا', 'hi': 'मैथियस कुन्हा', 'bn': 'ম্যাথিউস কুনহা'}, 'shortNameTranslation': {'ar': 'م. كونيا', 'hi': 'एम. कुन्हा', 'bn': 'এম. কুনহা'}}",25.0,20.0,1.0,,8.0,8.0,17.0,5.0,,,,90.0,48.0,7.5,16.0,0.4456,0.7871,0.324024,"{'original': 7.5, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,Cunha,12.0,,5.0,7.0,,6.0,5.0,,1.0,1.0,1.0,7.0,1.0,,,1.0,,1.0,3.0,,3.0,1.0,,,1.0,,,,1.0,,,,,
