name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialWon,duelLost,duelWon,challengeLost,totalTackle,wonTackle,errorLeadToAGoal,unsuccessfulTouch,firstName,lastName,aerialLost,outfielderBlock,interceptionWon,fouls,totalCross,accurateCross,wasFouled,keyPass,sofascoreId,dispossessed,totalContest,wonContest,onTargetScoringAttempt,expectedGoals,expectedGoalsOnTarget,blockedScoringAttempt,shotOffTarget,goals,errorLeadToAShot,goodHighClaim,goalAssist,bigChanceCreated,hitWoodwork,bigChanceMissed
Thomas Kaminski,thomas-kaminski,T. Kaminski,G,1,190,558,M,45959,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,719798400,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماس كامينسكي', 'hi': 'थॉमस कामिन्स्की', 'bn': 'টমাস কামিনস্কি'}, 'shortNameTranslation': {'ar': 'ت. كامينسكي', 'hi': 'टी. कामिन्स्की', 'bn': 'টি. কামিনস্কি'}}",36.0,21.0,25.0,10.0,14.0,17.0,7.0,19.0,1.0,8.0,3.0,4.0,2.0,2.0,90.0,45.0,6.5,16.0,0.00164298,"{'original': 6.5, 'alternative': 5.8}",0,0.0573,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reece Burke,reece-burke,R. Burke,D,32,189,101,M,372342,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,841622400,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريس بيرك', 'hi': 'रीस बर्क', 'bn': 'রিস বার্ক'}, 'shortNameTranslation': {'ar': 'ر. بيرك', 'hi': 'आर. बर्क', 'bn': 'আর. বার্ক'}}",19.0,15.0,5.0,1.0,11.0,11.0,4.0,8.0,2.0,2.0,,,,,45.0,26.0,5.9,6.0,0.00255131,"{'original': 5.9, 'alternative': 5.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Teden Mengi,teden-mengi,T. Mengi,D,15,183,793,M,979233,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1020124800,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيدن منجي', 'hi': 'टेडेन मेंगी', 'bn': 'টেডেন মেঙ্গি'}, 'shortNameTranslation': {'ar': 'ت. منجي', 'hi': 'टी. मेंगी', 'bn': 'টি. মেঙ্গি'}}",39.0,32.0,5.0,3.0,22.0,26.0,10.0,13.0,10.0,4.0,,,,,90.0,55.0,6.6,8.0,0.0349085,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,3.0,4.0,1.0,,,,1.0,,,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
Gabriel Osho,gabriel-osho,G. Osho,D,3,185,835,M,920680,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,903052800,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غابرييل أوشو', 'hi': 'गेब्रियल ओशो', 'bn': 'গ্যাব্রিয়েল ওশো'}, 'shortNameTranslation': {'ar': 'غ. أوشو', 'hi': 'जी. ओशो', 'bn': 'জি. ওশো'}}",35.0,28.0,9.0,5.0,21.0,24.0,8.0,12.0,5.0,6.0,,,,,90.0,50.0,6.3,7.0,0.0779352,"{'original': 6.3, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,2.0,5.0,2.0,2.0,1.0,,,,,,,2.0,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,
Issa Kaboré,issa-kabore,I. Kaboré,D,12,180,17342,M,1006189,"{'alpha2': 'BF', 'alpha3': 'BFA', 'name': 'Burkina Faso', 'slug': 'burkina-faso'}",EUR,989625600,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'عيسى كابوري', 'hi': 'इस्सा काबोरे', 'bn': 'ইসা কাবোরে'}, 'shortNameTranslation': {'ar': 'ع. كابوري', 'hi': 'आई. काबोरे', 'bn': 'আই. কাবোরে'}}",12.0,4.0,,,2.0,6.0,3.0,9.0,3.0,2.0,,,,,35.0,28.0,6.6,12.0,0.0203438,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,2.0,,1.0,,,,,,,,,,3.0,1.0,,1.0,issa_kabore_29,1.0,,,,,,,,,,,,,,
Albert Sambi Lokonga,albert-sambi-lokonga,A. S. Lokonga,M,6,183,3693,M,901892,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,940550400,"{'value': 6200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألبرت سامبي لوكونغا', 'hi': 'अल्बर्ट साम्बी लोकोंगा', 'bn': 'আলবার্ট সাম্বি লোকোঙ্গা'}, 'shortNameTranslation': {'ar': 'أ. س. لوكونغا', 'hi': 'ए.एस. लोकोंगा', 'bn': 'এ. এস. লোকঙ্গা'}}",42.0,36.0,2.0,1.0,16.0,19.0,20.0,23.0,,3.0,,,,,71.0,52.0,6.4,10.0,0.0162311,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,3.0,,1.0,1.0,,3.0,,,,,,1.0,,,,,,,3.0,2.0,,,,,,,,,,,,
Ross Barkley,ross-barkley,R. Barkley,M,6,188,2380,M,98435,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,755049600,"{'value': 4500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روس باركلي', 'hi': 'रॉस बार्कले', 'bn': 'রস বার্কলে'}, 'shortNameTranslation': {'ar': 'ر. باركلي', 'hi': 'आर. बार्कले', 'bn': 'আর. বার্কলে'}}",59.0,51.0,1.0,1.0,27.0,30.0,24.0,30.0,3.0,7.0,,,,,90.0,81.0,6.3,18.0,0.0446536,"{'original': 6.3, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,7.0,7.0,1.0,2.0,,,4.0,,,1.0,,1.0,,1.0,,2.0,,,4.0,3.0,2.0,,,,,,,,,,,,
Alfie Doughty,alfie-doughty,A. Doughty,M,14,183,576,M,945792,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,945734400,"{'value': 5700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألفي دوتي', 'hi': 'अल्फी डौटी', 'bn': 'আলফি ডাউটি'}, 'shortNameTranslation': {'ar': 'أ. دوتي', 'hi': 'ए. डौटी', 'bn': 'এ. ডাউটি'}}",34.0,28.0,3.0,,12.0,14.0,16.0,30.0,1.0,5.0,,,,,90.0,71.0,6.6,24.0,0.0241759,"{'original': 6.6, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,6.0,7.0,1.0,5.0,3.0,,3.0,,,,,1.0,2.0,10.0,,,,,,5.0,2.0,1.0,0.0286,0.1024,,,,,,,,,
Jordan Clark,jordan-clark,J. Clark,M,18,183,124,M,150477,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,748656000,"{'value': 590000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان كلارك', 'hi': 'जॉर्डन क्लार्क', 'bn': 'জর্ডান ক্লার্ক'}, 'shortNameTranslation': {'ar': 'ج. كلارك', 'hi': 'जे. क्लार्क', 'bn': 'জে. ক্লার্ক'}}",31.0,18.0,1.0,1.0,2.0,7.0,16.0,24.0,,3.0,,,,,81.0,44.0,6.4,22.0,0.0321108,"{'original': 6.4, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,10.0,4.0,1.0,,,,3.0,,,1.0,,,3.0,,,,1.0,,4.0,3.0,2.0,,0.0189,,1.0,,,,,,,,
Tahith Chong,tahith-chong,T. Chong,M,24,185,1675,M,825845,"{'alpha2': 'CW', 'alpha3': 'CUW', 'name': 'Curacao', 'slug': 'curacao'}",EUR,944265600,"{'value': 4300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تايث تشونغ', 'hi': 'ताहित चोंग', 'bn': 'তাহিথ চং'}, 'shortNameTranslation': {'ar': 'ت. تشونغ', 'hi': 'टी. चोंग', 'bn': 'টি. চং'}}",25.0,20.0,1.0,1.0,5.0,5.0,15.0,21.0,2.0,1.0,,,,,71.0,42.0,6.9,11.0,0.0212555,"{'original': 6.9, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,6.0,5.0,,1.0,1.0,,1.0,,,2.0,,,,1.0,,3.0,,,3.0,2.0,1.0,,0.1668,,1.0,1.0,,,,,,,
