name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,totalTackle,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,aerialLost,duelLost,challengeLost,totalContest,totalClearance,outfielderBlock,unsuccessfulTouch,dispossessed,wonContest,interceptionWon,wonTackle,fouls,sofascoreId,aerialWon,wasFouled,accurateCross,keyPass,shotOffTarget,hitWoodwork,expectedGoals,bigChanceCreated,blockedScoringAttempt,bigChanceMissed,onTargetScoringAttempt,expectedGoalsOnTarget,goals,goalAssist
Sam Johnstone,sam-johnstone,S. Johnstone,G,31,193,643,M,98427,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,733017600,"{'value': 5300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سام جونستون', 'hi': 'सैम जॉनस्टोन', 'bn': 'স্যাম জনস্টোন'}, 'shortNameTranslation': {'ar': 'س. جونستون', 'hi': 'एस. जॉनस्टोन', 'bn': 'এস. জনস্টোন'}}",30.0,18.0,19.0,8.0,12.0,18.0,6.0,12.0,1.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,90.0,39.0,6.7,12.0,0.00166038,"{'original': 6.7, 'alternative': 6.4}",0,-0.3122,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Ward,joel-ward,J. Ward,D,,188,256,M,39183,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,625622400,"{'value': 285000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جويل وارد', 'hi': 'जोएल वार्ड', 'bn': 'জোয়েল ওয়ার্ড'}, 'shortNameTranslation': {'ar': 'ج. وارد', 'hi': 'जे. वार्ड', 'bn': 'জে. ওয়ার্ড'}}",29.0,23.0,3.0,3.0,9.0,11.0,14.0,20.0,,4.0,,,,,,,69.0,41.0,6.5,10.0,0.00597478,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,2.0,2.0,4.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Joachim Andersen,joachim-andersen,J. Andersen,D,5,190,2408,M,362682,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,833500800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يواكيم أندرسن', 'hi': 'जोआचिम एंडरसन', 'bn': 'জোয়াকিম অ্যান্ডারসেন'}, 'shortNameTranslation': {'ar': 'ي. أندرسن', 'hi': 'जे. एंडरसन', 'bn': 'জে. অ্যান্ডারসেন'}}",47.0,34.0,13.0,4.0,24.0,27.0,10.0,20.0,2.0,3.0,1.0,,,,,,90.0,59.0,6.3,15.0,0.00439618,"{'original': 6.3, 'alternative': 6.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,4.0,1.0,2.0,2.0,1.0,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
Marc Guéhi,marc-guehi,M. Guéhi,D,6,182,7807,M,877994,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,963446400,"{'value': 52000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك غيهي', 'hi': 'मार्क गुएही', 'bn': 'মার্ক গুয়েহি'}, 'shortNameTranslation': {'ar': 'م. غيهي', 'hi': 'एम. गुएही', 'bn': 'এম. গুয়েহি'}}",94.0,78.0,15.0,4.0,50.0,56.0,28.0,39.0,7.0,3.0,2.0,,,,,,90.0,108.0,6.6,19.0,0.00984042,"{'original': 6.6, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,1.0,3.0,1.0,1.0,2.0,,1.0,,,,1.0,,MarcGuehi13,2.0,3.0,,,,,,,,,,,,
Tyrick Mitchell,tyrick-mitchell,T. Mitchell,M,3,174,1365,M,988275,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,936144000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيريك ميتشل', 'hi': 'टायरिक मिशेल', 'bn': 'টাইরিক মিচেল'}, 'shortNameTranslation': {'ar': 'ت. ميتشل', 'hi': 'टी. मिशेल', 'bn': 'টি. মিচেল'}}",10.0,6.0,2.0,,4.0,6.0,3.0,5.0,3.0,2.0,2.0,,,,,,29.0,21.0,6.7,4.0,0.0650764,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,1.0,1.0,,,2.0,,,,,,2.0,,,1.0,,1.0,1.0,,,,,,,,,,
Chris Richards,chris-richards,C. Richards,D,26,188,2004,M,931844,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,954201600,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريس ريتشاردز', 'hi': 'क्रिस रिचर्ड्स', 'bn': 'ক্রিস রিচার্ডস'}, 'shortNameTranslation': {'ar': 'ك. ريتشاردز', 'hi': 'सी. रिचर्ड्स', 'bn': 'সি. রিচার্ডস'}}",50.0,45.0,5.0,2.0,22.0,23.0,23.0,27.0,5.0,7.0,3.0,,,,,,90.0,58.0,7.1,5.0,0.0253891,"{'original': 7.1, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,2.0,2.0,,,2.0,,,,,,3.0,,,2.0,,,1.0,,,,,,,,,,
Jefferson Lerma,jefferson-lerma,J. Lerma,M,8,179,5382,M,355796,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,783043200,"{'value': 7400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيفرسون ليرما', 'hi': 'जेफरसन लेर्मा', 'bn': 'জেফারসন লারমা'}, 'shortNameTranslation': {'ar': 'ج. ليرما', 'hi': 'जे. लेर्मा', 'bn': 'জে. লারমা'}}",55.0,47.0,3.0,2.0,14.0,16.0,34.0,42.0,6.0,9.0,2.0,,,,,,86.0,69.0,7.7,12.0,0.340094,"{'original': 7.7, 'alternative': 7.5}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,,3.0,2.0,,,,1.0,1.0,,,2.0,,jeffersonlerma,3.0,1.0,1.0,2.0,4.0,1.0,0.1858,,,,,,,
Michael Olise,michael-olise,M. Olise,M,17,185,65968,M,978838,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1008115200,"{'value': 125000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايكل أوليس', 'hi': 'माइकल ओलिस', 'bn': 'মাইকেল ওলিস'}, 'shortNameTranslation': {'ar': 'م. أوليس', 'hi': 'एम. ओलिस', 'bn': 'এম. ওলিস'}}",48.0,41.0,2.0,2.0,11.0,13.0,32.0,43.0,11.0,4.0,2.0,,,,,,90.0,82.0,7.7,22.0,0.239659,"{'original': 7.7, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,8.0,3.0,11.0,2.0,6.0,,,4.0,4.0,5.0,,2.0,1.0,MOlise,,4.0,2.0,5.0,1.0,,0.2433,1.0,1.0,,,,,
Jeffrey Schlupp,jeffrey-schlupp,J. Schlupp,D,27,178,762,M,148710,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,725068800,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيفري شلوب', 'hi': 'जेफ़री श्लुप्प', 'bn': 'জেফরি শ্লুপ'}, 'shortNameTranslation': {'ar': 'ج. شلوب', 'hi': 'जे. श्लुप्प', 'bn': 'জে. শ্লুপ'}}",26.0,24.0,1.0,1.0,9.0,9.0,15.0,17.0,12.0,2.0,7.0,,,,,,69.0,40.0,7.3,5.0,0.0331312,"{'original': 7.3, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,5.0,1.0,1.0,,,2.0,1.0,1.0,,5.0,3.0,,2.0,2.0,,,,,,,,,,,,
Jordan Ayew,jordan-ayew,J. Ayew,F,9,182,14311,M,103045,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,684547200,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان أيو', 'hi': 'जॉर्डन अय्यू', 'bn': 'জর্ডান আইউ'}, 'shortNameTranslation': {'ar': 'ج. أيو', 'hi': 'जे. अय्यू', 'bn': 'জে. আইউ'}}",34.0,29.0,,,8.0,9.0,21.0,27.0,8.0,5.0,2.0,,,,,,90.0,60.0,7.0,13.0,0.0714116,"{'original': 7, 'alternative': 6.7}",6,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,3.0,8.0,,1.0,,,2.0,3.0,1.0,,,2.0,jordanayew9,2.0,3.0,,1.0,,,0.1926,,3.0,1.0,3.0,0.5485,,
