name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,blockedScoringAttempt,totalClearance,interceptionWon,totalTackle,errorLeadToAGoal,wasFouled,expectedGoals,aerialLost,outfielderBlock,wonTackle,fouls,bigChanceMissed,shotOffTarget,firstName,lastName,totalCross,keyPass,sofascoreId,accurateCross,onTargetScoringAttempt,unsuccessfulTouch,totalOffside,expectedGoalsOnTarget,goals,bigChanceCreated,hitWoodwork,goalAssist
Mark Flekken,mark-flekken,M. Flekken,G,1,194,2871,M,171919,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,739929600,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك فليكين', 'hi': 'मार्क फ्लेकेन', 'bn': 'মার্ক ফ্লেককেন'}, 'shortNameTranslation': {'ar': 'م. فليكين', 'hi': 'एम. फ्लेकेन', 'bn': 'এম. ফ্লেকেন'}}",34.0,22.0,20.0,8.0,18.0,21.0,4.0,13.0,7.0,1.0,3.0,4.0,1.0,1.0,90.0,43.0,6.9,12.0,0.00123083,"{'original': 6.9, 'alternative': 6.3}",0,-0.3987,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Collins,nathan-collins,N. Collins,D,22,193,1469,M,958916,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,988588800,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان كولينز', 'hi': 'नाथन कोलिन्स', 'bn': 'নাথান কলিন্স'}, 'shortNameTranslation': {'ar': 'ن. كولينز', 'hi': 'एन. कोलिन्स', 'bn': 'এন. কলিন্স'}}",35.0,19.0,7.0,2.0,10.0,17.0,9.0,18.0,4.0,,,,,,90.0,53.0,5.7,17.0,0.00634189,"{'original': 5.7, 'alternative': 5.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,2.0,9.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,0.0416,,,,,,,,,,,,,,,,,,,,
Kristoffer Ajer,kristoffer-ajer,K. Ajer,D,20,196,1118,M,576384,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,892771200,"{'value': 17300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستوفر آجير', 'hi': 'क्रिस्टोफ़र अजेर', 'bn': 'ক্রিস্টোফার আজের'}, 'shortNameTranslation': {'ar': 'ك. آجير', 'hi': 'के. अजेर', 'bn': 'কে. আজের'}}",42.0,29.0,10.0,4.0,17.0,21.0,12.0,21.0,2.0,,,,,,90.0,58.0,6.4,13.0,0.00811699,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,5.0,6.0,3.0,,1.0,1.0,,4.0,3.0,2.0,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
Ben Mee,ben-mee,B. Mee,D,15,180,600,M,137774,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,622339200,"{'value': 460000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن مي', 'hi': 'बेन मी', 'bn': 'বেন মে'}, 'shortNameTranslation': {'ar': 'ب. مي', 'hi': 'बी. मी', 'bn': 'বি. মি'}}",37.0,24.0,7.0,1.0,19.0,25.0,5.0,12.0,4.0,,,,,,90.0,61.0,5.9,16.0,0.00224415,"{'original': 5.9, 'alternative': 6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,3.0,4.0,,,1.0,,,6.0,1.0,2.0,,1.0,0.8295,2.0,,,,1.0,1.0,,,,,,,,,,,,,,
Mads Roerslev,mads-roerslev,M. Roerslev,D,2,184,470,M,826057,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,930182400,"{'value': 6400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مادس روزرفيل', 'hi': 'मैड्स रोर्सलेव', 'bn': 'ম্যাডস রোয়ার্সলেভ'}, 'shortNameTranslation': {'ar': 'م. روزرفيل', 'hi': 'एम. रोर्सलेव', 'bn': 'এম. রোয়ার্সলেভ'}}",19.0,11.0,4.0,1.0,6.0,10.0,5.0,9.0,5.0,,,,,,63.0,27.0,6.4,9.0,0.00210856,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,1.0,,,1.0,,,3.0,,1.0,,,,,,1.0,,,,Mads,Roerslev,,,,,,,,,,,,
Mathias Jensen,mathias-jensen,M. Jensen,M,8,180,973,M,799251,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,820454400,"{'value': 12500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جينسين، ماتياس', 'hi': 'जेन्सेन, मैथियास', 'bn': 'জেনসেন, ম্যাথিয়াস'}, 'shortNameTranslation': {'ar': 'م. جينسين', 'hi': 'एम. जेन्सेन', 'bn': 'এম. জেনসেন'}}",28.0,24.0,7.0,5.0,11.0,12.0,13.0,17.0,5.0,,,,,,74.0,40.0,6.7,9.0,0.0935061,"{'original': 6.7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,4.0,2.0,2.0,1.0,2.0,1.0,,1.0,,,,1.0,0.007,,,,,,1.0,,,1.0,2.0,,,,,,,,,,
Christian Nørgaard,christian-norgaard,C. Nørgaard,M,16,185,8776,M,135256,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,763257600,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان نورغارد', 'hi': 'क्रिश्चियन नॉरगार्ड', 'bn': 'ক্রিশ্চিয়ান নরগার্ড'}, 'shortNameTranslation': {'ar': 'ك. نورغارد', 'hi': 'सी. नॉरगार्ड', 'bn': 'সি. নরগার্ড'}}",26.0,20.0,2.0,1.0,8.0,9.0,12.0,17.0,4.0,,,,,,63.0,35.0,6.9,6.0,0.105927,"{'original': 6.9, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,2.0,,2.0,,,,,,3.0,,,,0.0501,,,,,,1.0,,,,3.0,,,,,,,,,,
Vitaly Janelt,vitaly-janelt,V. Janelt,M,27,184,1013,M,814873,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,894758400,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتالي جانيلت', 'hi': 'विटाली जेनेल्ट', 'bn': 'ভিটালি জেনেল্ট'}, 'shortNameTranslation': {'ar': 'ف. جانيلت', 'hi': 'वी. जेनेल्ट', 'bn': 'ভি. জেনেল্ট'}}",31.0,23.0,1.0,,9.0,10.0,14.0,21.0,3.0,,,,,,90.0,39.0,6.7,8.0,0.00745275,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,5.0,,,,,,,1.0,3.0,,1.0,0.036,1.0,,2.0,,,1.0,,,,,,,,,,,,,,
Sergio Reguilón,sergio-reguilon,S. Reguilón,D,,178,6051,M,858195,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,850694400,"{'value': 4900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيرجيو ريغيلون', 'hi': 'सर्जियो रेगुइलोन', 'bn': 'সার্জিও রেগুইলন'}, 'shortNameTranslation': {'ar': 'س. ريغيلون', 'hi': 'एस. रेगुइलोन', 'bn': 'এস. রেগুইলন'}}",30.0,21.0,1.0,,7.0,9.0,16.0,26.0,5.0,,,,,,85.0,50.0,6.7,15.0,0.0237,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,4.0,5.0,1.0,,1.0,1.0,,,1.0,2.0,,1.0,0.1261,2.0,,,1.0,,,,,5.0,,sergio_regui,2.0,1.0,2.0,1.0,0.0655,,,,
Ivan Toney,ivan-toney,I. Toney,F,17,185,10125,M,290927,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,826934400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيفان توني', 'hi': 'इवान टोनी', 'bn': 'ইভান টোনি'}, 'shortNameTranslation': {'ar': 'إ. توني', 'hi': 'आई. टोनी', 'bn': 'আই. টনি'}}",20.0,13.0,,,2.0,3.0,11.0,17.0,2.0,,,,,,90.0,44.0,7.8,13.0,0.0177834,"{'original': 7.8, 'alternative': 7.4}",8,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,4.0,5.0,,,1.0,,1.0,2.0,1.0,,,4.0,0.7118,3.0,,,,1.0,3.0,,,,,ivantoney,,4.0,4.0,,0.8102,1.0,,,
