name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,unsuccessfulTouch,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,duelLost,duelWon,challengeLost,totalContest,totalClearance,totalTackle,wonTackle,penaltyConceded,fouls,aerialWon,shotOffTarget,interceptionWon,totalOffside,expectedGoals,outfielderBlock,wasFouled,accurateCross,wonContest,keyPass,dispossessed,blockedScoringAttempt,sofascoreId,totalKeeperSweeper,accurateKeeperSweeper,onTargetScoringAttempt,expectedGoalsOnTarget,goalAssist,bigChanceCreated,goals,penaltyWon
James Trafford,,,james-trafford,J. Trafford,G,1,197,20653,M,980643,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1034208000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس ترافورد', 'hi': 'जेम्स ट्रैफोर्ड', 'bn': 'জেমস ট্র্যাফোর্ড'}, 'shortNameTranslation': {'ar': 'ج. ترافورد', 'hi': 'जे. ट्रैफोर्ड', 'bn': 'জে. ট্র্যাফোর্ড'}}",47.0,31.0,23.0,7.0,25.0,27.0,6.0,20.0,6.0,1.0,1.0,1.0,2.0,90.0,55.0,5.5,19.0,0.00302918,"{'original': 5.5, 'alternative': 5.3}",0,-2.4834,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lorenz Assignon,,,lorenz-assignon,L. Assignon,M,22,179,621,M,1009334,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,961632000,"{'value': 11600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لورينز أسينيون', 'hi': 'लोरेन्ज़ एसिग्नोन', 'bn': 'লরেঞ্জ অ্যাসিগনন'}, 'shortNameTranslation': {'ar': 'ل. أسينيون', 'hi': 'एल. एसिग्नोन', 'bn': 'এল. অ্যাসিগনন'}}",12.0,9.0,,,5.0,7.0,4.0,7.0,3.0,,,,,79.0,30.0,5.5,7.0,0.0021502,"{'original': 5.5, 'alternative': 5.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,2.0,5.0,4.0,1.0,1.0,3.0,4.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
Dara O'Shea,,,dara-oshea,D. O'Shea,D,26,188,709,M,856719,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,920505600,"{'value': 15900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دارا أوشيا', 'hi': ""दारा ओ'शीया"", 'bn': ""দারা ও'শিয়া""}, 'shortNameTranslation': {'ar': 'د. أوشيا', 'hi': ""डी. ओ'शीया"", 'bn': ""ডি. ও'শিয়া""}}",41.0,35.0,6.0,3.0,26.0,29.0,9.0,12.0,5.0,1.0,,,,90.0,55.0,6.3,9.0,0.00649111,"{'original': 6.3, 'alternative': 6.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,5.0,5.0,5.0,,,6.0,1.0,,,,4.0,2.0,1.0,1.0,0.0633,,,,,,,,,,,,,,,,
Maxime Estève,Maxime Estève,,maxime-esteve,M. Estève,D,5,192,1543,M,1117223,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1022371200,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكسيم إستيف', 'hi': 'मैक्सिम एस्टेवे', 'bn': 'ম্যাক্সিম এস্টেভ'}, 'shortNameTranslation': {'ar': 'م. إستيف', 'hi': 'एम. एस्टेवे', 'bn': 'এম. এস্তেভ'}}",33.0,20.0,7.0,1.0,13.0,16.0,7.0,17.0,2.0,1.0,,,,62.0,43.0,6.3,14.0,0.00173407,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,4.0,,,3.0,2.0,1.0,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,
Hannes Delcroix,,,hannes-delcroix,H. Delcroix,D,44,185,5084,M,826169,"{'alpha2': 'HT', 'alpha3': 'HTI', 'name': 'Haiti', 'slug': 'haiti'}",EUR,920160000,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هانيس ديلكروكس', 'hi': 'हेन्नेस डेलक्रोइक्स', 'bn': 'হ্যানেস ডেলক্রোইক্স'}, 'shortNameTranslation': {'ar': 'ه. ديلكروكس', 'hi': 'एच. डेलक्रोइक्स', 'bn': 'এইচ. ডেলক্রোইক্স'}}",30.0,23.0,2.0,1.0,19.0,24.0,5.0,8.0,4.0,1.0,,,,90.0,47.0,6.2,11.0,0.0257054,"{'original': 6.2, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,,1.0,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,
Aaron Ramsey,,,aaron-ramsey,A. Ramsey,M,30,180,756,M,1000142,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1043107200,"{'value': 8800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آرون رامسي', 'hi': 'आरोन रैमसे', 'bn': 'অ্যারন রামসে'}, 'shortNameTranslation': {'ar': 'آ. رامسي', 'hi': 'ए. रैमसे', 'bn': 'এ. রামসে'}}",11.0,7.0,2.0,1.0,6.0,9.0,1.0,2.0,2.0,,,,,63.0,16.0,6.1,5.0,0.00186211,"{'original': 6.1, 'alternative': 6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,,,,2.0,,,,2.0,,1.0,,,0.0372,,,,,,1.0,,,,,,,,,,
Sander Berge,,,sander-berge,S. Berge,M,16,195,2074,M,793167,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,887414400,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ساندر بيرج', 'hi': 'सैंडर बर्ज', 'bn': 'স্যান্ডার বার্জে'}, 'shortNameTranslation': {'ar': 'س. بيرج', 'hi': 'एस. बर्ज', 'bn': 'এস. বার্জে'}}",29.0,25.0,1.0,,15.0,16.0,10.0,13.0,6.0,1.0,,,,90.0,40.0,6.5,6.0,0.0108773,"{'original': 6.5, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,4.0,7.0,4.0,1.0,1.0,1.0,3.0,1.0,,1.0,,,2.0,,,1.0,,,1.0,,1.0,,,,,,,,,,
Josh Brownhill,,,josh-brownhill,J. Brownhill,M,8,179,832,M,358394,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,819331200,"{'value': 12700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوش براونهيل', 'hi': 'जोश ब्राउनहिल', 'bn': 'জোশ ব্রাউনহিল'}, 'shortNameTranslation': {'ar': 'ج. براونهيل', 'hi': 'जे. ब्राउनहिल', 'bn': 'জে. ব্রাউনহিল'}}",29.0,24.0,5.0,2.0,12.0,14.0,12.0,16.0,2.0,1.0,,,,90.0,48.0,6.9,8.0,0.0124559,"{'original': 6.9, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,1.0,1.0,4.0,7.0,,2.0,2.0,3.0,,,3.0,,1.0,2.0,,0.0425,,2.0,,2.0,1.0,,,,,,,,,,,
Wilson Odobert,,,wilson-odobert,W. Odobert,F,28,182,4085,M,1142679,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1101600000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويلسون أودوبيرت', 'hi': 'विल्सन ओडोबर्ट', 'bn': 'উইলসন ওডোবার্ট'}, 'shortNameTranslation': {'ar': 'و. أودوبيرت', 'hi': 'डब्लू. ओडोबर्ट', 'bn': 'ডব্লিউ. ওডোবার্ট'}}",11.0,8.0,,,5.0,5.0,3.0,6.0,5.0,2.0,,,,80.0,23.0,6.1,8.0,0.0101754,"{'original': 6.1, 'alternative': 5.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,4.0,4.0,1.0,5.0,,,,,,1.0,,,,0.0101,,,,3.0,,1.0,1.0,,,,,,,,,
David Datro Fofana,,,david-datro-fofana,D. D. Fofana,F,19,181,6836,M,1090458,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,1040515200,"{'value': 5200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديفيد داترو فوفانا', 'hi': 'डेविड दात्रो फ़ोफ़ाना', 'bn': 'ডেভিড দাত্রো ফোফানা'}, 'shortNameTranslation': {'ar': 'د. د. فوفانا', 'hi': 'डी.डी. फ़ोफ़ाना', 'bn': 'ডি. ডি. ফোফানা'}}",10.0,7.0,,,5.0,7.0,2.0,3.0,,3.0,,,,90.0,29.0,6.0,14.0,0.00101732,"{'original': 6, 'alternative': 6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,5.0,12.0,4.0,1.0,3.0,,,,,2.0,1.0,,,4.0,0.0475,,1.0,,2.0,,4.0,1.0,datro_9,,,,,,,,
