name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,goalAssist,duelLost,duelWon,challengeLost,dispossessed,totalContest,totalClearance,outfielderBlock,totalTackle,wonTackle,wasFouled,fouls,keyPass,firstName,lastName,aerialLost,aerialWon,shotOffTarget,expectedGoals,unsuccessfulTouch,totalOffside,totalCross,accurateCross,wonContest,onTargetScoringAttempt,expectedGoalsOnTarget,interceptionWon,errorLeadToAGoal,goals,goodHighClaim,savedShotsFromInsideTheBox,errorLeadToAShot,blockedScoringAttempt,bigChanceCreated,ownGoals,bigChanceMissed,hitWoodwork
Emiliano Martínez,emiliano-martinez,E. Martínez,G,23,195,62646,M,EmiMartínez,158263,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,715392000,"{'value': 14400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إميليانو مارتينيز', 'hi': 'एमिलियानो मार्टिनेज', 'bn': 'এমিলিয়ানো মার্টিনেজ'}, 'shortNameTranslation': {'ar': 'إ. مارتينيز', 'hi': 'ई. मार्टिनेज', 'bn': 'ই. মার্টিনেজ'}}",19.0,16.0,5.0,2.0,15.0,15.0,1.0,4.0,3.0,1.0,1.0,1.0,45.0,23.0,6.8,3.0,4.813e-05,"{'original': 6.8, 'alternative': 6.8}",0,0.0292,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matty Cash,matty-cash,M. Cash,D,2,185,9152,M,mattycash622,833956,"{'alpha2': 'PL', 'alpha3': 'POL', 'name': 'Poland', 'slug': 'poland'}",EUR,870912000,"{'value': 19800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماتي كاش', 'hi': 'मैटी कैश', 'bn': 'ম্যাটি ক্যাশ'}, 'shortNameTranslation': {'ar': 'م. كاش', 'hi': 'एम. कैश', 'bn': 'এম. ক্যাশ'}}",29.0,26.0,4.0,2.0,15.0,16.0,11.0,13.0,5.0,,,,90.0,41.0,7.0,7.0,0.108291,"{'original': 7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Ezri Konsa,ezri-konsa,E. Konsa,D,4,183,3125,M,,827679,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,877564800,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إزري كونسا', 'hi': 'एज़री कोंसा', 'bn': 'ইজরি কনসা'}, 'shortNameTranslation': {'ar': 'إ. كونسا', 'hi': 'ई. कोंसा', 'bn': 'ই. কনসা'}}",21.0,17.0,2.0,,14.0,15.0,3.0,6.0,3.0,,,,90.0,28.0,6.4,5.0,0.00065925,"{'original': 6.4, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,4.0,,,,4.0,,,,1.0,,,,,1.0,3.0,1.0,0.0314,,,,,,,,,,,,,,,,,,
Pau Torres,pau-torres,P. Torres,D,14,192,4120,M,pauttorres,864169,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,853372800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باو توريس', 'hi': 'पाऊ टोरेस', 'bn': 'পাউ টরেস'}, 'shortNameTranslation': {'ar': 'ب. توريس', 'hi': 'पी. टोरेस', 'bn': 'পি. টরেস'}}",49.0,40.0,11.0,6.0,34.0,40.0,6.0,9.0,6.0,,,,90.0,59.0,6.5,11.0,0.0352317,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,1.0,1.0,,1.0,5.0,1.0,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
Lucas Digne,lucas-digne,L. Digne,D,12,178,4445,M,LDigne,96538,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,743126400,"{'value': 7400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكاس دين', 'hi': 'लुकास डिग्ने', 'bn': 'লুকাস ডিগনে'}, 'shortNameTranslation': {'ar': 'ل. دين', 'hi': 'एल. डिग्ने', 'bn': 'এল. ডিগনে'}}",23.0,20.0,1.0,,12.0,13.0,9.0,13.0,3.0,,,,90.0,40.0,6.9,7.0,0.355312,"{'original': 6.9, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,4.0,6.0,2.0,,1.0,,1.0,4.0,1.0,,,2.0,,,2.0,1.0,1.0,0.0666,,,3.0,1.0,1.0,,,,,,,,,,,,,
Leon Bailey,leon-bailey,L. Bailey,M,31,178,7430,M,leonbailey,808590,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,871084800,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ليون بيلي', 'hi': 'लियोन बेली', 'bn': 'লিওন বেইলি'}, 'shortNameTranslation': {'ar': 'ل. بيلي', 'hi': 'एल. बेली', 'bn': 'এল. বেইলি'}}",14.0,11.0,1.0,,7.0,8.0,4.0,6.0,2.0,,,,75.0,26.0,6.4,9.0,0.00488137,"{'original': 6.4, 'alternative': 6.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,7.0,3.0,,2.0,4.0,,,,,1.0,3.0,,,,,,,0.0366,1.0,,,,2.0,1.0,0.0359,,,,,,,,,,,
Youri Tielemans,youri-tielemans,Y. Tielemans,M,8,177,9703,M,youritielemans,331737,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,862963200,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوري تيليمانس', 'hi': 'यूरी टिएलमान्स', 'bn': 'ইউরি টাইলেম্যানস'}, 'shortNameTranslation': {'ar': 'ي. تيليمانس', 'hi': 'वाई. टिएलमान्स', 'bn': 'ওয়াই. টাইলেম্যানস'}}",7.0,6.0,2.0,1.0,2.0,2.0,4.0,5.0,1.0,,,,27.0,11.0,6.7,1.0,0.00402658,"{'original': 6.7, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,3.0,,,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Douglas Luiz,douglas-luiz,D. Luiz,M,12,175,11414,M,Douglas_Luiz,867887,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,894672000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوغلاس لويز', 'hi': 'डगलस लुइज़', 'bn': 'ডগলাস লুই'}, 'shortNameTranslation': {'ar': 'د. لويز', 'hi': 'डी. लुइज़', 'bn': 'ডি. লুইজ'}}",16.0,13.0,,,11.0,13.0,3.0,4.0,1.0,,,,75.0,30.0,6.0,8.0,0.0347644,"{'original': 6, 'alternative': 5.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,4.0,2.0,,1.0,1.0,1.0,1.0,,,2.0,2.0,,,,,,,,2.0,,1.0,1.0,,,,1.0,1.0,,,,,,,,,
Morgan Rogers,morgan-rogers,M. Rogers,M,27,187,12094,M,mrogers,948261,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1027641600,"{'value': 67000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مورغان روجرز', 'hi': 'मॉर्गन रोजर्स', 'bn': 'মরগান রজার্স'}, 'shortNameTranslation': {'ar': 'م. روجرز', 'hi': 'एम. रोजर्स', 'bn': 'এম. রজার্স'}}",24.0,16.0,1.0,1.0,11.0,13.0,5.0,11.0,6.0,,,,90.0,50.0,6.6,21.0,0.0687314,"{'original': 6.6, 'alternative': 6.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,13.0,3.0,2.0,4.0,5.0,1.0,,,,1.0,1.0,3.0,,,2.0,1.0,,0.0557,5.0,,,,1.0,1.0,0.2711,,,1.0,,,,,,,,
John McGinn,john-mcginn,J. McGinn,M,7,175,3796,M,,250223,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,782438400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جون ماكجين', 'hi': 'जॉन मैकगिन', 'bn': 'জন ম্যাকগিন'}, 'shortNameTranslation': {'ar': 'ج. ماكجين', 'hi': 'जे. मैकगिन', 'bn': 'জে. ম্যাকগিন'}}",17.0,12.0,4.0,2.0,8.0,9.0,4.0,9.0,3.0,,,,90.0,28.0,7.1,8.0,0.022676,"{'original': 7.1, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,5.0,5.0,2.0,1.0,,,,2.0,1.0,3.0,,1.0,,,2.0,,1.0,0.5196,1.0,,1.0,,,,,,,,,,,,,,,
