name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,duelLost,duelWon,dispossessed,totalContest,totalClearance,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,aerialWon,challengeLost,wonContest,shotOffTarget,blockedScoringAttempt,firstName,lastName,accurateCross,fouls,keyPass,errorLeadToAShot,goalAssist,totalOffside,sofascoreId,bigChanceMissed,bigChanceCreated,onTargetScoringAttempt,goals
Mark Flekken,mark-flekken,M. Flekken,G,1,194,2871,M,171919,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,739929600,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك فليكين', 'hi': 'मार्क फ्लेकेन', 'bn': 'মার্ক ফ্লেককেন'}, 'shortNameTranslation': {'ar': 'م. فليكين', 'hi': 'एम. फ्लेकेन', 'bn': 'এম. ফ্লেকেন'}}",43.0,41.0,14.0,12.0,36.0,36.0,5.0,7.0,6.0,1.0,2.0,4.0,90.0,53.0,7.5,2.0,0.0,0.0,0.00309482,"{'original': 7.5, 'alternative': 7.1}",0,-0.2479,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Hickey,hickey-aaron,A. Hickey,D,2,185,849,M,966869,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,1023667200,"{'value': 16500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هيكي، آرون', 'hi': 'हिक्की, आरोन', 'bn': 'হিকি, অ্যারন'}, 'shortNameTranslation': {'ar': 'آ. هيكي', 'hi': 'ए. हिक्की', 'bn': 'এ. হিকি'}}",51.0,47.0,5.0,4.0,27.0,28.0,20.0,25.0,6.0,,,,90.0,76.0,6.8,13.0,0.0,0.0,0.0146733,"{'original': 6.8, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,1.0,5.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,
Nathan Collins,nathan-collins,N. Collins,D,22,193,1469,M,958916,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,988588800,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان كولينز', 'hi': 'नाथन कोलिन्स', 'bn': 'নাথান কলিন্স'}, 'shortNameTranslation': {'ar': 'ن. كولينز', 'hi': 'एन. कोलिन्स', 'bn': 'এন. কলিন্স'}}",71.0,64.0,3.0,2.0,41.0,44.0,23.0,27.0,7.0,,,,90.0,79.0,6.9,8.0,0.0496,0.0,0.0662446,"{'original': 6.9, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,4.0,,1.0,,,2.0,,,,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,
Ethan Pinnock,ethan-pinnock,E. Pinnock,D,5,194,1038,M,855864,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,738633600,"{'value': 3700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيثان بينوك', 'hi': 'एथन पिनॉक', 'bn': 'ইথান পিনক'}, 'shortNameTranslation': {'ar': 'إ. بينوك', 'hi': 'ई. पिनॉक', 'bn': 'ই. পিনক'}}",79.0,69.0,6.0,4.0,51.0,56.0,18.0,23.0,4.0,,,,90.0,90.0,7.3,11.0,0.1758,0.0,0.0214031,"{'original': 7.3, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,2.0,6.0,,,2.0,1.0,2.0,1.0,,,1.0,4.0,1.0,,,1.0,,,,,,,,,,,,,
Rico Henry,rico-henry,R. Henry,D,3,175,689,M,599128,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,868320000,"{'value': 15900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريكو هنري', 'hi': 'रिको हेनरी', 'bn': 'রিকো হেনরি'}, 'shortNameTranslation': {'ar': 'ر. هنري', 'hi': 'आर. हेनरी', 'bn': 'আর. হেনরি'}}",48.0,40.0,5.0,2.0,29.0,31.0,12.0,21.0,4.0,,,,90.0,77.0,7.2,18.0,0.0631,0.0,0.0377402,"{'original': 7.2, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,1.0,5.0,6.0,3.0,2.0,1.0,3.0,,1.0,1.0,3.0,1.0,2.0,,2.0,1.0,,,,1.0,1.0,1.0,,,,,,,,
Mathias Jensen,mathias-jensen,M. Jensen,M,8,180,973,M,799251,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,820454400,"{'value': 12500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جينسين، ماتياس', 'hi': 'जेन्सेन, मैथियास', 'bn': 'জেনসেন, ম্যাথিয়াস'}, 'shortNameTranslation': {'ar': 'م. جينسين', 'hi': 'एम. जेन्सेन', 'bn': 'এম. জেনসেন'}}",41.0,34.0,6.0,4.0,22.0,24.0,13.0,19.0,5.0,,,,71.0,54.0,6.9,10.0,0.0,0.0,0.0670745,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,1.0,6.0,2.0,,,,1.0,,1.0,1.0,2.0,1.0,1.0,4.0,,,,,,1.0,1.0,2.0,1.0,,,,,,,
Christian Nørgaard,christian-norgaard,C. Nørgaard,M,16,185,8776,M,135256,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,763257600,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان نورغارد', 'hi': 'क्रिश्चियन नॉरगार्ड', 'bn': 'ক্রিশ্চিয়ান নরগার্ড'}, 'shortNameTranslation': {'ar': 'ك. نورغارد', 'hi': 'सी. नॉरगार्ड', 'bn': 'সি. নরগার্ড'}}",65.0,58.0,9.0,5.0,25.0,27.0,33.0,38.0,4.0,,,,90.0,82.0,7.1,11.0,0.0121,0.0,0.12127,"{'original': 7.1, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,4.0,11.0,6.0,3.0,,2.0,,,3.0,2.0,1.0,3.0,,2.0,,,1.0,,,,2.0,3.0,,1.0,,,,,,
Vitaly Janelt,vitaly-janelt,V. Janelt,M,27,184,1013,M,814873,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,894758400,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتالي جانيلت', 'hi': 'विटाली जेनेल्ट', 'bn': 'ভিটালি জেনেল্ট'}, 'shortNameTranslation': {'ar': 'ف. جانيلت', 'hi': 'वी. जेनेल्ट', 'bn': 'ভি. জেনেল্ট'}}",29.0,22.0,,,9.0,11.0,13.0,22.0,,,,,90.0,44.0,6.6,12.0,0.0418,0.0,0.0191374,"{'original': 6.6, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,,4.0,3.0,,1.0,1.0,,1.0,1.0,,,1.0,1.0,2.0,,,1.0,,,,1.0,,,,1.0,,,,,
Bryan Mbeumo,bryan-mbeumo,B. Mbeumo,M,19,173,89920,M,927083,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,933984000,"{'value': 73000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برايان مبيومو', 'hi': 'ब्रायन मबेउमो', 'bn': 'ব্রায়ান এমবেউমো'}, 'shortNameTranslation': {'ar': 'ب. مبيومو', 'hi': 'बी. मबेउमो', 'bn': 'বি. এমবেউমো'}}",35.0,25.0,4.0,2.0,7.0,8.0,22.0,36.0,1.0,,,,90.0,56.0,7.0,20.0,0.0356,0.0,0.25071,"{'original': 7, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,9.0,2.0,8.0,2.0,1.0,1.0,2.0,,,1.0,1.0,2.0,,1.0,2.0,,,1.0,,,4.0,2.0,2.0,,,,bryan_m19,,,,
Yoane Wissa,yoane-wissa,Y. Wissa,F,9,176,43905,M,805123,"{'alpha2': 'CD', 'alpha3': 'COD', 'name': 'DR Congo', 'slug': 'dr-congo'}",EUR,841708800,"{'value': 33000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوني ويسا', 'hi': 'योआने विस्सा', 'bn': 'জন উইসা'}, 'shortNameTranslation': {'ar': 'ي. ويسا', 'hi': 'वाई. विस्सा', 'bn': 'ওয়াই. উইসা'}}",15.0,9.0,,,3.0,3.0,6.0,12.0,5.0,,,,90.0,29.0,6.3,10.0,0.2731,0.0,0.00345787,"{'original': 6.3, 'alternative': 6.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,8.0,6.0,,1.0,,,,,,3.0,2.0,4.0,3.0,,2.0,,,,,1.0,,,,1.0,yowissa,1.0,,,
