name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,goalAssist,totalCross,accurateCross,aerialLost,duelLost,challengeLost,totalContest,bigChanceCreated,interceptionWon,totalTackle,wonTackle,fouls,totalOffside,keyPass,shotOffTarget,outfielderBlock,expectedGoals,firstName,lastName,unsuccessfulTouch,wonContest,dispossessed,sofascoreId,wasFouled,bigChanceMissed,onTargetScoringAttempt,goals,expectedGoalsOnTarget,blockedScoringAttempt
Bernd Leno,bernd-leno,B. Leno,G,1,190,2729,M,103335,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,699667200,"{'value': 7400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيرند لينو', 'hi': 'बर्न्ड लेनो', 'bn': 'বার্ন্ড লেনো'}, 'shortNameTranslation': {'ar': 'ب. لينو', 'hi': 'बी. लेनो', 'bn': 'বি. লেনো'}}",61.0,46.0,22.0,7.0,42.0,45.0,4.0,16.0,2.0,2.0,1.0,11.0,1.0,1.0,3.0,1.0,2.0,2.0,90.0,75.0,7.0,15.0,0.00232299,"{'original': 7, 'alternative': 6.9}",0,-0.0119,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timothy Castagne,timothy-castagne,T. Castagne,D,21,185,2324,M,329417,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,818121600,"{'value': 9500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيموثي كاستاني', 'hi': 'टिमोथी कास्टेग्ने', 'bn': 'টিমোথি কাস্টেন'}, 'shortNameTranslation': {'ar': 'ت. كاستاني', 'hi': 'टी. कास्टेग्ने', 'bn': 'টি. কাস্টেন'}}",62.0,48.0,5.0,2.0,36.0,45.0,13.0,20.0,3.0,4.0,1.0,5.0,,,,,,,90.0,75.0,7.0,17.0,0.460928,"{'original': 7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,
Issa Diop,issa-diop,I. Diop,D,31,194,855,M,825719,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,852768000,"{'value': 10300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'عيسى ديوب', 'hi': 'इस्सा डियोप', 'bn': 'ইসা ডিওপ'}, 'shortNameTranslation': {'ar': 'ع. ديوب', 'hi': 'आई. डियोप', 'bn': 'আই. ডিওপ'}}",80.0,69.0,6.0,2.0,60.0,67.0,9.0,13.0,2.0,4.0,5.0,3.0,,,,,,,90.0,93.0,7.3,11.0,0.0122799,"{'original': 7.3, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,1.0,,,,2.0,2.0,2.0,,,,1.0,2.0,0.0782,,,,,,,,,,,,
Calvin Bassey,calvin-bassey,C. Bassey,D,3,185,4536,M,861972,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,946598400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالفين باسي', 'hi': 'केल्विन बैसी', 'bn': 'ক্যালভিন বাসসি'}, 'shortNameTranslation': {'ar': 'ك. باسي', 'hi': 'सी. बैसी', 'bn': 'সি. বাসসি'}}",71.0,58.0,12.0,3.0,52.0,61.0,6.0,10.0,1.0,4.0,1.0,7.0,,,,,,,90.0,80.0,6.7,14.0,0.00120175,"{'original': 6.7, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,1.0,3.0,2.0,,,,,,,,,1.0,,,,,,,,,
Antonee Robinson,antonee-robinson,A. Robinson,D,33,183,2925,M,803174,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,870998400,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني روبنسون', 'hi': 'एंटोनी रॉबिन्सन', 'bn': 'অ্যান্টনি রবিনসন'}, 'shortNameTranslation': {'ar': 'أ. روبنسون', 'hi': 'ए. रॉबिन्सन', 'bn': 'এ. রবিনসন'}}",47.0,33.0,9.0,4.0,24.0,30.0,10.0,20.0,1.0,3.0,6.0,7.0,,,,,,,90.0,70.0,6.7,21.0,0.0319813,"{'original': 6.7, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,1.0,3.0,8.0,5.0,1.0,,2.0,1.0,1.0,,,,,,,,,3.0,1.0,,,,,,,,
Harrison Reed,harrison-reed,H. Reed,M,6,176,269,M,365802,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,791164800,"{'value': 3200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاريسون ريد', 'hi': 'हैरिसन रीड', 'bn': 'হ্যারিসন রিড'}, 'shortNameTranslation': {'ar': 'ه. ريد', 'hi': 'एच. रीड', 'bn': 'এইচ. রিড'}}",43.0,37.0,1.0,,25.0,29.0,12.0,14.0,,2.0,1.0,7.0,,,,,,,85.0,53.0,7.0,9.0,0.00697717,"{'original': 7, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,,1.0,3.0,1.0,,,,2.0,2.0,,,,1.0,,0.0576,,,2.0,,1.0,,,,,,,
João Palhinha,joao-palhinha,J. Palhinha,M,6,189,16675,M,364612,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,805248000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو بالينيا', 'hi': 'जोआओ पालहिन्हा', 'bn': 'জোয়াও পালহিনহা'}, 'shortNameTranslation': {'ar': 'ج. بالينيا', 'hi': 'जे. पालहिन्हा', 'bn': 'জে. পলহিনহা'}}",46.0,37.0,4.0,,20.0,22.0,17.0,24.0,1.0,7.0,5.0,12.0,,,,,,,69.0,63.0,7.0,13.0,0.107485,"{'original': 7, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,8.0,,1.0,1.0,1.0,5.0,3.0,3.0,,1.0,,,,,,,,3.0,Palhinha,1.0,,,,,
Bobby Decordova-Reid,bobby-decordova-reid,B. Reid,M,14,170,1202,M,151499,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,728611200,"{'value': 1400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوبي ديكوردوفا-ريد', 'hi': 'बॉबी डेकोर्डोवा-रीड', 'bn': 'ববি ডেকোরডোভা-রিড'}, 'shortNameTranslation': {'ar': 'ب. ريد', 'hi': 'बी. डेकोर्डोवा-रीड', 'bn': 'বি. রিড'}}",10.0,7.0,,,2.0,3.0,5.0,7.0,,3.0,1.0,2.0,,,,,,,68.0,25.0,6.7,8.0,0.0713414,"{'original': 6.7, 'alternative': 6.6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,2.0,5.0,1.0,1.0,,1.0,2.0,2.0,1.0,,,3.0,,0.2084,,,3.0,,,,1.0,1.0,,,,
Andreas Pereira,andreas-pereira,A. Pereira,M,18,177,13772,M,285949,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,820454400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}, 'shortNameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}}",23.0,17.0,5.0,1.0,6.0,8.0,12.0,20.0,,4.0,,5.0,,,,,,,85.0,37.0,7.0,13.0,0.0986656,"{'original': 7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,5.0,1.0,3.0,5.0,1.0,1.0,1.0,,1.0,1.0,,,2.0,,,,,,2.0,,,andreaspereira,3.0,,,,,
Alex Iwobi,alex-iwobi,A. Iwobi,M,17,183,7053,M,352770,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,831081600,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكس إيووبي', 'hi': 'एलेक्स इवोबी', 'bn': 'অ্যালেক্স ইওবি'}, 'shortNameTranslation': {'ar': 'أ. إيووبي', 'hi': 'ए. इवोबी', 'bn': 'এ. ইওবি'}}",33.0,25.0,5.0,2.0,12.0,15.0,13.0,19.0,1.0,4.0,,3.0,,,,,,,90.0,44.0,6.7,13.0,0.0232201,"{'original': 6.7, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,,2.0,6.0,1.0,1.0,,,2.0,2.0,2.0,,1.0,,,,,,2.0,,1.0,alexanderiwobi,1.0,,,,,
