name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,shotOffTarget,blockedScoringAttempt,totalClearance,interceptionWon,totalTackle,fouls,expectedGoals,keyPass,accurateCross,aerialLost,dispossessed,outfielderBlock,wonTackle,unsuccessfulTouch,wasFouled,onTargetScoringAttempt,expectedGoalsOnTarget,goals,bigChanceCreated,bigChanceMissed,crossNotClaimed,goodHighClaim,punches,totalOffside,goalAssist
Ederson,ederson,Ederson,G,31,188.0,51284,M,Ederson93,254491,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,745545600,"{'value': 16600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيدرسون', 'hi': 'एडरसन', 'bn': 'এডারসন'}, 'shortNameTranslation': {'ar': 'إيدرسون', 'hi': 'एडरसन', 'bn': 'এডারসন'}}",34.0,30.0,8.0,5.0,27.0,29.0,3.0,5.0,9.0,4.0,5.0,1.0,1.0,90.0,45.0,7.5,4.0,0.00052142,"{'original': 7.5, 'alternative': 7.3}",0,1.5365,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Walker,kyle-walker,K. Walker,D,2,183.0,28997,M,KyleWalker2,44614,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,643852800,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كايل ووكر', 'hi': 'काइल वाकर', 'bn': 'কাইল ওয়াকার'}, 'shortNameTranslation': {'ar': 'ك. ووكر', 'hi': 'के. वाकर', 'bn': 'কে. ওয়াকার'}}",60.0,57.0,2.0,1.0,18.0,19.0,39.0,44.0,2.0,,,,,90.0,82.0,7.2,7.0,0.0483503,"{'original': 7.2, 'alternative': 7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,3.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,0.057,1.0,,,,,,,,,,,,,,,,,
Manuel Akanji,manuel-akanji,M. Akanji,D,25,187.0,23614,M,manuel_akanji,383560,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,806112000,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مانويل أكانجي', 'hi': 'मैनुअल अकांजी', 'bn': 'ম্যানুয়েল আকানজি'}, 'shortNameTranslation': {'ar': 'م. أكانجي', 'hi': 'एम. अकांजी', 'bn': 'এম. আকানজি'}}",66.0,63.0,2.0,2.0,28.0,28.0,36.0,39.0,6.0,,,,,90.0,78.0,7.0,6.0,0.0684052,"{'original': 7, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,,4.0,3.0,,,,,,1.0,1.0,1.0,,,,1.0,2.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,
Rúben Dias,ruben-dias,R. Dias,D,3,188.0,40658,M,RúbenD,318941,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,863568000,"{'value': 65000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روبن دياز', 'hi': 'रुबेन डियास', 'bn': 'রুবেন ডায়াস'}, 'shortNameTranslation': {'ar': 'ر. دياز', 'hi': 'आर. डियास', 'bn': 'আর. ডায়াস'}}",105.0,101.0,5.0,4.0,46.0,47.0,55.0,58.0,5.0,,,,,90.0,118.0,7.3,4.0,0.0373462,"{'original': 7.3, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,2.0,5.0,5.0,,,,,,4.0,,3.0,2.0,0.0765,,,3.0,,,1.0,,,1.0,0.0263,,,,,,,,
Nathan Aké,nathan-ake,N. Aké,D,6,180.0,21377,M,nathanake,149663,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,793065600,"{'value': 16399999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان آكي', 'hi': 'नाथन एके', 'bn': 'নাথান আকে'}, 'shortNameTranslation': {'ar': 'ن. آكي', 'hi': 'एन. एके', 'bn': 'এন. আকে'}}",97.0,91.0,3.0,1.0,29.0,32.0,63.0,67.0,6.0,,,,,90.0,111.0,7.6,9.0,0.137155,"{'original': 7.6, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,1.0,2.0,3.0,,1.0,,,,1.0,1.0,,,,2.0,1.0,1.0,,,,1.0,3.0,,,,,,,,,,
Rodri,rodri,Rodri,M,16,191.0,93944,M,Rodri,827606,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,835401600,"{'value': 68000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رودري', 'hi': 'रोड्री', 'bn': 'রডরি'}, 'shortNameTranslation': {'ar': 'رودري', 'hi': 'रोड्री', 'bn': 'রডরি'}}",93.0,82.0,5.0,3.0,24.0,26.0,58.0,68.0,4.0,,,,,90.0,118.0,8.5,15.0,0.131581,"{'original': 8.5, 'alternative': 7.8}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,2.0,6.0,11.0,,2.0,2.0,1.0,3.0,,,3.0,,0.2867,1.0,,3.0,3.0,,3.0,,4.0,1.0,0.1505,1.0,,,,,,,
Phil Foden,phil-foden,P. Foden,M,47,171.0,188988,M,Foden,859765,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,959472000,"{'value': 76000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيل فودين', 'hi': 'फिल फोडेन', 'bn': 'ফিল ফোডেন'}, 'shortNameTranslation': {'ar': 'ف. فودين', 'hi': 'पी. फोडेन', 'bn': 'পি. ফোডেন'}}",55.0,51.0,4.0,4.0,7.0,8.0,46.0,52.0,4.0,,,,,90.0,76.0,7.5,12.0,0.346461,"{'original': 7.5, 'alternative': 7.2}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,5.0,,6.0,4.0,,1.0,,,3.0,,1.0,3.0,,0.1575,2.0,2.0,1.0,4.0,,1.0,,1.0,,,,1.0,,,,,,
Kevin De Bruyne,kevin-de-bruyne,K. De Bruyne,M,11,181.0,335100,M,KDB,70996,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,678067200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيفن دي بروين', 'hi': 'केविन डी ब्रूने', 'bn': 'কেভিন ডি ব্রুইন'}, 'shortNameTranslation': {'ar': 'ك. دي بروين', 'hi': 'के. डी ब्रूने', 'bn': 'কে. ডি ব্রুইন'}}",64.0,51.0,4.0,3.0,4.0,5.0,55.0,81.0,3.0,,,,,90.0,100.0,8.2,32.0,0.550194,"{'original': 8.2, 'alternative': 8.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,22.0,,4.0,2.0,1.0,2.0,1.0,1.0,,1.0,,,,0.053,8.0,8.0,,2.0,,,2.0,1.0,,,,1.0,,,,,,
Julián Alvarez,julian-alvarez,J. Álvarez,F,19,170.0,228751,M,LaAraña,944656,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,949276800,"{'value': 97000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوليان ألفاريز', 'hi': 'जूलियन अल्वारेज़', 'bn': 'জুলিয়ান আলভারেজ'}, 'shortNameTranslation': {'ar': 'ج. ألفاريز', 'hi': 'जे. अल्वारेज़', 'bn': 'জে. আলভারেজ'}}",42.0,40.0,1.0,1.0,11.0,12.0,30.0,32.0,7.0,,,,,64.0,60.0,7.4,7.0,0.167819,"{'original': 7.4, 'alternative': 7.1}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,,5.0,1.0,1.0,,,2.0,3.0,,,1.0,,0.3022,4.0,1.0,2.0,2.0,,,2.0,,,,,1.0,,,,,,
Jérémy Doku,jeremy-doku,J. Doku,M,11,173.0,68596,M,Dokss,934386,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,1022457600,"{'value': 60000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيريمي دوكو', 'hi': 'जेरेमी डोकू', 'bn': 'জেরেমি ডকু'}, 'shortNameTranslation': {'ar': 'ج. دوكو', 'hi': 'जे. डोकू', 'bn': 'জে. ডকু'}}",66.0,57.0,,,7.0,8.0,52.0,65.0,3.0,,,,,90.0,102.0,7.4,27.0,0.443478,"{'original': 7.4, 'alternative': 6.6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,7.0,1.0,13.0,7.0,,10.0,3.0,1.0,1.0,,,2.0,2.0,0.097,3.0,2.0,,4.0,,2.0,1.0,1.0,1.0,0.0552,,,,,,,,
Erling Haaland,erling-haaland,E. Haaland,F,9,194.0,807088,M,EHaaland,839956,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,964137600,"{'value': 218000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيرلينغ هالاند', 'hi': 'एर्लिंग हालैंड', 'bn': 'এরলিং হালান্ড'}, 'shortNameTranslation': {'ar': 'إ. هالاند', 'hi': 'ई. हालैंड', 'bn': 'ই. হালান্ড'}}",12.0,9.0,,,4.0,5.0,5.0,7.0,1.0,,,,,90.0,27.0,6.4,7.0,0.0197039,"{'original': 6.4, 'alternative': 6.2}",9,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,4.0,3.0,5.0,,,,5.0,2.0,,,1.0,1.0,1.5846,2.0,,1.0,1.0,,,3.0,,2.0,0.1822,,,3.0,,,,,
Bernardo Silva,bernardo-silva,B. Silva,M,20,173.0,65986,M,BSilva,331209,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,776476800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيرناردو سيلفا', 'hi': 'बर्नार्डो सिल्वा', 'bn': 'বার্নার্ডো সিলভা'}, 'shortNameTranslation': {'ar': 'ب. سيلفا', 'hi': 'बी. सिल्वा', 'bn': 'বি. সিলভা'}}",17.0,15.0,2.0,2.0,4.0,4.0,12.0,17.0,1.0,,,,,26.0,25.0,6.9,6.0,0.438096,"{'original': 6.9, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,4.0,,2.0,,,,,1.0,1.0,,,,1.0,0.0793,2.0,1.0,1.0,,,,1.0,,,,,,,,,,,
Stefan Ortega,stefan-ortega,S. Ortega,G,18,186.0,10750,M,stefan.ortega1,125274,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,721008000,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ستيفان أورتيغا', 'hi': 'स्टीफन ऑर्टेगा', 'bn': 'স্টেফান ওর্তেগা'}, 'shortNameTranslation': {'ar': 'س. أورتيغا', 'hi': 'एस. ऑर्टेगा', 'bn': 'এস. ওর্তেগা'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
