name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,errorLeadToAGoal,unsuccessfulTouch,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,sofascoreId,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,totalTackle,wonTackle,keyPass,dispossessed,shotOffTarget,onTargetScoringAttempt,outfielderBlock,wasFouled,fouls,penaltyWon,expectedGoals,expectedGoalsOnTarget,clearanceOffLine,interceptionWon,wonContest,blockedScoringAttempt,goals,penaltyFaced,penaltyConceded,totalOffside,bigChanceCreated,goalAssist,bigChanceMissed
Martin Dúbravka,,,martin-dubravka,M. Dúbravka,G,1,190,3025,M,42209,"{'alpha2': 'SK', 'alpha3': 'SVK', 'name': 'Slovakia', 'slug': 'slovakia'}",EUR,600825600,"{'value': 725000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارتن دوبرافكا', 'hi': 'मार्टिन डुब्राव्का', 'bn': 'মার্টিন ডুব্রাভকা'}, 'shortNameTranslation': {'ar': 'م. دوبرافكا', 'hi': 'एम. डुब्राव्का', 'bn': 'এম. ডুব্রাভকা'}}",27.0,21.0,11.0,5.0,19.0,22.0,2.0,5.0,3.0,4.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,90.0,39.0,6.6,7.0,0.00020251,"{'original': 6.6, 'alternative': 6.1}",0,0.6187,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kieran Trippier,,,kieran-trippier,K. Trippier,D,2,174,8611,M,69256,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,653702400,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيران تريبيير', 'hi': 'किरन ट्रिप्पियर', 'bn': 'কাইরান ট্রিপিয়ার'}, 'shortNameTranslation': {'ar': 'ك. تريبيير', 'hi': 'के.ट्रिप्पियर', 'bn': 'কে. ট্রিপিয়ার'}}",58.0,39.0,10.0,4.0,24.0,29.0,17.0,38.0,1.0,9.0,,1.0,,,,,,90.0,83.0,6.6,28.0,0.405471,"{'original': 6.6, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,ktrippier2,9.0,2.0,3.0,1.0,5.0,4.0,1.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
Fabian Schär,,,fabian-schar,F. Schär,D,5,186,3205,M,101882,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,693187200,"{'value': 5800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فابيان شار', 'hi': 'फेबियन शार', 'bn': 'ফ্যাবিয়ান শার'}, 'shortNameTranslation': {'ar': 'ف. شار', 'hi': 'एफ. शार', 'bn': 'এফ. শার'}}",61.0,51.0,11.0,8.0,28.0,31.0,24.0,31.0,1.0,6.0,,1.0,,,,,,90.0,73.0,7.2,12.0,0.104198,"{'original': 7.2, 'alternative': 6.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,1.0,5.0,3.0,10.0,6.0,1.0,,,,,1.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0575,0.0469,,,,,,,,,,,
Sven Botman,,,sven-botman,S. Botman,D,4,193,3367,M,910046,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,947635200,"{'value': 33000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سفين بوتمان', 'hi': 'स्वेन बोटमैन', 'bn': 'সোভেন বটম্যান'}, 'shortNameTranslation': {'ar': 'س. بوتمان', 'hi': 'एस. बोटमैन', 'bn': 'এস. বটম্যান'}}",56.0,46.0,3.0,1.0,37.0,44.0,9.0,12.0,4.0,5.0,,2.0,,,,,,90.0,69.0,7.1,12.0,0.00457404,"{'original': 7.1, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,2.0,3.0,4.0,1.0,,2.0,1.0,,,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,
Dan Burn,,,dan-burn,D. Burn,D,33,201,4399,M,99090,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,705369600,"{'value': 5200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دان بيرن', 'hi': 'डैन बर्न', 'bn': 'ড্যান বার্ন'}, 'shortNameTranslation': {'ar': 'د. بيرن', 'hi': 'डी. बर्न', 'bn': 'ডি বার্ন'}}",32.0,20.0,,,15.0,21.0,5.0,11.0,3.0,3.0,,2.0,,,,,,71.0,48.0,6.8,15.0,0.00248538,"{'original': 6.8, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,4.0,1.0,6.0,,,2.0,2.0,,,1.0,,,,,,0.066,,,,,,,,,,,,
Sean Longstaff,,,sean-longstaff,S. Longstaff,M,8,187,1640,M,866191,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,878169600,"{'value': 17200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'شون لونغستاف', 'hi': 'सीन लॉन्गस्टाफ़', 'bn': 'শন লংস্টাফ'}, 'shortNameTranslation': {'ar': 'ش. لونغستاف', 'hi': 'एस. लॉन्गस्टाफ़', 'bn': 'এস. লংস্টাফ'}}",45.0,40.0,4.0,1.0,20.0,21.0,20.0,24.0,,2.0,,,,,,,,90.0,52.0,6.9,5.0,0.0581921,"{'original': 6.9, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,2.0,,3.0,3.0,1.0,,1.0,1.0,2.0,,,,,2.0,,,,,,,,,,,,,,,
Bruno Guimarães,,,bruno-guimaraes,B. Guimarães,M,39,182,31656,M,866469,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,879638400,"{'value': 77000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برونو غيماريش', 'hi': 'ब्रूनो गीमरेस', 'bn': 'ব্রুনো গুইমারেস'}, 'shortNameTranslation': {'ar': 'ب. غيمارايش', 'hi': 'बी. गीमरेस', 'bn': 'বি. গুইমারেস'}}",56.0,44.0,3.0,1.0,16.0,19.0,29.0,38.0,1.0,5.0,,,,,,,,90.0,81.0,6.9,20.0,0.285208,"{'original': 6.9, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,BrunoGuimarães,1.0,1.0,,2.0,8.0,8.0,,5.0,,,3.0,5.0,,1.0,,4.0,,,0.0444,0.0851,,2.0,2.0,1.0,,,,,,,
Lewis Miley,Lewis Miley,,lewis-miley,L. Miley,M,67,188,3070,M,1400650,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1146441600,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس مايلي', 'hi': 'लुईस माइली', 'bn': 'লুইস মাইলি'}, 'shortNameTranslation': {'ar': 'ل. مايلي', 'hi': 'एल. माइली', 'bn': 'এল. মাইলি'}}",52.0,40.0,5.0,3.0,18.0,23.0,22.0,29.0,1.0,9.0,,3.0,,,,,,89.0,74.0,7.5,17.0,0.023686,"{'original': 7.5, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,3.0,3.0,12.0,1.0,2.0,6.0,5.0,1.0,2.0,,,,1.0,,,,,,2.0,2.0,,,,,,,,
Miguel Almirón,,,miguel-almiron,M. Almirón,M,10,174,8455,M,333373,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,760838400,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميغيل ألميرون', 'hi': 'मिगुएल अल्मिरोन', 'bn': 'মিগুয়েল আলমিরন'}, 'shortNameTranslation': {'ar': 'م. ألميرون', 'hi': 'एम. अल्मिरोन', 'bn': 'এম. আলমিরন'}}",23.0,20.0,,,5.0,5.0,16.0,21.0,,3.0,,4.0,,,,,,89.0,45.0,7.8,10.0,0.239068,"{'original': 7.8, 'alternative': 7.6}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,miguel_almiron,3.0,1.0,2.0,,3.0,6.0,,3.0,,,1.0,,4.0,,,3.0,1.0,,0.251,,,,3.0,,,,,,,,
Anthony Gordon,,,gordon-anthony,A. Gordon,F,10,183,15531,M,914902,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,982972800,"{'value': 62000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غوردون، أنتوني', 'hi': 'गॉर्डन, एंथनी', 'bn': 'গর্ডন, অ্যান্টনি'}, 'shortNameTranslation': {'ar': 'أ. غوردون', 'hi': 'ए. गॉर्डन', 'bn': 'এ. গর্ডন'}}",20.0,16.0,1.0,,7.0,8.0,9.0,12.0,,4.0,,3.0,,,,,,90.0,40.0,7.4,12.0,0.0280432,"{'original': 7.4, 'alternative': 7.2}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,AGordon,,,,,7.0,4.0,,5.0,,,3.0,2.0,1.0,2.0,,2.0,2.0,,1.0632,1.0251,,,2.0,1.0,1.0,,,,,,
