name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,totalClearance,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,aerialLost,keyPass,sofascoreId,shotOffTarget,lastManTackle,expectedGoals,accurateCross,goalAssist,bigChanceCreated,blockedScoringAttempt,onTargetScoringAttempt,expectedGoalsOnTarget,bigChanceMissed,goals,totalOffside,punches
Matz Sels,matz-sels,M. Sels,G,26,188,2453,M,78152,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,699062400,"{'value': 6300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماتس سيلس', 'hi': 'मैट्ज़ सेल्स', 'bn': 'ম্যাটজ সেলস'}, 'shortNameTranslation': {'ar': 'م. سيلس', 'hi': 'एम. सेल्स', 'bn': 'এম. সেলস'}}",16.0,10.0,8.0,2.0,9.0,9.0,1.0,7.0,6.0,2.0,3.0,90.0,25.0,7.2,6.0,0.00012763,"{'original': 7.2, 'alternative': 7.4}",0,0.2051,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neco Williams,williams-neco,N. Williams,D,3,183,3163,M,927356,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,987120000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويليامز، نيكو', 'hi': 'विलियम्स, नेको', 'bn': 'উইলিয়ামস, নেকো'}, 'shortNameTranslation': {'ar': 'ن. ويليامز', 'hi': 'एन. विलियम्स', 'bn': 'এন. উইলিয়ামস'}}",29.0,24.0,3.0,1.0,12.0,15.0,12.0,15.0,6.0,,,90.0,61.0,7.0,19.0,0.00498054,"{'original': 7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,1.0,6.0,8.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,
Felipe,felipe,Felipe,D,,191,782,M,242211,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,611280000,,"{'nameTranslation': {'ar': 'فيليبي', 'hi': 'फेलिप', 'bn': 'ফিলিপ'}, 'shortNameTranslation': {'ar': 'فيليبي', 'hi': 'फेलिप', 'bn': 'ফিলিপ'}}",38.0,33.0,6.0,4.0,24.0,26.0,9.0,12.0,2.0,,,90.0,47.0,6.9,8.0,0.0207722,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,2.0,4.0,5.0,,1.0,1.0,,1.0,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
Murillo,murillo,Murillo,D,5,180,9796,M,1199282,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,1025740800,"{'value': 53000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}, 'shortNameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}}",46.0,29.0,15.0,6.0,22.0,31.0,7.0,15.0,6.0,,,90.0,58.0,7.2,17.0,0.0115315,"{'original': 7.2, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,Murillo,,,,2.0,2.0,,,,,6.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,murillosantiago40,1.0,1.0,0.2605,,,,,,,,,,
Nuno Tavares,nuno-tavares,N. Tavares,D,17,185,4988,M,944973,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,948844800,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نونو تافاريس', 'hi': 'नूनो तवारेस', 'bn': 'নুনো টাভারেস'}, 'shortNameTranslation': {'ar': 'ن. تافاريس', 'hi': 'एन. तवारेस', 'bn': 'এন. টাভারেস'}}",50.0,41.0,4.0,1.0,19.0,25.0,23.0,30.0,7.0,,,90.0,88.0,7.4,19.0,0.190255,"{'original': 7.4, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,5.0,1.0,4.0,5.0,,1.0,,,4.0,,1.0,3.0,1.0,2.0,1.0,3.0,,1.0,nuno_tavares71,2.0,,0.041,1.0,,,,,,,,,
Nicolás Domínguez,nicolas-dominguez,N. Domínguez,M,16,179,3140,M,871765,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,898992000,"{'value': 14700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيكولاس دومينغيز', 'hi': 'निकोलस डोमिन्ग्यूज़', 'bn': 'নিকোলাস ডোমিংগুয়েজ'}, 'shortNameTranslation': {'ar': 'ن. دومينغيز', 'hi': 'एन. डोमिन्ग्यूज़', 'bn': 'এন. ডোমিঙ্গুয়েজ'}}",46.0,43.0,3.0,3.0,24.0,25.0,19.0,21.0,6.0,,,86.0,57.0,7.4,3.0,0.136739,"{'original': 7.4, 'alternative': 7.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,3.0,6.0,1.0,,,,1.0,,,6.0,1.0,,,2.0,,1.0,,,,0.0743,,1.0,1.0,1.0,,,,,,
Danilo,danilo,Danilo,M,35,177,4572,M,1064039,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,988502400,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانيلو', 'hi': 'डेनिलो', 'bn': 'দানিলো'}, 'shortNameTranslation': {'ar': 'دانيلو', 'hi': 'डेनिलो', 'bn': 'দানিলো'}}",51.0,45.0,4.0,4.0,21.0,22.0,24.0,29.0,7.0,,,90.0,66.0,7.5,8.0,0.028803,"{'original': 7.5, 'alternative': 7.4}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,4.0,3.0,3.0,,,,4.0,2.0,,2.0,,1.0,,1.0,1.0,,Danilo,1.0,,0.2509,,,,1.0,2.0,0.0713,,,,
Anthony Elanga,anthony-elanga,A. Elanga,M,20,178,10539,M,979232,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,1019865600,"{'value': 48000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني إلانغا', 'hi': 'एंथनी एलंगा', 'bn': 'অ্যান্টনি এলাঙ্গা'}, 'shortNameTranslation': {'ar': 'أ. إلانغا', 'hi': 'ए. एलंगा', 'bn': 'এ. এলাঙ্গা'}}",33.0,28.0,1.0,,9.0,11.0,19.0,23.0,5.0,,,90.0,46.0,7.3,10.0,0.395652,"{'original': 7.3, 'alternative': 7.1}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,,2.0,2.0,1.0,,1.0,,1.0,,,2.0,,3.0,,,,4.0,anthonyelanga,2.0,,0.9836,,1.0,1.0,,2.0,0.1478,2.0,,,
Morgan Gibbs-White,morgan-gibbs-white,M. Gibbs-White,M,10,171,6717,M,865912,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,948931200,"{'value': 62000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مورغان غيبز-وايت', 'hi': 'मॉर्गन गिब्स-व्हाइट', 'bn': 'মরগান গিবস-হোয়াইট'}, 'shortNameTranslation': {'ar': 'م. غيبز-وايت', 'hi': 'एम. गिब्स-व्हाइट', 'bn': 'এম. গিবস-হোয়াইট'}}",39.0,33.0,1.0,,10.0,11.0,24.0,32.0,6.0,,,89.0,60.0,6.8,17.0,0.218287,"{'original': 6.8, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,4.0,,9.0,3.0,,3.0,3.0,1.0,,,1.0,,,3.0,2.0,1.0,3.0,2.0,Morgangibbs27,,,0.1656,1.0,,,,1.0,0.0285,,,,
Callum Hudson-Odoi,callum-hudson-odoi,C. Hudson-Odoi,M,7,177,9379,M,867442,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,973555200,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالوم هادسون أودوي', 'hi': 'कैलम हडसन-ओडोई', 'bn': 'ক্যালাম হাডসন-ওডোই'}, 'shortNameTranslation': {'ar': 'ك. هودسون أودوي', 'hi': 'सी. हडसन-ओडोई', 'bn': 'সি. হাডসন-ওডোই'}}",40.0,34.0,2.0,,10.0,13.0,25.0,30.0,5.0,,,90.0,57.0,8.4,12.0,0.28495,"{'original': 8.4, 'alternative': 8.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,,3.0,6.0,1.0,,2.0,1.0,,,,2.0,1.0,3.0,3.0,1.0,,4.0,Calteck10,,,0.3792,1.0,,2.0,1.0,1.0,0.769,,1.0,,
