name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,sofascoreId,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalContest,wonContest,bigChanceMissed,onTargetScoringAttempt,totalClearance,interceptionWon,totalTackle,unsuccessfulTouch,fouls,expectedGoals,expectedGoalsOnTarget,outfielderBlock,wonTackle,wasFouled,keyPass,challengeLost,goals,bigChanceCreated,shotOffTarget,blockedScoringAttempt,totalOffside,firstName,lastName,errorLeadToAShot
José Sá,jose-sa,J. Sá,G,1,192.0,3995,M,252669,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,727228800,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوزيه سا', 'hi': 'जोस सा', 'bn': 'জোসে সা'}, 'shortNameTranslation': {'ar': 'ج. سا', 'hi': 'जे. सा', 'bn': 'জে. সা'}}",34.0,22.0,17.0,5.0,0.0,18.0,21.0,4.0,13.0,5.0,1.0,4.0,5.0,1.0,1.0,90.0,41.0,7.4,12.0,0.00045218,"{'original': 7.4, 'alternative': 7.4}",0,-0.0364,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nélson Semedo,nelson-semedo,N. Semedo,M,27,177.0,7468,M,252821,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,753408000,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيلسون سيميدو', 'hi': 'नेल्सन सेमेदो', 'bn': 'নেলসন সেমেডো'}, 'shortNameTranslation': {'ar': 'ن. سيميدو', 'hi': 'एन. सेमेदो', 'bn': 'এন. সেমিডো'}}",64.0,57.0,6.0,3.0,0.0,37.0,37.0,21.0,31.0,3.0,,,,,,90.0,86.0,6.7,15.0,0.0092058,"{'original': 6.7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,nelsonsemedo50,4.0,1.0,1.0,1.0,8.0,6.0,3.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,0.3077,0.1161,,,,,,,,,,,,,
Max Kilman,max-kilman,M. Kilman,D,3,192.0,1235,M,894474,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,864345600,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكس كيلمان', 'hi': 'मैक्स किलमन', 'bn': 'ম্যাক্স কিলম্যান'}, 'shortNameTranslation': {'ar': 'م. كيلمان', 'hi': 'एम. किलमन', 'bn': 'এম. কিলম্যান'}}",84.0,79.0,8.0,4.0,0.0,61.0,63.0,18.0,21.0,4.0,,,,,,90.0,93.0,7.2,5.0,0.00659066,"{'original': 7.2, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,,,2.0,1.0,6.0,,,,,,3.0,,3.0,,1.0,,,1.0,2.0,1.0,1.0,,,,,,,,,
Toti Gomes,toti-gomes,T. Gomes,D,24,187.0,1089,M,973418,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,916444800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توتي غوميس', 'hi': 'टोटी गोम्स', 'bn': 'টোটি গোমস'}, 'shortNameTranslation': {'ar': 'ت. غوميس', 'hi': 'टी. गोम्स', 'bn': 'টি. গোমেজ'}}",75.0,67.0,9.0,4.0,0.0,52.0,57.0,15.0,18.0,7.0,,,,,,90.0,91.0,7.4,11.0,0.00491445,"{'original': 7.4, 'alternative': 7.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,3.0,5.0,7.0,7.0,1.0,,,,2.0,4.0,,1.0,1.0,,0.4371,0.3877,,,1.0,,3.0,1.0,,,,,,,
Matt Doherty,matt-doherty,M. Doherty,D,2,182.0,1503,M,143047,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,695520000,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مات دوهيرتي', 'hi': 'मैट डोहर्टी', 'bn': 'ম্যাট ডোহার্টি'}, 'shortNameTranslation': {'ar': 'م. دوهيرتي', 'hi': 'एम. डोहर्टी', 'bn': 'এম. ডোহার্টি'}}",57.0,51.0,6.0,4.0,0.0,33.0,36.0,18.0,24.0,3.0,,,,,,90.0,81.0,7.5,9.0,0.00998991,"{'original': 7.5, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,,1.0,1.0,2.0,7.0,,1.0,1.0,,,3.0,1.0,2.0,,,,,,2.0,3.0,1.0,1.0,,1.0,,,,,,
João Gomes,joao-gomes,J. Gomes,M,8,176.0,15514,M,1015267,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,981936000,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو غوميش', 'hi': 'जोआओ गोम्स', 'bn': 'জোয়াও গোমেস'}, 'shortNameTranslation': {'ar': 'جواو غوميش', 'hi': 'जोआओ गोम्स', 'bn': 'জোয়াও গোমেস'}}",56.0,47.0,4.0,1.0,0.0,21.0,24.0,27.0,34.0,7.0,,,,,,90.0,68.0,6.6,13.0,0.115181,"{'original': 6.6, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,joaogomes.01,2.0,1.0,,,5.0,3.0,1.0,,,,,1.0,,1.0,2.0,2.0,0.038,,,1.0,2.0,1.0,2.0,,,1.0,,,,,
Mario Lemina,mario-lemina,M. Lemina,M,99,184.0,8485,M,307284,"{'alpha2': 'GA', 'alpha3': 'GAB', 'name': 'Gabon', 'slug': 'gabon'}",EUR,746841600,"{'value': 6400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماريو ليمينا', 'hi': 'मारियो लेमिना', 'bn': 'মারিও লেমিনা'}, 'shortNameTranslation': {'ar': 'م. ليمينا', 'hi': 'एम. लेमिना', 'bn': 'এম. লেমিনা'}}",78.0,70.0,11.0,5.0,1.0,49.0,50.0,22.0,29.0,8.0,,,,,,90.0,97.0,7.9,13.0,0.383058,"{'original': 7.9, 'alternative': 8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,1.0,1.0,1.0,4.0,7.0,1.0,4.0,2.0,,,1.0,1.0,2.0,1.0,,0.0583,,,,2.0,2.0,,,2.0,2.0,,,,,
Boubacar Traoré,boubacar-traore,B. Traoré,M,8,183.0,1017,M,982613,"{'alpha2': 'ML', 'alpha3': 'MLI', 'name': 'Mali', 'slug': 'mali'}",EUR,998265600,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوبكر تراوري', 'hi': 'बौबाकर ट्रैओरे', 'bn': 'বউবাকার ট্রাওরে'}, 'shortNameTranslation': {'ar': 'ب. تراوري', 'hi': 'बी. ट्रैओरे', 'bn': 'বি. ট্রাওরে'}}",41.0,35.0,2.0,2.0,0.0,23.0,28.0,12.0,14.0,5.0,,,,,,90.0,63.0,6.7,12.0,0.00304892,"{'original': 6.7, 'alternative': 6.8}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,,3.0,,10.0,8.0,4.0,1.0,1.0,,,1.0,,6.0,1.0,2.0,0.1304,,,2.0,1.0,2.0,1.0,,,1.0,2.0,,,,
Rayan Aït-Nouri,rayan-ait-nouri,R. A. Nouri,M,21,179.0,39814,M,931278,"{'alpha2': 'DZ', 'alpha3': 'DZA', 'name': 'Algeria', 'slug': 'algeria'}",EUR,991785600,"{'value': 39000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان آيت نوري', 'hi': 'रेयान ऐत नूरी', 'bn': 'রায়ান আইত নুরী'}, 'shortNameTranslation': {'ar': 'ر. أ. نوري', 'hi': 'आर. ऐ. नूरी', 'bn': 'আর. এ. নুরী'}}",56.0,52.0,3.0,1.0,0.0,34.0,37.0,18.0,20.0,5.0,,,,,,85.0,82.0,6.8,11.0,0.0118699,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,r_aitnouri,1.0,,1.0,,5.0,6.0,2.0,1.0,,,,1.0,1.0,4.0,2.0,,,,,3.0,2.0,,1.0,,,,,,,,
Matheus Cunha,matheus-cunha,M. Cunha,F,10,184.0,62297,M,886363,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,927763200,"{'value': 73000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماثيوس كونيا', 'hi': 'मैथियस कुन्हा', 'bn': 'ম্যাথিউস কুনহা'}, 'shortNameTranslation': {'ar': 'م. كونيا', 'hi': 'एम. कुन्हा', 'bn': 'এম. কুনহা'}}",38.0,31.0,1.0,,1.0,18.0,18.0,13.0,21.0,7.0,,,,,,76.0,60.0,6.5,18.0,0.0224893,"{'original': 6.5, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,Cunha,1.0,,,,11.0,4.0,3.0,8.0,3.0,,,1.0,,,2.0,2.0,0.0081,,,,1.0,1.0,1.0,,,,1.0,,,,
Hee-Chan Hwang,hee-chan-hwang,H. Hwang,F,11,177.0,6495,M,786186,"{'alpha2': 'KR', 'alpha3': 'KOR', 'name': 'South Korea', 'slug': 'south-korea'}",EUR,822614400,"{'value': 9200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هي تشان هوانغ', 'hi': 'ही-चान ह्वांग', 'bn': 'হি-চ্যান হোয়াং'}, 'shortNameTranslation': {'ar': 'ه. هوانغ', 'hi': 'एच. ह्वांग', 'bn': 'এইচ. হোয়াং'}}",10.0,6.0,1.0,,0.0,3.0,4.0,3.0,6.0,1.0,,,,,,90.0,21.0,6.8,11.0,0.0404879,"{'original': 6.8, 'alternative': 6.7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,Hwangso,,,1.0,,4.0,1.0,3.0,,,1.0,2.0,,,1.0,2.0,,0.2303,0.3519,,,,1.0,,1.0,,,1.0,2.0,,,
Pablo Sarabia,pablo-sarabia,P. Sarabia,M,7,176.0,2578,M,138573,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,705542400,"{'value': 4700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بابلو سارابيا', 'hi': 'पाब्लो साराबिया', 'bn': 'পাবলো সারাবিয়া'}, 'shortNameTranslation': {'ar': 'ب. سارابيا', 'hi': 'पी. साराबिया', 'bn': 'পি. সারাবিয়া'}}",10.0,8.0,,,0.0,6.0,6.0,2.0,4.0,2.0,,,,,,14.0,13.0,6.0,4.0,0.00157397,"{'original': 6, 'alternative': 6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,5.0,,,1.0,,,,,,,1.0,3.0,,,,,,,1.0,,,,,,,,
Hugo Bueno,hugo-bueno,H. Bueno,D,3,180.0,661,M,1013928,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,1032307200,"{'value': 10800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هوغو بوينو', 'hi': 'ह्यूगो ब्यूनो', 'bn': 'হুগো বুয়েনো'}, 'shortNameTranslation': {'ar': 'ه. بوينو', 'hi': 'एच. ब्यूनो', 'bn': 'এইচ. বুয়েনো'}}",10.0,10.0,,,0.0,7.0,7.0,3.0,3.0,,,,,,,12.0,12.0,6.5,,0.0006733,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,
Daniel Bentley,daniel-bentley,D. Bentley,G,25,188.0,263,M,101367,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,742521600,"{'value': 910000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانيال بنتلي', 'hi': 'डैनियल बेंटले', 'bn': 'ড্যানিয়েল বেন্টলি'}, 'shortNameTranslation': {'ar': 'د. بنتلي', 'hi': 'डी. बेंटले', 'bn': 'ডি. বেন্টলি'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tawanda Chirewa,tawanda-chirewa,T. Chirewa,M,23,181.0,860,M,1005725,"{'alpha2': 'ZW', 'alpha3': 'ZWE', 'name': 'Zimbabwe', 'slug': 'zimbabwe'}",EUR,1065830400,"{'value': 485000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تاواندا شيريوا', 'hi': 'तवांडा चिरेवा', 'bn': 'তাওয়ান্ডা চিরেওয়া'}, 'shortNameTranslation': {'ar': 'ت. شيريوا', 'hi': 'टी. चिरेवा', 'bn': 'টি. চিরোয়া'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
