name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialLost,aerialWon,duelLost,duelWon,totalClearance,ballRecovery,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,challengeLost,dispossessed,totalContest,wonContest,interceptionWon,totalTackle,fouls,wonTackle,unsuccessfulTouch,wasFouled,blockedScoringAttempt,expectedGoals,keyPass,accurateCross,hitWoodwork,shotOffTarget,onTargetScoringAttempt,expectedGoalsOnTarget,sofascoreId,bigChanceCreated,totalOffside,bigChanceMissed,goals,outfielderBlock,goalAssist
James Trafford,,,james-trafford,J. Trafford,G,1,197,20653,M,980643,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1034208000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس ترافورد', 'hi': 'जेम्स ट्रैफोर्ड', 'bn': 'জেমস ট্র্যাফোর্ড'}, 'shortNameTranslation': {'ar': 'ج. ترافورد', 'hi': 'जे. ट्रैफोर्ड', 'bn': 'জে. ট্র্যাফোর্ড'}}",50.0,41.0,14.0,6.0,39.0,40.0,2.0,10.0,1.0,1.0,1.0,1.0,3.0,12.0,1.0,3.0,3.0,4.0,1.0,1.0,90.0,68.0,7.5,9.0,0.00172752,"{'original': 7.5, 'alternative': 7}",0,-0.1453,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitinho,,,vitinho,Vitinho,D,2,175,3443,M,914477,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,932688000,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتينيو', 'hi': 'विटिन्हो', 'bn': 'ভিতিনহো'}, 'shortNameTranslation': {'ar': 'فيتينيو', 'hi': 'विटिन्हो', 'bn': 'ভিতিনহো'}}",42.0,35.0,2.0,1.0,16.0,19.0,19.0,25.0,,1.0,5.0,3.0,1.0,1.0,,,,,,,87.0,58.0,6.5,13.0,0.0977898,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,
Dara O'Shea,,,dara-oshea,D. O'Shea,D,26,188,709,M,856719,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,920505600,"{'value': 15900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دارا أوشيا', 'hi': ""दारा ओ'शीया"", 'bn': ""দারা ও'শিয়া""}, 'shortNameTranslation': {'ar': 'د. أوشيا', 'hi': ""डी. ओ'शीया"", 'bn': ""ডি. ও'শিয়া""}}",97.0,88.0,13.0,7.0,49.0,54.0,39.0,43.0,1.0,2.0,2.0,6.0,3.0,4.0,,,,,,,90.0,107.0,6.9,10.0,0.0253173,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
Jordan Beyer,,,jordan-beyer,J. Beyer,D,5,187,316,M,927175,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,958694400,"{'value': 3800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان باير', 'hi': 'जॉर्डन बेयर', 'bn': 'জর্ডান বেয়ার'}, 'shortNameTranslation': {'ar': 'ج. باير', 'hi': 'जे. बेयर', 'bn': 'জে. বেয়ার'}}",101.0,87.0,10.0,4.0,63.0,71.0,24.0,30.0,3.0,8.0,3.0,9.0,4.0,4.0,,,,,,,90.0,109.0,7.0,15.0,0.10424,"{'original': 7, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,1.0,,,,,1.0,,1.0,0.071,,,,,,,,,,,,,
Hannes Delcroix,,,hannes-delcroix,H. Delcroix,D,44,185,5084,M,826169,"{'alpha2': 'HT', 'alpha3': 'HTI', 'name': 'Haiti', 'slug': 'haiti'}",EUR,920160000,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هانيس ديلكروكس', 'hi': 'हेन्नेस डेलक्रोइक्स', 'bn': 'হ্যানেস ডেলক্রোইক্স'}, 'shortNameTranslation': {'ar': 'ه. ديلكروكس', 'hi': 'एच. डेलक्रोइक्स', 'bn': 'এইচ. ডেলক্রোইক্স'}}",42.0,36.0,5.0,1.0,23.0,26.0,13.0,16.0,3.0,1.0,4.0,5.0,2.0,5.0,,,,,,,70.0,59.0,6.6,8.0,0.0176075,"{'original': 6.6, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,1.0,,3.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,
Jacob Bruun Larsen,,,jacob-bruun-larsen,J. B. Larsen,M,7,183,713,M,809276,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,906163200,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاكوب برون لارسن', 'hi': 'जैकब ब्रून लार्सन', 'bn': 'জ্যাকব ব্রাউন লারসেন'}, 'shortNameTranslation': {'ar': 'ج. ب. لارسن', 'hi': 'जेबी ब्रून', 'bn': 'জে.বি. লারসেন'}}",27.0,22.0,1.0,,2.0,4.0,21.0,35.0,3.0,,5.0,3.0,1.0,1.0,,,,,,,82.0,51.0,6.8,21.0,0.0875881,"{'original': 6.8, 'alternative': 6.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,12.0,,,2.0,,1.0,1.0,,,2.0,2.0,2.0,0.1616,3.0,1.0,,,,,,,,,,,
Sander Berge,,,sander-berge,S. Berge,M,16,195,2074,M,793167,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,887414400,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ساندر بيرج', 'hi': 'सैंडर बर्ज', 'bn': 'স্যান্ডার বার্জে'}, 'shortNameTranslation': {'ar': 'س. بيرج', 'hi': 'एस. बर्ज', 'bn': 'এস. বার্জে'}}",53.0,45.0,8.0,3.0,20.0,21.0,25.0,32.0,3.0,2.0,5.0,4.0,2.0,4.0,,,,,,,90.0,63.0,6.7,8.0,0.0249675,"{'original': 6.7, 'alternative': 6.6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,,,,,2.0,1.0,1.0,,,3.0,0.1084,1.0,,1.0,,,,,,,,,,
Josh Brownhill,,,josh-brownhill,J. Brownhill,M,8,179,832,M,358394,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,819331200,"{'value': 12700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوش براونهيل', 'hi': 'जोश ब्राउनहिल', 'bn': 'জোশ ব্রাউনহিল'}, 'shortNameTranslation': {'ar': 'ج. براونهيل', 'hi': 'जे. ब्राउनहिल', 'bn': 'জে. ব্রাউনহিল'}}",41.0,36.0,3.0,2.0,20.0,22.0,17.0,21.0,1.0,,4.0,4.0,1.0,3.0,,,,,,,90.0,57.0,7.0,8.0,0.160866,"{'original': 7, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,2.0,1.0,1.0,,,,4.0,1.0,2.0,,,,,3.0,1.0,,,,,,,,,,,
Wilson Odobert,,,wilson-odobert,W. Odobert,F,28,182,4085,M,1142679,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1101600000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويلسون أودوبيرت', 'hi': 'विल्सन ओडोबर्ट', 'bn': 'উইলসন ওডোবার্ট'}, 'shortNameTranslation': {'ar': 'و. أودوبيرت', 'hi': 'डब्लू. ओडोबर्ट', 'bn': 'ডব্লিউ. ওডোবার্ট'}}",25.0,17.0,,,3.0,3.0,14.0,24.0,,,5.0,8.0,,5.0,,,,,,,87.0,45.0,7.3,16.0,0.0920549,"{'original': 7.3, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,2.0,2.0,2.0,2.0,,4.0,1.0,4.0,3.0,2.0,1.0,0.0313,2.0,,,,,,,,,,,,
Jay Rodriguez,,,jay-rodriguez,J. Rodriguez,F,16,185,323,M,26989,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,617673600,"{'value': 310000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاي رودريغيز', 'hi': 'जे रोड्रिगेज', 'bn': 'জে রদ্রিগেজ'}, 'shortNameTranslation': {'ar': 'ج. رودريغيز', 'hi': 'जे. रोड्रिगेज', 'bn': 'জে. রদ্রিগেজ'}}",9.0,4.0,1.0,,2.0,5.0,2.0,4.0,4.0,4.0,4.0,6.0,,1.0,,,,,,,45.0,17.0,6.7,6.0,0.00247626,"{'original': 6.7, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,1.0,2.0,2.0,0.2064,,,,,,,,,,,,,
