name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,ballRecovery,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateOppositionHalfPasses,aerialWon,duelLost,duelWon,dispossessed,totalContest,wonContest,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,accurateLongBalls,totalCross,aerialLost,challengeLost,bigChanceCreated,keyPass,firstName,lastName,outfielderBlock,blockedScoringAttempt,expectedGoals,shotOffTarget,onTargetScoringAttempt,expectedGoalsOnTarget,goalAssist,accurateCross,bigChanceMissed,goals,totalOffside,errorLeadToAGoal,goodHighClaim,savedShotsFromInsideTheBox,totalKeeperSweeper,accurateKeeperSweeper,errorLeadToAShot
Đorđe Petrović,dorde-petrovic,Đ. Petrović,G,1,194,8808,M,dj.petrovic12,882604,"{'alpha2': 'RS', 'alpha3': 'SRB', 'name': 'Serbia', 'slug': 'serbia'}",EUR,939340800,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوردي بيتروفيتش', 'hi': 'डोरे पेट्रोविक', 'bn': 'ডোরে পেট্রোভিচ'}, 'shortNameTranslation': {'ar': 'د. بيتروفيتش', 'hi': 'डी. पेट्रोविक', 'bn': 'ডি. পেট্রোভিচ'}}",23.0,21.0,2.0,21.0,21.0,2.0,2.0,1.0,90.0,25.0,6.9,2.0,5.438e-05,"{'original': 6.9, 'alternative': 7.2}",0,0.1798,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel Disasi,axel-disasi,A. Disasi,D,2,190,8850,M,axel_disasi,827243,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,889574400,"{'value': 15500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أكسيل ديساسي', 'hi': 'एक्सल डिसासी', 'bn': 'অ্যাক্সেল ডিসাসি'}, 'shortNameTranslation': {'ar': 'أ. ديساسي', 'hi': 'ए. डिसासी', 'bn': 'এ. ডিসাসি'}}",84.0,76.0,3.0,39.0,45.0,39.0,10.0,,90.0,115.0,7.2,15.0,0.0192339,"{'original': 7.2, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,37.0,2.0,5.0,8.0,3.0,2.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Thiago Silva,thiago-silva,T. Silva,D,,181,43819,M,ThiagoSilva,33541,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,464659200,"{'value': 560000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تياغو سيلفا', 'hi': 'थियागो सिल्वा', 'bn': 'থিয়াগো সিলভা'}, 'shortNameTranslation': {'ar': 'ت. سيلفا', 'hi': 'टी. सिल्वा', 'bn': 'টি. সিলভা'}}",140.0,132.0,8.0,80.0,82.0,59.0,6.0,,90.0,153.0,7.7,10.0,0.0322699,"{'original': 7.7, 'alternative': 7.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,52.0,,4.0,3.0,1.0,,,3.0,4.0,1.0,,,2.0,,5.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
Benoît Badiashile,benoit-badiashile,B. Badiashile,D,5,194,10333,M,badiashile,904827,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,985564800,"{'value': 17400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بينوا بادياشيل', 'hi': 'बेनोइट बाडियाशिले', 'bn': 'বেনেডিক্ট বাদিয়াশিলে'}, 'shortNameTranslation': {'ar': 'ب. بادياشيل', 'hi': 'बी. बाडियाशिले', 'bn': 'বি.বাদিয়াশিলে'}}",131.0,121.0,7.0,71.0,74.0,57.0,6.0,,90.0,142.0,7.6,11.0,0.0342077,"{'original': 7.6, 'alternative': 7.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,50.0,3.0,4.0,8.0,,,,2.0,1.0,3.0,2.0,1.0,2.0,1.0,5.0,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,
Levi Colwill,levi-colwill,L. Colwill,D,6,187,17567,M,LColwill,996911,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1046217600,"{'value': 55000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ليفي كولويل', 'hi': 'लेवी कोलविल', 'bn': 'লেভি কলউইল'}, 'shortNameTranslation': {'ar': 'ل. كولويل', 'hi': 'एल. कोलविल', 'bn': 'এল. কলউইল'}}",52.0,45.0,6.0,25.0,26.0,26.0,1.0,,90.0,66.0,7.4,7.0,0.0130298,"{'original': 7.4, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,20.0,2.0,4.0,4.0,,,,1.0,3.0,2.0,1.0,,,1.0,4.0,,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,
Moisés Caicedo,moises-caicedo,M. Caicedo,M,25,178,78106,M,MoisesCaicedo55,987650,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,1004659200,"{'value': 115000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مويسيس كايسيدو', 'hi': 'मोइसेस कैसेडो', 'bn': 'মোজেস কাইসেডো'}, 'shortNameTranslation': {'ar': 'م. كايسيدو', 'hi': 'एम. कैसेडो', 'bn': 'এম. কাইসেডো'}}",110.0,97.0,5.0,51.0,55.0,57.0,11.0,,90.0,125.0,7.7,19.0,0.0392574,"{'original': 7.7, 'alternative': 7.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,46.0,2.0,3.0,6.0,,2.0,2.0,,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,,,2.0,,,1.0,1.0,0.0278,,,,,,,,,,,,,,
Conor Gallagher,conor-gallagher,C. Gallagher,M,4,182,15436,M,conorgallagher92,904970,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,949795200,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كونور غالاغير', 'hi': 'कोनोर गालाघर', 'bn': 'কনর গ্যালাঘের'}, 'shortNameTranslation': {'ar': 'ك. غالاغر', 'hi': 'सी. गालाघर', 'bn': 'সি. গ্যালাঘের'}}",87.0,86.0,1.0,35.0,35.0,54.0,11.0,,90.0,112.0,7.9,6.0,0.09165,"{'original': 7.9, 'alternative': 7.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,51.0,1.0,5.0,5.0,,3.0,1.0,1.0,5.0,1.0,,1.0,2.0,2.0,1.0,2.0,1.0,,,1.0,,,2.0,,0.0614,1.0,1.0,0.0406,,,,,,,,,,,
Raheem Sterling,raheem-sterling,R. Sterling,F,30,170,37771,M,Sterling7,138534,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,786844800,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رحيم ستيرلينغ', 'hi': 'रहीम स्टर्लिंग', 'bn': 'রাহিম স্টার্লিং'}, 'shortNameTranslation': {'ar': 'ر. سترلينغ', 'hi': 'आर. स्टर्लिंग', 'bn': 'আর. স্টার্লিং'}}",43.0,36.0,,4.0,5.0,42.0,2.0,,75.0,62.0,7.1,18.0,0.576996,"{'original': 7.1, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,33.0,,5.0,3.0,1.0,4.0,1.0,,1.0,2.0,,4.0,,,,4.0,,1.0,1.0,2.0,,,,,0.0972,,1.0,0.1293,1.0,1.0,1.0,,,,,,,,
Cole Palmer,cole-palmer,C. Palmer,M,10,185,368423,M,ColdPalmer,982780,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1020643200,"{'value': 110000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كول بالمر', 'hi': 'कोल पाल्मर', 'bn': 'কোল পামার'}, 'shortNameTranslation': {'ar': 'ك. بالمر', 'hi': 'सी. पाल्मर', 'bn': 'সি. পামার'}}",64.0,59.0,3.0,16.0,17.0,47.0,3.0,,89.0,89.0,8.5,18.0,1.25906,"{'original': 8.5, 'alternative': 8}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,43.0,,9.0,4.0,5.0,5.0,2.0,1.0,,1.0,,3.0,1.0,1.0,2.0,,,,2.0,2.0,,,,3.0,0.7054,,2.0,0.7994,1.0,,,1.0,,,,,,,
Mykhaylo Mudryk,mykhaylo-mudryk,M. Mudryk,M,10,175,52950,M,MMudryk10,958966,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,978652800,"{'value': 73000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميخايلو مودريك', 'hi': 'माइखाइलो मुडरीक', 'bn': 'মিখাইলো মড্রিক'}, 'shortNameTranslation': {'ar': 'م. مودريك', 'hi': 'एम. मुडरीक', 'bn': 'এম. মড্রিক'}}",25.0,21.0,,2.0,2.0,26.0,1.0,,69.0,44.0,6.3,17.0,0.0175002,"{'original': 6.3, 'alternative': 5.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,19.0,,10.0,4.0,3.0,5.0,2.0,,,,,3.0,2.0,2.0,,3.0,,2.0,,,,,,,0.0146,1.0,,,,,,,,,,,,,
