name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,totalClearance,ballRecovery,totalTackle,wonTackle,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialWon,duelLost,challengeLost,unsuccessfulTouch,fouls,aerialLost,blockedScoringAttempt,expectedGoals,onTargetScoringAttempt,interceptionWon,expectedGoalsOnTarget,totalContest,wonContest,goals,keyPass,wasFouled,goalAssist,accurateCross,dispossessed,bigChanceCreated,shotOffTarget,totalOffside,bigChanceMissed,firstName,lastName,outfielderBlock,errorLeadToAGoal,ownGoals,clearanceOffLine
David Raya,david-raya,D. Raya,G,1,183,25247,M,d_raya1,581310,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,811123200,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديفيد رايا', 'hi': 'डेविड राया', 'bn': 'ডেভিড রায়া'}, 'shortNameTranslation': {'ar': 'د. رايا', 'hi': 'डी. राया', 'bn': 'ডি. রায়া'}}",27.0,15.0,18.0,6.0,11.0,13.0,4.0,14.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,90.0,35.0,6.7,12.0,0.0015851,"{'original': 6.7, 'alternative': 6.6}",0,-0.2674,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben White,benjamin-white,B. White,D,4,186,13312,M,benwhite,846036,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,876268800,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بنيامين وايت', 'hi': 'बेंजामिन व्हाइट', 'bn': 'বেঞ্জামিন হোয়াইট'}, 'shortNameTranslation': {'ar': 'ب. وايت', 'hi': 'बी. व्हाइट', 'bn': 'বি. হোয়াইট'}}",47.0,36.0,6.0,1.0,14.0,14.0,22.0,35.0,1.0,1.0,3.0,,,,,,,,90.0,60.0,6.4,15.0,0.24876,"{'original': 6.4, 'alternative': 6.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,1.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
William Saliba,william-saliba,W. Saliba,D,2,193,43547,M,WSaliba4,941168,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,985392000,"{'value': 85000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويليام صاليبا', 'hi': 'विलियम सलीबा', 'bn': 'উইলিয়াম সালিবা'}, 'shortNameTranslation': {'ar': 'و. صاليبا', 'hi': 'डब्लू. सलीबा', 'bn': 'ডব্লিউ. সালিবা'}}",51.0,47.0,6.0,3.0,35.0,36.0,12.0,15.0,2.0,,3.0,1.0,1.0,,,,,,90.0,55.0,6.7,5.0,0.00607937,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,1.0,,1.0,,1.0,1.0,0.1226,,,,,,,,,,,,,,,,,,,,,
Gabriel Magalhães,gabriel-magalhaes,Gabriel,D,6,190,45357,M,GabrielMagalhães,869792,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,882489600,"{'value': 70000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غابرييل ماغاليس', 'hi': 'गेब्रियल मैगलहेस', 'bn': 'গ্যাব্রিয়েল ম্যাগালহায়েস'}, 'shortNameTranslation': {'ar': 'غابرييل', 'hi': 'गेब्रियल मैगलहेस', 'bn': 'গ্যাব্রিয়েল'}}",75.0,67.0,5.0,2.0,36.0,38.0,31.0,37.0,3.0,1.0,3.0,2.0,2.0,,,,,,90.0,83.0,7.1,8.0,0.025816,"{'original': 7.1, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,3.0,,,2.0,1.0,,0.2071,1.0,2.0,0.1372,,,,,,,,,,,,,,,,,,
Jakub Kiwior,kiwior-jakub,J. Kiwior,D,4,189,15251,M,j_kiwior,976037,"{'alpha2': 'PL', 'alpha3': 'POL', 'name': 'Poland', 'slug': 'poland'}",EUR,950572800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيويور، جاكوب', 'hi': 'किविओर, जेकब', 'bn': 'কিভিওর, জাকুব'}, 'shortNameTranslation': {'ar': 'ج. كيويور', 'hi': 'जे. किविओर', 'bn': 'জে. কিভিওর'}}",48.0,41.0,6.0,4.0,14.0,16.0,27.0,32.0,3.0,1.0,1.0,,,,,,,,90.0,64.0,7.5,11.0,0.0174631,"{'original': 7.5, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,1.0,,1.0,1.0,,,0.0514,1.0,1.0,0.1015,1.0,1.0,1.0,,,,,,,,,,,,,,,
Martin Ødegaard,martin-odegaard,M. Ødegaard,M,8,178,81763,M,Ødegaard,547410,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,913852800,"{'value': 82000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارتن أوديغارد', 'hi': 'मार्टिन ओडेगार्ड', 'bn': 'মার্টিন ওডেগার্ড'}, 'shortNameTranslation': {'ar': 'م. أوديغارد', 'hi': 'एम. ओडेगार्ड', 'bn': 'এম. ওডেগার্ড'}}",32.0,27.0,1.0,1.0,2.0,2.0,25.0,31.0,1.0,,2.0,1.0,,,,,,,76.0,41.0,7.1,7.0,0.0891015,"{'original': 7.1, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,1.0,,2.0,1.0,,1.0,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,
Jorginho,jorginho,Jorginho,M,21,180,32651,M,jorginhofrello,132874,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,693187200,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جورجينيو', 'hi': 'जोर्गिनहो', 'bn': 'জর্গিনহো'}, 'shortNameTranslation': {'ar': 'جورجينيو', 'hi': 'जोर्गिनहो', 'bn': 'জর্গিনহো'}}",103.0,92.0,4.0,2.0,36.0,37.0,56.0,66.0,4.0,,4.0,1.0,1.0,,,,,,89.0,109.0,7.2,12.0,0.285303,"{'original': 7.2, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,3.0,1.0,,2.0,,,,,1.0,,,,,1.0,2.0,,,,,,,,,,,,,
Declan Rice,declan-rice,D. Rice,M,41,188,60954,M,DeclanRice,856714,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,916272000,"{'value': 114000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديكلان رايس', 'hi': 'डेक्लान राइस', 'bn': 'ডেক্লান রাইস'}, 'shortNameTranslation': {'ar': 'د. رايس', 'hi': 'डी. राइस', 'bn': 'ডি. রাইস'}}",50.0,46.0,5.0,4.0,17.0,19.0,32.0,37.0,1.0,,7.0,,,,,,,,90.0,62.0,7.6,9.0,0.516162,"{'original': 7.6, 'alternative': 7.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,6.0,1.0,3.0,,,1.0,,,0.0604,1.0,1.0,0.0802,2.0,,,4.0,,1.0,3.0,,,,,,,,,,,
Bukayo Saka,bukayo-saka,B. Saka,F,7,178,187094,M,BSaka7,934235,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,999648000,"{'value': 136000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوكايو ساكا', 'hi': 'बुकायो साका', 'bn': 'বুকায়ো সাকা'}, 'shortNameTranslation': {'ar': 'ب. ساكا', 'hi': 'बी. साका', 'bn': 'বি. সাকা'}}",37.0,31.0,4.0,1.0,9.0,11.0,23.0,28.0,3.0,,7.0,1.0,,,,,,,76.0,51.0,8.1,9.0,0.706451,"{'original': 8.1, 'alternative': 7.8}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,1.0,6.0,2.0,,2.0,1.0,1.0,0.1528,2.0,,0.7776,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,2.0,,,,,,,
Kai Havertz,kai-havertz,K. Havertz,F,29,193,71176,M,KaiHav,836705,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,929059200,"{'value': 53000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاي هافرتز', 'hi': 'काई हावर्ट्ज़', 'bn': 'কাই হাভার্টজ'}, 'shortNameTranslation': {'ar': 'ك. هافيرتز', 'hi': 'के. हावर्ट्ज़', 'bn': 'কে. হাভার্টজ'}}",23.0,20.0,,,4.0,6.0,16.0,17.0,4.0,,7.0,,,,,,,,76.0,40.0,7.8,11.0,0.063035,"{'original': 7.8, 'alternative': 7.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,4.0,6.0,1.0,5.0,3.0,1.0,,1.2833,1.0,2.0,0.685,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,,,,
