name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,duelLost,challengeLost,totalContest,shotOffTarget,blockedScoringAttempt,interceptionWon,lastManTackle,totalTackle,wonTackle,wasFouled,fouls,expectedGoals,keyPass,wonContest,outfielderBlock,unsuccessfulTouch,firstName,lastName,bigChanceCreated,onTargetScoringAttempt,goals,expectedGoalsOnTarget,goalAssist,totalOffside,dispossessed,aerialLost,bigChanceMissed,goodHighClaim,clearanceOffLine,errorLeadToAShot
Alisson,alisson,Alisson,G,1,193,66760,M,AlissonBecker,243609,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,717984000,"{'value': 18700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليسون', 'hi': 'एलिसन', 'bn': 'অ্যালিসন'}, 'shortNameTranslation': {'ar': 'أليسون', 'hi': 'एलिसन', 'bn': 'অ্যালিসন'}}",28.0,22.0,10.0,6.0,19.0,22.0,3.0,6.0,1.0,1.0,1.0,17.0,2.0,4.0,1.0,1.0,1.0,90.0,46.0,7.3,7.0,0.00076972,"{'original': 7.3, 'alternative': 6.9}",0,-0.0823,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Alexander-Arnold,trent-alexander-arnold,T. Alexander-Arnold,D,12,180,208066,M,TrentAA,795064,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,907718400,"{'value': 72000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ترنت ألكسندر-أرنولد', 'hi': 'ट्रेंट अलेक्जेंडर-अर्नोल्ड', 'bn': 'ট্রেন্ট আলেকজান্ডার-আর্নল্ড'}, 'shortNameTranslation': {'ar': 'ت. ألكسندر-أرنولد', 'hi': 'टी. अलेक्जेंडर-अर्नोल्ड', 'bn': 'টি. আলেকজান্ডার-আর্নল্ড'}}",51.0,39.0,13.0,5.0,17.0,19.0,25.0,39.0,,7.0,1.0,7.0,,,,,,90.0,86.0,7.4,22.0,0.219944,"{'original': 7.4, 'alternative': 7.2}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,7.0,3.0,6.0,2.0,2.0,3.0,1.0,3.0,1.0,6.0,3.0,1.0,2.0,0.1342,2.0,,,,,,,,,,,,,,,,,
Jarell Quansah,jarell-quansah,J. Quansah,D,4,190,10706,M,jarellquansah,1003339,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1043798400,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاريل كوانسا', 'hi': 'जेरेल क्वांसाह', 'bn': 'জারেল কোয়ানসাহ'}, 'shortNameTranslation': {'ar': 'ج. كوانسا', 'hi': 'जे. क्वांसाह', 'bn': 'জে. কোয়ানসাহ'}}",38.0,33.0,7.0,3.0,20.0,21.0,13.0,17.0,2.0,6.0,3.0,2.0,,,,,,90.0,50.0,6.9,6.0,0.00703038,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,1.0,1.0,,,1.0,,3.0,3.0,,,,,1.0,,,,,,,,,,,,,,,,
Virgil van Dijk,virgil-van-dijk,V. van Dijk,D,4,195,103743,M,VvD,151545,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,678931200,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيرجيل فان دايك', 'hi': 'वर्जिल वान डिक', 'bn': 'ভার্জিল ভ্যান ডাইক'}, 'shortNameTranslation': {'ar': 'ف. فان دايك', 'hi': 'वी. वान डिक', 'bn': 'ভি. ভ্যান ডাইক'}}",45.0,42.0,6.0,6.0,33.0,36.0,9.0,9.0,2.0,3.0,6.0,4.0,,,,,,90.0,59.0,7.0,4.0,0.00231594,"{'original': 7, 'alternative': 7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,,,,1.0,1.0,,,1.0,,,,0.08,,,1.0,1.0,,,,,,,,,,,,,,
Andrew Robertson,andrew-robertson,A. Robertson,D,26,178,25243,M,andyrobertson94,262911,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,763344000,"{'value': 12800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندرو روبرتسون', 'hi': 'एंड्रयू रॉबर्टसन', 'bn': 'অ্যান্ড্রু রবার্টসন'}, 'shortNameTranslation': {'ar': 'أ. روبرتسون', 'hi': 'ए. रॉबर्टसन', 'bn': 'এ. রবার্টসন'}}",43.0,36.0,4.0,2.0,17.0,19.0,19.0,27.0,1.0,3.0,,6.0,,,,,,64.0,64.0,8.1,14.0,0.268692,"{'original': 8.1, 'alternative': 7.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,,2.0,,2.0,,1.0,2.0,,2.0,2.0,,,0.9114,1.0,,,,,,1.0,1.0,1.0,0.987,,,,,,,,
Harvey Elliott,harvey-elliott,H. Elliott,M,19,170,21929,M,harvelliott,955245,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1049414400,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هارفي إليوت', 'hi': 'हार्वे इलियट', 'bn': 'হার্ভে এলিয়ট'}, 'shortNameTranslation': {'ar': 'ه. إليوت', 'hi': 'एच. इलियट', 'bn': 'এইচ. এলিয়ট'}}",53.0,47.0,3.0,2.0,15.0,15.0,33.0,40.0,,3.0,,7.0,,,,,,83.0,69.0,9.5,7.0,0.74059,"{'original': 9.5, 'alternative': 9.3}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,0.3493,5.0,1.0,,,,,,4.0,1.0,0.5454,1.0,1.0,,,,,,
Wataru Endo,wataru-endo,W. Endo,M,3,178,19922,M,endowataru,143040,"{'alpha2': 'JP', 'alpha3': 'JPN', 'name': 'Japan', 'slug': 'japan'}",EUR,729216000,"{'value': 4600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'واتارو إندو', 'hi': 'वातारू एंडो', 'bn': 'ওয়ান্ডারিং এন্ডো'}, 'shortNameTranslation': {'ar': 'و. إندو', 'hi': 'डब्लू. एंडो', 'bn': 'ডব্লিউ. এন্ডো'}}",44.0,40.0,4.0,3.0,24.0,25.0,16.0,19.0,,2.0,,4.0,,,,,,64.0,51.0,6.8,5.0,0.0198591,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,5.0,1.0,1.0,,,,,1.0,1.0,,3.0,,1.0,1.0,,,,,,,,,,,1.0,,,,,
Alexis Mac Allister,alexis-mac-allister,A. Mac Allister,M,10,176,73401,M,Macca10,895324,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,914457600,"{'value': 93000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكسيس ماك أليستر', 'hi': 'एलेक्सिस मैक एलिस्टर', 'bn': 'অ্যালেক্সিস ম্যাক অ্যালিস্টার'}, 'shortNameTranslation': {'ar': 'أ. ماك أليستر', 'hi': 'ए. मैक एलिस्टर', 'bn': 'এ. ম্যাক অ্যালিস্টার'}}",26.0,20.0,2.0,1.0,7.0,8.0,13.0,19.0,1.0,6.0,,2.0,,,,,,75.0,41.0,7.0,9.0,0.0538707,"{'original': 7, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,2.0,,1.0,,,2.0,,4.0,1.0,,1.0,,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,,,,
Mohamed Salah,mohamed-salah,M. Salah,M,11,175,561305,M,MoSalah,159665,"{'alpha2': 'EG', 'alpha3': 'EGY', 'name': 'Egypt', 'slug': 'egypt'}",EUR,708566400,"{'value': 44000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'محمد صلاح', 'hi': 'मोहम्मद सलाह', 'bn': 'মোহাম্মদ সালাহ'}, 'shortNameTranslation': {'ar': 'م. صلاح', 'hi': 'एम. सलाह', 'bn': 'এম. সালাহ'}}",30.0,21.0,2.0,2.0,3.0,4.0,20.0,30.0,,2.0,,3.0,,,,,,90.0,55.0,8.2,21.0,0.314055,"{'original': 8.2, 'alternative': 8.1}",6,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,2.0,7.0,,1.0,1.0,1.0,,,,,2.0,1.0,1.1661,3.0,,,3.0,,,1.0,4.0,1.0,1.2919,1.0,2.0,5.0,,1.0,,,
Cody Gakpo,cody-gakpo,C. Gakpo,M,18,193,53434,M,CodyGakpo,862967,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,926035200,"{'value': 67000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كودي جاكبو', 'hi': 'कोडी गाकपो', 'bn': 'কোডি গাকপো'}, 'shortNameTranslation': {'ar': 'ك. جاكبو', 'hi': 'सी. गाकपो', 'bn': 'সি. গাকপো'}}",26.0,19.0,1.0,1.0,3.0,6.0,17.0,21.0,1.0,5.0,,3.0,,,,,,90.0,44.0,8.6,12.0,0.536504,"{'original': 8.6, 'alternative': 8.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,3.0,,2.0,,,,,1.0,1.0,2.0,1.0,0.0857,2.0,1.0,,3.0,,,1.0,2.0,1.0,0.2176,1.0,1.0,1.0,,,,,
