name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialLost,duelLost,dispossessed,totalContest,wonContest,blockedScoringAttempt,totalClearance,totalTackle,unsuccessfulTouch,fouls,expectedGoals,keyPass,firstName,lastName,shotOffTarget,onTargetScoringAttempt,outfielderBlock,interceptionWon,wonTackle,penaltyConceded,wasFouled,expectedGoalsOnTarget,challengeLost,goalAssist,bigChanceCreated,goals,sofascoreId,totalKeeperSweeper,penaltyWon,lastManTackle
Thomas Kaminski,thomas-kaminski,T. Kaminski,G,1,190,558,M,45959,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,719798400,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماس كامينسكي', 'hi': 'थॉमस कामिन्स्की', 'bn': 'টমাস কামিনস্কি'}, 'shortNameTranslation': {'ar': 'ت. كامينسكي', 'hi': 'टी. कामिन्स्की', 'bn': 'টি. কামিনস্কি'}}",26.0,18.0,12.0,4.0,16.0,17.0,2.0,9.0,1.0,1.0,6.0,1.0,1.0,1.0,3.0,90.0,34.0,7.1,8.0,0.00094688,"{'original': 7.1, 'alternative': 6.8}",0,0.5952,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reece Burke,reece-burke,R. Burke,D,32,189,101,M,372342,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,841622400,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريس بيرك', 'hi': 'रीस बर्क', 'bn': 'রিস বার্ক'}, 'shortNameTranslation': {'ar': 'ر. بيرك', 'hi': 'आर. बर्क', 'bn': 'আর. বার্ক'}}",47.0,37.0,13.0,5.0,15.0,16.0,24.0,34.0,,2.0,6.0,,,,,90.0,65.0,6.6,15.0,0.0364324,"{'original': 6.6, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0334,2.0,,,,,,,,,,,,,,,,,,
Teden Mengi,teden-mengi,T. Mengi,D,15,183,793,M,979233,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1020124800,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيدن منجي', 'hi': 'टेडेन मेंगी', 'bn': 'টেডেন মেঙ্গি'}, 'shortNameTranslation': {'ar': 'ت. منجي', 'hi': 'टी. मेंगी', 'bn': 'টি. মেঙ্গি'}}",42.0,34.0,10.0,5.0,24.0,26.0,10.0,16.0,7.0,11.0,5.0,,,,,90.0,63.0,7.6,11.0,0.00708859,"{'original': 7.6, 'alternative': 7.5}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,5.0,,1.0,1.0,,4.0,2.0,3.0,2.0,0.1722,1.0,,,2.0,1.0,2.0,3.0,1.0,1.0,1.0,0.273,,,,,,,,
Gabriel Osho,gabriel-osho,G. Osho,D,3,185,835,M,920680,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,903052800,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غابرييل أوشو', 'hi': 'गेब्रियल ओशो', 'bn': 'গ্যাব্রিয়েল ওশো'}, 'shortNameTranslation': {'ar': 'غ. أوشو', 'hi': 'जी. ओशो', 'bn': 'জি. ওশো'}}",54.0,49.0,2.0,1.0,32.0,35.0,17.0,20.0,4.0,8.0,4.0,,,,,90.0,72.0,6.9,7.0,0.0138977,"{'original': 6.9, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,3.0,5.0,,2.0,1.0,,6.0,2.0,,2.0,0.0224,,,,1.0,,,,,,2.0,,,,,,,,,
Fred Onyedinma,fred-onyedinma,F. Onyedinma,M,44,185,115,M,370932,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,848793600,"{'value': 610000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فريد أونيادينما'}, 'shortNameTranslation': {'ar': 'ف. أونيادينما'}}",16.0,13.0,,,6.0,6.0,7.0,14.0,2.0,3.0,1.0,,,,,70.0,41.0,6.0,17.0,0.0114786,"{'original': 6, 'alternative': 5.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,,,8.0,2.0,4.0,,,2.0,,2.0,1.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,,
Albert Sambi Lokonga,albert-sambi-lokonga,A. S. Lokonga,M,6,183,3693,M,901892,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,940550400,"{'value': 6200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألبرت سامبي لوكونغا', 'hi': 'अल्बर्ट साम्बी लोकोंगा', 'bn': 'আলবার্ট সাম্বি লোকোঙ্গা'}, 'shortNameTranslation': {'ar': 'أ. س. لوكونغا', 'hi': 'ए.एस. लोकोंगा', 'bn': 'এ. এস. লোকঙ্গা'}}",51.0,44.0,7.0,3.0,26.0,27.0,19.0,25.0,1.0,8.0,4.0,,,,,90.0,70.0,7.6,10.0,0.0896214,"{'original': 7.6, 'alternative': 7.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,,1.0,1.0,,,,1.0,4.0,2.0,,,1.0,,,,,,2.0,1.0,,3.0,,,1.0,1.0,,,,,
Ross Barkley,ross-barkley,R. Barkley,M,6,188,2380,M,98435,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,755049600,"{'value': 4500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روس باركلي', 'hi': 'रॉस बार्कले', 'bn': 'রস বার্কলে'}, 'shortNameTranslation': {'ar': 'ر. باركلي', 'hi': 'आर. बार्कले', 'bn': 'আর. বার্কলে'}}",61.0,50.0,9.0,5.0,21.0,24.0,29.0,37.0,,3.0,6.0,,,,,90.0,80.0,6.7,19.0,0.043472,"{'original': 6.7, 'alternative': 6.5}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,8.0,3.0,6.0,3.0,1.0,1.0,,1.0,1.0,0.1406,1.0,,,1.0,1.0,,,,,,0.0652,,,,,,,,
Alfie Doughty,alfie-doughty,A. Doughty,M,14,183,576,M,945792,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,945734400,"{'value': 5700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألفي دوتي', 'hi': 'अल्फी डौटी', 'bn': 'আলফি ডাউটি'}, 'shortNameTranslation': {'ar': 'أ. دوتي', 'hi': 'ए. डौटी', 'bn': 'এ. ডাউটি'}}",41.0,35.0,7.0,4.0,21.0,24.0,21.0,33.0,,4.0,10.0,,,,,90.0,71.0,7.9,18.0,0.300653,"{'original': 7.9, 'alternative': 7.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,16.0,7.0,,2.0,,1.0,,,1.0,3.0,2.0,,0.0126,6.0,,,,1.0,,,2.0,,1.0,0.0401,1.0,,,,,,,
Carlton Morris,carlton-morris,C. Morris,F,9,185,1084,M,358222,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,819072000,"{'value': 6200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كارلتون موريس', 'hi': 'कार्लटन मॉरिस', 'bn': 'কার্লটন মরিস'}, 'shortNameTranslation': {'ar': 'ك. موريس', 'hi': 'सी. मॉरिस', 'bn': 'সি. মরিস'}}",26.0,18.0,1.0,,11.0,14.0,7.0,12.0,2.0,4.0,5.0,,,,,90.0,43.0,6.9,10.0,0.00626494,"{'original': 6.9, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,6.0,9.0,,2.0,1.0,,5.0,,1.0,2.0,0.0849,,,,2.0,,1.0,,,,1.0,,,,,,,,,
Tahith Chong,tahith-chong,T. Chong,M,24,185,1675,M,825845,"{'alpha2': 'CW', 'alpha3': 'CUW', 'name': 'Curacao', 'slug': 'curacao'}",EUR,944265600,"{'value': 4300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تايث تشونغ', 'hi': 'ताहित चोंग', 'bn': 'তাহিথ চং'}, 'shortNameTranslation': {'ar': 'ت. تشونغ', 'hi': 'टी. चोंग', 'bn': 'টি. চং'}}",26.0,20.0,3.0,1.0,9.0,9.0,11.0,20.0,,9.0,3.0,,,,,87.0,50.0,7.2,15.0,0.0160068,"{'original': 7.2, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,,3.0,9.0,,7.0,4.0,,1.0,3.0,3.0,3.0,0.035,1.0,,,1.0,,,,3.0,,2.0,,,,,,,,,
