name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,duelLost,challengeLost,dispossessed,totalContest,wonContest,bigChanceCreated,onTargetScoringAttempt,totalTackle,wonTackle,unsuccessfulTouch,expectedGoals,expectedGoalsOnTarget,keyPass,aerialLost,outfielderBlock,interceptionWon,wasFouled,fouls,goals,shotOffTarget,goalAssist,accurateCross,blockedScoringAttempt,bigChanceMissed,totalOffside,errorLeadToAShot
Caoimhin Kelleher,,,caoimhin-kelleher,C. Kelleher,G,1,188,10299,M,caoimhinkelleher98,827362,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,911779200,"{'value': 19800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاويمن كيليهير', 'hi': 'काओइमहिन केल्हेर', 'bn': 'কাওইমহিন কেলেহার'}, 'shortNameTranslation': {'ar': 'ك. كيليهير', 'hi': 'सी. केल्हेर', 'bn': 'সি. কেলেহার'}}",55.0,33.0,30.0,8.0,25.0,32.0,8.0,23.0,2.0,2.0,2.0,7.0,1.0,2.0,2.0,1.0,1.0,90.0,64.0,6.7,23.0,0.00550939,"{'original': 6.7, 'alternative': 6.8}",0,-0.0445,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conor Bradley,,,bradley-conor,C. Bradley,D,12,181,15669,M,conorbradley03,1008402,"{'alpha2': 'NX', 'alpha3': 'NIR', 'name': 'Northern Ireland', 'slug': 'northern-ireland'}",EUR,1057708800,"{'value': 33000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برادلي، كونور', 'hi': 'ब्रैडली, कॉनर', 'bn': 'ব্র্যাডলি, কনর'}, 'shortNameTranslation': {'ar': 'ك. برادلي', 'hi': 'सी. ब्रैडली', 'bn': 'সি. ব্র্যাডলি'}}",33.0,24.0,2.0,1.0,12.0,15.0,12.0,21.0,2.0,7.0,1.0,4.0,,,,,,68.0,54.0,7.7,16.0,0.205132,"{'original': 7.7, 'alternative': 7.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,0.0965,0.1214,3.0,,,,,,,,,,,,,
Jarell Quansah,,,jarell-quansah,J. Quansah,D,4,190,10706,M,jarellquansah,1003339,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1043798400,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاريل كوانسا', 'hi': 'जेरेल क्वांसाह', 'bn': 'জারেল কোয়ানসাহ'}, 'shortNameTranslation': {'ar': 'ج. كوانسا', 'hi': 'जे. क्वांसाह', 'bn': 'জে. কোয়ানসাহ'}}",51.0,43.0,4.0,1.0,34.0,34.0,9.0,17.0,2.0,4.0,2.0,,,,,,,90.0,57.0,6.7,8.0,0.00645991,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,5.0,,,,,,,1.0,1.0,,,,,3.0,1.0,1.0,1.0,2.0,,,,,,,,
Virgil van Dijk,,,virgil-van-dijk,V. van Dijk,D,4,195,103743,M,VvD,151545,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,678931200,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيرجيل فان دايك', 'hi': 'वर्जिल वान डिक', 'bn': 'ভার্জিল ভ্যান ডাইক'}, 'shortNameTranslation': {'ar': 'ف. فان دايك', 'hi': 'वी. वान डिक', 'bn': 'ভি. ভ্যান ডাইক'}}",66.0,59.0,5.0,3.0,41.0,43.0,18.0,23.0,7.0,8.0,7.0,7.0,,,,,,90.0,79.0,8.3,7.0,0.0206476,"{'original': 8.3, 'alternative': 8.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,,,,,,2.0,,,,0.1663,0.1405,,,2.0,,1.0,,1.0,,,,,,,
Joe Gomez,,,joe-gomez,J. Gomez,D,2,188,14017,M,joegomez5,318927,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,864345600,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جو غوميز', 'hi': 'जो गोमेज़', 'bn': 'জো গোমেজ'}, 'shortNameTranslation': {'ar': 'ج. غوميز', 'hi': 'जे. गोमेज़', 'bn': 'জে গোমেজ'}}",50.0,47.0,3.0,2.0,18.0,18.0,29.0,32.0,,3.0,3.0,3.0,,,,,,90.0,71.0,6.7,7.0,0.0307822,"{'original': 6.7, 'alternative': 6.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,8.0,4.0,,2.0,2.0,,,1.0,,1.0,0.0372,,1.0,2.0,,,,2.0,,1.0,,,,,,
Alexis Mac Allister,,,alexis-mac-allister,A. Mac Allister,M,10,176,73401,M,Macca10,895324,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,914457600,"{'value': 93000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكسيس ماك أليستر', 'hi': 'एलेक्सिस मैक एलिस्टर', 'bn': 'অ্যালেক্সিস ম্যাক অ্যালিস্টার'}, 'shortNameTranslation': {'ar': 'أ. ماك أليستر', 'hi': 'ए. मैक एलिस्टर', 'bn': 'এ. ম্যাক অ্যালিস্টার'}}",44.0,38.0,2.0,,9.0,10.0,32.0,41.0,1.0,6.0,,3.0,,,,,,89.0,65.0,8.3,12.0,0.435655,"{'original': 8.3, 'alternative': 8.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,7.0,6.0,4.0,1.0,2.0,2.0,1.0,,2.0,1.0,1.0,,,4.0,,,2.0,1.0,1.0,,,2.0,3.0,,,,
Wataru Endo,,,wataru-endo,W. Endo,M,3,178,19922,M,endowataru,143040,"{'alpha2': 'JP', 'alpha3': 'JPN', 'name': 'Japan', 'slug': 'japan'}",EUR,729216000,"{'value': 4600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'واتارو إندو', 'hi': 'वातारू एंडो', 'bn': 'ওয়ান্ডারিং এন্ডো'}, 'shortNameTranslation': {'ar': 'و. إندو', 'hi': 'डब्लू. एंडो', 'bn': 'ডব্লিউ. এন্ডো'}}",53.0,50.0,2.0,1.0,24.0,25.0,26.0,28.0,1.0,5.0,,6.0,,,,,,90.0,66.0,7.2,5.0,0.377058,"{'original': 7.2, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,10.0,6.0,1.0,1.0,1.0,1.0,,3.0,1.0,,,,3.0,2.0,1.0,,,1.0,,,,,,,,
Ryan Gravenberch,,,ryan-gravenberch,R. Gravenberch,M,38,190,30819,M,ryanjiro,904897,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,1021507200,"{'value': 98000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان غرافينبيرش', 'hi': 'रयान ग्रेवेनबेर्च', 'bn': 'রায়ান গ্রেভেনবার্চ'}, 'shortNameTranslation': {'ar': 'ر. غرافينبيرش', 'hi': 'आर. ग्रेवेनबेर्च', 'bn': 'আর. গ্রেভেনবেচ'}}",25.0,21.0,1.0,1.0,5.0,5.0,16.0,20.0,1.0,8.0,1.0,5.0,,,,,,78.0,49.0,7.4,9.0,0.117271,"{'original': 7.4, 'alternative': 7.4}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,6.0,1.0,2.0,2.0,1.0,,1.0,5.0,2.0,2.0,0.0678,0.0273,2.0,,,1.0,1.0,3.0,,,,,1.0,,,
Harvey Elliott,,,harvey-elliott,H. Elliott,M,19,170,21929,M,harvelliott,955245,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1049414400,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هارفي إليوت', 'hi': 'हार्वे इलियट', 'bn': 'হার্ভে এলিয়ট'}, 'shortNameTranslation': {'ar': 'ه. إليوت', 'hi': 'एच. इलियट', 'bn': 'এইচ. এলিয়ট'}}",49.0,39.0,2.0,1.0,8.0,8.0,34.0,51.0,,3.0,1.0,1.0,,,,,,90.0,76.0,8.9,23.0,0.398317,"{'original': 8.9, 'alternative': 8.6}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,10.0,2.0,,1.0,3.0,2.0,2.0,2.0,,,3.0,0.2891,0.563,8.0,,,1.0,1.0,,1.0,2.0,,3.0,1.0,,,
Cody Gakpo,,,cody-gakpo,C. Gakpo,M,18,193,53434,M,CodyGakpo,862967,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,926035200,"{'value': 67000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كودي جاكبو', 'hi': 'कोडी गाकपो', 'bn': 'কোডি গাকপো'}, 'shortNameTranslation': {'ar': 'ك. جاكبو', 'hi': 'सी. गाकपो', 'bn': 'সি. গাকপো'}}",24.0,16.0,,,4.0,5.0,12.0,19.0,5.0,12.0,1.0,6.0,,,,,,90.0,48.0,8.1,13.0,0.0378543,"{'original': 8.1, 'alternative': 7.8}",8,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,7.0,1.0,2.0,1.0,1.0,,4.0,2.0,2.0,3.0,0.9051,0.9829,1.0,1.0,1.0,,4.0,3.0,1.0,2.0,,,2.0,1.0,2.0,
Luis Díaz,,,luis-diaz,L. Díaz,F,14,178,140854,M,LuisDíaz,883537,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853113600,"{'value': 76000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس دياز', 'hi': 'लुइस डियाज़', 'bn': 'লুইস দিয়াজ'}, 'shortNameTranslation': {'ar': 'ل. دياز', 'hi': 'एल. डियाज़', 'bn': 'এল. দিয়াজ'}}",27.0,24.0,,,2.0,2.0,22.0,25.0,,8.0,1.0,5.0,,,,,,89.0,58.0,7.2,12.0,0.0514882,"{'original': 7.2, 'alternative': 6.7}",10,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,9.0,,4.0,5.0,2.0,,3.0,2.0,2.0,2.0,1.7595,1.199,1.0,2.0,,,4.0,,1.0,3.0,,,4.0,3.0,,
Andrew Robertson,,,andrew-robertson,A. Robertson,D,26,178,25243,M,andyrobertson94,262911,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,763344000,"{'value': 12800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندرو روبرتسون', 'hi': 'एंड्रयू रॉबर्टसन', 'bn': 'অ্যান্ড্রু রবার্টসন'}, 'shortNameTranslation': {'ar': 'أ. روبرتسون', 'hi': 'ए. रॉबर्टसन', 'bn': 'এ. রবার্টসন'}}",16.0,15.0,1.0,1.0,10.0,10.0,5.0,8.0,,2.0,1.0,1.0,,,,,,22.0,26.0,7.2,4.0,0.00220559,"{'original': 7.2, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,2.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,1.0,,,,,
Bobby Clark,,,bobby-clark,B. Clark,M,42,178,1832,M,,1142638,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1107734400,"{'value': 5500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوبي كلارك', 'hi': 'बॉबी क्लार्क', 'bn': 'ববি ক্লার্ক'}, 'shortNameTranslation': {'ar': 'ب. كلارك', 'hi': 'बी. क्लार्क', 'bn': 'বি. ক্লার্ক'}}",7.0,7.0,,,6.0,6.0,1.0,1.0,,1.0,,1.0,,,,,,12.0,14.0,6.3,3.0,0.00039917,"{'original': 6.3, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,5.0,1.0,2.0,1.0,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,
