name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialLost,duelLost,shotOffTarget,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialWon,duelWon,challengeLost,totalContest,wonContest,interceptionWon,totalTackle,unsuccessfulTouch,wasFouled,fouls,keyPass,blockedScoringAttempt,outfielderBlock,wonTackle,errorLeadToAGoal,dispossessed,onTargetScoringAttempt,hitWoodwork,goals,goalAssist,bigChanceCreated,totalOffside
Nick Pope,,,nick-pope,N. Pope,G,1,198,4568,M,npope29,162653,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,703641600,"{'value': 6700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيك بوب', 'hi': 'निक पोप', 'bn': 'নিক পোপ'}, 'shortNameTranslation': {'ar': 'ن. بوب', 'hi': 'एन. पोप', 'bn': 'এন. পোপ'}}",24.0,17.0,10.0,4.0,14.0,18.0,3.0,6.0,1.0,1.0,1.0,4.0,10.0,1.0,1.0,2.0,1.0,4.0,4.0,90.0,39.0,6.8,7.0,0.0264,0.0,0.00022751,"{'original': 6.8, 'alternative': 6.7}",1,-0.2485,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,
Kieran Trippier,,,kieran-trippier,K. Trippier,D,2,174,8611,M,ktrippier2,69256,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,653702400,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيران تريبيير', 'hi': 'किरन ट्रिप्पियर', 'bn': 'কাইরান ট্রিপিয়ার'}, 'shortNameTranslation': {'ar': 'ك. تريبيير', 'hi': 'के.ट्रिप्पियर', 'bn': 'কে. ট্রিপিয়ার'}}",92.0,77.0,1.0,,41.0,45.0,40.0,54.0,,4.0,,,7.0,,,,,,,90.0,116.0,7.4,21.0,0.0,0.0,0.207569,"{'original': 7.4, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,7.0,4.0,4.0,10.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,,,,,,,,,,,
Fabian Schär,,,fabian-schar,F. Schär,D,5,186,3205,M,,101882,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,693187200,"{'value': 5800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فابيان شار', 'hi': 'फेबियन शार', 'bn': 'ফ্যাবিয়ান শার'}, 'shortNameTranslation': {'ar': 'ف. شار', 'hi': 'एफ. शार', 'bn': 'এফ. শার'}}",96.0,86.0,11.0,4.0,69.0,73.0,17.0,23.0,2.0,3.0,,,7.0,,,,,,,90.0,98.0,6.3,10.0,0.0962,0.0,0.00998977,"{'original': 6.3, 'alternative': 6.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,
Sven Botman,,,sven-botman,S. Botman,D,4,193,3367,M,,910046,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,947635200,"{'value': 33000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سفين بوتمان', 'hi': 'स्वेन बोटमैन', 'bn': 'সোভেন বটম্যান'}, 'shortNameTranslation': {'ar': 'س. بوتمان', 'hi': 'एस. बोटमैन', 'bn': 'এস. বটম্যান'}}",85.0,78.0,6.0,4.0,58.0,62.0,20.0,23.0,2.0,2.0,2.0,3.0,4.0,,,,,,,87.0,98.0,6.9,8.0,0.0842,0.0,0.0103034,"{'original': 6.9, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,5.0,,,,2.0,2.0,1.0,1.0,,,,1.0,2.0,1.0,,,,,,,
Dan Burn,,,dan-burn,D. Burn,D,33,201,4399,M,,99090,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,705369600,"{'value': 5200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دان بيرن', 'hi': 'डैन बर्न', 'bn': 'ড্যান বার্ন'}, 'shortNameTranslation': {'ar': 'د. بيرن', 'hi': 'डी. बर्न', 'bn': 'ডি বার্ন'}}",52.0,46.0,,,25.0,27.0,21.0,25.0,,3.0,,4.0,4.0,,,,,,,90.0,66.0,6.8,7.0,0.0,0.0,0.00752548,"{'original': 6.8, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,4.0,2.0,,,,3.0,1.0,,1.0,1.0,,1.0,2.0,,,,,,,,
Sandro Tonali,,,sandro-tonali,S. Tonali,M,8,181,14020,M,sandrotonali,892673,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,957744000,"{'value': 69000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ساندرو تونالي', 'hi': 'सैंड्रो टोनाली', 'bn': 'সান্দ্রো টোনালি'}, 'shortNameTranslation': {'ar': 'س. تونالي', 'hi': 'एस. टोनाली', 'bn': 'এস. টোনালি'}}",36.0,27.0,2.0,,19.0,20.0,8.0,18.0,,3.0,,,4.0,,,,,,,72.0,47.0,6.8,12.0,0.0208,0.0,0.00476583,"{'original': 6.8, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,,5.0,1.0,3.0,2.0,,2.0,,1.0,1.0,,1.0,,2.0,,,,,,,,
Bruno Guimarães,,,bruno-guimaraes,B. Guimarães,M,39,182,31656,M,BrunoGuimarães,866469,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,879638400,"{'value': 77000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برونو غيماريش', 'hi': 'ब्रूनो गीमरेस', 'bn': 'ব্রুনো গুইমারেস'}, 'shortNameTranslation': {'ar': 'ب. غيمارايش', 'hi': 'बी. गीमरेस', 'bn': 'বি. গুইমারেস'}}",76.0,64.0,5.0,5.0,32.0,34.0,32.0,42.0,,6.0,1.0,1.0,3.0,,,,,,,90.0,94.0,7.2,16.0,0.0199,0.0,0.0303832,"{'original': 7.2, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,10.0,,3.0,2.0,,5.0,1.0,2.0,4.0,2.0,,,1.0,,2.0,,,,,,
Joelinton,,,joelinton,Joelinton,M,7,186,9814,M,joelinton34,560128,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,839980800,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جويلينتون', 'hi': 'जोलिंटन', 'bn': 'জোলিন্টন'}, 'shortNameTranslation': {'ar': 'جولينتون', 'hi': 'जोएलिंटन', 'bn': 'জোলিন্টন'}}",34.0,30.0,1.0,,10.0,11.0,20.0,23.0,1.0,7.0,,3.0,8.0,,,,,,,82.0,47.0,7.3,5.0,0.0617,0.0158,0.0553166,"{'original': 7.3, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,3.0,1.0,1.0,1.0,1.0,2.0,,,4.0,3.0,,,2.0,,1.0,1.0,,,,,
Miguel Almirón,,,miguel-almiron,M. Almirón,M,10,174,8455,M,miguel_almiron,333373,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,760838400,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميغيل ألميرون', 'hi': 'मिगुएल अल्मिरोन', 'bn': 'মিগুয়েল আলমিরন'}, 'shortNameTranslation': {'ar': 'م. ألميرون', 'hi': 'एम. अल्मिरोन', 'bn': 'এম. আলমিরন'}}",36.0,31.0,,,13.0,13.0,18.0,23.0,,3.0,4.0,,5.0,,,,,,,90.0,46.0,7.4,6.0,0.5393,0.1744,0.0177788,"{'original': 7.4, 'alternative': 7.2}",6,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,1.0,,,1.0,1.0,,,1.0,,1.0,,1.0,,1.0,1.0,2.0,,,,
Alexander Isak,,,alexander-isak,A. Isak,F,9,193,101689,M,AlexIsak,823941,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,937872000,"{'value': 124000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألكسندر إيزاك', 'hi': 'अलेक्जेंडर इसाक', 'bn': 'আলেকজান্ডার ইসাক'}, 'shortNameTranslation': {'ar': 'أ. إيزاك', 'hi': 'ए. इसाक', 'bn': 'এ. ইসাক'}}",5.0,4.0,1.0,,1.0,1.0,3.0,4.0,1.0,4.0,,,,,,,,,,72.0,10.0,6.7,3.0,0.1613,0.4268,0.0155714,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,2.0,1.0,,,,,1.0,2.0,1.0,1.0,,,,,1.0,1.0,,,,,
