name,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,averageX,averageY,pointsCount,team,firstName,sofascoreId,lastName
Jean-Ricner Bellegarde,jean-ricner-bellegarde,J.-R. Bellegarde,M,27,24690,M,845273,"{'nameTranslation': {'ar': 'جان ريسنير بلغارد', 'hi': 'जीन-रिकनर बेलेगार्डे', 'bn': 'জিন-রিকনার বেলেগার্ড'}, 'shortNameTranslation': {'ar': 'ج-ر. بيلغارد', 'hi': 'जे.आर. बेलेगार्डे', 'bn': 'জে.-আর. বেলগার্ড'}}",55.268965517241,53.089655172414,29,home,,,
Enso González,enso-gonzalez,Enso González,F,30,1545,M,1402232,"{'nameTranslation': {'ar': 'إنسو غونزاليس', 'hi': 'एनसो गोंजालेज', 'bn': 'এনসো গঞ্জালেজ'}, 'shortNameTranslation': {'ar': 'إ. غونزاليس', 'hi': 'एनसो गोंजालेज', 'bn': 'এনসো গঞ্জালেজ'}}",65.322222222222,19.177777777778,9,home,Enso González,,
Tommy Doyle,tommy-doyle,T. Doyle,M,7,809,M,932628,"{'nameTranslation': {'ar': 'تومي دويل', 'hi': 'टॉमी डॉयल', 'bn': 'টমি ডয়েল'}, 'shortNameTranslation': {'ar': 'ت. دويل', 'hi': 'टी. डॉयल', 'bn': 'টি. ডয়েল'}}",60.846666666667,56.28,15,home,,,
Hee-Chan Hwang,hee-chan-hwang,H. Hwang,F,11,6495,M,786186,"{'nameTranslation': {'ar': 'هي تشان هوانغ', 'hi': 'ही-चान ह्वांग', 'bn': 'হি-চ্যান হোয়াং'}, 'shortNameTranslation': {'ar': 'ه. هوانغ', 'hi': 'एच. ह्वांग', 'bn': 'এইচ. হোয়াং'}}",71.677142857143,44.08,35,home,,Hwangso,
Rayan Aït-Nouri,rayan-ait-nouri,R. A. Nouri,M,21,39814,M,931278,"{'nameTranslation': {'ar': 'ريان آيت نوري', 'hi': 'रेयान ऐत नूरी', 'bn': 'রায়ান আইত নুরী'}, 'shortNameTranslation': {'ar': 'ر. أ. نوري', 'hi': 'आर. ऐ. नूरी', 'bn': 'আর. এ. নুরী'}}",47.741025641026,81.017948717949,39,home,,r_aitnouri,
Pablo Sarabia,pablo-sarabia,P. Sarabia,M,7,2578,M,138573,"{'nameTranslation': {'ar': 'بابلو سارابيا', 'hi': 'पाब्लो साराबिया', 'bn': 'পাবলো সারাবিয়া'}, 'shortNameTranslation': {'ar': 'ب. سارابيا', 'hi': 'पी. साराबिया', 'bn': 'পি. সারাবিয়া'}}",69.865789473684,27.389473684211,38,home,,,
Boubacar Traoré,boubacar-traore,B. Traoré,M,8,1017,M,982613,"{'nameTranslation': {'ar': 'بوبكر تراوري', 'hi': 'बौबाकर ट्रैओरे', 'bn': 'বউবাকার ট্রাওরে'}, 'shortNameTranslation': {'ar': 'ب. تراوري', 'hi': 'बी. ट्रैओरे', 'bn': 'বি. ট্রাওরে'}}",52.134545454545,53.178181818182,55,home,,,
Mario Lemina,mario-lemina,M. Lemina,M,99,8485,M,307284,"{'nameTranslation': {'ar': 'ماريو ليمينا', 'hi': 'मारियो लेमिना', 'bn': 'মারিও লেমিনা'}, 'shortNameTranslation': {'ar': 'م. ليمينا', 'hi': 'एम. लेमिना', 'bn': 'এম. লেমিনা'}}",44.471717171717,45.39898989899,99,home,,,
Nélson Semedo,nelson-semedo,N. Semedo,M,27,7468,M,252821,"{'nameTranslation': {'ar': 'نيلسون سيميدو', 'hi': 'नेल्सन सेमेदो', 'bn': 'নেলসন সেমেডো'}, 'shortNameTranslation': {'ar': 'ن. سيميدو', 'hi': 'एन. सेमेदो', 'bn': 'এন. সেমিডো'}}",45.012903225806,25.859139784946,93,home,,nelsonsemedo50,
Max Kilman,max-kilman,M. Kilman,D,3,1235,M,894474,"{'nameTranslation': {'ar': 'ماكس كيلمان', 'hi': 'मैक्स किलमन', 'bn': 'ম্যাক্স কিলম্যান'}, 'shortNameTranslation': {'ar': 'م. كيلمان', 'hi': 'एम. किलमन', 'bn': 'এম. কিলম্যান'}}",34.41067961165,43.987378640777,103,home,,,
João Gomes,joao-gomes,J. Gomes,M,8,15514,M,1015267,"{'nameTranslation': {'ar': 'جواو غوميش', 'hi': 'जोआओ गोम्स', 'bn': 'জোয়াও গোমেস'}, 'shortNameTranslation': {'ar': 'جواو غوميش', 'hi': 'जोआओ गोम्स', 'bn': 'জোয়াও গোমেস'}}",55.436458333333,42.69375,96,home,,joaogomes.01,
Matheus Cunha,matheus-cunha,M. Cunha,F,10,62297,M,886363,"{'nameTranslation': {'ar': 'ماثيوس كونيا', 'hi': 'मैथियस कुन्हा', 'bn': 'ম্যাথিউস কুনহা'}, 'shortNameTranslation': {'ar': 'م. كونيا', 'hi': 'एम. कुन्हा', 'bn': 'এম. কুনহা'}}",68.496666666667,51.508333333333,60,home,,Cunha,
Daniel Bentley,daniel-bentley,D. Bentley,G,25,263,M,101367,"{'nameTranslation': {'ar': 'دانيال بنتلي', 'hi': 'डैनियल बेंटले', 'bn': 'ড্যানিয়েল বেন্টলি'}, 'shortNameTranslation': {'ar': 'د. بنتلي', 'hi': 'डी. बेंटले', 'bn': 'ডি. বেন্টলি'}}",11.29649122807,49.817543859649,57,home,,,
Toti Gomes,toti-gomes,T. Gomes,D,24,1089,M,973418,"{'nameTranslation': {'ar': 'توتي غوميس', 'hi': 'टोटी गोम्स', 'bn': 'টোটি গোমস'}, 'shortNameTranslation': {'ar': 'ت. غوميس', 'hi': 'टी. गोम्स', 'bn': 'টি. গোমেজ'}}",41.736904761905,75.382142857143,84,home,,,
Matt Doherty,matt-doherty,M. Doherty,D,2,1503,M,143047,"{'nameTranslation': {'ar': 'مات دوهيرتي', 'hi': 'मैट डोहर्टी', 'bn': 'ম্যাট ডোহার্টি'}, 'shortNameTranslation': {'ar': 'م. دوهيرتي', 'hi': 'एम. डोहर्टी', 'bn': 'এম. ডোহার্টি'}}",54.206976744186,12.21511627907,86,home,,,
Jean-Philippe Mateta,jean-philippe-mateta,J. Mateta,F,14,9259,M,848276,"{'nameTranslation': {'ar': 'جان-فيليب ماتيتا', 'hi': 'जीन-फिलिप माटेटा', 'bn': 'জিন-ফিলিপ মাটেটা'}, 'shortNameTranslation': {'ar': 'ج. ماتيتا', 'hi': 'जे. माटेटा', 'bn': 'জে. মাটেটা'}}",49.959090909091,50.727272727273,22,away,,Matetajphilippe,
Odsonne Édouard,odsonne-edouard,O. Édouard,F,19,5777,M,795228,"{'nameTranslation': {'ar': 'أودسون إدوارد', 'hi': 'ओडसन एडुआर्ड', 'bn': 'ওডসন এডওয়ার্ড'}, 'shortNameTranslation': {'ar': 'أ. إدوارد', 'hi': 'ओ. एडुआर्ड', 'bn': 'ও. এডওয়ার্ড'}}",59.65625,60.975,16,away,,,
Joel Ward,joel-ward,J. Ward,D,,256,M,39183,"{'nameTranslation': {'ar': 'جويل وارد', 'hi': 'जोएल वार्ड', 'bn': 'জোয়েল ওয়ার্ড'}, 'shortNameTranslation': {'ar': 'ج. وارد', 'hi': 'जे. वार्ड', 'bn': 'জে. ওয়ার্ড'}}",6.95,44.0,2,away,,,
Will Hughes,will-hughes,W. Hughes,M,19,1013,M,193554,"{'nameTranslation': {'ar': 'ويل هيوز', 'hi': 'विल ह्यूजेस', 'bn': 'উইল হিউজেস'}, 'shortNameTranslation': {'ar': 'و. هيوز', 'hi': 'डब्ल्यू. ह्यूजेस', 'bn': 'ডব্লিউ. হিউজেস'}}",47.025,74.966666666667,12,away,,,
Marc Guéhi,marc-guehi,M. Guéhi,D,6,7807,M,877994,"{'nameTranslation': {'ar': 'مارك غيهي', 'hi': 'मार्क गुएही', 'bn': 'মার্ক গুয়েহি'}, 'shortNameTranslation': {'ar': 'م. غيهي', 'hi': 'एम. गुएही', 'bn': 'এম. গুয়েহি'}}",30.9375,77.39375,16,away,,MarcGuehi13,
Tyrick Mitchell,tyrick-mitchell,T. Mitchell,M,3,1365,M,988275,"{'nameTranslation': {'ar': 'تيريك ميتشل', 'hi': 'टायरिक मिशेल', 'bn': 'টাইরিক মিচেল'}, 'shortNameTranslation': {'ar': 'ت. ميتشل', 'hi': 'टी. मिशेल', 'bn': 'টি. মিচেল'}}",49.530357142857,90.414285714286,56,away,,,
Dean Henderson,dean-henderson,D. Henderson,G,1,5014,M,788134,"{'nameTranslation': {'ar': 'دين هندرسون', 'hi': 'डीन हेंडरसन', 'bn': 'ডিন হেন্ডারসন'}, 'shortNameTranslation': {'ar': 'د. هندرسون', 'hi': 'डी. हेंडरसन', 'bn': 'ডি. হেন্ডারসন'}}",7.3390243902439,51.073170731707,41,away,,deanhenderson,
Eberechi Eze,eberechi-eze,E. Eze,F,10,55112,M,864921,"{'nameTranslation': {'ar': 'إيبيريشي إيز', 'hi': 'एबेरची ईज़े', 'bn': 'ইবেরেচি এজ'}, 'shortNameTranslation': {'ar': 'إ. إيز', 'hi': 'ई. ईज़े', 'bn': 'ই. এজ'}}",62.211111111111,73.011111111111,54,away,,eze,
Adam Wharton,adam-wharton,A. Wharton,M,20,5314,M,1109771,"{'nameTranslation': {'ar': 'آدم وارتون', 'hi': 'एडम व्हार्टन', 'bn': 'অ্যাডাম ওয়ার্টন'}, 'shortNameTranslation': {'ar': 'أ. وارتون', 'hi': 'ए. व्हार्टन', 'bn': 'এ. ওয়ার্টন'}}",47.037704918033,47.291803278689,61,away,,,
Naouirou Ahamada,naouirou-ahamada,N. Ahamada,M,28,422,M,997104,"{'nameTranslation': {'ar': 'نويرو أحمادا', 'hi': 'नाओइरौ अहमदा', 'bn': 'নাউইরু আহমাদা'}, 'shortNameTranslation': {'ar': 'ن. أحمادا', 'hi': 'एन. अहमदा', 'bn': 'এন. আহমাদা'}}",48.353225806452,65.453225806452,62,away,,,
Michael Olise,michael-olise,M. Olise,M,17,65968,M,978838,"{'nameTranslation': {'ar': 'مايكل أوليس', 'hi': 'माइकल ओलिस', 'bn': 'মাইকেল ওলিস'}, 'shortNameTranslation': {'ar': 'م. أوليس', 'hi': 'एम. ओलिस', 'bn': 'এম. ওলিস'}}",60.471014492754,30.691304347826,69,away,,MOlise,
Nathaniel Clyne,nathaniel-clyne,N. Clyne,D,17,674,M,43215,"{'nameTranslation': {'ar': 'ناثانييل كلاين', 'hi': 'नाथनियल क्लाइन', 'bn': 'নাথানিয়েল ক্লাইন'}, 'shortNameTranslation': {'ar': 'ن. كلاين', 'hi': 'एन. क्लाइन', 'bn': 'এন. ক্লাইন'}}",35.998039215686,46.690196078431,51,away,,,
Daniel Muñoz,daniel-munoz,D. Muñoz,M,2,11977,M,870360,"{'nameTranslation': {'ar': 'دانييل مونوز', 'hi': 'डैनियल मुनोज़', 'bn': 'ড্যানিয়েল মুনোজ'}, 'shortNameTranslation': {'ar': 'د. مونوز', 'hi': 'डी. मुनोज़', 'bn': 'ডি. মুনোজ'}}",51.207246376812,19.707246376812,69,away,,daniel.chitiva,
Joachim Andersen,joachim-andersen,J. Andersen,D,5,2408,M,362682,"{'nameTranslation': {'ar': 'يواكيم أندرسن', 'hi': 'जोआचिम एंडरसन', 'bn': 'জোয়াকিম অ্যান্ডারসেন'}, 'shortNameTranslation': {'ar': 'ي. أندرسن', 'hi': 'जे. एंडरसन', 'bn': 'জে. অ্যান্ডারসেন'}}",30.175280898876,50.091011235955,89,away,,,
Chris Richards,chris-richards,C. Richards,D,26,2004,M,931844,"{'nameTranslation': {'ar': 'كريس ريتشاردز', 'hi': 'क्रिस रिचर्ड्स', 'bn': 'ক্রিস রিচার্ডস'}, 'shortNameTranslation': {'ar': 'ك. ريتشاردز', 'hi': 'सी. रिचर्ड्स', 'bn': 'সি. রিচার্ডস'}}",34.097590361446,71.827710843374,83,away,,,
