name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,goodHighClaim,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialLost,duelLost,totalContest,wonContest,onTargetScoringAttempt,blockedScoringAttempt,interceptionWon,totalTackle,wonTackle,wasFouled,totalOffside,expectedGoals,expectedGoalsOnTarget,keyPass,sofascoreId,outfielderBlock,fouls,firstName,lastName,dispossessed,bigChanceMissed,unsuccessfulTouch,challengeLost,bigChanceCreated,shotOffTarget,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,goals,goalAssist
Bernd Leno,bernd-leno,B. Leno,G,1,190,2729,M,103335,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,699667200,"{'value': 7400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيرند لينو', 'hi': 'बर्न्ड लेनो', 'bn': 'বার্ন্ড লেনো'}, 'shortNameTranslation': {'ar': 'ب. لينو', 'hi': 'बी. लेनो', 'bn': 'বি. লেনো'}}",32.0,25.0,10.0,3.0,24.0,25.0,1.0,7.0,1.0,1.0,1.0,5.0,1.0,90.0,37.0,5.9,7.0,0.00020296,"{'original': 5.9, 'alternative': 5.9}",0,-1.4502,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timothy Castagne,timothy-castagne,T. Castagne,D,21,185,2324,M,329417,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,818121600,"{'value': 9500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيموثي كاستاني', 'hi': 'टिमोथी कास्टेग्ने', 'bn': 'টিমোথি কাস্টেন'}, 'shortNameTranslation': {'ar': 'ت. كاستاني', 'hi': 'टी. कास्टेग्ने', 'bn': 'টি. কাস্টেন'}}",63.0,54.0,2.0,1.0,32.0,35.0,23.0,29.0,4.0,8.0,1.0,6.0,,90.0,93.0,7.4,10.0,0.0697996,"{'original': 7.4, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.3237,0.0471,2.0,,,,,,,,,,,,,,,,,,
Tosin Adarabioyo,tosin-adarabioyo,T. Adarabioyo,D,4,196,10404,M,352668,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,875059200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توسين أدارابايو', 'hi': 'टोसिन अदाराबियोयो', 'bn': 'তোসিন আদারাবিয়োয়ো'}, 'shortNameTranslation': {'ar': 'ت. أدارابايو', 'hi': 'टी. अदाराबियोयो', 'bn': 'টি. আদারাবিয়োয়ো'}}",112.0,103.0,12.0,8.0,71.0,75.0,32.0,37.0,2.0,3.0,4.0,7.0,,90.0,124.0,7.2,9.0,0.0461579,"{'original': 7.2, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,3.0,,,,1.0,3.0,1.0,1.0,,,0.0033,,1.0,tosinadarabioyo,1.0,1.0,,,,,,,,,,,,,,,
Calvin Bassey,calvin-bassey,C. Bassey,D,3,185,4536,M,861972,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,946598400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالفين باسي', 'hi': 'केल्विन बैसी', 'bn': 'ক্যালভিন বাসসি'}, 'shortNameTranslation': {'ar': 'ك. باسي', 'hi': 'सी. बैसी', 'bn': 'সি. বাসসি'}}",95.0,90.0,4.0,3.0,60.0,62.0,30.0,33.0,2.0,4.0,,6.0,,90.0,100.0,6.7,6.0,0.0114721,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,3.0,1.0,1.0,,,1.0,,,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,
Antonee Robinson,antonee-robinson,A. Robinson,D,33,183,2925,M,803174,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,870998400,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني روبنسون', 'hi': 'एंटोनी रॉबिन्सन', 'bn': 'অ্যান্টনি রবিনসন'}, 'shortNameTranslation': {'ar': 'أ. روبنسون', 'hi': 'ए. रॉबिन्सन', 'bn': 'এ. রবিনসন'}}",58.0,48.0,4.0,2.0,29.0,34.0,20.0,28.0,1.0,7.0,2.0,8.0,,82.0,83.0,6.9,18.0,0.0141311,"{'original': 6.9, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,1.0,,2.0,5.0,3.0,,2.0,2.0,3.0,1.0,,,0.1439,,,,,,,,,1.0,1.0,,,,,,,,,,
João Palhinha,joao-palhinha,J. Palhinha,M,6,189,16675,M,364612,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,805248000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو بالينيا', 'hi': 'जोआओ पालहिन्हा', 'bn': 'জোয়াও পালহিনহা'}, 'shortNameTranslation': {'ar': 'ج. بالينيا', 'hi': 'जे. पालहिन्हा', 'bn': 'জে. পলহিনহা'}}",55.0,44.0,7.0,4.0,20.0,22.0,24.0,33.0,4.0,6.0,1.0,3.0,,82.0,68.0,7.3,13.0,0.170581,"{'original': 7.3, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,2.0,,,1.0,,2.0,2.0,2.0,,,0.0745,0.0476,1.0,Palhinha,,1.0,,,,,1.0,1.0,,,,,,,,,
Tom Cairney,tom-cairney,T. Cairney,M,10,185,480,M,82566,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,664329600,"{'value': 795000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توم كايرني', 'hi': 'टॉम केर्नी', 'bn': 'টম কেয়ারনে'}, 'shortNameTranslation': {'ar': 'ت. كايرني', 'hi': 'टी. केर्नी', 'bn': 'টি. কেয়ারনে'}}",91.0,79.0,5.0,1.0,35.0,38.0,44.0,55.0,2.0,8.0,,11.0,,90.0,105.0,7.3,17.0,0.0672222,"{'original': 7.3, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,2.0,,,3.0,1.0,1.0,,,1.0,1.0,1.0,4.0,,,,1.0,,,,,,1.0,,1.0,2.0,,,,,,,,,
Harry Wilson,harry-wilson,H. Wilson,M,8,173,4052,M,355528,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,858988800,"{'value': 22000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاري ويلسون', 'hi': 'हैरी विल्सन', 'bn': 'হ্যারি উইলসন'}, 'shortNameTranslation': {'ar': 'ه. ويلسون', 'hi': 'एच. विल्सन', 'bn': 'এইচ. উইলসন'}}",33.0,27.0,1.0,1.0,3.0,5.0,25.0,31.0,1.0,5.0,,2.0,,90.0,57.0,6.9,12.0,0.0388892,"{'original': 6.9, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,1.0,,4.0,1.0,,1.0,1.0,1.0,1.0,,3.0,,0.1009,0.211,1.0,,,1.0,,,1.0,,2.0,1.0,,,,,,,,,
Andreas Pereira,andreas-pereira,A. Pereira,M,18,177,13772,M,285949,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,820454400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}, 'shortNameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}}",43.0,29.0,7.0,2.0,11.0,16.0,20.0,37.0,,2.0,,3.0,,65.0,64.0,6.4,28.0,0.0432188,"{'original': 6.4, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,10.0,2.0,2.0,6.0,2.0,1.0,,1.0,,,,1.0,,0.0341,,,andreaspereira,,,,,3.0,,2.0,,,,,,,,,,
Alex Iwobi,alex-iwobi,A. Iwobi,M,17,183,7053,M,352770,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,831081600,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكس إيووبي', 'hi': 'एलेक्स इवोबी', 'bn': 'অ্যালেক্স ইওবি'}, 'shortNameTranslation': {'ar': 'أ. إيووبي', 'hi': 'ए. इवोबी', 'bn': 'এ. ইওবি'}}",52.0,46.0,3.0,1.0,9.0,11.0,37.0,43.0,,3.0,1.0,6.0,,90.0,73.0,7.4,15.0,0.143023,"{'original': 7.4, 'alternative': 7}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,,5.0,5.0,2.0,1.0,3.0,,1.0,1.0,,1.0,0.4621,0.0842,3.0,alexanderiwobi,,,,,2.0,,2.0,,1.0,1.0,,,,,,,
Rodrigo Muniz,rodrigo-muniz,R. Muniz,F,9,184,4513,M,1015256,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,988934400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رودريغو مونيز', 'hi': 'रोड्रिगो मुनिज़', 'bn': 'রদ্রিগো মুনিজ'}, 'shortNameTranslation': {'ar': 'ر. مونيز', 'hi': 'आर. मुनिज़', 'bn': 'আর. মুনিজ'}}",10.0,7.0,1.0,,1.0,1.0,6.0,9.0,1.0,5.0,1.0,3.0,,64.0,28.0,7.1,8.0,0.0802229,"{'original': 7.1, 'alternative': 6.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,2.0,,,,,,,,4.0,,0.0997,,2.0,RodrigoMuniz019,,,,,2.0,,3.0,,,2.0,,,,,,,
Carlos Vinícius,carlos-vinicius,C. Vinícius,F,95,190,4988,M,891920,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,796089600,"{'value': 4900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كارلوس فينيسيوس', 'hi': 'कार्लोस विनीसियस', 'bn': 'কার্লোস ভিনিসিয়াস'}, 'shortNameTranslation': {'ar': 'ك. فينيسيوس', 'hi': 'सी. विनीसियस', 'bn': 'সি. ভিনিসিয়াস'}}",7.0,6.0,,,3.0,3.0,3.0,4.0,,,,,,26.0,11.0,6.7,3.0,0.0378313,"{'original': 6.7, 'alternative': 6.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,1.0,3.0,1.0,,1.0,,,,,,,0.1429,0.0706,1.0,,,,,,1.0,,,,,1.0,,,,,,,
Bobby Decordova-Reid,bobby-decordova-reid,B. Reid,M,14,170,1202,M,151499,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,728611200,"{'value': 1400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوبي ديكوردوفا-ريد', 'hi': 'बॉबी डेकोर्डोवा-रीड', 'bn': 'ববি ডেকোরডোভা-রিড'}, 'shortNameTranslation': {'ar': 'ب. ريد', 'hi': 'बी. डेकोर्डोवा-रीड', 'bn': 'বি. রিড'}}",12.0,9.0,,,3.0,3.0,7.0,10.0,,2.0,,,,25.0,19.0,6.9,3.0,0.0689884,"{'original': 6.9, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,0.0392,,2.0,,,,,,,,,,,1.0,,,,,,,
Fodé Ballo-Touré,fode-ballo-toure,F. Ballo-Touré,D,97,177,1471,M,788170,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,852249600,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فودي بالو توريه', 'hi': 'फ़ोडे बल्लो-टूरे', 'bn': 'ফোডে ব্যালো-টোরে'}, 'shortNameTranslation': {'ar': 'ف. بالو توريه', 'hi': 'एफ. बल्लो-टूरे', 'bn': 'এফ. বাল্লো-টোরে'}}",9.0,5.0,,,4.0,5.0,1.0,6.0,,3.0,,,,8.0,20.0,6.8,8.0,0.00045762,"{'original': 6.8, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,2.0,,1.0,3.0,3.0,2.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,
Harrison Reed,harrison-reed,H. Reed,M,6,176,269,M,365802,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,791164800,"{'value': 3200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاريسون ريد', 'hi': 'हैरिसन रीड', 'bn': 'হ্যারিসন রিড'}, 'shortNameTranslation': {'ar': 'ه. ريد', 'hi': 'एच. रीड', 'bn': 'এইচ. রিড'}}",30.0,26.0,2.0,1.0,21.0,24.0,5.0,6.0,,,,1.0,,8.0,30.0,6.6,4.0,0.0144122,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marek Rodák,marek-rodak,M. Rodák,G,1,188,425,M,358694,"{'alpha2': 'SK', 'alpha3': 'SVK', 'name': 'Slovakia', 'slug': 'slovakia'}",EUR,850435200,"{'value': 3100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماريك روداك', 'hi': 'मारेक रोडाक', 'bn': 'মারেক রডাক'}, 'shortNameTranslation': {'ar': 'م. روداك', 'hi': 'एम. रोडाक', 'bn': 'এম. রডাক'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
