name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,duelLost,duelWon,dispossessed,totalContest,wonContest,shotOffTarget,hitWoodwork,unsuccessfulTouch,wasFouled,fouls,expectedGoals,keyPass,aerialLost,interceptionWon,aerialWon,challengeLost,bigChanceMissed,onTargetScoringAttempt,blockedScoringAttempt,goals,outfielderBlock,totalTackle,wonTackle,totalOffside,expectedGoalsOnTarget,totalCross,bigChanceCreated,accurateCross,punches,goalAssist,clearanceOffLine
André Onana,,,andre-onana,A. Onana,G,24,190,55570,M,AndréOnana24,787498,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,828403200,"{'value': 18500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندريه أونانا', 'hi': 'आंद्रे ओनाना', 'bn': 'আন্দ্রে ওনানা'}, 'shortNameTranslation': {'ar': 'أ. أونانا', 'hi': 'ए. ओनाना', 'bn': 'এ. ওনানা'}}",27.0,24.0,9.0,6.0,19.0,19.0,5.0,8.0,1.0,5.0,1.0,1.0,3.0,1.0,1.0,90.0,35.0,6.8,3.0,0.00421439,"{'original': 6.8, 'alternative': 6.5}",0,-0.8521,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diogo Dalot,,,diogo-dalot,D. Dalot,M,2,184,22683,M,DDalot,843200,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,921715200,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديوغو دالوت', 'hi': 'डिओगो डालोत', 'bn': 'ডিওগো ডালট'}, 'shortNameTranslation': {'ar': 'د. دالوت', 'hi': 'डी. डालोत', 'bn': 'ডি. ডালট'}}",52.0,43.0,3.0,1.0,17.0,20.0,26.0,32.0,,3.0,,,,,,90.0,79.0,6.6,19.0,0.0319583,"{'original': 6.6, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,4.0,2.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0591,1.0,,,,,,,,,,,,,,,,,,,
Raphaël Varane,,,raphael-varane,R. Varane,D,,191,10416,M,raphael_varane,138310,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,735696000,,"{'nameTranslation': {'ar': 'رافاييل فاران', 'hi': 'रफएल वरने', 'bn': 'রাফায়েল ভারানে'}, 'shortNameTranslation': {'ar': 'ر. فاران', 'hi': 'आर. वरने', 'bn': 'আর. ভারানে'}}",52.0,49.0,2.0,1.0,20.0,22.0,29.0,30.0,4.0,2.0,,,,,,90.0,60.0,6.4,5.0,0.0109585,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,,,,,,,2.0,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,
Harry Maguire,,,harry-maguire,H. Maguire,D,5,194,27440,M,harrymaguire93,149380,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,731289600,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاري ماغواير', 'hi': 'हैरी मैगुइर', 'bn': 'হ্যারি ম্যাগুইরে'}, 'shortNameTranslation': {'ar': 'ه. ماغواير', 'hi': 'एच. मैगुइर', 'bn': 'এইচ. ম্যাগুইরে'}}",86.0,80.0,9.0,5.0,50.0,51.0,30.0,35.0,5.0,6.0,,,,,,90.0,104.0,8.0,8.0,0.211294,"{'original': 8, 'alternative': 7.6}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,6.0,,1.0,,2.0,,1.0,1.0,,1.0659,2.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9172,,,,,,
Victor Lindelöf,,,victor-lindelof,V. Lindelöf,D,3,187,9198,M,victorlindelof,143334,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,774403200,"{'value': 5800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيكتور ليندلوف', 'hi': 'विक्टर लिंडलोफ', 'bn': 'ভিক্টর লিন্ডেলফ'}, 'shortNameTranslation': {'ar': 'ف. ليندلوف', 'hi': 'वी. लिंडलोफ', 'bn': 'ভি. লিন্ডেলফ'}}",53.0,51.0,1.0,1.0,23.0,23.0,28.0,30.0,3.0,5.0,,,,,,89.0,65.0,7.0,4.0,0.0830014,"{'original': 7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,1.0,,,,,,1.0,,1.0,0.1307,2.0,1.0,,1.0,,,1.0,,,,,,,0.1845,,,,,,
Kobbie Mainoo,Kobbie,Mainoo,kobbie-mainoo,K. Mainoo,M,37,180,54282,M,KobbieM,1142175,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1113868800,"{'value': 41000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كوبي ماينو', 'hi': 'कोबी मैनू', 'bn': 'কোবি মাইনু'}, 'shortNameTranslation': {'ar': 'ك. ماينو', 'hi': 'के. मैनू', 'bn': 'কে. মাইনু'}}",31.0,27.0,2.0,1.0,9.0,11.0,18.0,20.0,1.0,1.0,,,,,,80.0,43.0,7.1,6.0,0.412048,"{'original': 7.1, 'alternative': 7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,4.0,1.0,,,2.0,,1.0,2.0,,0.0853,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,
Casemiro,,,casemiro,Casemiro,M,18,185,88452,M,Casemiro,122951,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,698803200,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاسيميرو', 'hi': 'कैसेमिरो', 'bn': 'ক্যাসেমিরো'}, 'shortNameTranslation': {'ar': 'كاسيميرو', 'hi': 'कैसेमिरो', 'bn': 'ক্যাসেমিরো'}}",26.0,24.0,3.0,3.0,12.0,12.0,12.0,15.0,1.0,1.0,,,,,,53.0,39.0,7.0,5.0,0.0235341,"{'original': 7, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,5.0,,3.0,1.0,,,,,1.0,0.0278,1.0,1.0,,,,,,1.0,,1.0,4.0,4.0,,,1.0,,,,,
Omari Forson,,,forson-omari,O. Forson,M,20,179,1079,M,,1153434,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1090281600,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فورسون، أوماري', 'hi': 'फ़ोरसन, ओमारी', 'bn': 'ফোরসন, ওমারি'}, 'shortNameTranslation': {'ar': 'ف. أوماري', 'hi': 'ओ. फ़ोरसन', 'bn': 'ও. ফোরসন'}}",18.0,17.0,,,5.0,5.0,12.0,13.0,,2.0,,,,,,53.0,21.0,6.7,2.0,0.0054792,"{'original': 6.7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,,1.0,,,,,,,0.0273,1.0,1.0,,,,,,1.0,,,,,,,,1.0,,,,
Bruno Fernandes,,,bruno-fernandes,B. Fernandes,M,8,179,216692,M,BrunoFernandes,288205,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,778982400,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برونو فيرنانديز', 'hi': 'ब्रूनो फर्नांडीस', 'bn': 'ব্রুনো ফার্নান্দেস'}, 'shortNameTranslation': {'ar': 'ب. فرنانديز', 'hi': 'बी. फर्नांडीस', 'bn': 'বি. ফার্নান্দেস'}}",63.0,46.0,8.0,2.0,16.0,19.0,30.0,50.0,1.0,4.0,,,,,,90.0,89.0,7.6,28.0,0.0434414,"{'original': 7.6, 'alternative': 7.4}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,7.0,8.0,2.0,2.0,2.0,,,2.0,,2.0,0.1135,2.0,1.0,1.0,2.0,2.0,,4.0,1.0,,,4.0,2.0,,0.8082,6.0,,,,,
Alejandro Garnacho,,,alejandro-garnacho,A. Garnacho,F,49,180,145162,M,AleGarnacho,1135873,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1088640000,"{'value': 42000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليخاندرو غارناتشو', 'hi': 'एलेजांद्रो गार्नाचो', 'bn': 'আলেজান্দ্রো গার্নাচো'}, 'shortNameTranslation': {'ar': 'أ. غارناتشو', 'hi': 'ए. गार्नाचो', 'bn': 'এ. গার্নাচো'}}",30.0,24.0,2.0,1.0,7.0,7.0,17.0,26.0,1.0,1.0,,,,,,90.0,57.0,7.6,13.0,0.0743235,"{'original': 7.6, 'alternative': 7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,6.0,8.0,2.0,4.0,2.0,,,,5.0,,0.1109,3.0,1.0,2.0,,1.0,,2.0,1.0,,,1.0,,,0.3227,3.0,,,,,
