name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,aerialLost,aerialWon,duelLost,challengeLost,totalContest,wonContest,shotOffTarget,totalClearance,interceptionWon,totalTackle,fouls,expectedGoals,dispossessed,outfielderBlock,wonTackle,unsuccessfulTouch,keyPass,sofascoreId,totalCross,goalAssist,bigChanceCreated,blockedScoringAttempt,hitWoodwork,accurateCross,errorLeadToAShot,onTargetScoringAttempt,goals,expectedGoalsOnTarget,bigChanceMissed,goodHighClaim,totalOffside
Thomas Kaminski,thomas-kaminski,T. Kaminski,G,1,190,558,M,45959,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,719798400,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماس كامينسكي', 'hi': 'थॉमस कामिन्स्की', 'bn': 'টমাস কামিনস্কি'}, 'shortNameTranslation': {'ar': 'ت. كامينسكي', 'hi': 'टी. कामिन्स्की', 'bn': 'টি. কামিনস্কি'}}",34.0,14.0,30.0,10.0,7.0,8.0,7.0,26.0,1.0,8.0,1.0,2.0,2.0,90.0,38.0,7.1,20.0,0.00203818,"{'original': 7.1, 'alternative': 7.4}",0,0.2568,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teden Mengi,teden-mengi,T. Mengi,D,15,183,793,M,979233,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1020124800,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيدن منجي', 'hi': 'टेडेन मेंगी', 'bn': 'টেডেন মেঙ্গি'}, 'shortNameTranslation': {'ar': 'ت. منجي', 'hi': 'टी. मेंगी', 'bn': 'টি. মেঙ্গি'}}",16.0,9.0,5.0,2.0,7.0,9.0,2.0,7.0,3.0,2.0,,,,90.0,27.0,6.9,7.0,0.00231601,"{'original': 6.9, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,4.0,1.0,6.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0366,,,,,,,,,,,,,,,,,,,
Gabriel Osho,gabriel-osho,G. Osho,D,3,185,835,M,920680,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,903052800,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غابرييل أوشو', 'hi': 'गेब्रियल ओशो', 'bn': 'গ্যাব্রিয়েল ওশো'}, 'shortNameTranslation': {'ar': 'غ. أوشو', 'hi': 'जी. ओशो', 'bn': 'জি. ওশো'}}",11.0,8.0,2.0,1.0,7.0,7.0,1.0,4.0,4.0,4.0,,,,90.0,32.0,7.4,6.0,0.00044523,"{'original': 7.4, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,1.0,5.0,,,,,7.0,2.0,3.0,1.0,,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,
Amari'i Bell,amarii-bell,A. Bell,D,17,179,253,M,369674,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,768096000,"{'value': 1000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'اماري بيل', 'hi': ""अमरी'ई बेल"", 'bn': 'আমারি বেল'}, 'shortNameTranslation': {'ar': 'ا. بيل', 'hi': 'एक बेल', 'bn': 'এ. বেল'}}",35.0,25.0,5.0,3.0,9.0,12.0,16.0,23.0,3.0,4.0,,,,76.0,50.0,7.0,13.0,0.00618995,"{'original': 7, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,1.0,,2.0,,2.0,1.0,,6.0,,2.0,,,,,2.0,2.0,1.0,,,,,,,,,,,,,,
Issa Kaboré,issa-kabore,I. Kaboré,D,12,180,17342,M,1006189,"{'alpha2': 'BF', 'alpha3': 'BFA', 'name': 'Burkina Faso', 'slug': 'burkina-faso'}",EUR,989625600,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'عيسى كابوري', 'hi': 'इस्सा काबोरे', 'bn': 'ইসা কাবোরে'}, 'shortNameTranslation': {'ar': 'ع. كابوري', 'hi': 'आई. काबोरे', 'bn': 'আই. কাবোরে'}}",11.0,8.0,,,2.0,2.0,6.0,11.0,1.0,,,,,45.0,22.0,6.8,6.0,0.0130435,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,2.0,2.0,,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,issa_kabore_29,2.0,,,,,,,,,,,,
Albert Sambi Lokonga,albert-sambi-lokonga,A. S. Lokonga,M,6,183,3693,M,901892,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,940550400,"{'value': 6200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألبرت سامبي لوكونغا', 'hi': 'अल्बर्ट साम्बी लोकोंगा', 'bn': 'আলবার্ট সাম্বি লোকোঙ্গা'}, 'shortNameTranslation': {'ar': 'أ. س. لوكونغا', 'hi': 'ए.एस. लोकोंगा', 'bn': 'এ. এস. লোকঙ্গা'}}",33.0,30.0,2.0,2.0,7.0,7.0,23.0,26.0,3.0,4.0,1.0,,,80.0,42.0,6.8,5.0,0.0276982,"{'original': 6.8, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,5.0,,2.0,,,1.0,,1.0,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,
Ross Barkley,ross-barkley,R. Barkley,M,6,188,2380,M,98435,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,755049600,"{'value': 4500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روس باركلي', 'hi': 'रॉस बार्कले', 'bn': 'রস বার্কলে'}, 'shortNameTranslation': {'ar': 'ر. باركلي', 'hi': 'आर. बार्कले', 'bn': 'আর. বার্কলে'}}",50.0,42.0,4.0,2.0,19.0,22.0,23.0,28.0,5.0,11.0,1.0,,,90.0,67.0,7.8,11.0,0.30288,"{'original': 7.8, 'alternative': 7.6}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,8.0,3.0,4.0,2.0,4.0,,1.0,1.0,2.0,0.2325,1.0,,,,2.0,,,1.0,2.0,1.0,1.0,,,,,,,,
Alfie Doughty,alfie-doughty,A. Doughty,M,14,183,576,M,945792,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,945734400,"{'value': 5700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألفي دوتي', 'hi': 'अल्फी डौटी', 'bn': 'আলফি ডাউটি'}, 'shortNameTranslation': {'ar': 'أ. دوتي', 'hi': 'ए. डौटी', 'bn': 'এ. ডাউটি'}}",40.0,33.0,5.0,4.0,19.0,20.0,17.0,29.0,5.0,10.0,,,,90.0,81.0,7.1,24.0,0.176366,"{'original': 7.1, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,4.0,,7.0,3.0,,,3.0,1.0,,,,,1.0,4.0,3.0,,9.0,,,,,3.0,1.0,,,,,,
Andros Townsend,andros-townsend,A. Townsend,F,30,181,609,M,47992,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,679622400,"{'value': 600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندروس تاونسيند', 'hi': 'एंड्रोस टाउनसेंड', 'bn': 'অ্যান্ড্রোস টাউনসেন্ড'}, 'shortNameTranslation': {'ar': 'أ. تاونسيند', 'hi': 'ए. टाउनसेंड', 'bn': 'এ. টাউনসেন্ড'}}",22.0,19.0,5.0,3.0,1.0,2.0,19.0,25.0,3.0,7.0,,,,81.0,39.0,8.0,10.0,0.0500834,"{'original': 8, 'alternative': 7.8}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,3.0,,3.0,2.0,1.0,,,1.0,1.0,0.5131,1.0,,,1.0,1.0,,5.0,,,,,1.0,,2.0,1.0,1.0822,,,
Jacob Brown,jacob-brown,J. Brown,F,19,178,152,M,858911,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,892166400,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاكوب براون', 'hi': 'जैकब ब्राउन', 'bn': 'জ্যাকব ব্রাউন'}, 'shortNameTranslation': {'ar': 'ج. براون', 'hi': 'जे. ब्राउन', 'bn': 'জে. ব্রাউন'}}",22.0,13.0,3.0,,3.0,3.0,10.0,19.0,4.0,4.0,1.0,,,90.0,40.0,7.0,18.0,0.0213507,"{'original': 7, 'alternative': 6.8}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,7.0,2.0,11.0,,1.0,,1.0,1.0,,1.0,,0.0925,3.0,,,5.0,3.0,,,,,1.0,1.0,,,1.0,,0.1038,,,
