name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalContest,wonContest,ballRecovery,wasFouled,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,duelLost,bigChanceMissed,shotOffTarget,totalClearance,outfielderBlock,interceptionWon,totalTackle,wonTackle,penaltyConceded,fouls,challengeLost,unsuccessfulTouch,dispossessed,totalCross,accurateCross,keyPass,onTargetScoringAttempt,totalOffside,sofascoreId,goals,bigChanceCreated,punches,blockedScoringAttempt,clearanceOffLine,goalAssist,hitWoodwork,penaltyMiss
Wesley Foderingham,,,wesley-foderingham,W. Foderingham,G,25,185,337,M,187861,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,663811200,"{'value': 545000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويزلي فوديرينغهام', 'hi': 'वेस्ले फोडरिंगम', 'bn': 'ওয়েসলি ফোডেরিংহাম'}, 'shortNameTranslation': {'ar': 'و. فوديرينغهام', 'hi': 'डब्लू. फोडरिंगम', 'bn': 'ডব্লিউ. ফোডেরিংহাম'}}",31.0,20.0,23.0,12.0,8.0,9.0,12.0,22.0,1.0,2.0,1.0,1.0,12.0,1.0,4.0,1.0,7.0,90.0,44.0,8.0,11.0,0.0,0.0,0.00133287,"{'original': 8, 'alternative': 7.7}",0,0.4679,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anel Ahmedhodžić,,,anel-ahmedhodzic,A. Ahmedhodžić,D,21,190,1558,M,825899,"{'alpha2': 'BA', 'alpha3': 'BIH', 'name': 'Bosnia & Herzegovina', 'slug': 'bosnia-and-herzegovina'}",EUR,922406400,"{'value': 15500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنيل أحمدهودزيتش', 'hi': 'एनेल अहमदहोदज़िक', 'bn': 'আনেল আহমেদহোডজিক'}, 'shortNameTranslation': {'ar': 'أ. أحمدهودزيتش', 'hi': 'ए. अहमदहोदज़िक', 'bn': 'এ. আহমেদহোদজিচ'}}",15.0,11.0,4.0,2.0,5.0,7.0,6.0,8.0,,1.0,,,2.0,,,,,90.0,29.0,6.8,4.0,0.3465,0.0,0.00431966,"{'original': 6.8, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
John Egan,,,john-egan,J. Egan,D,15,185,214,M,100578,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,719539200,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جون إيغن', 'hi': 'जॉन एगन', 'bn': 'জন ইগান'}, 'shortNameTranslation': {'ar': 'ج. إيغن', 'hi': 'जे. एगन', 'bn': 'জে. ইগান'}}",16.0,13.0,5.0,2.0,11.0,12.0,2.0,4.0,,,,,1.0,,,,,90.0,25.0,6.2,3.0,0.0,0.0,0.00163055,"{'original': 6.2, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,1.0,2.0,,,6.0,1.0,2.0,,,1.0,2.0,,,,,,,,,,,,,,,,,
Jack Robinson,,,jack-robinson,J. Robinson,D,6,180,180,M,98454,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,746841600,"{'value': 520000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك روبنسون', 'hi': 'जैक रॉबिन्सन', 'bn': 'জ্যাক রবিনসন'}, 'shortNameTranslation': {'ar': 'ج. روبنسون', 'hi': 'जे. रॉबिन्सन', 'bn': 'জে. রবিনসন'}}",17.0,14.0,4.0,3.0,11.0,12.0,3.0,5.0,,1.0,,,6.0,,,,,90.0,27.0,6.4,5.0,0.0,0.0,0.00294559,"{'original': 6.4, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,2.0,,,2.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,
George Baldock,,,george-baldock,G. Baldock,D,,175,377,M,112928,"{'alpha2': 'GR', 'alpha3': 'GRC', 'name': 'Greece', 'slug': 'greece'}",EUR,731635200,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جورج بالدوك', 'hi': 'जॉर्ज बाल्डॉक', 'bn': 'জর্জ বলডক'}, 'shortNameTranslation': {'ar': 'ج. بالدوك', 'hi': 'जी. बाल्डॉक', 'bn': 'জি. বালডক'}}",11.0,6.0,2.0,,2.0,2.0,4.0,9.0,1.0,3.0,1.0,,3.0,,,,,71.0,28.0,6.3,10.0,0.0,0.0,0.00562028,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,4.0,,,3.0,1.0,,2.0,1.0,,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,
Vinícius Souza,,,vinicius-souza,Vinicius,M,5,187,1676,M,979290,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,929577600,"{'value': 14200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فينيسيوس سوزا', 'hi': 'विनिसियस सूज़ा', 'bn': 'ভিনিসিয়াস সুজা'}, 'shortNameTranslation': {'ar': 'ف. سوزا', 'hi': 'वी. सूज़ा', 'bn': 'ভি. সুজা'}}",17.0,14.0,2.0,1.0,10.0,10.0,4.0,7.0,3.0,7.0,2.0,2.0,1.0,,,,,90.0,32.0,6.7,8.0,0.0,0.0,0.00075455,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,6.0,,,2.0,,1.0,2.0,,,2.0,2.0,5.0,,,,,,,,,,,,,,,
Oliver Norwood,,,oliver-norwood,O. Norwood,M,26,180,225,M,100637,"{'alpha2': 'NX', 'alpha3': 'NIR', 'name': 'Northern Ireland', 'slug': 'northern-ireland'}",EUR,671414400,"{'value': 280000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوليفر نوروود', 'hi': 'ओलिवर नोरवुड', 'bn': 'অলিভার নরউড'}, 'shortNameTranslation': {'ar': 'أ. نوروود', 'hi': 'ओ. नोरवुड', 'bn': 'ও. নরউড'}}",15.0,11.0,4.0,3.0,6.0,8.0,6.0,8.0,,2.0,,,4.0,,,,,80.0,27.0,7.2,4.0,0.0,0.0,0.0281663,"{'original': 7.2, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,,,6.0,2.0,,2.0,2.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,
Gustavo Hamer,,,gustavo-hamer,G. Hamer,M,8,169,1022,M,837495,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,867110400,"{'value': 16800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غوستافو هامير', 'hi': 'गुस्तावो हैमर', 'bn': 'গুস্তাভো হ্যামার'}, 'shortNameTranslation': {'ar': 'غ. هامير', 'hi': 'जी. हैमर', 'bn': 'জি. হ্যামার'}}",19.0,15.0,,,11.0,12.0,4.0,7.0,,1.0,,,3.0,,,,,90.0,25.0,6.7,6.0,0.1519,0.0,0.024269,"{'original': 6.7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,,,1.0,,,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,
Ben Osborn,Ben,Osborn,ben-osborn,B. Osborn,M,23,176,76,M,282665,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,776044800,"{'value': 775000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن أوزبورن', 'hi': 'बेन ओसबोर्न', 'bn': 'বেন অসবর্ন'}, 'shortNameTranslation': {'ar': 'ب. أوزبورن', 'hi': 'बी. ओसबोर्न', 'bn': 'বি. ওসবোর্ন'}}",4.0,2.0,3.0,2.0,,1.0,2.0,3.0,,,,,3.0,,,,,17.0,5.0,6.6,2.0,0.0,0.0,0.00148987,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
William Osula,,,osula-william,W. Osula,F,18,191,2921,M,1122603,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,1059955200,"{'value': 13800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوسولا، ويليام', 'hi': 'ओसुला, विलियम', 'bn': 'ওসুলা, উইলিয়াম'}, 'shortNameTranslation': {'ar': 'و. أوسولا', 'hi': 'डब्लू. ओसुला', 'bn': 'ডব্লিউ. ওসুলা'}}",11.0,3.0,,,1.0,1.0,2.0,10.0,1.0,1.0,2.0,,,,,,,71.0,22.0,6.0,15.0,0.0,0.0,0.00054639,"{'original': 6, 'alternative': 6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,8.0,,,1.0,,,,,,2.0,,3.0,2.0,,,,,1.0,,,,,,,,,
