name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,totalContest,wonContest,ballRecovery,lastManTackle,totalTackle,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,duelLost,totalClearance,interceptionWon,wonTackle,unsuccessfulTouch,fouls,keyPass,aerialLost,aerialWon,challengeLost,outfielderBlock,dispossessed,wasFouled,shotOffTarget,blockedScoringAttempt,totalOffside,expectedGoals,firstName,lastName,bigChanceMissed,onTargetScoringAttempt,goals,expectedGoalsOnTarget,goalAssist,bigChanceCreated,goodHighClaim,punches
Jordan Pickford,jordan-pickford,J. Pickford,G,1,185.0,7467,M,jpickford1,138530,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,762998400,"{'value': 16100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان بيكفورد', 'hi': 'जॉर्डन पिकफोर्ड', 'bn': 'জর্ডান পিকফোর্ড'}, 'shortNameTranslation': {'ar': 'ج. بيكفورد', 'hi': 'जे. पिकफोर्ड', 'bn': 'জে.পিকফোর্ড'}}",41.0,33.0,20.0,12.0,27.0,28.0,6.0,13.0,2.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,2.0,2.0,90.0,47.0,7.4,8.0,0.00373292,"{'original': 7.4, 'alternative': 7.4}",0,0.015,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Séamus Coleman,seamus-coleman,S. Coleman,D,23,177.0,884,M,,76632,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,592531200,"{'value': 325000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'شيمس كولمان', 'hi': 'सीमस कोलमैन', 'bn': 'সিমাস কোলম্যান'}, 'shortNameTranslation': {'ar': 'ش. كولمان', 'hi': 'एस. कोलमैन', 'bn': 'এস. কোলম্যান'}}",50.0,41.0,8.0,3.0,19.0,21.0,23.0,31.0,3.0,3.0,,7.0,,3.0,,,,,90.0,79.0,7.1,19.0,0.0235839,"{'original': 7.1, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,2.0,1.0,5.0,5.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
James Tarkowski,james-tarkowski,J. Tarkowski,D,6,185.0,2332,M,,145188,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,722131200,"{'value': 7200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس تاركوفسكي', 'hi': 'जेम्स टार्कोव्स्की', 'bn': 'জেমস তারকোভস্কি'}, 'shortNameTranslation': {'ar': 'ج. تاركوفسكي', 'hi': 'जे. टार्कोव्स्की', 'bn': 'জে. তারকোভস্কি'}}",45.0,38.0,14.0,10.0,23.0,25.0,15.0,20.0,6.0,,,3.0,,2.0,,,,,90.0,60.0,8.3,8.0,0.205975,"{'original': 8.3, 'alternative': 8.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,4.0,,1.0,,,1.0,2.0,4.0,1.0,6.0,,,,,,,,,,,,,,,,
Jarrad Branthwaite,jarrad-branthwaite,J. Branthwaite,D,32,195.0,2559,M,,979563,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1025136000,"{'value': 46000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاراد برانثويت', 'hi': 'जेर्राड ब्रैंथवेट', 'bn': 'জারাদ ব্র্যানথওয়েট'}, 'shortNameTranslation': {'ar': 'ج. برانثويت', 'hi': 'जे. ब्रैंथवेट', 'bn': 'জে. ব্র্যানথওয়েট'}}",53.0,46.0,2.0,2.0,31.0,34.0,15.0,19.0,7.0,,,4.0,,4.0,,,,,90.0,65.0,7.2,10.0,0.00330927,"{'original': 7.2, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,3.0,,2.0,2.0,,,,3.0,,,1.0,,,,,,,,,,,,,,,
Ashley Young,ashley-young,A. Young,D,15,180.0,1765,M,,10589,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,489715200,"{'value': 440000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آشلي يونغ', 'hi': 'एश्ले यंग', 'bn': 'অ্যাশলে ইয়াং'}, 'shortNameTranslation': {'ar': 'آ. يونغ', 'hi': 'एक यंग', 'bn': 'এ. ইয়াং'}}",54.0,43.0,6.0,3.0,20.0,22.0,23.0,33.0,3.0,,,3.0,,2.0,,,,,90.0,73.0,7.0,15.0,0.00979799,"{'original': 7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,2.0,1.0,,1.0,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,
James Garner,james-garner,J. Garner,M,37,182.0,2524,M,,927361,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,984441600,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس غارنر', 'hi': 'जेम्स गार्नर', 'bn': 'জেমস গার্নার'}, 'shortNameTranslation': {'ar': 'ج. غارنر', 'hi': 'जे. गार्नर', 'bn': 'জে. গার্নার'}}",46.0,40.0,4.0,1.0,7.0,9.0,34.0,40.0,3.0,1.0,,4.0,,,,,,,90.0,62.0,7.3,9.0,0.195183,"{'original': 7.3, 'alternative': 7.1}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,1.0,1.0,2.0,,,,,2.0,,1.0,,,,2.0,3.0,1.0,1.0,0.2701,,,,,,,,,,
Idrissa Gueye,idrissa-gueye,I. Gueye,M,27,174.0,17031,M,iganagueye,106337,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,622771200,"{'value': 970000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إدريسا غاي', 'hi': 'इद्रिसा गुये', 'bn': 'ইদ্রিসা গুইয়ে'}, 'shortNameTranslation': {'ar': 'إ. غاي', 'hi': 'आई. गुये', 'bn': 'আই. গুইয়ে'}}",45.0,37.0,1.0,,9.0,10.0,28.0,36.0,6.0,1.0,,6.0,,4.0,,,,,90.0,58.0,7.4,10.0,0.115551,"{'original': 7.4, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,1.0,,2.0,1.0,,,1.0,,1.0,,,,2.0,1.0,,,0.0411,,,,,,,,,,
Amadou Onana,amadou-onana,A. Onana,M,24,195.0,6827,M,its_onana,923973,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,997920000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أمادو أونانا', 'hi': 'अमादौ ओनाना', 'bn': 'আমাদৌ ওনানা'}, 'shortNameTranslation': {'ar': 'أ. أونانا', 'hi': 'ए. ओनाना', 'bn': 'এ. ওনানা'}}",55.0,50.0,5.0,4.0,14.0,14.0,36.0,41.0,10.0,,,6.0,,6.0,,,,,90.0,78.0,7.8,8.0,0.0543837,"{'original': 7.8, 'alternative': 7.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,1.0,5.0,3.0,1.0,2.0,,,1.0,,,1.0,3.0,,2.0,,0.1329,,,,,,,,,,
Dwight McNeil,dwight-mcneil,D. McNeil,M,7,183.0,2030,M,,935543,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,943228800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوايت مكنيل', 'hi': 'ड्वाइट मैकनील', 'bn': 'ডোয়াইট ম্যাকনিল'}, 'shortNameTranslation': {'ar': 'د. مكنيل', 'hi': 'डी. मैकनील', 'bn': 'ডি. ম্যাকনিল'}}",35.0,31.0,3.0,3.0,5.0,5.0,26.0,35.0,2.0,,,3.0,,1.0,,,,,69.0,48.0,7.5,12.0,0.470868,"{'original': 7.5, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,5.0,,1.0,,1.0,1.0,3.0,,4.0,,,1.0,,,1.0,,,,,Dwight,McNeil,,,,,,,,
Abdoulaye Doucouré,abdoulaye-doucoure,A. Doucouré,M,8,182.0,1300,M,,96535,"{'alpha2': 'ML', 'alpha3': 'MLI', 'name': 'Mali', 'slug': 'mali'}",EUR,725846400,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'عبدالله دوكوري', 'hi': 'अब्दुलाये डौकोरे', 'bn': 'আবদুলায়ে ডকোরে'}, 'shortNameTranslation': {'ar': 'ع. دوكوري', 'hi': 'ए. डौकोरे', 'bn': 'এ. ডকোরে'}}",26.0,18.0,,,5.0,6.0,13.0,23.0,2.0,1.0,,2.0,,,,,,,69.0,39.0,7.2,17.0,0.0477824,"{'original': 7.2, 'alternative': 7.1}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,,9.0,,,,1.0,,1.0,4.0,2.0,,,4.0,,1.0,,1.0,1.6856,,,1.0,3.0,1.0,1.3457,,,,
