name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,aerialWon,duelLost,duelWon,totalClearance,outfielderBlock,totalTackle,wonTackle,challengeLost,shotOffTarget,interceptionWon,fouls,totalOffside,expectedGoals,totalContest,wonContest,bigChanceMissed,onTargetScoringAttempt,clearanceOffLine,wasFouled,expectedGoalsOnTarget,sofascoreId,totalCross,dispossessed,unsuccessfulTouch,blockedScoringAttempt,goals,accurateCross,bigChanceCreated,hitWoodwork,errorLeadToAShot,keyPass,goalAssist,firstName,lastName,totalKeeperSweeper,accurateKeeperSweeper,errorLeadToAGoal
José Sá,jose-sa,J. Sá,G,1,192.0,3995,M,252669,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,727228800,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوزيه سا', 'hi': 'जोस सा', 'bn': 'জোসে সা'}, 'shortNameTranslation': {'ar': 'ج. سا', 'hi': 'जे. सा', 'bn': 'জে. সা'}}",22.0,6.0,18.0,2.0,4.0,5.0,2.0,17.0,10.0,3.0,2.0,3.0,90.0,35.0,6.9,16.0,0.00015183,"{'original': 6.9, 'alternative': 6.8}",0,0.4687,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Kilman,max-kilman,M. Kilman,D,3,192.0,1235,M,894474,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,864345600,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكس كيلمان', 'hi': 'मैक्स किलमन', 'bn': 'ম্যাক্স কিলম্যান'}, 'shortNameTranslation': {'ar': 'م. كيلمان', 'hi': 'एम. किलमन', 'bn': 'এম. কিলম্যান'}}",18.0,14.0,3.0,,8.0,8.0,6.0,10.0,3.0,,,,90.0,32.0,7.0,4.0,0.00124484,"{'original': 7, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,2.0,2.0,2.0,4.0,6.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craig Dawson,craig-dawson,C. Dawson,D,,188.0,423,M,50027,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,641952000,"{'value': 980000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريغ داوسون', 'hi': 'क्रेग डावसन', 'bn': 'ক্রেগ ডসন'}, 'shortNameTranslation': {'ar': 'ك. داوسون', 'hi': 'सी. डावसन', 'bn': 'সি. ডসন'}}",21.0,13.0,5.0,1.0,12.0,14.0,1.0,7.0,3.0,,,,70.0,29.0,7.1,8.0,0.00024055,"{'original': 7.1, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,3.0,3.0,2.0,3.0,,,1.0,1.0,1.0,2.0,1.0,0.062,,,,,,,,,,,,,,,,,,,,,,,,
Toti Gomes,toti-gomes,T. Gomes,D,24,187.0,1089,M,973418,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,916444800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توتي غوميس', 'hi': 'टोटी गोम्स', 'bn': 'টোটি গোমস'}, 'shortNameTranslation': {'ar': 'ت. غوميس', 'hi': 'टी. गोम्स', 'bn': 'টি. গোমেজ'}}",31.0,20.0,5.0,,10.0,13.0,10.0,18.0,3.0,,,,90.0,54.0,7.4,14.0,0.00368278,"{'original': 7.4, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,2.0,5.0,3.0,2.0,2.0,2.0,1.0,,,,,0.2275,1.0,1.0,1.0,1.0,1.0,1.0,0.0874,,,,,,,,,,,,,,,,,
Nélson Semedo,nelson-semedo,N. Semedo,M,27,177.0,7468,M,252821,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,753408000,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيلسون سيميدو', 'hi': 'नेल्सन सेमेदो', 'bn': 'নেলসন সেমেডো'}, 'shortNameTranslation': {'ar': 'ن. سيميدو', 'hi': 'एन. सेमेदो', 'bn': 'এন. সেমিডো'}}",23.0,17.0,4.0,2.0,6.0,8.0,11.0,20.0,3.0,,,,90.0,48.0,7.0,14.0,0.0460101,"{'original': 7, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,3.0,6.0,1.0,,3.0,2.0,1.0,,2.0,1.0,,,1.0,1.0,,,,1.0,,nelsonsemedo50,5.0,1.0,1.0,,,,,,,,,,,,,
Mario Lemina,mario-lemina,M. Lemina,M,99,184.0,8485,M,307284,"{'alpha2': 'GA', 'alpha3': 'GAB', 'name': 'Gabon', 'slug': 'gabon'}",EUR,746841600,"{'value': 6400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماريو ليمينا', 'hi': 'मारियो लेमिना', 'bn': 'মারিও লেমিনা'}, 'shortNameTranslation': {'ar': 'م. ليمينا', 'hi': 'एम. लेमिना', 'bn': 'এম. লেমিনা'}}",37.0,27.0,4.0,1.0,16.0,17.0,11.0,20.0,9.0,,,,90.0,54.0,8.0,10.0,0.00827457,"{'original': 8, 'alternative': 7.9}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,3.0,7.0,3.0,,6.0,5.0,1.0,,4.0,2.0,,0.1408,,,,2.0,,,0.4388,,,,,1.0,1.0,,,,,,,,,,,
João Gomes,joao-gomes,J. Gomes,M,8,176.0,15514,M,1015267,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,981936000,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو غوميش', 'hi': 'जोआओ गोम्स', 'bn': 'জোয়াও গোমেস'}, 'shortNameTranslation': {'ar': 'جواو غوميش', 'hi': 'जोआओ गोम्स', 'bn': 'জোয়াও গোমেস'}}",31.0,22.0,3.0,1.0,13.0,16.0,10.0,16.0,6.0,,,,90.0,53.0,7.5,12.0,0.194301,"{'original': 7.5, 'alternative': 7.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,4.0,10.0,,1.0,7.0,4.0,2.0,,2.0,,,0.0734,1.0,1.0,,1.0,,2.0,0.0481,joaogomes.01,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,
Rayan Aït-Nouri,rayan-ait-nouri,R. A. Nouri,M,21,179.0,39814,M,931278,"{'alpha2': 'DZ', 'alpha3': 'DZA', 'name': 'Algeria', 'slug': 'algeria'}",EUR,991785600,"{'value': 39000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان آيت نوري', 'hi': 'रेयान ऐत नूरी', 'bn': 'রায়ান আইত নুরী'}, 'shortNameTranslation': {'ar': 'ر. أ. نوري', 'hi': 'आर. ऐ. नूरी', 'bn': 'আর. এ. নুরী'}}",22.0,16.0,,,7.0,7.0,9.0,16.0,5.0,,,,87.0,29.0,6.9,9.0,0.0364507,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,2.0,5.0,1.0,,,,,,,1.0,1.0,,2.0,1.0,,,,1.0,,r_aitnouri,1.0,,1.0,,,,,,,1.0,,,,,,
Hee-Chan Hwang,hee-chan-hwang,H. Hwang,F,11,177.0,6495,M,786186,"{'alpha2': 'KR', 'alpha3': 'KOR', 'name': 'South Korea', 'slug': 'south-korea'}",EUR,822614400,"{'value': 9200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هي تشان هوانغ', 'hi': 'ही-चान ह्वांग', 'bn': 'হি-চ্যান হোয়াং'}, 'shortNameTranslation': {'ar': 'ه. هوانغ', 'hi': 'एच. ह्वांग', 'bn': 'এইচ. হোয়াং'}}",10.0,6.0,,,4.0,4.0,2.0,6.0,1.0,,,,90.0,27.0,6.3,10.0,0.00406945,"{'original': 6.3, 'alternative': 6.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,7.0,,14.0,4.0,,,1.0,,,1.0,2.0,2.0,1.0,0.1495,3.0,2.0,1.0,,,1.0,,Hwangso,,4.0,1.0,,,,,,,1.0,,,,,,
Pablo Sarabia,pablo-sarabia,P. Sarabia,M,7,176.0,2578,M,138573,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,705542400,"{'value': 4700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بابلو سارابيا', 'hi': 'पाब्लो साराबिया', 'bn': 'পাবলো সারাবিয়া'}, 'shortNameTranslation': {'ar': 'ب. سارابيا', 'hi': 'पी. साराबिया', 'bn': 'পি. সারাবিয়া'}}",16.0,12.0,3.0,2.0,3.0,5.0,14.0,21.0,2.0,,,,75.0,38.0,7.2,15.0,0.173317,"{'original': 7.2, 'alternative': 7.4}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,5.0,1.0,,,,,1.0,,,1.0,,0.2437,1.0,,,,,1.0,,,10.0,2.0,2.0,3.0,,5.0,1.0,,,4.0,1.0,,,,,
