name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,errorLeadToAGoal,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,sofascoreId,accurateOppositionHalfPasses,totalCross,accurateCross,aerialLost,duelLost,challengeLost,totalContest,wonContest,keyPass,bigChanceCreated,onTargetScoringAttempt,goals,outfielderBlock,totalTackle,wonTackle,expectedGoals,expectedGoalsOnTarget,firstName,lastName,wasFouled,fouls,dispossessed,shotOffTarget,interceptionWon,unsuccessfulTouch,bigChanceMissed,blockedScoringAttempt,hitWoodwork,errorLeadToAShot,totalOffside
Matz Sels,matz-sels,M. Sels,G,26,188,2453,M,78152,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,699062400,"{'value': 6300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماتس سيلس', 'hi': 'मैट्ज़ सेल्स', 'bn': 'ম্যাটজ সেলস'}, 'shortNameTranslation': {'ar': 'م. سيلس', 'hi': 'एम. सेल्स', 'bn': 'এম. সেলস'}}",7.0,5.0,3.0,1.0,0.0,5.0,5.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,90.0,15.0,5.8,2.0,3.407e-05,"{'original': 5.8, 'alternative': 5.5}",0,-0.7532,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzalo Montiel,gonzalo-montiel,G. Montiel,D,4,175,9289,M,822933,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,852076800,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غونزالو مونتييل', 'hi': 'गोंजालो मोंटिएल', 'bn': 'গঞ্জালো মন্টিয়েল'}, 'shortNameTranslation': {'ar': 'غ. مونتيل', 'hi': 'जी. मोंटिएल', 'bn': 'জি. মন্টিয়েল'}}",13.0,9.0,1.0,1.0,0.0,4.0,6.0,9.0,,1.0,1.0,2.0,,,,,,,72.0,17.0,6.6,5.0,0.0529727,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,gonzalo_montiel29,6.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
Willy Boly,willy-boly,W. Boly,D,30,195,1805,M,139310,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,665539200,"{'value': 775000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويلي بولي', 'hi': 'विली बोली', 'bn': 'উইলি বলি'}, 'shortNameTranslation': {'ar': 'و. بولي', 'hi': 'डब्लू. बोली', 'bn': 'ডব্লিউ. বলি'}}",25.0,19.0,7.0,4.0,0.0,8.0,8.0,17.0,2.0,5.0,8.0,5.0,,,,,,,90.0,47.0,7.7,8.0,0.0242995,"{'original': 7.7, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,11.0,,,1.0,6.0,5.0,,,2.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0654,0.2975,,,,,,,,,,,,,
Murillo,murillo,Murillo,D,5,180,9796,M,1199282,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,1025740800,"{'value': 53000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}, 'shortNameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}}",29.0,22.0,7.0,5.0,0.0,12.0,15.0,15.0,4.0,10.0,8.0,3.0,,,,,,,90.0,45.0,6.9,8.0,0.00372357,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,murillosantiago40,10.0,1.0,,,3.0,1.0,1.0,1.0,1.0,,,,,4.0,2.0,,,Murillo,,1.0,2.0,,,,,,,,,
Moussa Niakhaté,moussa-niakhate,M. Niakhaté,D,19,190,6811,M,758168,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,826243200,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موسى نياكاتي', 'hi': 'मूसा नियाखाटे', 'bn': 'মুসা নিয়াখাটে'}, 'shortNameTranslation': {'ar': 'م. نياكاتي', 'hi': 'एम. नियाखाटे', 'bn': 'এম. নিয়াখাটে'}}",29.0,23.0,4.0,1.0,0.0,11.0,11.0,18.0,1.0,7.0,3.0,5.0,,,,,,,86.0,41.0,6.4,7.0,0.013647,"{'original': 6.4, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,niakhate,12.0,,,,3.0,,,,,,,,,6.0,3.0,,,,,,2.0,1.0,,,,,,,,
Ola Aina,ola-aina,O. Aina,D,34,182,4048,M,800417,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,844732800,"{'value': 18200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أولا أينا', 'hi': 'ओला आइना', 'bn': 'ওলা আইনা'}, 'shortNameTranslation': {'ar': 'أ. أينا', 'hi': 'ओ. आइना', 'bn': 'ও. আইনা'}}",27.0,22.0,2.0,1.0,0.0,3.0,5.0,25.0,1.0,7.0,4.0,6.0,,,,,,,90.0,61.0,7.1,15.0,0.083763,"{'original': 7.1, 'alternative': 7.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,20.0,3.0,1.0,,2.0,1.0,,,1.0,,,,,5.0,4.0,0.0379,,,,1.0,1.0,,2.0,2.0,3.0,,,,,
Morgan Gibbs-White,morgan-gibbs-white,M. Gibbs-White,M,10,171,6717,M,865912,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,948931200,"{'value': 62000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مورغان غيبز-وايت', 'hi': 'मॉर्गन गिब्स-व्हाइट', 'bn': 'মরগান গিবস-হোয়াইট'}, 'shortNameTranslation': {'ar': 'م. غيبز-وايت', 'hi': 'एम. गिब्स-व्हाइट', 'bn': 'এম. গিবস-হোয়াইট'}}",47.0,39.0,4.0,2.0,2.0,13.0,13.0,38.0,5.0,9.0,1.0,9.0,,,,,,,90.0,66.0,7.8,15.0,0.173459,"{'original': 7.8, 'alternative': 7.6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,Morgangibbs27,27.0,4.0,1.0,3.0,7.0,1.0,1.0,1.0,2.0,1.0,,,1.0,1.0,,0.3116,,,,2.0,1.0,2.0,2.0,,1.0,1.0,1.0,1.0,,
Ryan Yates,ryan-yates,R. Yates,M,22,190,881,M,846252,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,880070400,"{'value': 10300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان ييتس', 'hi': 'रयान येट्स', 'bn': 'রায়ান ইয়েটস'}, 'shortNameTranslation': {'ar': 'ر. ييتس', 'hi': 'आर. येट्स', 'bn': 'আর. ইয়েটস'}}",16.0,14.0,,,0.0,7.0,8.0,8.0,,7.0,3.0,6.0,,,,,,,72.0,34.0,7.4,3.0,0.00347177,"{'original': 7.4, 'alternative': 7.5}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,7.0,,,1.0,4.0,,1.0,1.0,,,,,,5.0,2.0,0.2239,,,,1.0,3.0,,3.0,,1.0,,2.0,1.0,,
Danilo,danilo,Danilo,M,35,177,4572,M,1064039,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,988502400,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانيلو', 'hi': 'डेनिलो', 'bn': 'দানিলো'}, 'shortNameTranslation': {'ar': 'دانيلو', 'hi': 'डेनिलो', 'bn': 'দানিলো'}}",22.0,18.0,2.0,2.0,0.0,7.0,8.0,17.0,,3.0,3.0,7.0,,,,,,,90.0,40.0,6.2,11.0,0.0424674,"{'original': 6.2, 'alternative': 6.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,Danilo,12.0,3.0,1.0,,8.0,4.0,1.0,,1.0,,,,,3.0,1.0,0.0275,,,,,2.0,1.0,1.0,1.0,2.0,,,,,
Callum Hudson-Odoi,callum-hudson-odoi,C. Hudson-Odoi,M,7,177,9379,M,867442,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,973555200,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالوم هادسون أودوي', 'hi': 'कैलम हडसन-ओडोई', 'bn': 'ক্যালাম হাডসন-ওডোই'}, 'shortNameTranslation': {'ar': 'ك. هودسون أودوي', 'hi': 'सी. हडसन-ओडोई', 'bn': 'সি. হাডসন-ওডোই'}}",28.0,23.0,1.0,,0.0,3.0,4.0,29.0,1.0,6.0,,4.0,,,,,,,86.0,47.0,7.9,13.0,0.59133,"{'original': 7.9, 'alternative': 7.6}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,Calteck10,20.0,5.0,,,2.0,,2.0,1.0,4.0,1.0,1.0,1.0,,2.0,1.0,0.1541,0.3504,,,2.0,,1.0,1.0,,1.0,,2.0,1.0,1.0,1.0
