name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelLost,challengeLost,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,accurateCross,duelWon,dispossessed,totalContest,totalClearance,interceptionWon,totalTackle,wonTackle,aerialLost,aerialWon,bigChanceMissed,shotOffTarget,outfielderBlock,errorLeadToAGoal,unsuccessfulTouch,fouls,expectedGoals,wonContest,wasFouled,keyPass,bigChanceCreated,blockedScoringAttempt,onTargetScoringAttempt,totalOffside,expectedGoalsOnTarget,sofascoreId,goals,goalAssist,goodHighClaim,hitWoodwork
Mark Flekken,mark-flekken,M. Flekken,G,1,194,2871,M,171919,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,739929600,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك فليكين', 'hi': 'मार्क फ्लेकेन', 'bn': 'মার্ক ফ্লেককেন'}, 'shortNameTranslation': {'ar': 'م. فليكين', 'hi': 'एम. फ्लेकेन', 'bn': 'এম. ফ্লেকেন'}}",42.0,35.0,14.0,7.0,34.0,37.0,1.0,5.0,1.0,1.0,10.0,1.0,1.0,2.0,1.0,90.0,49.0,6.2,8.0,0.00033659,"{'original': 6.2, 'alternative': 5.7}",0,-1.8724,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mads Roerslev,mads-roerslev,M. Roerslev,D,2,184,470,M,826057,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,930182400,"{'value': 6400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مادس روزرفيل', 'hi': 'मैड्स रोर्सलेव', 'bn': 'ম্যাডস রোয়ার্সলেভ'}, 'shortNameTranslation': {'ar': 'م. روزرفيل', 'hi': 'एम. रोर्सलेव', 'bn': 'এম. রোয়ার্সলেভ'}}",29.0,23.0,1.0,,14.0,17.0,10.0,13.0,6.0,3.0,3.0,,,,,67.0,55.0,6.1,11.0,0.0157482,"{'original': 6.1, 'alternative': 6.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,Mads,Roerslev,1.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,
Nathan Collins,nathan-collins,N. Collins,D,22,193,1469,M,958916,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,988588800,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان كولينز', 'hi': 'नाथन कोलिन्स', 'bn': 'নাথান কলিন্স'}, 'shortNameTranslation': {'ar': 'ن. كولينز', 'hi': 'एन. कोलिन्स', 'bn': 'এন. কলিন্স'}}",81.0,65.0,9.0,3.0,40.0,49.0,25.0,32.0,4.0,1.0,5.0,,,,,90.0,90.0,5.2,17.0,0.0159511,"{'original': 5.2, 'alternative': 5.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,4.0,,,2.0,1.0,,,2.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,0.5402,,,,,,,,,,,,,
Ethan Pinnock,ethan-pinnock,E. Pinnock,D,5,194,1038,M,855864,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,738633600,"{'value': 3700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيثان بينوك', 'hi': 'एथन पिनॉक', 'bn': 'ইথান পিনক'}, 'shortNameTranslation': {'ar': 'إ. بينوك', 'hi': 'ई. पिनॉक', 'bn': 'ই. পিনক'}}",75.0,64.0,5.0,3.0,45.0,50.0,19.0,25.0,5.0,1.0,10.0,,,,,90.0,86.0,6.5,13.0,0.250945,"{'original': 6.5, 'alternative': 6.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,8.0,1.0,2.0,1.0,1.0,,,2.0,6.0,,1.0,,,,,0.0287,1.0,1.0,1.0,,,,,,,,,,
Saman Ghoddos,saman-ghoddos,S. Ghoddos,M,7,177,2148,M,548050,"{'alpha2': 'IR', 'alpha3': 'IRN', 'name': 'Iran', 'slug': 'iran'}",EUR,747273600,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سامان قدوس', 'hi': 'समन घोड्डोस', 'bn': 'সামান ঘোদ্দোস'}, 'shortNameTranslation': {'ar': 'س. قدوس', 'hi': 'एस. घोड्डोस', 'bn': 'এস, ঘোদ্দোস'}}",59.0,50.0,10.0,5.0,22.0,23.0,30.0,42.0,7.0,5.0,6.0,,,,,90.0,79.0,6.4,16.0,0.251382,"{'original': 6.4, 'alternative': 6.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,6.0,2.0,4.0,,1.0,2.0,1.0,2.0,,2.0,1.0,,1.0,,,3.0,,0.0161,1.0,,2.0,1.0,,,,,,,,,
Yehor Yarmolyuk,yarmoliuk-yehor,Y. Yarmolyuk,M,18,180,2447,M,1031258,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,1078099200,"{'value': 24000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يارموليوك، يهور', 'hi': 'यार्मोलीउक, योहोर', 'bn': 'ইয়ারমোলিক, ইহোর'}, 'shortNameTranslation': {'ar': 'ي. يارموليوك', 'hi': 'वाई. यार्मोलीउक', 'bn': 'ওয়াই. ইয়ারমোলিক'}}",20.0,15.0,,,2.0,5.0,13.0,17.0,5.0,1.0,2.0,,,,,45.0,32.0,6.4,12.0,0.0145778,"{'original': 6.4, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,,4.0,2.0,2.0,,,1.0,1.0,2.0,1.0,,,,,3.0,,,2.0,,,,,,,,,,,,
Christian Nørgaard,christian-norgaard,C. Nørgaard,M,16,185,8776,M,135256,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,763257600,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان نورغارد', 'hi': 'क्रिश्चियन नॉरगार्ड', 'bn': 'ক্রিশ্চিয়ান নরগার্ড'}, 'shortNameTranslation': {'ar': 'ك. نورغارد', 'hi': 'सी. नॉरगार्ड', 'bn': 'সি. নরগার্ড'}}",93.0,71.0,6.0,3.0,28.0,37.0,43.0,56.0,4.0,2.0,10.0,,,,,90.0,103.0,7.0,22.0,0.102684,"{'original': 7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,,,11.0,,,1.0,,3.0,3.0,1.0,6.0,,,,,,1.0,0.0772,,2.0,,,1.0,,,,,,,,
Vitaly Janelt,vitaly-janelt,V. Janelt,M,27,184,1013,M,814873,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,894758400,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتالي جانيلت', 'hi': 'विटाली जेनेल्ट', 'bn': 'ভিটালি জেনেল্ট'}, 'shortNameTranslation': {'ar': 'ف. جانيلت', 'hi': 'वी. जेनेल्ट', 'bn': 'ভি. জেনেল্ট'}}",68.0,56.0,3.0,1.0,20.0,21.0,38.0,51.0,1.0,,11.0,,,,,90.0,88.0,7.1,19.0,0.211325,"{'original': 7.1, 'alternative': 6.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,4.0,2.0,6.0,,2.0,1.0,,4.0,2.0,,1.0,1.0,,1.0,,4.0,,0.5078,1.0,,1.0,,1.0,1.0,1.0,0.3931,,,,,
Yoane Wissa,yoane-wissa,Y. Wissa,F,9,176,43905,M,805123,"{'alpha2': 'CD', 'alpha3': 'COD', 'name': 'DR Congo', 'slug': 'dr-congo'}",EUR,841708800,"{'value': 33000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوني ويسا', 'hi': 'योआने विस्सा', 'bn': 'জন উইসা'}, 'shortNameTranslation': {'ar': 'ي. ويسا', 'hi': 'वाई. विस्सा', 'bn': 'ওয়াই. উইসা'}}",15.0,10.0,,,1.0,3.0,11.0,15.0,8.0,1.0,2.0,,,,,86.0,32.0,7.3,10.0,0.586947,"{'original': 7.3, 'alternative': 7.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,2.0,4.0,2.0,1.0,1.0,,,,3.0,1.0,,,,,,1.0,0.2602,,3.0,2.0,,1.0,1.0,,0.8486,yowissa,1.0,,,
Neal Maupay,neal-maupay,N. Maupay,F,9,171,2064,M,268903,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,839980800,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيل موباي', 'hi': 'नील मौपे', 'bn': 'নিল মাউপে'}, 'shortNameTranslation': {'ar': 'ن. موباي', 'hi': 'एन. मौपे', 'bn': 'এন. মাউপে'}}",23.0,18.0,1.0,1.0,5.0,5.0,13.0,18.0,10.0,,2.0,,,,,90.0,40.0,7.1,15.0,1.00057,"{'original': 7.1, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,6.0,2.0,4.0,,,,,5.0,1.0,,1.0,,,5.0,,0.1503,1.0,4.0,1.0,1.0,,,,,,,1.0,,
