name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,duelLost,duelWon,challengeLost,dispossessed,totalTackle,errorLeadToAShot,unsuccessfulTouch,fouls,aerialLost,aerialWon,shotOffTarget,interceptionWon,expectedGoals,keyPass,blockedScoringAttempt,outfielderBlock,lastManTackle,wonTackle,wasFouled,totalContest,wonContest,bigChanceCreated,bigChanceMissed,totalOffside,sofascoreId,onTargetScoringAttempt,expectedGoalsOnTarget,hitWoodwork,goalAssist,goals
James Trafford,,,james-trafford,J. Trafford,G,1,197,20653,M,980643,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1034208000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس ترافورد', 'hi': 'जेम्स ट्रैफोर्ड', 'bn': 'জেমস ট্র্যাফোর্ড'}, 'shortNameTranslation': {'ar': 'ج. ترافورد', 'hi': 'जे. ट्रैफोर्ड', 'bn': 'জে. ট্র্যাফোর্ড'}}",39.0,12.0,34.0,7.0,7.0,10.0,5.0,29.0,2.0,13.0,2.0,6.0,8.0,1.0,1.0,90.0,56.0,8.0,28.0,0.00120567,"{'original': 8, 'alternative': 8.1}",0,1.3648,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitinho,,,vitinho,Vitinho,D,2,175,3443,M,914477,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,932688000,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتينيو', 'hi': 'विटिन्हो', 'bn': 'ভিতিনহো'}, 'shortNameTranslation': {'ar': 'فيتينيو', 'hi': 'विटिन्हो', 'bn': 'ভিতিনহো'}}",20.0,17.0,2.0,,6.0,8.0,12.0,15.0,1.0,4.0,,,,,,90.0,45.0,5.8,13.0,0.00508642,"{'original': 5.8, 'alternative': 5.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,1.0,5.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Dara O'Shea,,,dara-oshea,D. O'Shea,D,26,188,709,M,856719,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,920505600,"{'value': 15900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دارا أوشيا', 'hi': ""दारा ओ'शीया"", 'bn': ""দারা ও'শিয়া""}, 'shortNameTranslation': {'ar': 'د. أوشيا', 'hi': ""डी. ओ'शीया"", 'bn': ""ডি. ও'শিয়া""}}",27.0,18.0,6.0,4.0,10.0,12.0,8.0,15.0,7.0,4.0,,,,,,90.0,43.0,7.0,9.0,0.00750512,"{'original': 7, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,4.0,7.0,,,2.0,,,1.0,3.0,5.0,1.0,2.0,0.0086,1.0,,,,,,,,,,,,,,,,
Jordan Beyer,,,jordan-beyer,J. Beyer,D,5,187,316,M,927175,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,958694400,"{'value': 3800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان باير', 'hi': 'जॉर्डन बेयर', 'bn': 'জর্ডান বেয়ার'}, 'shortNameTranslation': {'ar': 'ج. باير', 'hi': 'जे. बेयर', 'bn': 'জে. বেয়ার'}}",29.0,19.0,8.0,2.0,12.0,18.0,7.0,11.0,4.0,2.0,,,,,,90.0,54.0,7.5,11.0,0.0206734,"{'original': 7.5, 'alternative': 7.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,5.0,9.0,1.0,,6.0,,1.0,,4.0,2.0,,3.0,0.2158,,1.0,3.0,1.0,2.0,1.0,,,,,,,,,,,
Charlie Taylor,,,charlie-taylor,C. Taylor,D,29,183,281,M,166381,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,748224000,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تشارلي تايلور', 'hi': 'चार्ली टेलर', 'bn': 'চার্লি টেলর'}, 'shortNameTranslation': {'ar': 'ت. تايلور', 'hi': 'सी. टेलर', 'bn': 'সি. টেলর'}}",31.0,20.0,6.0,,10.0,12.0,11.0,21.0,3.0,2.0,,,,,,90.0,45.0,6.6,13.0,0.110177,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,1.0,2.0,4.0,1.0,1.0,,,,,,1.0,,2.0,,1.0,,,,,2.0,1.0,1.0,1.0,,,,,,,,
Wilson Odobert,,,wilson-odobert,W. Odobert,F,28,182,4085,M,1142679,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1101600000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويلسون أودوبيرت', 'hi': 'विल्सन ओडोबर्ट', 'bn': 'উইলসন ওডোবার্ট'}, 'shortNameTranslation': {'ar': 'و. أودوبيرت', 'hi': 'डब्लू. ओडोबर्ट', 'bn': 'ডব্লিউ. ওডোবার্ট'}}",18.0,13.0,,,7.0,8.0,7.0,12.0,,5.0,,,,,,90.0,37.0,7.1,12.0,0.308082,"{'original': 7.1, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,1.0,7.0,9.0,1.0,,2.0,,2.0,,2.0,,1.0,,0.0228,1.0,,,,1.0,1.0,10.0,6.0,1.0,,,,,,,,
Sander Berge,,,sander-berge,S. Berge,M,16,195,2074,M,793167,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,887414400,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ساندر بيرج', 'hi': 'सैंडर बर्ज', 'bn': 'স্যান্ডার বার্জে'}, 'shortNameTranslation': {'ar': 'س. بيرج', 'hi': 'एस. बर्ज', 'bn': 'এস. বার্জে'}}",23.0,17.0,1.0,,12.0,14.0,5.0,9.0,1.0,6.0,,,,,,90.0,35.0,6.3,8.0,0.00765033,"{'original': 6.3, 'alternative': 6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,7.0,4.0,4.0,2.0,3.0,,,1.0,,1.0,2.0,1.0,0.2186,1.0,,,,3.0,,,,,1.0,,,,,,,
Josh Brownhill,,,josh-brownhill,J. Brownhill,M,8,179,832,M,358394,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,819331200,"{'value': 12700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوش براونهيل', 'hi': 'जोश ब्राउनहिल', 'bn': 'জোশ ব্রাউনহিল'}, 'shortNameTranslation': {'ar': 'ج. براونهيل', 'hi': 'जे. ब्राउनहिल', 'bn': 'জে. ব্রাউনহিল'}}",34.0,24.0,5.0,3.0,13.0,17.0,11.0,19.0,1.0,3.0,,,,,,89.0,46.0,6.7,13.0,0.0112507,"{'original': 6.7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,5.0,3.0,1.0,,1.0,,1.0,3.0,1.0,,1.0,1.0,0.0306,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,
Mike Trésor,,,mike-tresor,M. Trésor,M,31,175,1098,M,826183,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,927849600,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايك تريزور', 'hi': 'माइक ट्रेसोर', 'bn': 'মাইক ট্রেসর'}, 'shortNameTranslation': {'ar': 'م. تريزور', 'hi': 'एम. ट्रेसोर', 'bn': 'এম. ট্রেসর'}}",19.0,10.0,,,2.0,4.0,9.0,18.0,,7.0,,,,,,61.0,37.0,7.0,16.0,0.035715,"{'original': 7, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,1.0,4.0,7.0,,1.0,1.0,,2.0,,2.0,1.0,,,,1.0,,,,1.0,,6.0,5.0,,,1.0,,,,,,
Lyle Foster,,,foster-lyle,L. Foster,F,9,180,6277,M,901907,"{'alpha2': 'ZA', 'alpha3': 'ZAF', 'name': 'South Africa', 'slug': 'south-africa'}",EUR,967939200,"{'value': 10300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فوستر، لايل', 'hi': 'फोस्टर, लाइल', 'bn': 'ফস্টার, লাইল'}, 'shortNameTranslation': {'ar': 'ل. فوستر', 'hi': 'एल. फोस्टर', 'bn': 'এল. ফস্টার'}}",17.0,8.0,,,4.0,8.0,4.0,9.0,1.0,5.0,,,,,,85.0,27.0,6.7,13.0,0.00901945,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,12.0,8.0,1.0,1.0,2.0,,3.0,,10.0,4.0,,,,1.0,,,,1.0,2.0,,,,,,,,,,,
