name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,goalAssist,accurateOppositionHalfPasses,totalCross,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,bigChanceCreated,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,keyPass,aerialLost,firstName,lastName,fouls,accurateCross,bigChanceMissed,onTargetScoringAttempt,blockedScoringAttempt,expectedGoals,shotOffTarget,goals,expectedGoalsOnTarget,totalOffside,errorLeadToAShot,penaltyWon,penaltyFaced,clearanceOffLine,penaltyConceded
Đorđe Petrović,dorde-petrovic,Đ. Petrović,G,1,194,8808,M,dj.petrovic12,882604,"{'alpha2': 'RS', 'alpha3': 'SRB', 'name': 'Serbia', 'slug': 'serbia'}",EUR,939340800,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوردي بيتروفيتش', 'hi': 'डोरे पेट्रोविक', 'bn': 'ডোরে পেট্রোভিচ'}, 'shortNameTranslation': {'ar': 'د. بيتروفيتش', 'hi': 'डी. पेट्रोविक', 'bn': 'ডি. পেট্রোভিচ'}}",35.0,30.0,8.0,3.0,30.0,31.0,4.0,1.0,6.0,3.0,4.0,1.0,1.0,90.0,44.0,7.4,5.0,0.00010447,"{'original': 7.4, 'alternative': 7.3}",0,0.3069,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malo Gusto,gusto-malo,M. Gusto,D,27,179,18882,M,malogst,996958,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1053302400,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوستو، مالو', 'hi': 'गुस्टो, मालो', 'bn': 'গুস্টো, মালো'}, 'shortNameTranslation': {'ar': 'م. جوستو', 'hi': 'एम. गुस्टो', 'bn': 'এম. গুস্টো'}}",98.0,92.0,3.0,2.0,58.0,62.0,37.0,3.0,8.0,,,,,90.0,128.0,7.6,11.0,0.40026,"{'original': 7.6, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,34.0,1.0,1.0,7.0,6.0,4.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
Axel Disasi,axel-disasi,A. Disasi,D,2,190,8850,M,axel_disasi,827243,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,889574400,"{'value': 15500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أكسيل ديساسي', 'hi': 'एक्सल डिसासी', 'bn': 'অ্যাক্সেল ডিসাসি'}, 'shortNameTranslation': {'ar': 'أ. ديساسي', 'hi': 'ए. डिसासी', 'bn': 'এ. ডিসাসি'}}",87.0,72.0,10.0,2.0,53.0,60.0,28.0,3.0,3.0,,,,,90.0,100.0,6.8,17.0,0.011081,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,19.0,1.0,2.0,2.0,6.0,,1.0,,,,,,3.0,3.0,,2.0,,1.0,,,,,,,,,,,,,,,,,
Benoît Badiashile,benoit-badiashile,B. Badiashile,D,5,194,10333,M,badiashile,904827,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,985564800,"{'value': 17400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بينوا بادياشيل', 'hi': 'बेनोइट बाडियाशिले', 'bn': 'বেনেডিক্ট বাদিয়াশিলে'}, 'shortNameTranslation': {'ar': 'ب. بادياشيل', 'hi': 'बी. बाडियाशिले', 'bn': 'বি.বাদিয়াশিলে'}}",73.0,70.0,3.0,1.0,54.0,56.0,17.0,1.0,6.0,,,,,89.0,77.0,6.5,4.0,0.00383635,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,16.0,,,4.0,2.0,2.0,1.0,,,,,,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,
Levi Colwill,levi-colwill,L. Colwill,D,6,187,17567,M,LColwill,996911,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1046217600,"{'value': 55000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ليفي كولويل', 'hi': 'लेवी कोलविल', 'bn': 'লেভি কলউইল'}, 'shortNameTranslation': {'ar': 'ل. كولويل', 'hi': 'एल. कोलविल', 'bn': 'এল. কলউইল'}}",26.0,22.0,3.0,1.0,13.0,15.0,11.0,2.0,1.0,,,,,58.0,34.0,6.3,4.0,0.0142735,"{'original': 6.3, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,9.0,,,4.0,2.0,2.0,,1.0,1.0,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,
Conor Gallagher,conor-gallagher,C. Gallagher,M,4,182,15436,M,conorgallagher92,904970,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,949795200,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كونور غالاغير', 'hi': 'कोनोर गालाघर', 'bn': 'কনর গ্যালাঘের'}, 'shortNameTranslation': {'ar': 'ك. غالاغر', 'hi': 'सी. गालाघर', 'bn': 'সি. গ্যালাঘের'}}",87.0,77.0,5.0,2.0,42.0,45.0,46.0,1.0,9.0,,,,,90.0,116.0,7.9,17.0,0.481548,"{'original': 7.9, 'alternative': 7.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,36.0,4.0,1.0,5.0,8.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,,,,2.0,1.0,,,,,,,,,,,,,
Moisés Caicedo,moises-caicedo,M. Caicedo,M,25,178,78106,M,MoisesCaicedo55,987650,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,1004659200,"{'value': 115000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مويسيس كايسيدو', 'hi': 'मोइसेस कैसेडो', 'bn': 'মোজেস কাইসেডো'}, 'shortNameTranslation': {'ar': 'م. كايسيدو', 'hi': 'एम. कैसेडो', 'bn': 'এম. কাইসেডো'}}",86.0,81.0,5.0,5.0,43.0,44.0,42.0,1.0,,,,,,90.0,105.0,7.4,9.0,0.0702223,"{'original': 7.4, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,38.0,,2.0,5.0,11.0,2.0,1.0,1.0,1.0,,1.0,1.0,5.0,2.0,3.0,3.0,,,,,2.0,,,,,,,,,,,,,,
Ian Maatsen,ian-maatsen,I. Maatsen,D,22,178,5423,M,maatsen_,976263,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,1015718400,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيان ماتسين', 'hi': 'इयान मात्सेन', 'bn': 'ইয়ান মাতসেন'}, 'shortNameTranslation': {'ar': 'إ. ماتسين', 'hi': 'आई. मात्सेन', 'bn': 'আই. মাতসেন'}}",23.0,18.0,,,8.0,11.0,12.0,4.0,3.0,,,,,58.0,41.0,6.1,11.0,0.00677369,"{'original': 6.1, 'alternative': 5.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,10.0,,,6.0,,,2.0,2.0,,,,,,,2.0,,,,,,2.0,,1.0,1.0,1.0,0.3944,,,,,,,,,
Christopher Nkunku,christopher-nkunku,C. Nkunku,F,18,175,52393,M,Nkunku,769333,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,879465600,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستوفر نكونكو', 'hi': 'क्रिस्टोफर नकुंकू', 'bn': 'ক্রিস্টোফার এনকুঙ্কু'}, 'shortNameTranslation': {'ar': 'ك. نكونكو', 'hi': 'सी. नकुंकू', 'bn': 'সি. এনকুঙ্কু'}}",25.0,23.0,1.0,1.0,11.0,11.0,14.0,,,,,,,71.0,34.0,6.5,7.0,0.0924395,"{'original': 6.5, 'alternative': 6.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,12.0,,1.0,5.0,3.0,,,2.0,,,,,,,2.0,2.0,1.0,1.0,,,2.0,,1.0,,,0.0475,1.0,,,,,,,,
Mykhaylo Mudryk,mykhaylo-mudryk,M. Mudryk,M,10,175,52950,M,MMudryk10,958966,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,978652800,"{'value': 73000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميخايلو مودريك', 'hi': 'माइखाइलो मुडरीक', 'bn': 'মিখাইলো মড্রিক'}, 'shortNameTranslation': {'ar': 'م. مودريك', 'hi': 'एम. मुडरीक', 'bn': 'এম. মড্রিক'}}",17.0,14.0,3.0,2.0,5.0,5.0,14.0,,2.0,,,,,71.0,38.0,7.5,14.0,0.256612,"{'original': 7.5, 'alternative': 7.2}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,9.0,2.0,,6.0,3.0,,3.0,3.0,1.0,1.0,1.0,,2.0,1.0,2.0,,1.0,1.0,,,,,1.0,2.0,1.0,0.4898,,1.0,0.8735,,,,,,
Nicolas Jackson,nicolas-jackson,N. Jackson,F,11,186,86972,M,NJackson11,1085381,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,992995200,"{'value': 49000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيكولاس جاكسون', 'hi': 'निकोलस जैक्सन', 'bn': 'নিকোলাস জ্যাকসন'}, 'shortNameTranslation': {'ar': 'ن. جاكسون', 'hi': 'एन. जैक्सन', 'bn': 'এন. জ্যাকসন'}}",29.0,25.0,1.0,1.0,12.0,13.0,16.0,1.0,7.0,,,,,90.0,36.0,7.1,7.0,0.0462452,"{'original': 7.1, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,13.0,,1.0,5.0,3.0,,1.0,,,2.0,,,1.0,1.0,2.0,1.0,2.0,4.0,Nicolas Jackson,,,,1.0,,,0.6392,1.0,,,3.0,,,,,
Thiago Silva,thiago-silva,T. Silva,D,,181,43819,M,ThiagoSilva,33541,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,464659200,"{'value': 560000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تياغو سيلفا', 'hi': 'थियागो सिल्वा', 'bn': 'থিয়াগো সিলভা'}, 'shortNameTranslation': {'ar': 'ت. سيلفا', 'hi': 'टी. सिल्वा', 'bn': 'টি. সিলভা'}}",22.0,18.0,6.0,2.0,8.0,9.0,13.0,3.0,,,,,,32.0,29.0,6.8,6.0,0.0214397,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,10.0,,,,1.0,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,
Roméo Lavia,romeo-lavia,R. Lavia,M,45,181,16600,M,romeolavia,1069488,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,1073347200,"{'value': 28000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روميو لافيا', 'hi': 'रोमियो लाविया', 'bn': 'রোমিও লাভিয়া'}, 'shortNameTranslation': {'ar': 'ر. لافيا', 'hi': 'आर. लाविया', 'bn': 'আর. লাভিয়া'}}",27.0,22.0,1.0,,5.0,6.0,21.0,1.0,,,,,,32.0,31.0,6.6,5.0,0.00751477,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,17.0,,,1.0,2.0,,,,,,,,1.0,,,1.0,,,Romeo Lavia,,1.0,,,,,,,,,,,,,,
Noni Madueke,noni-madueke,N. Madueke,M,20,182,40433,M,nonzinoo10,966547,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1015718400,"{'value': 54000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نوني مادويكي', 'hi': 'नोनी मदुके', 'bn': 'ননি মাদুকে'}, 'shortNameTranslation': {'ar': 'ن. مادويكي', 'hi': 'एन. मदुके', 'bn': 'এন. মাদুকে'}}",4.0,4.0,,,1.0,1.0,3.0,1.0,1.0,,,,,19.0,17.0,7.5,4.0,0.00309849,"{'original': 7.5, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,3.0,,,4.0,4.0,1.0,,3.0,1.0,,,,1.0,1.0,1.0,2.0,,,,,1.0,,,1.0,,0.7884,,1.0,0.9837,,,1.0,,,
