name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,penaltyFaced,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,accurateCross,duelLost,duelWon,challengeLost,totalContest,wonContest,interceptionWon,totalTackle,fouls,keyPass,aerialLost,aerialWon,shotOffTarget,wonTackle,unsuccessfulTouch,expectedGoals,outfielderBlock,dispossessed,penaltyConceded,bigChanceCreated,onTargetScoringAttempt,goals,expectedGoalsOnTarget,wasFouled,goalAssist,totalOffside,bigChanceMissed,blockedScoringAttempt,errorLeadToAGoal,hitWoodwork
Jordan Pickford,jordan-pickford,J. Pickford,G,1,185,7467,M,jpickford1,138530,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,762998400,"{'value': 16100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان بيكفورد', 'hi': 'जॉर्डन पिकफोर्ड', 'bn': 'জর্ডান পিকফোর্ড'}, 'shortNameTranslation': {'ar': 'ج. بيكفورد', 'hi': 'जे. पिकफोर्ड', 'bn': 'জে.পিকফোর্ড'}}",37.0,24.0,26.0,13.0,13.0,17.0,11.0,20.0,2.0,4.0,4.0,1.0,6.0,1.0,1.0,1.0,90.0,46.0,7.8,14.0,0.0126604,"{'original': 7.8, 'alternative': 7.2}",0,-0.7131,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Patterson,patterson-nathan,N. Patterson,D,2,189,576,M,,1020141,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,1003190400,"{'value': 16300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باترسون، ناثان', 'hi': 'पैटरसन, नाथन', 'bn': 'প্যাটারসন, নাথান'}, 'shortNameTranslation': {'ar': 'ن. باترسون', 'hi': 'एन. पैटरसन', 'bn': 'এন. প্যাটারসন'}}",20.0,17.0,4.0,3.0,10.0,12.0,8.0,9.0,4.0,4.0,,,,,,,90.0,35.0,6.0,4.0,0.0290864,"{'original': 6, 'alternative': 5.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,Nathan,Patterson,1.0,1.0,8.0,2.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,
James Tarkowski,james-tarkowski,J. Tarkowski,D,6,185,2332,M,,145188,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,722131200,"{'value': 7200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس تاركوفسكي', 'hi': 'जेम्स टार्कोव्स्की', 'bn': 'জেমস তারকোভস্কি'}, 'shortNameTranslation': {'ar': 'ج. تاركوفسكي', 'hi': 'जे. टार्कोव्स्की', 'bn': 'জে. তারকোভস্কি'}}",32.0,21.0,6.0,3.0,15.0,17.0,6.0,15.0,7.0,6.0,,,,,,,90.0,48.0,6.6,13.0,0.00350672,"{'original': 6.6, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,,,5.0,6.0,1.0,1.0,,1.0,2.0,2.0,,1.0,4.0,1.0,1.0,1.0,0.037,,,,,,,,,,,,,,
Jarrad Branthwaite,jarrad-branthwaite,J. Branthwaite,D,32,195,2559,M,,979563,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1025136000,"{'value': 46000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاراد برانثويت', 'hi': 'जेर्राड ब्रैंथवेट', 'bn': 'জারাদ ব্র্যানথওয়েট'}, 'shortNameTranslation': {'ar': 'ج. برانثويت', 'hi': 'जे. ब्रैंथवेट', 'bn': 'জে. ব্র্যানথওয়েট'}}",37.0,34.0,3.0,2.0,29.0,29.0,5.0,8.0,2.0,3.0,,,,,,,90.0,48.0,6.4,4.0,0.00303787,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,
Vitaliy Mykolenko,vitaliy-mykolenko,V. Mykolenko,D,16,180,4121,M,mikola_16,876643,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,927936000,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتالي ميكولينكو', 'hi': 'विटाली मायकोलेंको', 'bn': 'ভিটালি মাইকোলেনকো'}, 'shortNameTranslation': {'ar': 'ف. ميكولينكو', 'hi': 'वी. मायकोलेंको', 'bn': 'ভি. মাইকোলেনকো'}}",28.0,18.0,4.0,1.0,11.0,13.0,8.0,17.0,2.0,7.0,,,,,,,90.0,49.0,6.3,13.0,0.0552025,"{'original': 6.3, 'alternative': 6.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,1.0,4.0,6.0,2.0,2.0,1.0,2.0,3.0,,,1.0,2.0,1.0,1.0,1.0,0.025,,,,,,,,,,,,,,
André Gomes,andre-gomes,A. Gomes,M,26,188,1689,M,,235460,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,743990400,"{'value': 4400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندريه غوميز', 'hi': 'आंद्रे गोम्स', 'bn': 'আন্দ্রে গোমেস'}, 'shortNameTranslation': {'ar': 'أ. غوميز', 'hi': 'ए. गोम्स', 'bn': 'এ. গোমেস'}}",11.0,6.0,2.0,,4.0,6.0,3.0,10.0,,3.0,,,,,,,65.0,22.0,6.4,10.0,0.0176576,"{'original': 6.4, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,5.0,1.0,3.0,2.0,,1.0,1.0,,1.0,2.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,
Amadou Onana,amadou-onana,A. Onana,M,24,195,6827,M,its_onana,923973,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,997920000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أمادو أونانا', 'hi': 'अमादौ ओनाना', 'bn': 'আমাদৌ ওনানা'}, 'shortNameTranslation': {'ar': 'أ. أونانا', 'hi': 'ए. ओनाना', 'bn': 'এ. ওনানা'}}",38.0,28.0,4.0,2.0,20.0,22.0,8.0,16.0,,11.0,,,,,,,90.0,48.0,6.2,12.0,0.0053822,"{'original': 6.2, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,3.0,2.0,,,,,2.0,3.0,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,
Jack Harrison,jack-harrison,J. Harrison,M,20,175,1080,M,,829570,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,848448000,"{'value': 10800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك هاريسون', 'hi': 'जैक हैरिसन', 'bn': 'জ্যাক হ্যারিসন'}, 'shortNameTranslation': {'ar': 'ج. هاريسون', 'hi': 'जे. हैरिसन', 'bn': 'জে. হ্যারিসন'}}",12.0,7.0,1.0,1.0,2.0,3.0,6.0,11.0,,3.0,,,,,,,80.0,22.0,7.1,11.0,0.152273,"{'original': 7.1, 'alternative': 7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,1.0,6.0,1.0,3.0,4.0,1.0,,,,1.0,,,,,1.0,0.5995,,,,1.0,2.0,1.0,0.6206,,,,,,,
James Garner,james-garner,J. Garner,M,37,182,2524,M,,927361,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,984441600,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس غارنر', 'hi': 'जेम्स गार्नर', 'bn': 'জেমস গার্নার'}, 'shortNameTranslation': {'ar': 'ج. غارنر', 'hi': 'जे. गार्नर', 'bn': 'জে. গার্নার'}}",25.0,19.0,2.0,1.0,10.0,13.0,10.0,13.0,2.0,4.0,,,,,,,90.0,42.0,6.9,7.0,0.0520677,"{'original': 6.9, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,1.0,4.0,4.0,2.0,,,2.0,2.0,1.0,1.0,1.0,,,1.0,1.0,,2.0,,,,,,,2.0,,,,,,
Dwight McNeil,dwight-mcneil,D. McNeil,M,7,183,2030,M,,935543,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,943228800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوايت مكنيل', 'hi': 'ड्वाइट मैकनील', 'bn': 'ডোয়াইট ম্যাকনিল'}, 'shortNameTranslation': {'ar': 'د. مكنيل', 'hi': 'डी. मैकनील', 'bn': 'ডি. ম্যাকনিল'}}",26.0,17.0,3.0,2.0,5.0,6.0,12.0,24.0,,9.0,,,,,,,90.0,43.0,7.3,18.0,0.133062,"{'original': 7.3, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,Dwight,McNeil,4.0,,3.0,2.0,,1.0,1.0,1.0,,,2.0,,,,,2.0,,1.0,3.0,,1.0,,,,1.0,1.0,,,,,
