name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateLongBalls,accurateOppositionHalfPasses,totalCross,accurateCross,duelLost,duelWon,challengeLost,totalContest,bigChanceCreated,shotOffTarget,blockedScoringAttempt,interceptionWon,totalTackle,wonTackle,wasFouled,fouls,expectedGoals,keyPass,aerialWon,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,unsuccessfulTouch,aerialLost,dispossessed,clearanceOffLine,firstName,lastName,wonContest,bigChanceMissed,totalOffside,hitWoodwork,goodHighClaim,errorLeadToAShot
Alisson,alisson,Alisson,G,1,193,66760,M,AlissonBecker,243609,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,717984000,"{'value': 18700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليسون', 'hi': 'एलिसन', 'bn': 'অ্যালিসন'}, 'shortNameTranslation': {'ar': 'أليسون', 'hi': 'एलिसन', 'bn': 'অ্যালিসন'}}",18.0,16.0,2.0,0.0,16.0,17.0,1.0,3.0,1.0,2.0,90.0,21.0,7.2,2.0,0.00010887,"{'original': 7.2, 'alternative': 7.5}",0,0.761,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Alexander-Arnold,trent-alexander-arnold,T. Alexander-Arnold,D,12,180,208066,M,TrentAA,795064,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,907718400,"{'value': 72000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ترنت ألكسندر-أرنولد', 'hi': 'ट्रेंट अलेक्जेंडर-अर्नोल्ड', 'bn': 'ট্রেন্ট আলেকজান্ডার-আর্নল্ড'}, 'shortNameTranslation': {'ar': 'ت. ألكسندر-أرنولد', 'hi': 'टी. अलेक्जेंडर-अर्नोल्ड', 'bn': 'টি. আলেকজান্ডার-আর্নল্ড'}}",43.0,42.0,7.0,0.0,7.0,7.0,41.0,8.0,,,70.0,69.0,8.1,9.0,0.140005,"{'original': 8.1, 'alternative': 7.7}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,7.0,37.0,5.0,2.0,6.0,4.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,0.2957,3.0,,,,,,,,,,,,,,,,,
Jarell Quansah,jarell-quansah,J. Quansah,D,4,190,10706,M,jarellquansah,1003339,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1043798400,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاريل كوانسا', 'hi': 'जेरेल क्वांसाह', 'bn': 'জারেল কোয়ানসাহ'}, 'shortNameTranslation': {'ar': 'ج. كوانسا', 'hi': 'जे. क्वांसाह', 'bn': 'জে. কোয়ানসাহ'}}",74.0,67.0,7.0,0.0,25.0,28.0,46.0,4.0,,,90.0,86.0,8.7,8.0,0.0270037,"{'original': 8.7, 'alternative': 8.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,6.0,42.0,,,1.0,6.0,,,,,,2.0,3.0,2.0,,1.0,0.8141,1.0,3.0,2.0,1.0,3.0,1.0,1.0,,,,,,,,,,,
Virgil van Dijk,virgil-van-dijk,V. van Dijk,D,4,195,103743,M,VvD,151545,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,678931200,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيرجيل فان دايك', 'hi': 'वर्जिल वान डिक', 'bn': 'ভার্জিল ভ্যান ডাইক'}, 'shortNameTranslation': {'ar': 'ف. فان دايك', 'hi': 'वी. वान डिक', 'bn': 'ভি. ভ্যান ডাইক'}}",67.0,63.0,5.0,0.0,33.0,33.0,34.0,5.0,,,90.0,79.0,8.1,6.0,0.0250684,"{'original': 8.1, 'alternative': 7.8}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,1.0,30.0,,,4.0,4.0,,1.0,,2.0,1.0,3.0,,,,1.0,0.2481,,4.0,2.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,
Andrew Robertson,andrew-robertson,A. Robertson,D,26,178,25243,M,andyrobertson94,262911,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,763344000,"{'value': 12800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندرو روبرتسون', 'hi': 'एंड्रयू रॉबर्टसन', 'bn': 'অ্যান্ড্রু রবার্টসন'}, 'shortNameTranslation': {'ar': 'أ. روبرتسون', 'hi': 'ए. रॉबर्टसन', 'bn': 'এ. রবার্টসন'}}",89.0,84.0,4.0,0.0,23.0,24.0,71.0,8.0,,,90.0,104.0,8.4,10.0,0.782571,"{'original': 8.4, 'alternative': 7.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,64.0,6.0,3.0,3.0,3.0,2.0,1.0,1.0,,,,1.0,,,,,7.0,1.0,,,,,1.0,,1.0,,,,1.0,,,,,
Harvey Elliott,harvey-elliott,H. Elliott,M,19,170,21929,M,harvelliott,955245,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1049414400,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هارفي إليوت', 'hi': 'हार्वे इलियट', 'bn': 'হার্ভে এলিয়ট'}, 'shortNameTranslation': {'ar': 'ه. إليوت', 'hi': 'एच. इलियट', 'bn': 'এইচ. এলিয়ট'}}",70.0,65.0,6.0,1.0,13.0,13.0,64.0,1.0,,,81.0,87.0,8.7,8.0,0.430755,"{'original': 8.7, 'alternative': 8.6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,5.0,58.0,7.0,6.0,1.0,3.0,,,1.0,1.0,2.0,,2.0,,1.0,1.0,0.2742,5.0,,,,,,1.0,,,,,,,,,,,
Wataru Endo,wataru-endo,W. Endo,M,3,178,19922,M,endowataru,143040,"{'alpha2': 'JP', 'alpha3': 'JPN', 'name': 'Japan', 'slug': 'japan'}",EUR,729216000,"{'value': 4600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'واتارو إندو', 'hi': 'वातारू एंडो', 'bn': 'ওয়ান্ডারিং এন্ডো'}, 'shortNameTranslation': {'ar': 'و. إندو', 'hi': 'डब्लू. एंडो', 'bn': 'ডব্লিউ. এন্ডো'}}",73.0,69.0,,0.0,18.0,21.0,52.0,9.0,,,90.0,87.0,7.0,7.0,0.0391045,"{'original': 7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,51.0,,,11.0,6.0,6.0,1.0,,,,,3.0,2.0,3.0,3.0,0.0424,2.0,,1.0,,,,1.0,,1.0,,,,,,,,,
Alexis Mac Allister,alexis-mac-allister,A. Mac Allister,M,10,176,73401,M,Macca10,895324,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,914457600,"{'value': 93000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكسيس ماك أليستر', 'hi': 'एलेक्सिस मैक एलिस्टर', 'bn': 'অ্যালেক্সিস ম্যাক অ্যালিস্টার'}, 'shortNameTranslation': {'ar': 'أ. ماك أليستر', 'hi': 'ए. मैक एलिस्टर', 'bn': 'এ. ম্যাক অ্যালিস্টার'}}",42.0,39.0,1.0,0.0,8.0,8.0,34.0,3.0,,,70.0,53.0,8.0,4.0,0.0997178,"{'original': 8, 'alternative': 7.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,31.0,,,,8.0,,,,1.0,,1.0,3.0,2.0,2.0,,0.63,3.0,3.0,1.0,1.0,2.0,,1.0,,,,,,,1.0,,,,
Mohamed Salah,mohamed-salah,M. Salah,M,11,175,561305,M,MoSalah,159665,"{'alpha2': 'EG', 'alpha3': 'EGY', 'name': 'Egypt', 'slug': 'egypt'}",EUR,708566400,"{'value': 44000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'محمد صلاح', 'hi': 'मोहम्मद सलाह', 'bn': 'মোহাম্মদ সালাহ'}, 'shortNameTranslation': {'ar': 'م. صلاح', 'hi': 'एम. सलाह', 'bn': 'এম. সালাহ'}}",29.0,20.0,,0.0,,1.0,32.0,2.0,,,90.0,54.0,6.8,21.0,0.133002,"{'original': 6.8, 'alternative': 6.4}",7,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,20.0,4.0,,6.0,4.0,1.0,4.0,,,2.0,,2.0,2.0,1.0,1.0,1.0663,,,5.0,,,,4.0,,1.0,,,,1.0,2.0,3.0,,,
Cody Gakpo,cody-gakpo,C. Gakpo,M,18,193,53434,M,CodyGakpo,862967,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,926035200,"{'value': 67000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كودي جاكبو', 'hi': 'कोडी गाकपो', 'bn': 'কোডি গাকপো'}, 'shortNameTranslation': {'ar': 'ك. جاكبو', 'hi': 'सी. गाकपो', 'bn': 'সি. গাকপো'}}",34.0,30.0,2.0,0.0,2.0,3.0,32.0,7.0,,,81.0,50.0,7.3,9.0,0.371803,"{'original': 7.3, 'alternative': 7}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,28.0,1.0,,7.0,5.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,,2.0,1.0,0.8803,1.0,2.0,1.0,,,,2.0,1.0,1.0,,,,,1.0,,,,
