name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,wasFouled,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,keyPass,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,accurateCross,aerialLost,aerialWon,duelLost,bigChanceCreated,totalClearance,outfielderBlock,fouls,challengeLost,shotOffTarget,totalTackle,wonTackle,unsuccessfulTouch,totalOffside,expectedGoals,dispossessed,totalContest,onTargetScoringAttempt,blockedScoringAttempt,interceptionWon,penaltyWon,expectedGoalsOnTarget,wonContest,goals,bigChanceMissed,savedShotsFromInsideTheBox,penaltyFaced,punches,penaltyConceded,sofascoreId,hitWoodwork
Thomas Kaminski,thomas-kaminski,T. Kaminski,G,1,190.0,558,M,45959,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,719798400,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماس كامينسكي', 'hi': 'थॉमस कामिन्स्की', 'bn': 'টমাস কামিনস্কি'}, 'shortNameTranslation': {'ar': 'ت. كامينسكي', 'hi': 'टी. कामिन्स्की', 'bn': 'টি. কামিনস্কি'}}",21.0,18.0,8.0,6.0,0.0,15.0,17.0,3.0,4.0,1.0,7.0,1.0,2.0,2.0,2.0,76.0,29.0,5.8,4.0,0.0133122,1.0,"{'original': 5.8, 'alternative': 5.6}",0,-2.2837,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daiki Hashioka,daiki-hashioka,D. Hashioka,D,8,185.0,1034,M,897334,"{'alpha2': 'JP', 'alpha3': 'JPN', 'name': 'Japan', 'slug': 'japan'}",EUR,926899200,"{'value': 1700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دايكي هاشيوكا', 'hi': 'दाइकी हाशिओका', 'bn': 'ডাইকি হাশিওকা'}, 'shortNameTranslation': {'ar': 'د. هاشيوكا', 'hi': 'डी. हाशिओका', 'bn': 'ডি. হাশিওকা'}}",40.0,36.0,4.0,2.0,0.0,28.0,28.0,9.0,13.0,4.0,3.0,2.0,,,,90.0,50.0,6.4,4.0,0.0215051,1.0,"{'original': 6.4, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,1.0,3.0,2.0,5.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
Teden Mengi,teden-mengi,T. Mengi,D,15,183.0,793,M,979233,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1020124800,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيدن منجي', 'hi': 'टेडेन मेंगी', 'bn': 'টেডেন মেঙ্গি'}, 'shortNameTranslation': {'ar': 'ت. منجي', 'hi': 'टी. मेंगी', 'bn': 'টি. মেঙ্গি'}}",3.0,2.0,,,0.0,2.0,3.0,,,,,,,,,17.0,3.0,6.5,1.0,4.09e-06,,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Osho,gabriel-osho,G. Osho,D,3,185.0,835,M,920680,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,903052800,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غابرييل أوشو', 'hi': 'गेब्रियल ओशो', 'bn': 'গ্যাব্রিয়েল ওশো'}, 'shortNameTranslation': {'ar': 'غ. أوشو', 'hi': 'जी. ओशो', 'bn': 'জি. ওশো'}}",20.0,18.0,3.0,1.0,0.0,16.0,16.0,2.0,4.0,4.0,4.0,1.0,,,,90.0,28.0,6.0,3.0,0.00080276,,"{'original': 6, 'alternative': 6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,2.0,1.0,4.0,,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0199,,,,,,,,,,,,,,,,
Chiedozie Ogbene,ogbene-chiedozie,C. Ogbene,M,19,181.0,794,M,849309,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,862444800,"{'value': 6500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوغبيني، تشيدوزي', 'hi': 'ओगबेने, चिएदोज़ी', 'bn': 'ওগবেন, চিইডোজি'}, 'shortNameTranslation': {'ar': 'ت. أوغبيني', 'hi': 'सी. ओगबेने', 'bn': 'সি. ওগবেন'}}",29.0,22.0,,,0.0,5.0,8.0,17.0,22.0,4.0,4.0,3.0,,,,76.0,50.0,7.3,16.0,0.0149157,1.0,"{'original': 7.3, 'alternative': 6.8}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,,,1.0,3.0,,,,,,,,,2.0,1.0,0.1349,1.0,2.0,1.0,2.0,2.0,1.0,0.0303,,,,,,,,,
Albert Sambi Lokonga,albert-sambi-lokonga,A. S. Lokonga,M,6,183.0,3693,M,901892,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,940550400,"{'value': 6200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألبرت سامبي لوكونغا', 'hi': 'अल्बर्ट साम्बी लोकोंगा', 'bn': 'আলবার্ট সাম্বি লোকোঙ্গা'}, 'shortNameTranslation': {'ar': 'أ. س. لوكونغا', 'hi': 'ए.एस. लोकोंगा', 'bn': 'এ. এস. লোকঙ্গা'}}",48.0,41.0,6.0,3.0,0.0,27.0,29.0,14.0,19.0,3.0,4.0,1.0,,,,90.0,56.0,6.4,11.0,0.0126825,1.0,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,2.0,3.0,,,,1.0,1.0,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,
Jordan Clark,jordan-clark,J. Clark,M,18,183.0,124,M,150477,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,748656000,"{'value': 590000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان كلارك', 'hi': 'जॉर्डन क्लार्क', 'bn': 'জর্ডান ক্লার্ক'}, 'shortNameTranslation': {'ar': 'ج. كلارك', 'hi': 'जे. क्लार्क', 'bn': 'জে. ক্লার্ক'}}",28.0,22.0,2.0,,0.0,14.0,14.0,8.0,15.0,4.0,2.0,1.0,,,,70.0,40.0,6.8,10.0,0.0475674,2.0,"{'original': 6.8, 'alternative': 6.7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,,,2.0,2.0,1.0,2.0,,2.0,,1.0,,,1.0,2.0,0.1319,,2.0,,2.0,1.0,,,1.0,,,,,,,,
Alfie Doughty,alfie-doughty,A. Doughty,M,14,183.0,576,M,945792,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,945734400,"{'value': 5700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألفي دوتي', 'hi': 'अल्फी डौटी', 'bn': 'আলফি ডাউটি'}, 'shortNameTranslation': {'ar': 'أ. دوتي', 'hi': 'ए. डौटी', 'bn': 'এ. ডাউটি'}}",25.0,18.0,5.0,2.0,0.0,10.0,10.0,12.0,28.0,3.0,1.0,,,,,90.0,57.0,7.2,20.0,0.1702,2.0,"{'original': 7.2, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,13.0,4.0,,,6.0,,1.0,,4.0,1.0,,2.0,1.0,,1.0,0.0377,1.0,1.0,1.0,,1.0,,0.2689,1.0,1.0,,,,,,,
Carlton Morris,carlton-morris,C. Morris,F,9,185.0,1084,M,358222,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,819072000,"{'value': 6200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كارلتون موريس', 'hi': 'कार्लटन मॉरिस', 'bn': 'কার্লটন মরিস'}, 'shortNameTranslation': {'ar': 'ك. موريس', 'hi': 'सी. मॉरिस', 'bn': 'সি. মরিস'}}",17.0,12.0,,,0.0,2.0,2.0,10.0,15.0,10.0,2.0,3.0,,,,90.0,32.0,7.4,7.0,0.0140045,1.0,"{'original': 7.4, 'alternative': 7.3}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,,,,2.0,1.0,,,,,,2.0,4.0,1.0,1.0,,1.4485,,2.0,2.0,,,,1.6624,1.0,1.0,1.0,,,,,,
Elijah Adebayo,adebayo-elijah,E. Adebayo,F,11,193.0,1056,M,920542,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,884131200,"{'value': 4400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أديبايو، إيلايا', 'hi': 'एडेबायो, एलिजा', 'bn': 'অ্যাডেবায়ো, ইলিয়াস'}, 'shortNameTranslation': {'ar': 'أديبايو', 'hi': 'ई. एडेबायो', 'bn': 'ই. অ্যাডেবায়ো'}}",6.0,2.0,,,0.0,,1.0,2.0,5.0,4.0,,2.0,,,,76.0,22.0,5.7,13.0,0.00405858,,"{'original': 5.7, 'alternative': 5.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,1.0,11.0,,,,2.0,1.0,,,,1.0,2.0,0.1285,3.0,6.0,1.0,,,,0.325,1.0,,1.0,,,,,,
Tahith Chong,tahith-chong,T. Chong,M,24,185.0,1675,M,825845,"{'alpha2': 'CW', 'alpha3': 'CUW', 'name': 'Curacao', 'slug': 'curacao'}",EUR,944265600,"{'value': 4300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تايث تشونغ', 'hi': 'ताहित चोंग', 'bn': 'তাহিথ চং'}, 'shortNameTranslation': {'ar': 'ت. تشونغ', 'hi': 'टी. चोंग', 'bn': 'টি. চং'}}",18.0,15.0,1.0,,0.0,5.0,5.0,10.0,14.0,3.0,5.0,3.0,,,,90.0,33.0,6.5,9.0,0.00440737,,"{'original': 6.5, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,,,,5.0,,,1.0,2.0,,,,,2.0,,0.0732,1.0,2.0,,1.0,,,,,,,,,,,,
Joseph Johnson,joseph-johnson,J. Johnson,D,38,180.0,84,M,825550,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1140480000,"{'value': 285000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوزيف جونسون', 'hi': 'जोसेफ जॉनसन', 'bn': 'জোসেফ জনসন'}, 'shortNameTranslation': {'ar': 'ج. جونسون', 'hi': 'जे. जॉनसन', 'bn': 'জে. জনসন'}}",32.0,28.0,9.0,5.0,0.0,23.0,23.0,5.0,9.0,,3.0,,,,,73.0,33.0,5.8,5.0,0.00242374,,"{'original': 5.8, 'alternative': 5.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,1.0,,3.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Pelly Ruddock Mpanzu,pelly-ruddock-mpanzu,P. R. Mpanzu,M,17,175.0,296,M,387116,"{'alpha2': 'CD', 'alpha3': 'COD', 'name': 'DR Congo', 'slug': 'dr-congo'}",EUR,742867200,"{'value': 390000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيلي رودوك مبانزو', 'hi': 'पेली रुडॉक मपांज़ू', 'bn': 'পেলি রাডক এমপানজু'}, 'shortNameTranslation': {'ar': 'ب. رودوك مبانزو', 'hi': 'पीआर रुडॉक', 'bn': 'পি. আর. এমপানজু'}}",5.0,3.0,,,0.0,2.0,2.0,1.0,3.0,2.0,,1.0,,,,20.0,8.0,6.7,2.0,0.00029529,,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
James Shea,james-shea,J. Shea,G,1,180.0,45,M,137789,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,677030400,"{'value': 115000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس شيا', 'hi': 'जेम्स शिया', 'bn': 'জেমস শিয়া'}, 'shortNameTranslation': {'ar': 'ج. شيا', 'hi': 'जे. शिया', 'bn': 'জে. শিয়া'}}",8.0,5.0,6.0,3.0,0.0,2.0,3.0,3.0,5.0,,2.0,,2.0,,,14.0,13.0,7.0,3.0,0.00084391,,"{'original': 7, 'alternative': 6.8}",0,0.1257,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Cauley Woodrow,cauley-woodrow,C. Woodrow,F,12,184.0,116,M,140487,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,786326400,"{'value': 485000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاولي وودرو', 'hi': 'काउली वुडरो', 'bn': 'কাউলি উড্রো'}, 'shortNameTranslation': {'ar': 'ك. وودرو', 'hi': 'सी. वुडरो', 'bn': 'সি. উড্রো'}}",2.0,2.0,,,0.0,,,2.0,2.0,1.0,1.0,1.0,,,,14.0,7.0,6.9,1.0,0.00109309,,"{'original': 6.9, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,1.0,1.0,0.1264,,,1.0,,,,0.4024,,,,,,,,,
