name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,duelLost,shotOffTarget,blockedScoringAttempt,interceptionWon,wasFouled,keyPass,onTargetScoringAttempt,totalTackle,wonTackle,fouls,unsuccessfulTouch,totalOffside,accurateCross,challengeLost,totalContest,wonContest,firstName,lastName,dispossessed,bigChanceCreated,bigChanceMissed,punches,outfielderBlock,goalAssist,goals
Robert Sánchez,robert-sanchez,R. Sánchez,G,1,197,17613,M,RS1,920546,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,879811200,"{'value': 19900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روبرت سانشيز', 'hi': 'रॉबर्ट सांचेज़', 'bn': 'রবার্ট সানচেজ'}, 'shortNameTranslation': {'ar': 'ر. سانشيز', 'hi': 'आर. सांचेज़', 'bn': 'আর. সানচেজ'}}",25.0,23.0,5.0,3.0,21.0,22.0,2.0,3.0,1.0,1.0,1.0,12.0,1.0,1.0,2.0,2.0,2.0,90.0,37.0,7.0,3.0,0.0,0.0,0.00070314,"{'original': 7, 'alternative': 6.7}",0,-0.0541,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel Disasi,axel-disasi,A. Disasi,D,2,190,8850,M,axel_disasi,827243,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,889574400,"{'value': 15500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أكسيل ديساسي', 'hi': 'एक्सल डिसासी', 'bn': 'অ্যাক্সেল ডিসাসি'}, 'shortNameTranslation': {'ar': 'أ. ديساسي', 'hi': 'ए. डिसासी', 'bn': 'এ. ডিসাসি'}}",105.0,99.0,3.0,1.0,50.0,53.0,49.0,53.0,6.0,7.0,2.0,2.0,,,,,,90.0,116.0,7.2,7.0,0.1337,0.0,0.0583647,"{'original': 7.2, 'alternative': 7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
Thiago Silva,thiago-silva,T. Silva,D,,181,43819,M,ThiagoSilva,33541,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,464659200,"{'value': 560000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تياغو سيلفا', 'hi': 'थियागो सिल्वा', 'bn': 'থিয়াগো সিলভা'}, 'shortNameTranslation': {'ar': 'ت. سيلفا', 'hi': 'टी. सिल्वा', 'bn': 'টি. সিলভা'}}",99.0,95.0,2.0,,47.0,47.0,48.0,53.0,4.0,5.0,6.0,7.0,,,,,,90.0,109.0,7.4,5.0,0.0612,0.1504,0.0290632,"{'original': 7.4, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,2.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
Levi Colwill,levi-colwill,L. Colwill,D,6,187,17567,M,LColwill,996911,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1046217600,"{'value': 55000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ليفي كولويل', 'hi': 'लेवी कोलविल', 'bn': 'লেভি কলউইল'}, 'shortNameTranslation': {'ar': 'ل. كولويل', 'hi': 'एल. कोलविल', 'bn': 'এল. কলউইল'}}",50.0,41.0,6.0,3.0,19.0,21.0,22.0,30.0,4.0,5.0,1.0,8.0,,,,,,90.0,68.0,6.9,11.0,0.0,0.0,0.0361254,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,2.0,5.0,,,3.0,,,,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,
Malo Gusto,gusto-malo,M. Gusto,D,27,179,18882,M,malogst,996958,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1053302400,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوستو، مالو', 'hi': 'गुस्टो, मालो', 'bn': 'গুস্টো, মালো'}, 'shortNameTranslation': {'ar': 'م. جوستو', 'hi': 'एम. गुस्टो', 'bn': 'এম. গুস্টো'}}",69.0,61.0,1.0,1.0,18.0,19.0,44.0,57.0,,4.0,,8.0,,,,,,77.0,95.0,7.1,18.0,0.0,0.0,0.0304696,"{'original': 7.1, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,7.0,1.0,5.0,,,1.0,,,,3.0,1.0,2.0,,,1.0,1.0,2.0,1.0,,,,,,,,,
Conor Gallagher,conor-gallagher,C. Gallagher,M,4,182,15436,M,conorgallagher92,904970,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,949795200,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كونور غالاغير', 'hi': 'कोनोर गालाघर', 'bn': 'কনর গ্যালাঘের'}, 'shortNameTranslation': {'ar': 'ك. غالاغر', 'hi': 'सी. गालाघर', 'bn': 'সি. গ্যালাঘের'}}",56.0,49.0,2.0,2.0,20.0,22.0,29.0,35.0,1.0,6.0,,9.0,,,,,,62.0,68.0,7.1,9.0,0.0512,0.0,0.0465756,"{'original': 7.1, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,3.0,1.0,,,1.0,1.0,,4.0,2.0,2.0,,,,,,,,,,,,,,,
Moisés Caicedo,moises-caicedo,M. Caicedo,M,25,178,78106,M,MoisesCaicedo55,987650,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,1004659200,"{'value': 115000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مويسيس كايسيدو', 'hi': 'मोइसेस कैसेडो', 'bn': 'মোজেস কাইসেডো'}, 'shortNameTranslation': {'ar': 'م. كايسيدو', 'hi': 'एम. कैसेडो', 'bn': 'এম. কাইসেডো'}}",59.0,53.0,4.0,3.0,18.0,20.0,35.0,39.0,1.0,6.0,1.0,5.0,,,,,,77.0,71.0,7.1,10.0,0.0774,0.0,0.0397571,"{'original': 7.1, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,,1.0,,1.0,,,3.0,,,3.0,,,,1.0,1.0,,,1.0,,,,,,
Ben Chilwell,ben-chilwell,B. Chilwell,D,3,181,11476,M,Chilly,802695,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,851126400,"{'value': 11100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن تشيلويل', 'hi': 'बेन चिलवेल', 'bn': 'বেন চিলওয়েল'}, 'shortNameTranslation': {'ar': 'ب. تشيلويل', 'hi': 'बी. चिलवेल', 'bn': 'বি. চিলওয়েল'}}",18.0,8.0,1.0,,3.0,3.0,6.0,19.0,4.0,7.0,,1.0,,,,,,62.0,39.0,6.9,18.0,0.263,0.0,0.415053,"{'original': 6.9, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,4.0,4.0,8.0,1.0,1.0,,,2.0,,1.0,1.0,1.0,2.0,,1.0,1.0,2.0,2.0,,,2.0,1.0,,,,,
Raheem Sterling,raheem-sterling,R. Sterling,F,30,170,37771,M,Sterling7,138534,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,786844800,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رحيم ستيرلينغ', 'hi': 'रहीम स्टर्लिंग', 'bn': 'রাহিম স্টার্লিং'}, 'shortNameTranslation': {'ar': 'ر. سترلينغ', 'hi': 'आर. स्टर्लिंग', 'bn': 'আর. স্টার্লিং'}}",36.0,29.0,,,3.0,4.0,26.0,36.0,,2.0,,1.0,,,,,,90.0,51.0,6.8,13.0,0.4288,0.0,0.299969,"{'original': 6.8, 'alternative': 6.4}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,,2.0,1.0,2.0,,2.0,2.0,,,,,,,,,2.0,,,,,,1.0,,,,
Enzo Fernández,enzo-fernandez,E. Fernández,M,8,177,120510,M,Enzo8,974505,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,979689600,"{'value': 82000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إنزو فرنانديز', 'hi': 'एन्ज़ो फर्नांडीज़', 'bn': 'এনজো ফার্নান্ডেজ'}, 'shortNameTranslation': {'ar': 'إ. فرنانديز', 'hi': 'ई. फर्नांडीज़', 'bn': 'ই. ফার্নান্ডেজ'}}",89.0,80.0,6.0,3.0,22.0,22.0,59.0,74.0,2.0,8.0,,3.0,,,,,,90.0,118.0,7.9,22.0,0.1969,0.0166,0.497826,"{'original': 7.9, 'alternative': 7.9}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,7.0,1.0,6.0,1.0,2.0,,2.0,3.0,1.0,3.0,1.0,,2.0,,1.0,1.0,1.0,1.0,,,4.0,1.0,,,,,
