name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,aerialLost,duelLost,shotOffTarget,totalClearance,interceptionWon,totalTackle,wonTackle,wasFouled,fouls,expectedGoals,totalContest,wonContest,bigChanceCreated,blockedScoringAttempt,keyPass,sofascoreId,goalAssist,challengeLost,dispossessed,bigChanceMissed,unsuccessfulTouch,accurateCross,outfielderBlock,onTargetScoringAttempt,expectedGoalsOnTarget,goals,hitWoodwork,errorLeadToAShot,errorLeadToAGoal,totalOffside
Sam Johnstone,sam-johnstone,S. Johnstone,G,31,193.0,643,M,98427,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,733017600,"{'value': 5300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سام جونستون', 'hi': 'सैम जॉनस्टोन', 'bn': 'স্যাম জনস্টোন'}, 'shortNameTranslation': {'ar': 'س. جونستون', 'hi': 'एस. जॉनस्टोन', 'bn': 'এস. জনস্টোন'}}",41.0,19.0,32.0,10.0,15.0,19.0,4.0,22.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,90.0,46.0,6.4,22.0,0.00054295,"{'original': 6.4, 'alternative': 6.5}",0,-0.5719,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Ward,joel-ward,J. Ward,D,,188.0,256,M,39183,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,625622400,"{'value': 285000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جويل وارد', 'hi': 'जोएल वार्ड', 'bn': 'জোয়েল ওয়ার্ড'}, 'shortNameTranslation': {'ar': 'ج. وارد', 'hi': 'जे. वार्ड', 'bn': 'জে. ওয়ার্ড'}}",49.0,34.0,8.0,,19.0,22.0,15.0,28.0,2.0,5.0,3.0,,,,,,90.0,60.0,6.7,16.0,0.00971243,"{'original': 6.7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,1.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,0.1803,,,,,,,,,,,,,,,,,,,,
Joachim Andersen,joachim-andersen,J. Andersen,D,5,190.0,2408,M,362682,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,833500800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يواكيم أندرسن', 'hi': 'जोआचिम एंडरसन', 'bn': 'জোয়াকিম অ্যান্ডারসেন'}, 'shortNameTranslation': {'ar': 'ي. أندرسن', 'hi': 'जे. एंडरसन', 'bn': 'জে. অ্যান্ডারসেন'}}",50.0,41.0,12.0,6.0,28.0,28.0,13.0,22.0,3.0,6.0,7.0,,,,,,90.0,65.0,7.2,9.0,0.208886,"{'original': 7.2, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,4.0,,5.0,3.0,1.0,1.0,1.0,3.0,0.0585,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
Chris Richards,chris-richards,C. Richards,D,26,188.0,2004,M,931844,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,954201600,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريس ريتشاردز', 'hi': 'क्रिस रिचर्ड्स', 'bn': 'ক্রিস রিচার্ডস'}, 'shortNameTranslation': {'ar': 'ك. ريتشاردز', 'hi': 'सी. रिचर्ड्स', 'bn': 'সি. রিচার্ডস'}}",50.0,43.0,7.0,3.0,36.0,39.0,7.0,11.0,4.0,5.0,4.0,,,,,,90.0,64.0,7.0,7.0,0.00323657,"{'original': 7, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,1.0,,7.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
Daniel Muñoz,daniel-munoz,D. Muñoz,M,2,183.0,11977,M,870360,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833068800,"{'value': 28000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانييل مونوز', 'hi': 'डैनियल मुनोज़', 'bn': 'ড্যানিয়েল মুনোজ'}, 'shortNameTranslation': {'ar': 'د. مونوز', 'hi': 'डी. मुनोज़', 'bn': 'ডি. মুনোজ'}}",24.0,20.0,2.0,2.0,7.0,9.0,13.0,15.0,1.0,3.0,4.0,,,,,,90.0,49.0,7.0,7.0,0.148133,"{'original': 7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,8.0,1.0,3.0,2.0,,,,3.0,0.3727,2.0,2.0,1.0,,1.0,daniel.chitiva,1.0,3.0,1.0,1.0,1.0,,,,,,,,,
Adam Wharton,adam-wharton,A. Wharton,M,20,182.0,5314,M,1109771,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1076025600,"{'value': 63000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آدم وارتون', 'hi': 'एडम व्हार्टन', 'bn': 'অ্যাডাম ওয়ার্টন'}, 'shortNameTranslation': {'ar': 'أ. وارتون', 'hi': 'ए. व्हार्टन', 'bn': 'এ. ওয়ার্টন'}}",25.0,25.0,1.0,1.0,10.0,10.0,15.0,17.0,,3.0,1.0,,,,,,81.0,35.0,7.0,2.0,0.0501606,"{'original': 7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,1.0,4.0,,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,2.0,,,2.0,,,,,,,,,,,,
Jefferson Lerma,jefferson-lerma,J. Lerma,M,8,179.0,5382,M,355796,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,783043200,"{'value': 7400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيفرسون ليرما', 'hi': 'जेफरसन लेर्मा', 'bn': 'জেফারসন লারমা'}, 'shortNameTranslation': {'ar': 'ج. ليرما', 'hi': 'जे. लेर्मा', 'bn': 'জে. লারমা'}}",57.0,45.0,5.0,1.0,20.0,25.0,26.0,33.0,1.0,6.0,10.0,,,,,,90.0,71.0,7.7,12.0,0.275027,"{'original': 7.7, 'alternative': 7.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,2.0,3.0,1.0,,2.0,3.0,1.0,2.0,,0.0332,,,1.0,1.0,3.0,jeffersonlerma,,1.0,,,,1.0,1.0,,,,,,,
Tyrick Mitchell,tyrick-mitchell,T. Mitchell,M,3,174.0,1365,M,988275,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,936144000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيريك ميتشل', 'hi': 'टायरिक मिशेल', 'bn': 'টাইরিক মিচেল'}, 'shortNameTranslation': {'ar': 'ت. ميتشل', 'hi': 'टी. मिशेल', 'bn': 'টি. মিচেল'}}",40.0,32.0,4.0,,19.0,23.0,14.0,20.0,,5.0,5.0,,,,,,90.0,70.0,7.0,16.0,0.317542,"{'original': 7, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,1.0,6.0,,1.0,1.0,5.0,4.0,,3.0,0.1573,,,1.0,1.0,4.0,,,2.0,,1.0,4.0,1.0,,,,,,,,
Jordan Ayew,jordan-ayew,J. Ayew,F,9,182.0,14311,M,103045,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,684547200,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان أيو', 'hi': 'जॉर्डन अय्यू', 'bn': 'জর্ডান আইউ'}, 'shortNameTranslation': {'ar': 'ج. أيو', 'hi': 'जे. अय्यू', 'bn': 'জে. আইউ'}}",14.0,11.0,,,7.0,7.0,4.0,10.0,1.0,5.0,1.0,,,,,,70.0,31.0,6.8,12.0,0.00880977,"{'original': 6.8, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,1.0,9.0,,,1.0,1.0,1.0,2.0,3.0,0.1803,1.0,1.0,,1.0,,jordanayew9,,1.0,4.0,,2.0,,,1.0,0.0557,,,,,
Jean-Philippe Mateta,jean-philippe-mateta,J. Mateta,F,14,192.0,9259,M,848276,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,867456000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جان-فيليب ماتيتا', 'hi': 'जीन-फिलिप माटेटा', 'bn': 'জিন-ফিলিপ মাটেটা'}, 'shortNameTranslation': {'ar': 'ج. ماتيتا', 'hi': 'जे. माटेटा', 'bn': 'জে. মাটেটা'}}",17.0,12.0,,,3.0,5.0,9.0,15.0,3.0,5.0,5.0,,,,,,81.0,33.0,7.2,12.0,0.0413383,"{'original': 7.2, 'alternative': 7}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,1.0,5.0,2.0,1.0,,,,1.0,2.0,1.1056,1.0,1.0,,,2.0,Matetajphilippe,,,2.0,2.0,2.0,,,2.0,1.3676,1.0,,,,
