name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,blockedScoringAttempt,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,expectedGoals,wonContest,onTargetScoringAttempt,expectedGoalsOnTarget,dispossessed,shotOffTarget,lastManTackle,fouls,goals,keyPass,accurateCross,bigChanceMissed,penaltyWon,totalOffside,bigChanceCreated,penaltyConceded,penaltyFaced,totalKeeperSweeper,accurateKeeperSweeper,goalAssist,errorLeadToAShot,goodHighClaim,hitWoodwork
Caoimhin Kelleher,,,caoimhin-kelleher,C. Kelleher,G,1,188,10299,M,caoimhinkelleher98,827362,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,911779200,"{'value': 19800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاويمن كيليهير', 'hi': 'काओइमहिन केल्हेर', 'bn': 'কাওইমহিন কেলেহার'}, 'shortNameTranslation': {'ar': 'ك. كيليهير', 'hi': 'सी. केल्हेर', 'bn': 'সি. কেলেহার'}}",53.0,41.0,20.0,9.0,35.0,37.0,6.0,16.0,1.0,8.0,3.0,5.0,90.0,66.0,7.6,13.0,0.00210778,"{'original': 7.6, 'alternative': 7.4}",0,0.5628,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conor Bradley,,,bradley-conor,C. Bradley,D,12,181,15669,M,conorbradley03,1008402,"{'alpha2': 'NX', 'alpha3': 'NIR', 'name': 'Northern Ireland', 'slug': 'northern-ireland'}",EUR,1057708800,"{'value': 33000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برادلي، كونور', 'hi': 'ब्रैडली, कॉनर', 'bn': 'ব্র্যাডলি, কনর'}, 'shortNameTranslation': {'ar': 'ك. برادلي', 'hi': 'सी. ब्रैडली', 'bn': 'সি. ব্র্যাডলি'}}",29.0,21.0,2.0,,8.0,10.0,13.0,20.0,2.0,5.0,,,61.0,52.0,7.2,11.0,0.0106393,"{'original': 7.2, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,1.0,4.0,7.0,2.0,1.0,1.0,1.0,2.0,4.0,4.0,1.0,2.0,0.0393,,,,,,,,,,,,,,,,,,,,,,
Jarell Quansah,,,jarell-quansah,J. Quansah,D,4,190,10706,M,jarellquansah,1003339,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1043798400,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاريل كوانسا', 'hi': 'जेरेल क्वांसाह', 'bn': 'জারেল কোয়ানসাহ'}, 'shortNameTranslation': {'ar': 'ج. كوانسا', 'hi': 'जे. क्वांसाह', 'bn': 'জে. কোয়ানসাহ'}}",90.0,78.0,13.0,6.0,57.0,60.0,21.0,30.0,3.0,11.0,,,90.0,98.0,6.9,13.0,0.00683323,"{'original': 6.9, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,2.0,2.0,1.0,2.0,,1.0,,,,,,0.0238,1.0,1.0,0.1255,,,,,,,,,,,,,,,,,,,
Virgil van Dijk,,,virgil-van-dijk,V. van Dijk,D,4,195,103743,M,VvD,151545,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,678931200,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيرجيل فان دايك', 'hi': 'वर्जिल वान डिक', 'bn': 'ভার্জিল ভ্যান ডাইক'}, 'shortNameTranslation': {'ar': 'ف. فان دايك', 'hi': 'वी. वान डिक', 'bn': 'ভি. ভ্যান ডাইক'}}",79.0,77.0,7.0,6.0,53.0,53.0,24.0,26.0,2.0,5.0,,,90.0,92.0,7.6,3.0,0.00883791,"{'original': 7.6, 'alternative': 7.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,1.0,3.0,5.0,1.0,,,,4.0,4.0,3.0,,,0.0142,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
Joe Gomez,,,joe-gomez,J. Gomez,D,2,188,14017,M,joegomez5,318927,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,864345600,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جو غوميز', 'hi': 'जो गोमेज़', 'bn': 'জো গোমেজ'}, 'shortNameTranslation': {'ar': 'ج. غوميز', 'hi': 'जे. गोमेज़', 'bn': 'জে গোমেজ'}}",46.0,38.0,6.0,3.0,21.0,23.0,17.0,24.0,1.0,7.0,,,90.0,67.0,6.8,13.0,0.0277042,"{'original': 6.8, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,,5.0,4.0,5.0,1.0,1.0,,1.0,3.0,3.0,2.0,,0.0358,1.0,,,,,,,,,,,,,,,,,,,,,
Alexis Mac Allister,,,alexis-mac-allister,A. Mac Allister,M,10,176,73401,M,Macca10,895324,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,914457600,"{'value': 93000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكسيس ماك أليستر', 'hi': 'एलेक्सिस मैक एलिस्टर', 'bn': 'অ্যালেক্সিস ম্যাক অ্যালিস্টার'}, 'shortNameTranslation': {'ar': 'أ. ماك أليستر', 'hi': 'ए. मैक एलिस्टर', 'bn': 'এ. ম্যাক অ্যালিস্টার'}}",64.0,52.0,5.0,1.0,24.0,27.0,28.0,37.0,,11.0,,,90.0,86.0,7.8,15.0,0.0267751,"{'original': 7.8, 'alternative': 7.6}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,,6.0,8.0,2.0,1.0,1.0,,1.0,4.0,2.0,,3.0,1.0108,1.0,2.0,1.3451,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,
Wataru Endo,,,wataru-endo,W. Endo,M,3,178,19922,M,endowataru,143040,"{'alpha2': 'JP', 'alpha3': 'JPN', 'name': 'Japan', 'slug': 'japan'}",EUR,729216000,"{'value': 4600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'واتارو إندو', 'hi': 'वातारू एंडो', 'bn': 'ওয়ান্ডারিং এন্ডো'}, 'shortNameTranslation': {'ar': 'و. إندو', 'hi': 'डब्लू. एंडो', 'bn': 'ডব্লিউ. এন্ডো'}}",62.0,59.0,,,35.0,36.0,24.0,26.0,2.0,6.0,,,90.0,72.0,7.2,4.0,0.0693145,"{'original': 7.2, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,1.0,6.0,,,,,2.0,4.0,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,
Dominik Szoboszlai,,,dominik-szoboszlai,D. Szoboszlai,M,8,187,66101,M,DomSzobo,869856,"{'alpha2': 'HU', 'alpha3': 'HUN', 'name': 'Hungary', 'slug': 'hungary'}",EUR,972432000,"{'value': 77000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دومينيك سوبوسلاي', 'hi': 'डोमिनिक स्ज़ोबोस्ज़लाई', 'bn': 'ডমিনিক সোবোসজলাই'}, 'shortNameTranslation': {'ar': 'د. سوبوسلاي', 'hi': 'डी. स्ज़ोबोस्ज़लाई', 'bn': 'ডি.সোবোসজলাই'}}",27.0,18.0,1.0,,6.0,8.0,12.0,19.0,,5.0,,,61.0,37.0,7.0,9.0,0.0710407,"{'original': 7, 'alternative': 6.9}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,2.0,,,,,,,,,2.0,0.2291,,1.0,0.2355,,2.0,,,,1.0,,,,,,,,,,,,,
Harvey Elliott,,,harvey-elliott,H. Elliott,M,19,170,21929,M,harvelliott,955245,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1049414400,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هارفي إليوت', 'hi': 'हार्वे इलियट', 'bn': 'হার্ভে এলিয়ট'}, 'shortNameTranslation': {'ar': 'ه. إليوت', 'hi': 'एच. इलियट', 'bn': 'এইচ. এলিয়ট'}}",42.0,33.0,4.0,1.0,11.0,12.0,24.0,34.0,,4.0,,,90.0,58.0,6.8,15.0,0.163754,"{'original': 6.8, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,,,3.0,1.0,2.0,,1.0,,1.0,1.0,1.0,1.0,,0.0833,,,,1.0,,,,,1.0,2.0,,,,,,,,,,,,
Darwin Núñez,,,darwin-nunez,D. Núñez,F,7,188,74506,M,Darwin,924871,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,930182400,"{'value': 41000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'داروين نونيز', 'hi': 'डार्विन नुन्येज़', 'bn': 'ডারউইন নুনেজ'}, 'shortNameTranslation': {'ar': 'د. نونيز', 'hi': 'डी. नुन्येज़', 'bn': 'ডি. নুনেজ'}}",18.0,12.0,1.0,1.0,1.0,1.0,11.0,17.0,1.0,1.0,,,76.0,23.0,7.0,6.0,0.132789,"{'original': 7, 'alternative': 6.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,5.0,2.0,6.0,,,,,,,,,1.0,0.4556,,1.0,0.259,,1.0,,,,,,1.0,1.0,5.0,,,,,,,,,
