name,slug,shortName,position,jerseyNumber,userCount,gender,sofascoreId,id,fieldTranslations,isHome,shotType,situation,bodyPart,time,timeSeconds,periodTimeSeconds,goalType,playerX,playerY,goalMouthX,goalMouthY,goalMouthZ,firstName,lastName
Jefferson Lerma,jefferson-lerma,J. Lerma,M,8,5382,M,jeffersonlerma,355796,"{'nameTranslation': {'ar': 'جيفرسون ليرما', 'hi': 'जेफरसन लेर्मा', 'bn': 'জেফারসন লারমা'}, 'shortNameTranslation': {'ar': 'ج. ليرما', 'hi': 'जे. लेर्मा', 'bn': 'জে. লারমা'}}",False,miss,assisted,right-foot,88,5249,2549,,25.1,37.8,0,55.1,80.6,,
Morgan Gibbs-White,morgan-gibbs-white,M. Gibbs-White,M,10,6717,M,Morgangibbs27,865912,"{'nameTranslation': {'ar': 'مورغان غيبز-وايت', 'hi': 'मॉर्गन गिब्स-व्हाइट', 'bn': 'মরগান গিবস-হোয়াইট'}, 'shortNameTranslation': {'ar': 'م. غيبز-وايت', 'hi': 'एम. गिब्स-व्हाइट', 'bn': 'এম. গিবস-হোয়াইট'}}",True,miss,regular,right-foot,74,4422,1722,,24.7,41.9,0,50.3,62.5,,
Giovanni Reyna,giovanni-reyna,G. Reyna,M,13,5145,M,gioareyna,989056,"{'nameTranslation': {'ar': 'جيوفاني رينا', 'hi': 'जियोवानी रेयना', 'bn': 'জিওভানি রেইনা'}, 'shortNameTranslation': {'ar': 'ج. رينا', 'hi': 'जी. रेयना', 'bn': 'জি রেইনা'}}",True,save,assisted,left-foot,74,4390,1690,,18.1,43.1,0,52.0,23.4,,
Chris Wood,chris-wood,C. Wood,F,11,7744,M,wodsy39,50480,"{'nameTranslation': {'ar': 'كريس وود', 'hi': 'क्रिस वुड', 'bn': 'ক্রিস উড'}, 'shortNameTranslation': {'ar': 'ك. وود', 'hi': 'सी. वुड', 'bn': 'সি. উড'}}",True,save,set-piece,head,71,4241,1541,,9.6,53.0,0,49.8,19.0,,
Eberechi Eze,eberechi-eze,E. Eze,F,10,55112,M,eze,864921,"{'nameTranslation': {'ar': 'إيبيريشي إيز', 'hi': 'एबेरची ईज़े', 'bn': 'ইবেরেচি এজ'}, 'shortNameTranslation': {'ar': 'إ. إيز', 'hi': 'ई. ईज़े', 'bn': 'ই. এজ'}}",False,save,regular,left-foot,69,4105,1405,,11.3,57.7,0,49.9,16.5,,
Adam Wharton,adam-wharton,A. Wharton,M,20,5314,M,,1109771,"{'nameTranslation': {'ar': 'آدم وارتون', 'hi': 'एडम व्हार्टन', 'bn': 'অ্যাডাম ওয়ার্টন'}, 'shortNameTranslation': {'ar': 'أ. وارتون', 'hi': 'ए. व्हार्टन', 'bn': 'এ. ওয়ার্টন'}}",False,miss,corner,left-foot,68,4058,1358,,26.1,44.2,0,55.0,80.6,,
Chris Wood,chris-wood,C. Wood,F,11,7744,M,wodsy39,50480,"{'nameTranslation': {'ar': 'كريس وود', 'hi': 'क्रिस वुड', 'bn': 'ক্রিস উড'}, 'shortNameTranslation': {'ar': 'ك. وود', 'hi': 'सी. वुड', 'bn': 'সি. উড'}}",True,goal,assisted,head,61,3609,909,regular,4.2,45.8,0,49.2,31.0,,
Ola Aina,ola-aina,O. Aina,D,34,4048,M,,800417,"{'nameTranslation': {'ar': 'أولا أينا', 'hi': 'ओला आइना', 'bn': 'ওলা আইনা'}, 'shortNameTranslation': {'ar': 'أ. أينا', 'hi': 'ओ. आइना', 'bn': 'ও. আইনা'}}",True,block,assisted,right-foot,58,3422,722,,25.7,27.2,0,49.6,19.0,,
Chris Wood,chris-wood,C. Wood,F,11,7744,M,wodsy39,50480,"{'nameTranslation': {'ar': 'كريس وود', 'hi': 'क्रिस वुड', 'bn': 'ক্রিস উড'}, 'shortNameTranslation': {'ar': 'ك. وود', 'hi': 'सी. वुड', 'bn': 'সি. উড'}}",True,miss,assisted,head,57,3412,712,,8.0,50.7,0,74.1,6.9,,
Jordan Ayew,jordan-ayew,J. Ayew,F,9,14311,M,jordanayew9,103045,"{'nameTranslation': {'ar': 'جوردان أيو', 'hi': 'जॉर्डन अय्यू', 'bn': 'জর্ডান আইউ'}, 'shortNameTranslation': {'ar': 'ج. أيو', 'hi': 'जे. अय्यू', 'bn': 'জে. আইউ'}}",False,miss,regular,right-foot,56,3356,656,,26.5,47.9,0,62.4,4.2,,
