name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,unsuccessfulTouch,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,aerialWon,duelLost,duelWon,totalContest,wonContest,interceptionWon,totalTackle,wonTackle,wasFouled,keyPass,aerialLost,challengeLost,dispossessed,goalAssist,bigChanceCreated,bigChanceMissed,shotOffTarget,blockedScoringAttempt,outfielderBlock,accurateCross,fouls,onTargetScoringAttempt,totalOffside,goals,penaltyWon,hitWoodwork,penaltyFaced,penaltyConceded
Alisson,alisson,Alisson,G,1,193,66760,M,AlissonBecker,243609,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,717984000,"{'value': 18700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليسون', 'hi': 'एलिसन', 'bn': 'অ্যালিসন'}, 'shortNameTranslation': {'ar': 'أليسون', 'hi': 'एलिसन', 'bn': 'অ্যালিসন'}}",29.0,27.0,4.0,2.0,26.0,26.0,1.0,3.0,1.0,11.0,1.0,1.0,2.0,3.0,1.0,1.0,90.0,42.0,7.1,3.0,0.0,0.0,0.00162268,"{'original': 7.1, 'alternative': 6.9}",0,0.4329,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Gomez,joe-gomez,J. Gomez,D,2,188,14017,M,joegomez5,318927,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,864345600,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جو غوميز', 'hi': 'जो गोमेज़', 'bn': 'জো গোমেজ'}, 'shortNameTranslation': {'ar': 'ج. غوميز', 'hi': 'जे. गोमेज़', 'bn': 'জে গোমেজ'}}",61.0,53.0,4.0,3.0,20.0,21.0,33.0,42.0,1.0,4.0,4.0,,,,,,90.0,88.0,7.5,16.0,0.0,0.0,0.0343348,"{'original': 7.5, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,2.0,1.0,8.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
Joël Matip,joel-matip,J. Matip,D,,195,3499,M,joelmatip,51501,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,681609600,,"{'nameTranslation': {'ar': 'جويل ماتيب', 'hi': 'जोएल माटिप', 'bn': 'জোয়েল মাতিপ'}, 'shortNameTranslation': {'ar': 'ج. ماتيب', 'hi': 'जे. माटिप', 'bn': 'জে. মাতিপ'}}",66.0,59.0,5.0,1.0,37.0,38.0,22.0,28.0,5.0,6.0,,,,,,,90.0,79.0,6.8,9.0,0.0,0.0,0.0515672,"{'original': 6.8, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,4.0,4.0,5.0,1.0,,2.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
Virgil van Dijk,virgil-van-dijk,V. van Dijk,D,4,195,103743,M,VvD,151545,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,678931200,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيرجيل فان دايك', 'hi': 'वर्जिल वान डिक', 'bn': 'ভার্জিল ভ্যান ডাইক'}, 'shortNameTranslation': {'ar': 'ف. فان دايك', 'hi': 'वी. वान डिक', 'bn': 'ভি. ভ্যান ডাইক'}}",84.0,78.0,6.0,5.0,46.0,47.0,32.0,37.0,5.0,3.0,,,,,,,90.0,100.0,8.5,6.0,0.2815,0.0,0.0773917,"{'original': 8.5, 'alternative': 8.3}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,,12.0,1.0,14.0,,,3.0,2.0,1.0,,2.0,1.0,,,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,
Andrew Robertson,andrew-robertson,A. Robertson,D,26,178,25243,M,andyrobertson94,262911,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,763344000,"{'value': 12800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندرو روبرتسون', 'hi': 'एंड्रयू रॉबर्टसन', 'bn': 'অ্যান্ড্রু রবার্টসন'}, 'shortNameTranslation': {'ar': 'أ. روبرتسون', 'hi': 'ए. रॉबर्टसन', 'bn': 'এ. রবার্টসন'}}",69.0,58.0,7.0,2.0,27.0,35.0,34.0,42.0,3.0,10.0,1.0,,,,,,90.0,92.0,7.5,18.0,0.0,0.0,0.284204,"{'original': 7.5, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,8.0,2.0,4.0,2.0,,,,,,,6.0,1.0,1.0,,,1.0,,,,1.0,3.0,3.0,,,,,,,
Dominik Szoboszlai,dominik-szoboszlai,D. Szoboszlai,M,8,187,66101,M,DomSzobo,869856,"{'alpha2': 'HU', 'alpha3': 'HUN', 'name': 'Hungary', 'slug': 'hungary'}",EUR,972432000,"{'value': 77000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دومينيك سوبوسلاي', 'hi': 'डोमिनिक स्ज़ोबोस्ज़लाई', 'bn': 'ডমিনিক সোবোসজলাই'}, 'shortNameTranslation': {'ar': 'د. سوبوسلاي', 'hi': 'डी. स्ज़ोबोस्ज़लाई', 'bn': 'ডি.সোবোসজলাই'}}",87.0,81.0,7.0,5.0,31.0,31.0,52.0,59.0,1.0,9.0,,,,,,,90.0,104.0,7.7,9.0,0.0947,0.0,0.356714,"{'original': 7.7, 'alternative': 7.5}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,,5.0,4.0,,,1.0,2.0,1.0,2.0,4.0,,3.0,1.0,,,,1.0,2.0,,2.0,1.0,,,,,,,
Alexis Mac Allister,alexis-mac-allister,A. Mac Allister,M,10,176,73401,M,Macca10,895324,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,914457600,"{'value': 93000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكسيس ماك أليستر', 'hi': 'एलेक्सिस मैक एलिस्टर', 'bn': 'অ্যালেক্সিস ম্যাক অ্যালিস্টার'}, 'shortNameTranslation': {'ar': 'أ. ماك أليستر', 'hi': 'ए. मैक एलिस्टर', 'bn': 'এ. ম্যাক অ্যালিস্টার'}}",90.0,86.0,3.0,1.0,31.0,32.0,55.0,58.0,,8.0,1.0,,,,,,88.0,103.0,7.6,8.0,0.0292,0.0,0.390933,"{'original': 7.6, 'alternative': 7.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,8.0,5.0,3.0,2.0,1.0,2.0,,,2.0,2.0,1.0,2.0,1.0,1.0,,1.0,,,,2.0,,,,,,,
Curtis Jones,curtis-jones,C. Jones,M,17,185,17493,M,curtisjones,927353,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,980812800,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيرتس جونز', 'hi': 'कर्टिस जोन्स', 'bn': 'কার্টিস জোন্স'}, 'shortNameTranslation': {'ar': 'ك. جونز', 'hi': 'सी. जोन्स', 'bn': 'সি. জোন্স'}}",51.0,49.0,1.0,1.0,12.0,12.0,37.0,39.0,1.0,3.0,,,,,,,77.0,71.0,6.9,10.0,0.0432,0.0422,0.027402,"{'original': 6.9, 'alternative': 6.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,8.0,7.0,4.0,1.0,,4.0,3.0,1.0,,1.0,1.0,3.0,,,,,1.0,,,,1.0,1.0,,,,,
Mohamed Salah,mohamed-salah,M. Salah,M,11,175,561305,M,MoSalah,159665,"{'alpha2': 'EG', 'alpha3': 'EGY', 'name': 'Egypt', 'slug': 'egypt'}",EUR,708566400,"{'value': 44000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'محمد صلاح', 'hi': 'मोहम्मद सलाह', 'bn': 'মোহাম্মদ সালাহ'}, 'shortNameTranslation': {'ar': 'م. صلاح', 'hi': 'एम. सलाह', 'bn': 'এম. সালাহ'}}",38.0,29.0,1.0,1.0,7.0,8.0,22.0,35.0,,3.0,4.0,,,,,,90.0,61.0,8.7,20.0,1.0329,0.9562,0.266357,"{'original': 8.7, 'alternative': 8.4}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,5.0,,4.0,6.0,3.0,2.0,,1.0,1.0,3.0,2.0,,3.0,,,2.0,,2.0,1.0,,,,2.0,,1.0,1.0,,,
Darwin Núñez,darwin-nunez,D. Núñez,F,7,188,74506,M,Darwin,924871,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,930182400,"{'value': 41000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'داروين نونيز', 'hi': 'डार्विन नुन्येज़', 'bn': 'ডারউইন নুনেজ'}, 'shortNameTranslation': {'ar': 'د. نونيز', 'hi': 'डी. नुन्येज़', 'bn': 'ডি. নুনেজ'}}",18.0,14.0,,,4.0,5.0,10.0,14.0,,2.0,1.0,,,,,,81.0,33.0,6.8,9.0,0.861,1.3368,0.0106677,"{'original': 6.8, 'alternative': 6.6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,1.0,7.0,2.0,2.0,1.0,,,,,,2.0,1.0,2.0,,,2.0,1.0,,1.0,,1.0,2.0,,1.0,,1.0,,
