name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,goalAssist,totalCross,duelLost,duelWon,challengeLost,bigChanceCreated,totalClearance,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,keyPass,firstName,lastName,fouls,aerialLost,totalContest,wonContest,accurateCross,dispossessed,blockedScoringAttempt,aerialWon,shotOffTarget,onTargetScoringAttempt,goals,bigChanceMissed,goodHighClaim,errorLeadToAGoal,ownGoals,totalOffside
Emiliano Martínez,emiliano-martinez,E. Martínez,G,23,195,62646,M,EmiMartínez,158263,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,715392000,"{'value': 14400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إميليانو مارتينيز', 'hi': 'एमिलियानो मार्टिनेज', 'bn': 'এমিলিয়ানো মার্টিনেজ'}, 'shortNameTranslation': {'ar': 'إ. مارتينيز', 'hi': 'ई. मार्टिनेज', 'bn': 'ই. মার্টিনেজ'}}",41.0,20.0,26.0,6.0,14.0,17.0,6.0,24.0,2.0,1.0,2.0,90.0,44.0,6.6,21.0,0.0,0.0,0.00266859,"{'original': 6.6, 'alternative': 6.5}",0,0.1461,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matty Cash,matty-cash,M. Cash,D,2,185,9152,M,mattycash622,833956,"{'alpha2': 'PL', 'alpha3': 'POL', 'name': 'Poland', 'slug': 'poland'}",EUR,870912000,"{'value': 19800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماتي كاش', 'hi': 'मैटी कैश', 'bn': 'ম্যাটি ক্যাশ'}, 'shortNameTranslation': {'ar': 'م. كاش', 'hi': 'एम. कैश', 'bn': 'এম. ক্যাশ'}}",22.0,19.0,1.0,1.0,13.0,15.0,6.0,8.0,5.0,,,90.0,50.0,7.9,8.0,0.0,0.0,0.482566,"{'original': 7.9, 'alternative': 7.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,2.0,9.0,2.0,1.0,2.0,1.0,1.0,6.0,4.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,
Ezri Konsa,ezri-konsa,E. Konsa,D,4,183,3125,M,,827679,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,877564800,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إزري كونسا', 'hi': 'एज़री कोंसा', 'bn': 'ইজরি কনসা'}, 'shortNameTranslation': {'ar': 'إ. كونسا', 'hi': 'ई. कोंसा', 'bn': 'ই. কনসা'}}",36.0,31.0,3.0,1.0,20.0,23.0,11.0,13.0,3.0,,,90.0,48.0,6.9,5.0,0.0,0.0,0.00389834,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,4.0,,,5.0,2.0,,,,,4.0,,,,1.0,,,,,,,,,,,,,,,
Pau Torres,pau-torres,P. Torres,D,14,192,4120,M,pauttorres,864169,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,853372800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باو توريس', 'hi': 'पाऊ टोरेस', 'bn': 'পাউ টরেস'}, 'shortNameTranslation': {'ar': 'ب. توريس', 'hi': 'पी. टोरेस', 'bn': 'পি. টরেস'}}",41.0,33.0,4.0,,20.0,22.0,13.0,19.0,4.0,,,90.0,46.0,6.4,8.0,0.0,0.0,0.00442804,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,5.0,1.0,1.0,,,1.0,,,,,,,,,3.0,1.0,1.0,1.0,,,,,,,,,,,,
Lucas Digne,lucas-digne,L. Digne,D,12,178,4445,M,LDigne,96538,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,743126400,"{'value': 7400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكاس دين', 'hi': 'लुकास डिग्ने', 'bn': 'লুকাস ডিগনে'}, 'shortNameTranslation': {'ar': 'ل. دين', 'hi': 'एल. डिग्ने', 'bn': 'এল. ডিগনে'}}",21.0,17.0,,,6.0,7.0,12.0,16.0,4.0,,,90.0,45.0,6.4,9.0,0.0821,0.0,0.0604278,"{'original': 6.4, 'alternative': 6.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,7.0,3.0,,,3.0,,,2.0,2.0,,1.0,1.0,,,1.0,2.0,1.0,,1.0,3.0,1.0,,,,,,,,,
Boubacar Kamara,boubacar-kamara,B. Kamara,M,44,184,3320,M,,826204,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,943315200,"{'value': 39000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوبكر كامارا', 'hi': 'बौबाकर कामारा', 'bn': 'বউবকার কামারা'}, 'shortNameTranslation': {'ar': 'ب. كامارا', 'hi': 'बी. कामारा', 'bn': 'বি.কামারা'}}",34.0,27.0,3.0,1.0,14.0,18.0,13.0,16.0,3.0,,,89.0,47.0,7.0,7.0,0.0,0.0,0.0128477,"{'original': 7, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,5.0,10.0,1.0,,,1.0,1.0,4.0,3.0,,5.0,,,,3.0,1.0,,,,,,1.0,,,,,,,,
Douglas Luiz,douglas-luiz,D. Luiz,M,12,175,11414,M,Douglas_Luiz,867887,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,894672000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوغلاس لويز', 'hi': 'डगलस लुइज़', 'bn': 'ডগলাস লুই'}, 'shortNameTranslation': {'ar': 'د. لويز', 'hi': 'डी. लुइज़', 'bn': 'ডি. লুইজ'}}",40.0,37.0,4.0,2.0,14.0,15.0,23.0,27.0,4.0,,,90.0,53.0,7.8,7.0,0.1393,0.3265,0.186112,"{'original': 7.8, 'alternative': 7.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,4.0,5.0,,,,,,3.0,2.0,1.0,2.0,1.0,,,2.0,1.0,,,,1.0,,,1.0,1.0,1.0,,,,,
John McGinn,john-mcginn,J. McGinn,M,7,175,3796,M,,250223,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,782438400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جون ماكجين', 'hi': 'जॉन मैकगिन', 'bn': 'জন ম্যাকগিন'}, 'shortNameTranslation': {'ar': 'ج. ماكجين', 'hi': 'जे. मैकगिन', 'bn': 'জে. ম্যাকগিন'}}",24.0,20.0,2.0,2.0,6.0,6.0,14.0,18.0,2.0,,,90.0,40.0,7.9,6.0,0.0376,0.0,0.281928,"{'original': 7.9, 'alternative': 8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,1.0,,7.0,8.0,3.0,1.0,,,1.0,5.0,1.0,1.0,1.0,3.0,,,3.0,,2.0,2.0,,1.0,1.0,,,,,,,,,
Moussa Diaby,diaby-moussa,M. Diaby,M,19,170,7519,M,moussadiaby,855817,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,931305600,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موسى ديابي', 'hi': 'डायबी, मूसा', 'bn': 'ডায়াবি, মুসা'}, 'shortNameTranslation': {'ar': 'م. ديابي', 'hi': 'एम. डायबी', 'bn': 'এম. ডায়াবি'}}",15.0,12.0,1.0,1.0,4.0,4.0,8.0,12.0,2.0,,,79.0,31.0,7.7,7.0,0.4164,0.4698,0.0415021,"{'original': 7.7, 'alternative': 7.4}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,4.0,5.0,,,,,,,,,1.0,1.0,,,1.0,,5.0,4.0,,2.0,2.0,,1.0,2.0,,,,,,
Nicolò Zaniolo,nicolo-zaniolo,N. Zaniolo,F,10,189,9354,M,nicolozaniolo,864898,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,930873600,"{'value': 11400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيكولو زانيولو', 'hi': 'निकोलो ज़ेनिओलो', 'bn': 'নিকোলো জানিওলো'}, 'shortNameTranslation': {'ar': 'ن. زانيولو', 'hi': 'एन. ज़ेनिओलो', 'bn': 'এন. জানিওলো'}}",6.0,2.0,,,,2.0,2.0,4.0,3.0,,,57.0,20.0,5.9,12.0,0.0456,0.0321,0.00061661,"{'original': 5.9, 'alternative': 5.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,12.0,2.0,,,,,,1.0,1.0,,,,,,4.0,,4.0,,,4.0,1.0,1.0,,1.0,,,,,,
