name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialLost,duelLost,duelWon,dispossessed,totalContest,wonContest,blockedScoringAttempt,outfielderBlock,totalTackle,wonTackle,keyPass,aerialWon,shotOffTarget,totalClearance,challengeLost,errorLeadToAShot,unsuccessfulTouch,wasFouled,interceptionWon,fouls,bigChanceCreated,onTargetScoringAttempt,totalOffside,bigChanceMissed,goodHighClaim,savedShotsFromInsideTheBox,punches,goals,clearanceOffLine
André Onana,,,andre-onana,A. Onana,G,24,190,55570,M,AndréOnana24,787498,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,828403200,"{'value': 18500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندريه أونانا', 'hi': 'आंद्रे ओनाना', 'bn': 'আন্দ্রে ওনানা'}, 'shortNameTranslation': {'ar': 'أ. أونانا', 'hi': 'ए. ओनाना', 'bn': 'এ. ওনানা'}}",33.0,32.0,5.0,4.0,26.0,26.0,6.0,7.0,6.0,1.0,90.0,37.0,6.6,1.0,0.0,0.0,0.00284994,"{'original': 6.6, 'alternative': 6.4}",0,-0.5621,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diogo Dalot,,,diogo-dalot,D. Dalot,M,2,184,22683,M,DDalot,843200,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,921715200,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديوغو دالوت', 'hi': 'डिओगो डालोत', 'bn': 'ডিওগো ডালট'}, 'shortNameTranslation': {'ar': 'د. دالوت', 'hi': 'डी. डालोत', 'bn': 'ডি. ডালট'}}",71.0,62.0,2.0,,22.0,24.0,41.0,53.0,6.0,,90.0,97.0,7.0,18.0,0.0376,0.0,0.171933,"{'original': 7, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,6.0,1.0,1.0,4.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
Raphaël Varane,,,raphael-varane,R. Varane,D,,191,10416,M,raphael_varane,138310,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,735696000,,"{'nameTranslation': {'ar': 'رافاييل فاران', 'hi': 'रफएल वरने', 'bn': 'রাফায়েল ভারানে'}, 'shortNameTranslation': {'ar': 'ر. فاران', 'hi': 'आर. वरने', 'bn': 'আর. ভারানে'}}",120.0,112.0,1.0,,50.0,53.0,62.0,67.0,10.0,,87.0,132.0,7.6,9.0,0.0923,0.0,0.0972744,"{'original': 7.6, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,7.0,1.0,,,,,3.0,3.0,1.0,4.0,1.0,4.0,,,,,,,,,,,,,,,
Victor Lindelöf,,,victor-lindelof,V. Lindelöf,D,3,187,9198,M,victorlindelof,143334,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,774403200,"{'value': 5800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيكتور ليندلوف', 'hi': 'विक्टर लिंडलोफ', 'bn': 'ভিক্টর লিন্ডেলফ'}, 'shortNameTranslation': {'ar': 'ف. ليندلوف', 'hi': 'वी. लिंडलोफ', 'bn': 'ভি. লিন্ডেলফ'}}",94.0,89.0,2.0,,58.0,59.0,31.0,35.0,4.0,,88.0,105.0,6.5,7.0,0.0,0.0,0.152766,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,5.0,3.0,1.0,,,,,2.0,,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
Sofyan Amrabat,,,sofyan-amrabat,S. Amrabat,M,34,183,29520,M,sofyanamrabat,359272,"{'alpha2': 'MA', 'alpha3': 'MAR', 'name': 'Morocco', 'slug': 'morocco'}",EUR,840585600,"{'value': 11600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سفيان أمرابط', 'hi': 'सोफ़यान अमराबात', 'bn': 'সোফিয়ান আমরাবাত'}, 'shortNameTranslation': {'ar': 'س. أمرابط', 'hi': 'एस. अमराबात', 'bn': 'এস. আমরাবত'}}",107.0,94.0,14.0,9.0,34.0,38.0,60.0,70.0,9.0,,90.0,136.0,7.3,20.0,0.0,0.0,0.0440402,"{'original': 7.3, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,1.0,9.0,7.0,2.0,,,,1.0,6.0,3.0,,1.0,,1.0,2.0,,2.0,,2.0,5.0,,,,,,,,,
Casemiro,,,casemiro,Casemiro,M,18,185,88452,M,Casemiro,122951,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,698803200,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاسيميرو', 'hi': 'कैसेमिरो', 'bn': 'ক্যাসেমিরো'}, 'shortNameTranslation': {'ar': 'كاسيميرو', 'hi': 'कैसेमिरो', 'bn': 'ক্যাসেমিরো'}}",73.0,59.0,6.0,6.0,22.0,26.0,37.0,48.0,6.0,,90.0,96.0,7.5,18.0,0.2374,0.0,0.0592661,"{'original': 7.5, 'alternative': 7.3}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,4.0,10.0,8.0,3.0,2.0,2.0,,,4.0,2.0,1.0,1.0,4.0,1.0,,,,1.0,,3.0,,,,,,,,,
Mason Mount,,,mason-mount,M. Mount,M,7,181,42056,M,MMount,836694,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,915926400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماسون ماونت', 'hi': 'मेसन माउंट', 'bn': 'মেসন মাউন্ট'}, 'shortNameTranslation': {'ar': 'م. مونت', 'hi': 'एम. माउंट', 'bn': 'এম. মাউন্ট'}}",42.0,39.0,2.0,2.0,10.0,10.0,30.0,35.0,5.0,,77.0,69.0,7.7,11.0,0.1112,0.0,0.107,"{'original': 7.7, 'alternative': 7.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,1.0,1.0,6.0,12.0,3.0,4.0,3.0,1.0,,7.0,4.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,
Facundo Pellistri,,,facundo-pellistri,F. Pellistri,M,28,174,7968,M,facupellistri,989803,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,1008806400,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فاكوندو بيليستري', 'hi': 'फ़ाकंडो पेलिस्ट्री', 'bn': 'ফ্যাকুন্ডো পেলিস্ট্রি'}, 'shortNameTranslation': {'ar': 'ف. بيليستري', 'hi': 'एफ. पेलिस्ट्री', 'bn': 'এফ. পেলিস্ট্রি'}}",25.0,20.0,,,4.0,4.0,16.0,24.0,1.0,,61.0,42.0,6.6,12.0,0.0,0.0,0.0725259,"{'original': 6.6, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,,1.0,5.0,5.0,2.0,2.0,1.0,,,1.0,1.0,,,,,1.0,,1.0,3.0,1.0,,,,,,,,,,
Bruno Fernandes,,,bruno-fernandes,B. Fernandes,M,8,179,216692,M,BrunoFernandes,288205,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,778982400,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برونو فيرنانديز', 'hi': 'ब्रूनो फर्नांडीस', 'bn': 'ব্রুনো ফার্নান্দেস'}, 'shortNameTranslation': {'ar': 'ب. فرنانديز', 'hi': 'बी. फर्नांडीस', 'bn': 'বি. ফার্নান্দেস'}}",72.0,60.0,8.0,6.0,15.0,16.0,47.0,68.0,7.0,,90.0,96.0,7.9,25.0,0.066,0.1594,0.380445,"{'original': 7.9, 'alternative': 7.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,12.0,2.0,1.0,5.0,4.0,,1.0,,1.0,,3.0,2.0,3.0,,,2.0,2.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,
Marcus Rashford,,,marcus-rashford,M. Rashford,M,14,185,351448,M,Rashford,814590,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,878256000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس راشفورد', 'hi': 'मार्कस रैशफोर्ड', 'bn': 'মার্কাস রাশফোর্ড'}, 'shortNameTranslation': {'ar': 'م. راشفورد', 'hi': 'एम. रैशफोर्ड', 'bn': 'এম. রাশফোর্ড'}}",39.0,31.0,4.0,3.0,8.0,9.0,23.0,34.0,5.0,,77.0,61.0,7.3,18.0,0.1812,0.0,0.0594489,"{'original': 7.3, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,,,4.0,4.0,1.0,4.0,2.0,2.0,,1.0,1.0,1.0,,,,1.0,,2.0,1.0,,,1.0,,,,,,,,
