name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,goalAssist,totalCross,accurateCross,aerialWon,duelLost,duelWon,challengeLost,bigChanceCreated,blockedScoringAttempt,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,expectedGoals,keyPass,aerialLost,totalContest,wonContest,shotOffTarget,totalClearance,bigChanceMissed,outfielderBlock,errorLeadToAShot,dispossessed,interceptionWon,onTargetScoringAttempt,expectedGoalsOnTarget,goals,totalOffside,penaltyWon,goodHighClaim,penaltyFaced,clearanceOffLine,penaltyConceded
Nick Pope,,,nick-pope,N. Pope,G,1,198,4568,M,npope29,162653,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,703641600,"{'value': 6700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيك بوب', 'hi': 'निक पोप', 'bn': 'নিক পোপ'}, 'shortNameTranslation': {'ar': 'ن. بوب', 'hi': 'एन. पोप', 'bn': 'এন. পোপ'}}",21.0,19.0,3.0,1.0,18.0,18.0,1.0,3.0,8.0,2.0,2.0,90.0,28.0,7.1,3.0,0.00167936,"{'original': 7.1, 'alternative': 7.3}",0,0.3574,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kieran Trippier,,,kieran-trippier,K. Trippier,D,2,174,8611,M,ktrippier2,69256,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,653702400,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيران تريبيير', 'hi': 'किरन ट्रिप्पियर', 'bn': 'কাইরান ট্রিপিয়ার'}, 'shortNameTranslation': {'ar': 'ك. تريبيير', 'hi': 'के.ट्रिप्पियर', 'bn': 'কে. ট্রিপিয়ার'}}",90.0,73.0,8.0,3.0,43.0,48.0,33.0,54.0,4.0,,,90.0,122.0,8.6,27.0,0.623283,"{'original': 8.6, 'alternative': 8.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,12.0,3.0,1.0,3.0,9.0,2.0,2.0,1.0,4.0,3.0,1.0,4.0,1.0,0.0402,5.0,,,,,,,,,,,,,,,,,,,
Jamaal Lascelles,,,jamaal-lascelles,J. Lascelles,D,6,188,970,M,,153444,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,752976000,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جمال لاسيلس', 'hi': 'जमाल लास्केल्स', 'bn': 'জামাল ল্যাস্কেলস'}, 'shortNameTranslation': {'ar': 'ج. لاسيلس', 'hi': 'जे. लास्केल्स', 'bn': 'জে. ল্যাস্কেলস'}}",77.0,68.0,5.0,,56.0,60.0,12.0,17.0,6.0,,,90.0,82.0,7.1,9.0,0.0159348,"{'original': 7.1, 'alternative': 7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,,3.0,2.0,4.0,,,1.0,,,,,1.0,0.082,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
Fabian Schär,,,fabian-schar,F. Schär,D,5,186,3205,M,,101882,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,693187200,"{'value': 5800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فابيان شار', 'hi': 'फेबियन शार', 'bn': 'ফ্যাবিয়ান শার'}, 'shortNameTranslation': {'ar': 'ف. شار', 'hi': 'एफ. शार', 'bn': 'এফ. শার'}}",85.0,71.0,13.0,8.0,59.0,63.0,12.0,22.0,11.0,,,90.0,94.0,7.2,16.0,0.0100161,"{'original': 7.2, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,3.0,1.0,4.0,,,1.0,1.0,1.0,1.0,,1.0,0.3314,,,,,,2.0,1.0,,,,,,,,,,,,,
Dan Burn,,,dan-burn,D. Burn,D,33,201,4399,M,,99090,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,705369600,"{'value': 5200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دان بيرن', 'hi': 'डैन बर्न', 'bn': 'ড্যান বার্ন'}, 'shortNameTranslation': {'ar': 'د. بيرن', 'hi': 'डी. बर्न', 'bn': 'ডি বার্ন'}}",49.0,38.0,,,27.0,30.0,11.0,20.0,10.0,,,90.0,67.0,6.9,14.0,0.00452807,"{'original': 6.9, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,,7.0,5.0,8.0,3.0,,,,,,1.0,,0.1763,,2.0,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,
Sean Longstaff,,,sean-longstaff,S. Longstaff,M,8,187,1640,M,,866191,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,878169600,"{'value': 17200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'شون لونغستاف', 'hi': 'सीन लॉन्गस्टाफ़', 'bn': 'শন লংস্টাফ'}, 'shortNameTranslation': {'ar': 'ش. لونغستاف', 'hi': 'एस. लॉन्गस्टाफ़', 'bn': 'এস. লংস্টাফ'}}",38.0,30.0,6.0,2.0,13.0,16.0,18.0,23.0,7.0,,,90.0,54.0,7.6,10.0,0.386477,"{'original': 7.6, 'alternative': 7.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,1.0,1.0,3.0,4.0,,1.0,,3.0,2.0,,,,0.0947,1.0,1.0,1.0,,2.0,1.0,,2.0,,1.0,1.0,,,,,,,,,
Bruno Guimarães,,,bruno-guimaraes,B. Guimarães,M,39,182,31656,M,BrunoGuimarães,866469,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,879638400,"{'value': 77000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برونو غيماريش', 'hi': 'ब्रूनो गीमरेस', 'bn': 'ব্রুনো গুইমারেস'}, 'shortNameTranslation': {'ar': 'ب. غيمارايش', 'hi': 'बी. गीमरेस', 'bn': 'বি. গুইমারেস'}}",46.0,34.0,5.0,3.0,15.0,20.0,20.0,27.0,12.0,,,90.0,72.0,8.3,21.0,0.248593,"{'original': 8.3, 'alternative': 8.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,1.0,1.0,4.0,9.0,1.0,1.0,,5.0,4.0,4.0,1.0,,,5.0,,3.0,2.0,,,,1.0,,2.0,2.0,,,,,,,,,
Elliot Anderson,,,elliot-anderson,E. Anderson,M,8,179,6933,M,,994546,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1036540800,"{'value': 54000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إليوت أندرسون', 'hi': 'इलियट एंडरसन', 'bn': 'এলিয়ট অ্যান্ডারসন'}, 'shortNameTranslation': {'ar': 'إ. أندرسون', 'hi': 'ई. एंडरसन', 'bn': 'ই. অ্যান্ডারসন'}}",19.0,16.0,,,6.0,8.0,11.0,12.0,4.0,,,64.0,40.0,6.6,10.0,0.0204663,"{'original': 6.6, 'alternative': 6.5}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,1.0,1.0,6.0,6.0,2.0,,,1.0,,3.0,2.0,1.0,0.5026,,,4.0,2.0,1.0,2.0,1.0,,,1.0,,2.0,0.0533,,,,,,,
Miguel Almirón,,,miguel-almiron,M. Almirón,M,10,174,8455,M,miguel_almiron,333373,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,760838400,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميغيل ألميرون', 'hi': 'मिगुएल अल्मिरोन', 'bn': 'মিগুয়েল আলমিরন'}, 'shortNameTranslation': {'ar': 'م. ألميرون', 'hi': 'एम. अल्मिरोन', 'bn': 'এম. আলমিরন'}}",40.0,28.0,1.0,1.0,10.0,12.0,18.0,30.0,7.0,,,89.0,56.0,8.0,16.0,0.0557071,"{'original': 8, 'alternative': 7.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,,,1.0,7.0,,,,2.0,1.0,,3.0,,0.063,,,3.0,2.0,,2.0,,,,,1.0,1.0,0.4344,1.0,,,,,,
Alexander Isak,,,alexander-isak,A. Isak,F,9,193,101689,M,AlexIsak,823941,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,937872000,"{'value': 124000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألكسندر إيزاك', 'hi': 'अलेक्जेंडर इसाक', 'bn': 'আলেকজান্ডার ইসাক'}, 'shortNameTranslation': {'ar': 'أ. إيزاك', 'hi': 'ए. इसाक', 'bn': 'এ. ইসাক'}}",10.0,9.0,,,6.0,6.0,3.0,4.0,1.0,,,89.0,23.0,6.9,6.0,0.0271609,"{'original': 6.9, 'alternative': 6.8}",6,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,3.0,1.0,,,1.0,,,4.0,1.0,1.0,1.8301,2.0,1.0,1.0,,1.0,,2.0,,,,,4.0,1.561,1.0,1.0,,,,,
