name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,duelLost,challengeLost,totalContest,wonContest,blockedScoringAttempt,totalClearance,outfielderBlock,interceptionWon,totalTackle,wonTackle,wasFouled,keyPass,firstName,lastName,aerialLost,fouls,unsuccessfulTouch,bigChanceCreated,totalOffside,dispossessed,shotOffTarget,onTargetScoringAttempt,goalAssist,bigChanceMissed,hitWoodwork,goals,punches,ownGoals
Guglielmo Vicario,guglielmo-vicario,G. Vicario,G,1,194,7041,M,guglielmovicario,553606,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,844646400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيكاريو غولييلمو', 'hi': 'गुग्लिल्मो विकारियो', 'bn': 'উইলিয়াম দ্য ভিকারিও'}, 'shortNameTranslation': {'ar': 'ف. غولييلمو', 'hi': 'जी. विकारियो', 'bn': 'জি. ভিকারিও'}}",18.0,15.0,4.0,1.0,14.0,16.0,1.0,2.0,1.0,1.0,6.0,1.0,2.0,3.0,90.0,26.0,6.9,3.0,0.0,0.0,0.00010444,"{'original': 6.9, 'alternative': 6.9}",0,-0.6763,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro Porro,pedro-porro,P. Porro,D,23,173,11089,M,pedroporro29,913654,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,937180800,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيدرو بورو', 'hi': 'पेड्रो पोरो', 'bn': 'পেড্রো পোরো'}, 'shortNameTranslation': {'ar': 'ب. بورو', 'hi': 'पी. पोरो', 'bn': 'পি. পোরো'}}",55.0,47.0,1.0,1.0,17.0,20.0,31.0,42.0,1.0,8.0,6.0,,,,90.0,97.0,8.4,16.0,0.0362,0.0,0.109516,"{'original': 8.4, 'alternative': 8.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,7.0,1.0,3.0,2.0,2.0,1.0,1.0,5.0,2.0,1.0,6.0,6.0,1.0,3.0,,,,,,,,,,,,,,,,
Cristian Romero,cristian-romero,C. Romero,D,17,185,37279,M,cutiromero2,829932,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,893635200,"{'value': 56000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان روميرو', 'hi': 'क्रिस्टियन रोमेरो', 'bn': 'ক্রিশ্চিয়ান রোমেরো'}, 'shortNameTranslation': {'ar': 'ك. روميرو', 'hi': 'सी. रोमेरो', 'bn': 'সি. রোমেরো'}}",99.0,94.0,2.0,2.0,46.0,49.0,48.0,50.0,5.0,10.0,7.0,,,,90.0,114.0,7.7,5.0,0.1129,0.0,0.0664483,"{'original': 7.7, 'alternative': 7.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,1.0,,,2.0,1.0,,3.0,3.0,3.0,3.0,1.0,,,1.0,1.0,,,,,,,,,,,,
Micky van de Ven,micky-van-de-ven,M. van de Ven,D,37,193,11821,M,mickyvdven,998247,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,987638400,"{'value': 63000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميكي فان دي فين', 'hi': 'मिकी वैन डे वेन', 'bn': 'মিকি ভ্যান ডি ভেন'}, 'shortNameTranslation': {'ar': 'م. فان دي فين', 'hi': 'एम. वैन डे वेन', 'bn': 'এম. ভ্যান ডি ভেন'}}",54.0,53.0,,,35.0,35.0,18.0,19.0,,2.0,7.0,,,,90.0,61.0,6.8,4.0,0.0,0.0,0.0157821,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,,,,,1.0,,,2.0,2.0,,,,,1.0,,3.0,,,,,,,,,,,
Destiny Udogie,destiny-udogie,D. Udogie,D,13,186,5987,M,udogiethree,983572,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,1038441600,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديستيني أودوجي', 'hi': 'डेस्टिनी उडोगी', 'bn': 'ডেসটিনি উদোগি'}, 'shortNameTranslation': {'ar': 'د. أودوجي', 'hi': 'डी. उडोगी', 'bn': 'ডি. উদোগি'}}",38.0,34.0,,,9.0,10.0,25.0,29.0,,6.0,4.0,,,,83.0,61.0,7.4,7.0,0.0,0.0,0.1676,"{'original': 7.4, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,7.0,2.0,2.0,1.0,,3.0,,2.0,2.0,1.0,3.0,3.0,,,1.0,3.0,1.0,1.0,1.0,,,,,,,,,
Pape Matar Sarr,pape-matar-sarr,P. M. Sarr,M,29,185,33248,M,pape,1002711,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,1031961600,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بابي مطر سار', 'hi': 'पापे मटर सर्र', 'bn': 'পোপ মাতার সরর'}, 'shortNameTranslation': {'ar': 'ب. م. سار', 'hi': 'पीएम मटर', 'bn': 'পি. এম. সর'}}",70.0,64.0,2.0,2.0,32.0,35.0,32.0,36.0,2.0,5.0,4.0,,,,83.0,85.0,7.4,10.0,0.0676,0.0426,0.0340323,"{'original': 7.4, 'alternative': 7.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,3.0,,1.0,1.0,,1.0,1.0,1.0,2.0,2.0,,,,,1.0,,1.0,,,2.0,1.0,1.0,,,,,,
Yves Bissouma,yves-bissouma,Y. Bissouma,M,8,181,14766,M,YB8,844842,"{'alpha2': 'ML', 'alpha3': 'MLI', 'name': 'Mali', 'slug': 'mali'}",EUR,841363200,"{'value': 13800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيف بيسوما', 'hi': 'यवेस बिसौमा', 'bn': 'ইয়েভেস বিসুমা'}, 'shortNameTranslation': {'ar': 'إ. بيسوما', 'hi': 'वाई. बिसौमा', 'bn': 'ওয়াই. বিসুমা'}}",120.0,114.0,1.0,1.0,44.0,46.0,70.0,74.0,,8.0,7.0,,,,89.0,139.0,7.6,10.0,0.108,0.0,0.0910523,"{'original': 7.6, 'alternative': 7.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,4.0,,1.0,,1.0,2.0,,1.0,4.0,3.0,4.0,,,,,2.0,1.0,,,1.0,1.0,,,,,,,
Dejan Kulusevski,dejan-kulusevski,D. Kulusevski,M,21,186,12068,M,dejan_k10,928124,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,956620800,"{'value': 44000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديان كولوسيفسكي', 'hi': 'देजान कुलुसेवस्की', 'bn': 'দেজান কুলুসেভস্কি'}, 'shortNameTranslation': {'ar': 'د. كولوسيفسكي', 'hi': 'डी. कुलुसेवस्की', 'bn': 'ডি. কুলুসেভস্কি'}}",48.0,40.0,1.0,1.0,4.0,5.0,36.0,48.0,,5.0,8.0,,,,90.0,68.0,7.8,18.0,0.0722,0.0,0.152892,"{'original': 7.8, 'alternative': 7.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,5.0,,3.0,,6.0,4.0,2.0,,,,,,1.0,5.0,,,,,,,1.0,1.0,,,,,,,,
James Maddison,james-maddison,J. Maddison,M,10,175,16399,M,Madders,356398,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,848707200,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس ماديسون', 'hi': 'जेम्स मैडिसन', 'bn': 'জেমস ম্যাডিসন'}, 'shortNameTranslation': {'ar': 'ج. ماديسون', 'hi': 'जे. मैडिसन', 'bn': 'জে. ম্যাডিসন'}}",75.0,65.0,3.0,1.0,10.0,12.0,56.0,75.0,,2.0,2.0,,,,89.0,102.0,8.0,25.0,0.1493,0.666,0.242687,"{'original': 8, 'alternative': 7.5}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,12.0,1.0,5.0,1.0,2.0,,2.0,,,,,,2.0,5.0,,,2.0,,1.0,,,,,2.0,,,,,,
Richarlison,richarlison,Richarlison,F,9,184,46727,M,Richarlison,840217,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,863222400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريتشارليسون', 'hi': 'रिचर्डसन', 'bn': 'রিচার্লিসন'}, 'shortNameTranslation': {'ar': 'ريتشارليسون', 'hi': 'रिचर्डसन', 'bn': 'রিচার্লিসন'}}",21.0,17.0,,,2.0,2.0,15.0,21.0,1.0,7.0,5.0,,,,90.0,49.0,7.8,10.0,0.7833,0.2661,0.356587,"{'original': 7.8, 'alternative': 7.5}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,8.0,1.0,2.0,1.0,1.0,1.0,,2.0,2.0,,3.0,2.0,,,3.0,3.0,2.0,1.0,1.0,,2.0,2.0,1.0,1.0,,,,
