name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,goalAssist,totalCross,accurateCross,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,bigChanceCreated,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,keyPass,aerialLost,aerialWon,totalClearance,sofascoreId,bigChanceMissed,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,goals,wasFouled,totalOffside,punches,clearanceOffLine
Alphonse Aréola,alphonse-areola,A. Aréola,G,23,195,3093,M,96531,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,730771200,"{'value': 6500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألفونس أريولا', 'hi': 'अल्फोंस एरियोला', 'bn': 'আলফোনস আরেওলা'}, 'shortNameTranslation': {'ar': 'أ. أريولا', 'hi': 'ए. एरियोला', 'bn': 'এ. আরেওলা'}}",36.0,23.0,20.0,8.0,21.0,25.0,2.0,11.0,3.0,1.0,2.0,90.0,39.0,7.0,13.0,0.0,0.0,0.00188049,"{'original': 7, 'alternative': 7.2}",0,0.7511,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vladimír Coufal,vladimir-coufal,V. Coufal,D,34,179,1643,M,138024,"{'alpha2': 'CZ', 'alpha3': 'CZE', 'name': 'Czechia', 'slug': 'czechia'}",EUR,714441600,"{'value': 2900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فلاديمير كوفال', 'hi': 'व्लादिमीर कुफाल', 'bn': 'ভ্লাদিমির কউফল'}, 'shortNameTranslation': {'ar': 'ف. كوفال', 'hi': 'वी. कुफाल', 'bn': 'ভি. কউফল'}}",53.0,42.0,7.0,4.0,23.0,26.0,21.0,30.0,3.0,,,90.0,76.0,7.9,17.0,0.0,0.0,0.299541,"{'original': 7.9, 'alternative': 7.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,3.0,2.0,5.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,4.0,,,,,,,,,,,,,
Kurt Zouma,kurt-zouma,K. Zouma,D,4,190,2242,M,139227,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,783216000,"{'value': 8500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كورت زوما', 'hi': 'कर्ट ज़ौमा', 'bn': 'কার্ট জৌমা'}, 'shortNameTranslation': {'ar': 'ك. زوما', 'hi': 'के. ज़ौमा', 'bn': 'কে. জৌমা'}}",42.0,39.0,3.0,2.0,31.0,33.0,8.0,9.0,4.0,,,90.0,55.0,7.3,5.0,0.0,0.0,0.00129921,"{'original': 7.3, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,,,,3.0,2.0,,,,,,1.0,1.0,,,2.0,1.0,1.0,2.0,2.0,6.0,,,,,,,,,,
Nayef Aguerd,nayef-aguerd,N. Aguerd,D,21,188,26523,M,877102,"{'alpha2': 'MA', 'alpha3': 'MAR', 'name': 'Morocco', 'slug': 'morocco'}",EUR,828144000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نايف أكرد', 'hi': 'नायेफ़ अगुएर्ड', 'bn': 'নায়েফ আগুয়ের্ড'}, 'shortNameTranslation': {'ar': 'ن. أكرد', 'hi': 'एन. अगुएर्ड', 'bn': 'এন. আগুয়ের্ড'}}",60.0,55.0,7.0,3.0,45.0,47.0,10.0,13.0,1.0,,,90.0,75.0,8.0,6.0,0.3081,0.0,0.00355222,"{'original': 8, 'alternative': 8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,3.0,6.0,,,,,,5.0,2.0,1.0,,,1.0,,3.0,5.0,3.0,nayefaguard,1.0,1.0,1.0,,,,,,
Emerson Palmieri,emerson-palmieri,Emerson,D,3,176,2307,M,155997,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,775872000,"{'value': 9100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيمرسون بالميري', 'hi': 'एमर्सन पामिएरी', 'bn': 'এমারসন পালমিরি'}, 'shortNameTranslation': {'ar': 'إيمرسون', 'hi': 'एमर्सन पामिएरी', 'bn': 'এমারসন'}}",55.0,52.0,,,27.0,29.0,26.0,28.0,5.0,,,90.0,76.0,7.8,6.0,0.0,0.0,0.108118,"{'original': 7.8, 'alternative': 7.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,2.0,1.0,,4.0,,,1.0,1.0,,,2.0,3.0,2.0,1.0,,1.0,,,4.0,,,,,,,,,,
Tomáš Souček,tomas-soucek,T. Souček,M,28,192,3227,M,799041,"{'alpha2': 'CZ', 'alpha3': 'CZE', 'name': 'Czechia', 'slug': 'czechia'}",EUR,793843200,"{'value': 11600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماش سوتشيك', 'hi': 'टॉमस सौसेक', 'bn': 'তোমাস সোউচেক'}, 'shortNameTranslation': {'ar': 'ت. سوتشيك', 'hi': 'टी. सौसेक', 'bn': 'টি. সোউচেক'}}",30.0,21.0,3.0,1.0,12.0,13.0,9.0,17.0,3.0,,,90.0,46.0,7.7,11.0,0.8457,0.8221,0.0058403,"{'original': 7.7, 'alternative': 7.4}",6,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,5.0,9.0,1.0,2.0,,,,,,1.0,1.0,,,,2.0,6.0,3.0,,1.0,3.0,2.0,1.0,1.0,2.0,1.0,,
Edson Álvarez,edson-alvarez,E. Álvarez,M,11,190,10874,M,847151,"{'alpha2': 'MX', 'alpha3': 'MEX', 'name': 'Mexico', 'slug': 'mexico'}",EUR,877651200,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيدسون ألفاريز', 'hi': 'एडसन अल्वारेज़', 'bn': 'এডসন আলভারেজ'}, 'shortNameTranslation': {'ar': 'إ. ألفاريز', 'hi': 'ई. अल्वारेज़', 'bn': 'ই. আলভারেজ'}}",46.0,43.0,5.0,4.0,29.0,30.0,14.0,16.0,7.0,,,72.0,57.0,7.0,5.0,0.0184,0.4504,0.00518128,"{'original': 7, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,5.0,4.0,1.0,2.0,1.0,1.0,,,,2.0,1.0,,2.0,,,1.0,1.0,EdsonAlvarez19,,,1.0,,,,,,
Jarrod Bowen,jarrod-bowen,J. Bowen,M,20,174,8771,M,552884,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,851040000,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جارود بوين', 'hi': 'जारोड बोवेन', 'bn': 'জারড বোয়েন'}, 'shortNameTranslation': {'ar': 'ج. بوين', 'hi': 'जे. बोवेन', 'bn': 'জে. বোয়েন'}}",23.0,21.0,1.0,1.0,11.0,11.0,10.0,14.0,6.0,,,89.0,43.0,8.4,6.0,0.7124,0.8447,0.226117,"{'original': 8.4, 'alternative': 8}",6,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,2.0,,2.0,6.0,,,1.0,1.0,1.0,,,2.0,1.0,2.0,,1.0,2.0,1.0,,jarrodbowen,1.0,2.0,2.0,2.0,1.0,2.0,,,
James Ward-Prowse,james-ward-prowse,J. Ward-Prowse,M,8,177,4283,M,161717,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,783648000,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس وارد-براوس', 'hi': 'जेम्स वार्ड-प्रोव्स', 'bn': 'জেমস ওয়ার্ড-প্রোস'}, 'shortNameTranslation': {'ar': 'ج. وارد-براوس', 'hi': 'जे. वार्ड-प्रोव्स', 'bn': 'জে. ওয়ার্ড-প্রোস'}}",59.0,56.0,2.0,2.0,30.0,31.0,32.0,37.0,5.0,,,90.0,80.0,8.7,7.0,0.0811,0.2883,1.12383,"{'original': 8.7, 'alternative': 8.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,9.0,6.0,1.0,3.0,1.0,,,,1.0,1.0,1.0,2.0,2.0,1.0,,6.0,,1.0,1.0,prowsey16,,,2.0,,,,,,
Lucas Paquetá,lucas-paqueta,L. Paquetá,M,10,180,54701,M,839981,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,872640000,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكاس باكيتا', 'hi': 'लुकास पेकटा', 'bn': 'লুকাস পাকেতা'}, 'shortNameTranslation': {'ar': 'ل. باكيتا', 'hi': 'एल. पेकटा', 'bn': 'এল. পাকেতা'}}",53.0,41.0,3.0,1.0,17.0,19.0,25.0,36.0,6.0,,,89.0,72.0,7.0,22.0,0.0595,0.0,0.233752,"{'original': 7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,2.0,1.0,8.0,4.0,,4.0,1.0,1.0,,,,,,4.0,1.0,1.0,3.0,,,Paqueta,,1.0,,,,3.0,1.0,,
