name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,statisticsType,team,substitute,captain,aerialLost,duelLost,duelWon,totalContest,wonContest,totalTackle,wonTackle,fouls,totalOffside,keyPass,aerialWon,challengeLost,outfielderBlock,interceptionWon,wasFouled,totalCross,shotOffTarget,blockedScoringAttempt,accurateCross,dispossessed,unsuccessfulTouch,clearanceOffLine,firstName,lastName,onTargetScoringAttempt,goals,goalAssist,savedShotsFromInsideTheBox,saves,goalsPrevented,bigChanceMissed,bigChanceCreated
David Raya,david-raya,D. Raya,G,1,183,25247,M,d_raya1,581310,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,811123200,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديفيد رايا', 'hi': 'डेविड राया', 'bn': 'ডেভিড রায়া'}, 'shortNameTranslation': {'ar': 'د. رايا', 'hi': 'डी. राया', 'bn': 'ডি. রায়া'}}",43.0,29.0,24.0,10.0,21.0,23.0,8.0,20.0,1.0,7.0,1.0,1.0,90.0,50.0,7.0,14.0,0.0,0.0,0.00414585,"{'original': 7, 'alternative': 6.9}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben White,benjamin-white,B. White,D,4,186,13312,M,benwhite,846036,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,876268800,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بنيامين وايت', 'hi': 'बेंजामिन व्हाइट', 'bn': 'বেঞ্জামিন হোয়াইট'}, 'shortNameTranslation': {'ar': 'ب. وايت', 'hi': 'बी. व्हाइट', 'bn': 'বি. হোয়াইট'}}",47.0,41.0,1.0,1.0,20.0,21.0,21.0,26.0,2.0,3.0,,,90.0,70.0,7.7,8.0,0.0,0.0,0.0687508,"{'original': 7.7, 'alternative': 7.5}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,2.0,4.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
William Saliba,william-saliba,W. Saliba,D,2,193,43547,M,WSaliba4,941168,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,985392000,"{'value': 85000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويليام صاليبا', 'hi': 'विलियम सलीबा', 'bn': 'উইলিয়াম সালিবা'}, 'shortNameTranslation': {'ar': 'و. صاليبا', 'hi': 'डब्लू. सलीबा', 'bn': 'ডব্লিউ. সালিবা'}}",70.0,69.0,1.0,,49.0,49.0,20.0,21.0,2.0,5.0,,,90.0,76.0,7.1,1.0,0.0,0.0,0.00554791,"{'original': 7.1, 'alternative': 7.2}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,,,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Gabriel Magalhães,gabriel-magalhaes,Gabriel,D,6,190,45357,M,GabrielMagalhães,869792,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,882489600,"{'value': 70000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غابرييل ماغاليس', 'hi': 'गेब्रियल मैगलहेस', 'bn': 'গ্যাব্রিয়েল ম্যাগালহায়েস'}, 'shortNameTranslation': {'ar': 'غابرييل', 'hi': 'गेब्रियल मैगलहेस', 'bn': 'গ্যাব্রিয়েল'}}",59.0,54.0,6.0,2.0,42.0,43.0,12.0,16.0,,5.0,,,90.0,66.0,7.2,5.0,0.0,0.0,0.004969,"{'original': 7.2, 'alternative': 7.1}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,3.0,3.0,,,1.0,,,,,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,
Oleksandr Zinchenko,oleksandr-zinchenko,O. Zinchenko,D,35,175,17817,M,OZinchenko,287643,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,850608000,"{'value': 15500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوليكساندر زينتشينكو', 'hi': 'ओलेक्सांद्र ज़िनचेंको', 'bn': 'অলেক্সান্ডার জিনচেনকো'}, 'shortNameTranslation': {'ar': 'أ. زينتشينكو', 'hi': 'ओ. ज़िनचेंको', 'bn': 'ও. জিনচেনকো'}}",34.0,31.0,1.0,,15.0,17.0,16.0,19.0,,6.0,,,75.0,44.0,7.0,5.0,0.0834,0.0,0.0130127,"{'original': 7, 'alternative': 7}",3,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,,,2.0,1.0,,,1.0,,,,1.0,,2.0,1.0,2.0,,,,,,,,,,,,,,
Martin Ødegaard,martin-odegaard,M. Ødegaard,M,8,178,81763,M,Ødegaard,547410,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,913852800,"{'value': 82000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارتن أوديغارد', 'hi': 'मार्टिन ओडेगार्ड', 'bn': 'মার্টিন ওডেগার্ড'}, 'shortNameTranslation': {'ar': 'م. أوديغارد', 'hi': 'एम. ओडेगार्ड', 'bn': 'এম. ওডেগার্ড'}}",36.0,30.0,1.0,,8.0,9.0,24.0,32.0,,4.0,,,90.0,61.0,7.1,15.0,0.0772,0.0,0.162488,"{'original': 7.1, 'alternative': 7.1}",3,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,7.0,5.0,4.0,1.0,3.0,2.0,,,2.0,,2.0,,1.0,1.0,5.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,
Jorginho,jorginho,Jorginho,M,21,180,32651,M,jorginhofrello,132874,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,693187200,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جورجينيو', 'hi': 'जोर्गिनहो', 'bn': 'জর্গিনহো'}, 'shortNameTranslation': {'ar': 'جورجينيو', 'hi': 'जोर्गिनहो', 'bn': 'জর্গিনহো'}}",69.0,63.0,4.0,1.0,35.0,36.0,28.0,33.0,1.0,5.0,,,75.0,77.0,6.7,9.0,0.0,0.0,0.0369566,"{'original': 6.7, 'alternative': 6.7}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,
Declan Rice,declan-rice,D. Rice,M,41,188,60954,M,DeclanRice,856714,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,916272000,"{'value': 114000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديكلان رايس', 'hi': 'डेक्लान राइस', 'bn': 'ডেক্লান রাইস'}, 'shortNameTranslation': {'ar': 'د. رايس', 'hi': 'डी. राइस', 'bn': 'ডি. রাইস'}}",40.0,36.0,3.0,2.0,21.0,24.0,15.0,16.0,2.0,4.0,,,90.0,58.0,7.7,6.0,0.0,0.0,0.100592,"{'original': 7.7, 'alternative': 7.6}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,4.0,4.0,1.0,,3.0,2.0,,,2.0,,1.0,1.0,3.0,1.0,,,,,1.0,,1.0,,,,,,,,,,
Gabriel Jesus,gabriel-jesus,G. Jesus,F,9,175,76694,M,GabrielJesus,794839,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,860025600,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غابرييل جيسوس', 'hi': 'गेब्रियल जीसस', 'bn': 'গ্যাব্রিয়েল জেসুস'}, 'shortNameTranslation': {'ar': 'ج. جيسوس', 'hi': 'जी. जीसस', 'bn': 'জি. জেসুস'}}",46.0,30.0,,,7.0,8.0,23.0,39.0,1.0,4.0,,,90.0,76.0,6.8,28.0,0.0199,0.0,0.0492775,"{'original': 6.8, 'alternative': 6.5}",1,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,14.0,9.0,8.0,3.0,4.0,3.0,4.0,,,,2.0,,1.0,2.0,1.0,,1.0,,3.0,3.0,,,,,,,,,,,
Edward Nketiah,edward-nketiah,E. Nketiah,F,9,175,6808,M,EN9,858194,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,928022400,"{'value': 16500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إدوارد نكيتياه', 'hi': 'एडवर्ड नेकेटिया', 'bn': 'এডওয়ার্ড এনকেটিয়া'}, 'shortNameTranslation': {'ar': 'إ. نكيتياه', 'hi': 'ई. नेकेटिया', 'bn': 'ই. এনকেটিয়া'}}",8.0,5.0,,,2.0,2.0,3.0,7.0,,2.0,,,75.0,19.0,6.8,6.0,0.1453,0.0,0.0034888,"{'original': 6.8, 'alternative': 6.8}",3,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,6.0,4.0,1.0,,1.0,,1.0,1.0,,2.0,,,,1.0,1.0,3.0,,,1.0,,,,,,,,,,,,
