name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,wasFouled,savedShotsFromInsideTheBox,penaltyFaced,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateOppositionHalfPasses,aerialLost,duelLost,challengeLost,dispossessed,totalContest,totalClearance,totalTackle,wonTackle,unsuccessfulTouch,fouls,totalCross,accurateCross,aerialWon,wonContest,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,goals,outfielderBlock,expectedGoals,expectedGoalsOnTarget,keyPass,interceptionWon,bigChanceCreated,sofascoreId,penaltyConceded,firstName,lastName,bigChanceMissed,totalOffside,errorLeadToAGoal,punches,penaltyWon,hitWoodwork
Bart Verbruggen,bart-verbruggen,B. Verbruggen,G,1,193,4205,M,994363,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,1029628800,"{'value': 33000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بارت فيربروغين', 'hi': 'बार्ट वर्ब्रुगेन', 'bn': 'বার্ট ভারব্রুগেন'}, 'shortNameTranslation': {'ar': 'ب. فيربروغين', 'hi': 'बी. वर्ब्रुगेन', 'bn': 'বি. ভারব্রুগেন'}}",50.0,44.0,9.0,4.0,0.0,44.0,48.0,2.0,1.0,12.0,1.0,2.0,1.0,2.0,1.0,1.0,90.0,57.0,7.0,6.0,7.879e-05,"{'original': 7, 'alternative': 6.6}",0,0.0146,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joël Veltman,joel-veltman,J. Veltman,D,34,184,1159,M,219572,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,695433600,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جويل فيلتمان', 'hi': 'जोएल वेल्टमैन', 'bn': 'জোয়েল ভেল্টম্যান'}, 'shortNameTranslation': {'ar': 'ج. فيلتمان', 'hi': 'जे. वेल्टमैन', 'bn': 'জে. ভেল্টম্যান'}}",17.0,14.0,,,0.0,8.0,8.0,9.0,6.0,2.0,5.0,,,,,,90.0,35.0,6.2,6.0,0.00699881,"{'original': 6.2, 'alternative': 6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,6.0,2.0,7.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Lewis Dunk,lewis-dunk,L. Dunk,D,5,190,1872,M,115365,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,690681600,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس دانك', 'hi': 'लुईस डंक', 'bn': 'লুইস ডাঙ্ক'}, 'shortNameTranslation': {'ar': 'ل. دانك', 'hi': 'एल. डंक', 'bn': 'এল. ডাঙ্ক'}}",78.0,66.0,9.0,5.0,0.0,50.0,55.0,24.0,5.0,4.0,1.0,,,,,,90.0,89.0,7.7,12.0,0.0634694,"{'original': 7.7, 'alternative': 7.7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,17.0,1.0,1.0,,,1.0,3.0,1.0,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7904,0.8658,1.0,,,,,,,,,,,,
Igor Júlio,igor-julio,I. Júlio,D,5,185,1286,M,842513,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,886809600,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيغور جوليو', 'hi': 'इगोर जूलियो', 'bn': 'ইগর জুলিও'}, 'shortNameTranslation': {'ar': 'إ. جوليو', 'hi': 'आई. जूलियो', 'bn': 'আই. জুলিও'}}",46.0,41.0,2.0,,0.0,33.0,36.0,10.0,,4.0,,,,,,,63.0,55.0,6.6,6.0,0.00140025,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,8.0,,1.0,,,,2.0,,,1.0,1.0,,,,,,,,,1.0,,,2.0,1.0,,,,,,,,,,,
Solly March,solly-march,S. March,M,7,180,1260,M,301288,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,774662400,"{'value': 3100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سولي مارتش', 'hi': 'सोली मार्च', 'bn': 'সলি মার্চ'}, 'shortNameTranslation': {'ar': 'س. مارتش', 'hi': 'एस. मार्च', 'bn': 'এস. মার্চ'}}",53.0,42.0,1.0,1.0,1.0,22.0,28.0,30.0,10.0,7.0,2.0,,,,,,90.0,91.0,7.8,20.0,0.36917,"{'original': 7.8, 'alternative': 7.4}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,21.0,,7.0,3.0,2.0,3.0,2.0,6.0,5.0,,1.0,5.0,1.0,,2.0,,,2.0,,,0.1655,,1.0,3.0,1.0,,,,,,,,,,
Carlos Baleba,baleba-carlos,C. Baleba,M,17,179,22765,M,1199043,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,1073088000,"{'value': 58000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باليبا، كارلوس', 'hi': 'बलेबा, कार्लोस', 'bn': 'বালেবা, কার্লোস'}, 'shortNameTranslation': {'ar': 'ك. باليبا', 'hi': 'सी. बलेबा', 'bn': 'সি. বালেবা'}}",26.0,22.0,4.0,4.0,0.0,15.0,18.0,8.0,7.0,6.0,2.0,,,,,,90.0,43.0,7.4,4.0,0.00717983,"{'original': 7.4, 'alternative': 7.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,7.0,,2.0,,,2.0,,2.0,,,2.0,,,1.0,2.0,1.0,,,,2.0,0.0955,,,3.0,,carlos_baleba,,,,,,,,,
Pascal Groß,pascal-gross,P. Groß,M,13,181,4485,M,48480,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,676944000,"{'value': 4500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باسكال غروس', 'hi': 'पास्कल ग्रोस', 'bn': 'প্যাসকেল গ্রোস'}, 'shortNameTranslation': {'ar': 'ب. غروس', 'hi': 'पी. ग्रोस', 'bn': 'পি. গ্রোস'}}",61.0,54.0,6.0,2.0,0.0,40.0,41.0,23.0,1.0,1.0,,,,,,,90.0,73.0,6.2,10.0,0.0600836,"{'original': 6.2, 'alternative': 6.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,16.0,,3.0,2.0,,,1.0,,,1.0,1.0,3.0,2.0,1.0,,,,2.0,,,0.087,,1.0,,,pascalgross65,1.0,,,,,,,,
Simon Adingra,simon-adingra,S. Adingra,M,24,175,45746,M,1110842,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,1009843200,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيمون أدينغرا', 'hi': 'साइमन एडिंगरा', 'bn': 'সাইমন আদিংরা'}, 'shortNameTranslation': {'ar': 'س. أدينغرا', 'hi': 'एस. एडिंगरा', 'bn': 'এস. আদিংরা'}}",10.0,7.0,2.0,2.0,0.0,3.0,6.0,7.0,7.0,4.0,,,,,,,90.0,35.0,7.2,14.0,0.0405569,"{'original': 7.2, 'alternative': 7.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,,7.0,,,9.0,,4.0,3.0,1.0,1.0,3.0,,,3.0,,2.0,,1.0,,0.3629,0.4162,,2.0,,simon.adingra,,,,1.0,,,,,
João Pedro,joao-pedro,J. Pedro,F,20,182,86665,M,975079,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,1001462400,"{'value': 60000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو بيدرو', 'hi': 'जोआओ पेड्रो', 'bn': 'জন পেড্রো'}, 'shortNameTranslation': {'ar': 'ج. بيدرو', 'hi': 'जे. पेड्रो', 'bn': 'জে. পেড্রো'}}",17.0,15.0,1.0,1.0,0.0,7.0,7.0,11.0,6.0,2.0,5.0,,,,,,88.0,35.0,6.5,11.0,0.150966,"{'original': 6.5, 'alternative': 6.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,8.0,1.0,6.0,1.0,2.0,2.0,,1.0,,3.0,,1.0,,,,1.0,,1.0,,,0.5733,,2.0,,,joaopedro,,,,1.0,,,,,
Kaoru Mitoma,mitoma-kaoru,K. Mitoma,M,22,178,21430,M,936849,"{'alpha2': 'JP', 'alpha3': 'JPN', 'name': 'Japan', 'slug': 'japan'}",EUR,864086400,"{'value': 28000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميتوما، كاورو', 'hi': 'मिटोमा, काओरू', 'bn': 'মিতোমা, কাওরু'}, 'shortNameTranslation': {'ar': 'ك. ميتوما', 'hi': 'के. काओरू', 'bn': 'কে. মিতোমা'}}",26.0,20.0,3.0,,0.0,6.0,8.0,19.0,8.0,4.0,3.0,,,,,,90.0,48.0,6.6,14.0,0.0165514,"{'original': 6.6, 'alternative': 6.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,14.0,1.0,6.0,,2.0,7.0,,,,3.0,1.0,1.0,,,5.0,1.0,,,,,0.2002,,,2.0,,KaoruM,,,,1.0,,,,,
