name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,totalClearance,ballRecovery,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,keyPass,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialWon,duelLost,challengeLost,dispossessed,totalContest,wonContest,shotOffTarget,interceptionWon,totalTackle,wonTackle,fouls,aerialLost,outfielderBlock,blockedScoringAttempt,unsuccessfulTouch,goalAssist,bigChanceCreated,bigChanceMissed,onTargetScoringAttempt,goals,accurateCross,firstName,lastName,clearanceOffLine,totalOffside,hitWoodwork,punches,errorLeadToAGoal,errorLeadToAShot
Jordan Pickford,jordan-pickford,J. Pickford,G,1,185,7467,M,jpickford1,138530,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,762998400,"{'value': 16100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان بيكفورد', 'hi': 'जॉर्डन पिकफोर्ड', 'bn': 'জর্ডান পিকফোর্ড'}, 'shortNameTranslation': {'ar': 'ج. بيكفورد', 'hi': 'जे. पिकफोर्ड', 'bn': 'জে.পিকফোর্ড'}}",35.0,26.0,25.0,16.0,12.0,12.0,14.0,23.0,1.0,2.0,14.0,1.0,1.0,2.0,3.0,2.0,2.0,90.0,49.0,8.0,9.0,0.0,0.0,0.0196492,1.0,"{'original': 8, 'alternative': 7.8}",0,0.407,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashley Young,ashley-young,A. Young,D,15,180,1765,M,,10589,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,489715200,"{'value': 440000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آشلي يونغ', 'hi': 'एश्ले यंग', 'bn': 'অ্যাশলে ইয়াং'}, 'shortNameTranslation': {'ar': 'آ. يونغ', 'hi': 'एक यंग', 'bn': 'এ. ইয়াং'}}",44.0,32.0,9.0,4.0,19.0,20.0,13.0,26.0,8.0,1.0,4.0,2.0,,,,,,90.0,74.0,7.1,17.0,0.0609,0.0,0.00775488,,"{'original': 7.1, 'alternative': 7.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
James Tarkowski,james-tarkowski,J. Tarkowski,D,6,185,2332,M,,145188,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,722131200,"{'value': 7200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس تاركوفسكي', 'hi': 'जेम्स टार्कोव्स्की', 'bn': 'জেমস তারকোভস্কি'}, 'shortNameTranslation': {'ar': 'ج. تاركوفسكي', 'hi': 'जे. टार्कोव्स्की', 'bn': 'জে. তারকোভস্কি'}}",50.0,37.0,8.0,4.0,27.0,30.0,10.0,20.0,9.0,8.0,4.0,,,,,,,90.0,69.0,7.9,15.0,0.0,0.0,0.00909495,1.0,"{'original': 7.9, 'alternative': 7.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,6.0,7.0,1.0,2.0,,,,1.0,3.0,3.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,
Jarrad Branthwaite,jarrad-branthwaite,J. Branthwaite,D,32,195,2559,M,,979563,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1025136000,"{'value': 46000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاراد برانثويت', 'hi': 'जेर्राड ब्रैंथवेट', 'bn': 'জারাদ ব্র্যানথওয়েট'}, 'shortNameTranslation': {'ar': 'ج. برانثويت', 'hi': 'जे. ब्रैंथवेट', 'bn': 'জে. ব্র্যানথওয়েট'}}",27.0,22.0,3.0,2.0,13.0,16.0,9.0,11.0,5.0,3.0,2.0,1.0,,,,,,90.0,38.0,7.4,5.0,0.0,0.0,0.256042,1.0,"{'original': 7.4, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,4.0,1.0,,,,,,2.0,,2.0,2.0,2.0,,,,,,,,,,,,,,,,
Vitaliy Mykolenko,vitaliy-mykolenko,V. Mykolenko,D,16,180,4121,M,mikola_16,876643,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,927936000,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتالي ميكولينكو', 'hi': 'विटाली मायकोलेंको', 'bn': 'ভিটালি মাইকোলেনকো'}, 'shortNameTranslation': {'ar': 'ف. ميكولينكو', 'hi': 'वी. मायकोलेंको', 'bn': 'ভি. মাইকোলেনকো'}}",32.0,25.0,3.0,1.0,6.0,9.0,19.0,25.0,5.0,3.0,6.0,,,,,,,90.0,55.0,7.2,12.0,0.0519,0.0,0.0100579,,"{'original': 7.2, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,1.0,4.0,1.0,,1.0,1.0,,1.0,3.0,2.0,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,,
Jack Harrison,jack-harrison,J. Harrison,M,20,175,1080,M,,829570,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,848448000,"{'value': 10800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك هاريسون', 'hi': 'जैक हैरिसन', 'bn': 'জ্যাক হ্যারিসন'}, 'shortNameTranslation': {'ar': 'ج. هاريسون', 'hi': 'जे. हैरिसन', 'bn': 'জে. হ্যারিসন'}}",20.0,16.0,1.0,,5.0,7.0,11.0,16.0,9.0,,11.0,3.0,,,,,,78.0,47.0,8.1,15.0,0.2735,0.0472,0.010293,1.0,"{'original': 8.1, 'alternative': 7.8}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,2.0,6.0,2.0,1.0,5.0,2.0,,,3.0,1.0,,,,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
James Garner,james-garner,J. Garner,M,37,182,2524,M,,927361,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,984441600,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس غارنر', 'hi': 'जेम्स गार्नर', 'bn': 'জেমস গার্নার'}, 'shortNameTranslation': {'ar': 'ج. غارنر', 'hi': 'जे. गार्नर', 'bn': 'জে. গার্নার'}}",39.0,34.0,4.0,3.0,10.0,10.0,25.0,34.0,8.0,1.0,4.0,2.0,,,,,,90.0,71.0,7.5,13.0,0.2256,0.2354,0.0913546,,"{'original': 7.5, 'alternative': 7.6}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,5.0,,7.0,2.0,2.0,1.0,,1.0,1.0,6.0,1.0,1.0,1.0,,1.0,1.0,,,,2.0,1.0,1.0,,,,,,,,
Amadou Onana,amadou-onana,A. Onana,M,24,195,6827,M,its_onana,923973,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,997920000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أمادو أونانا', 'hi': 'अमादौ ओनाना', 'bn': 'আমাদৌ ওনানা'}, 'shortNameTranslation': {'ar': 'أ. أونانا', 'hi': 'ए. ओनाना', 'bn': 'এ. ওনানা'}}",45.0,39.0,1.0,1.0,18.0,19.0,21.0,26.0,10.0,,10.0,4.0,,,,,,90.0,57.0,7.7,7.0,0.2047,0.0347,0.0354979,1.0,"{'original': 7.7, 'alternative': 7.6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,2.0,,,,,1.0,,4.0,1.0,2.0,,,1.0,1.0,,,,1.0,,,,,,,,,,
Dwight McNeil,dwight-mcneil,D. McNeil,M,7,183,2030,M,,935543,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,943228800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوايت مكنيل', 'hi': 'ड्वाइट मैकनील', 'bn': 'ডোয়াইট ম্যাকনিল'}, 'shortNameTranslation': {'ar': 'د. مكنيل', 'hi': 'डी. मैकनील', 'bn': 'ডি. ম্যাকনিল'}}",26.0,17.0,3.0,,6.0,8.0,14.0,28.0,6.0,,7.0,1.0,,,,,,90.0,58.0,8.6,23.0,0.2243,0.1995,0.886144,6.0,"{'original': 8.6, 'alternative': 8.4}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,10.0,,6.0,1.0,3.0,2.0,2.0,1.0,,3.0,1.0,2.0,,1.0,,3.0,,2.0,,1.0,,3.0,Dwight,McNeil,1.0,,,,,
Abdoulaye Doucouré,abdoulaye-doucoure,A. Doucouré,M,8,182,1300,M,,96535,"{'alpha2': 'ML', 'alpha3': 'MLI', 'name': 'Mali', 'slug': 'mali'}",EUR,725846400,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'عبدالله دوكوري', 'hi': 'अब्दुलाये डौकोरे', 'bn': 'আবদুলায়ে ডকোরে'}, 'shortNameTranslation': {'ar': 'ع. دوكوري', 'hi': 'ए. डौकोरे', 'bn': 'এ. ডকোরে'}}",38.0,34.0,,,7.0,8.0,27.0,31.0,5.0,,2.0,,,,,,,89.0,57.0,8.4,11.0,0.7172,1.1075,0.224115,2.0,"{'original': 8.4, 'alternative': 8.1}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,6.0,1.0,3.0,2.0,2.0,2.0,,2.0,2.0,1.0,1.0,,,3.0,,,,3.0,1.0,,,,,2.0,,,,
