name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalClearance,outfielderBlock,interceptionWon,unsuccessfulTouch,keyPass,duelLost,bigChanceCreated,totalTackle,fouls,aerialLost,totalOffside,sofascoreId,totalContest,wonContest,bigChanceMissed,onTargetScoringAttempt,wasFouled,dispossessed,blockedScoringAttempt,wonTackle,totalCross,shotOffTarget,goalAssist,accurateCross,goals,totalKeeperSweeper,accurateKeeperSweeper,firstName,lastName,challengeLost,hitWoodwork
José Sá,jose-sa,J. Sá,G,1,192,3995,M,252669,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,727228800,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوزيه سا', 'hi': 'जोस सा', 'bn': 'জোসে সা'}, 'shortNameTranslation': {'ar': 'ج. سا', 'hi': 'जे. सा', 'bn': 'জে. সা'}}",16.0,12.0,9.0,5.0,8.0,8.0,4.0,8.0,1.0,1.0,7.0,1.0,3.0,3.0,90.0,24.0,7.2,4.0,0.0,0.0,0.00060314,"{'original': 7.2, 'alternative': 6.9}",0,-0.0303,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Kilman,max-kilman,M. Kilman,D,3,192,1235,M,894474,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,864345600,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكس كيلمان', 'hi': 'मैक्स किलमन', 'bn': 'ম্যাক্স কিলম্যান'}, 'shortNameTranslation': {'ar': 'م. كيلمان', 'hi': 'एम. किलमन', 'bn': 'এম. কিলম্যান'}}",52.0,44.0,8.0,5.0,33.0,36.0,11.0,16.0,2.0,2.0,9.0,,,,90.0,63.0,7.2,9.0,0.0,0.0,0.0139391,"{'original': 7.2, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,6.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Craig Dawson,craig-dawson,C. Dawson,D,,188,423,M,50027,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,641952000,"{'value': 980000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريغ داوسون', 'hi': 'क्रेग डावसन', 'bn': 'ক্রেগ ডসন'}, 'shortNameTranslation': {'ar': 'ك. داوسون', 'hi': 'सी. डावसन', 'bn': 'সি. ডসন'}}",54.0,48.0,7.0,4.0,39.0,43.0,9.0,11.0,2.0,3.0,3.0,,,,90.0,63.0,7.2,6.0,0.0,0.0,0.111923,"{'original': 7.2, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,7.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Toti Gomes,toti-gomes,T. Gomes,D,24,187,1089,M,973418,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,916444800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توتي غوميس', 'hi': 'टोटी गोम्स', 'bn': 'টোটি গোমস'}, 'shortNameTranslation': {'ar': 'ت. غوميس', 'hi': 'टी. गोम्स', 'bn': 'টি. গোমেজ'}}",53.0,39.0,6.0,,27.0,29.0,12.0,24.0,1.0,2.0,3.0,,,,90.0,58.0,6.5,15.0,0.0,0.0,0.0029223,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,1.0,,,,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Nélson Semedo,nelson-semedo,N. Semedo,M,27,177,7468,M,252821,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,753408000,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيلسون سيميدو', 'hi': 'नेल्सन सेमेदो', 'bn': 'নেলসন সেমেডো'}, 'shortNameTranslation': {'ar': 'ن. سيميدو', 'hi': 'एन. सेमेदो', 'bn': 'এন. সেমিডো'}}",24.0,19.0,3.0,3.0,7.0,8.0,12.0,16.0,1.0,6.0,3.0,,,,90.0,43.0,6.8,11.0,0.471,0.5481,0.0119788,"{'original': 6.8, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,,1.0,,3.0,,1.0,3.0,,,nelsonsemedo50,3.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,
João Gomes,joao-gomes,J. Gomes,M,8,176,15514,M,1015267,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,981936000,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو غوميش', 'hi': 'जोआओ गोम्स', 'bn': 'জোয়াও গোমেস'}, 'shortNameTranslation': {'ar': 'جواو غوميش', 'hi': 'जोआओ गोम्स', 'bn': 'জোয়াও গোমেস'}}",22.0,17.0,1.0,,11.0,13.0,6.0,9.0,,1.0,2.0,,,,69.0,30.0,6.2,8.0,0.0334,0.0,0.00122721,"{'original': 6.2, 'alternative': 6.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,,1.0,,5.0,,1.0,2.0,1.0,,joaogomes.01,,,,,,2.0,1.0,,,,,,,,,,,,
Mario Lemina,mario-lemina,M. Lemina,M,99,184,8485,M,307284,"{'alpha2': 'GA', 'alpha3': 'GAB', 'name': 'Gabon', 'slug': 'gabon'}",EUR,746841600,"{'value': 6400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماريو ليمينا', 'hi': 'मारियो लेमिना', 'bn': 'মারিও লেমিনা'}, 'shortNameTranslation': {'ar': 'م. ليمينا', 'hi': 'एम. लेमिना', 'bn': 'এম. লেমিনা'}}",38.0,29.0,2.0,1.0,15.0,17.0,14.0,21.0,2.0,6.0,6.0,,,,90.0,50.0,6.9,9.0,0.0268,0.3458,0.00792232,"{'original': 6.9, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,3.0,,,4.0,,2.0,3.0,1.0,,,1.0,1.0,,1.0,1.0,,,2.0,,,,,,,,,,,
Rayan Aït-Nouri,rayan-ait-nouri,R. A. Nouri,M,21,179,39814,M,931278,"{'alpha2': 'DZ', 'alpha3': 'DZA', 'name': 'Algeria', 'slug': 'algeria'}",EUR,991785600,"{'value': 39000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان آيت نوري', 'hi': 'रेयान ऐत नूरी', 'bn': 'রায়ান আইত নুরী'}, 'shortNameTranslation': {'ar': 'ر. أ. نوري', 'hi': 'आर. ऐ. नूरी', 'bn': 'আর. এ. নুরী'}}",11.0,10.0,1.0,,4.0,4.0,6.0,8.0,,4.0,1.0,,,,45.0,25.0,6.8,4.0,0.1718,0.0,0.00473929,"{'original': 6.8, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,,1.0,,2.0,,2.0,1.0,,,r_aitnouri,2.0,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,
Pedro Neto,pedro-neto,P. Neto,M,7,172,39950,M,879349,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,952560000,"{'value': 58000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيدرو نيتو', 'hi': 'पेड्रो नेटो', 'bn': 'পেড্রো নেটো'}, 'shortNameTranslation': {'ar': 'ب. نيتو', 'hi': 'पी. नेटो', 'bn': 'পি. নেটো'}}",22.0,17.0,1.0,,9.0,11.0,9.0,19.0,,4.0,5.0,,,,90.0,41.0,7.1,17.0,0.5599,0.0,0.0818638,"{'original': 7.1, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,3.0,2.0,2.0,1.0,,,1.0,1.0,pedroneto_30,3.0,2.0,1.0,,2.0,,,,8.0,1.0,1.0,1.0,,,,,,,
Matheus Cunha,matheus-cunha,M. Cunha,F,10,184,62297,M,886363,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,927763200,"{'value': 73000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماثيوس كونيا', 'hi': 'मैथियस कुन्हा', 'bn': 'ম্যাথিউস কুনহা'}, 'shortNameTranslation': {'ar': 'م. كونيا', 'hi': 'एम. कुन्हा', 'bn': 'এম. কুনহা'}}",9.0,6.0,1.0,1.0,4.0,5.0,2.0,4.0,,2.0,3.0,,,,76.0,17.0,6.5,6.0,0.0,0.0,0.00019663,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,,1.0,,6.0,,1.0,3.0,1.0,1.0,Cunha,2.0,,,,1.0,,,1.0,,,,,,,,,,,
Hee-Chan Hwang,hee-chan-hwang,H. Hwang,F,11,177,6495,M,786186,"{'alpha2': 'KR', 'alpha3': 'KOR', 'name': 'South Korea', 'slug': 'south-korea'}",EUR,822614400,"{'value': 9200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هي تشان هوانغ', 'hi': 'ही-चान ह्वांग', 'bn': 'হি-চ্যান হোয়াং'}, 'shortNameTranslation': {'ar': 'ه. هوانغ', 'hi': 'एच. ह्वांग', 'bn': 'এইচ. হোয়াং'}}",23.0,16.0,2.0,1.0,7.0,9.0,10.0,15.0,,4.0,7.0,,,,86.0,37.0,7.8,9.0,0.2273,0.8813,0.100797,"{'original': 7.8, 'alternative': 7.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,1.0,1.0,1.0,2.0,,2.0,,1.0,,Hwangso,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,,,1.0,1.0,,,,,,
Matt Doherty,matt-doherty,M. Doherty,D,2,182,1503,M,143047,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,695520000,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مات دوهيرتي', 'hi': 'मैट डोहर्टी', 'bn': 'ম্যাট ডোহার্টি'}, 'shortNameTranslation': {'ar': 'م. دوهيرتي', 'hi': 'एम. डोहर्टी', 'bn': 'এম. ডোহার্টি'}}",14.0,10.0,,,6.0,8.0,4.0,6.0,1.0,4.0,6.0,,,,45.0,27.0,6.6,7.0,0.0,0.0,0.00384252,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,,,2.0,,1.0,,1.0,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,
Boubacar Traoré,boubacar-traore,B. Traoré,M,8,183,1017,M,982613,"{'alpha2': 'ML', 'alpha3': 'MLI', 'name': 'Mali', 'slug': 'mali'}",EUR,998265600,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوبكر تراوري', 'hi': 'बौबाकर ट्रैओरे', 'bn': 'বউবাকার ট্রাওরে'}, 'shortNameTranslation': {'ar': 'ب. تراوري', 'hi': 'बी. ट्रैओरे', 'bn': 'বি. ট্রাওরে'}}",16.0,14.0,2.0,1.0,7.0,8.0,7.0,8.0,,,7.0,,,,21.0,19.0,6.7,3.0,0.0,0.0,0.00588071,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Saša Kalajdžić,sasa-kalajdzic,S. Kalajdžić,F,18,200,1151,M,870038,"{'alpha2': 'AT', 'alpha3': 'AUT', 'name': 'Austria', 'slug': 'austria'}",EUR,868233600,"{'value': 3700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ساسا كالادزيتش', 'hi': 'साशा कालाजदज़िक', 'bn': 'সাশা কালাজদজিচ'}, 'shortNameTranslation': {'ar': 'س. كالادزيتش', 'hi': 'एस. कालाजदज़िक', 'bn': 'এস. কালাজদজিচ'}}",3.0,2.0,1.0,1.0,,,2.0,3.0,,1.0,,,,,14.0,6.0,7.2,1.0,0.1905,0.0,0.201846,"{'original': 7.2, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,
Fábio Silva,fabio-silva,F. Silva,F,21,185,5165,M,954076,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,1027036800,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فابيو سيلفا', 'hi': 'फैबियो सिल्वा', 'bn': 'ফ্যাবিও সিলভা'}, 'shortNameTranslation': {'ar': 'ف. سيلفا', 'hi': 'एफ. सिल्वा', 'bn': 'এফ. সিলভা'}}",1.0,,1.0,,,,,1.0,,,1.0,,,,18.0,3.0,6.4,3.0,0.0,0.0,0.0,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,2.0,,2.0,,,2.0,,,fabio.silva,,,,,,,,,,,,,,,,,,,
