name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,duelLost,challengeLost,totalContest,outfielderBlock,interceptionWon,totalTackle,wonTackle,wasFouled,firstName,lastName,wonContest,shotOffTarget,onTargetScoringAttempt,fouls,penaltyWon,expectedGoals,expectedGoalsOnTarget,totalCross,unsuccessfulTouch,totalOffside,goalAssist,accurateCross,dispossessed,keyPass,goals,bigChanceCreated,blockedScoringAttempt,bigChanceMissed,penaltyFaced,totalKeeperSweeper,accurateKeeperSweeper,penaltyConceded
Emiliano Martínez,emiliano-martinez,E. Martínez,G,23,195,62646,M,EmiMartínez,158263,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,715392000,"{'value': 14400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إميليانو مارتينيز', 'hi': 'एमिलियानो मार्टिनेज', 'bn': 'এমিলিয়ানো মার্টিনেজ'}, 'shortNameTranslation': {'ar': 'إ. مارتينيز', 'hi': 'ई. मार्टिनेज', 'bn': 'ই. মার্টিনেজ'}}",30.0,29.0,6.0,5.0,28.0,28.0,1.0,2.0,1.0,1.0,1.0,12.0,2.0,2.0,3.0,1.0,90.0,44.0,7.3,1.0,0.00094392,"{'original': 7.3, 'alternative': 6.8}",0,0.275,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matty Cash,matty-cash,M. Cash,D,2,185,9152,M,mattycash622,833956,"{'alpha2': 'PL', 'alpha3': 'POL', 'name': 'Poland', 'slug': 'poland'}",EUR,870912000,"{'value': 19800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماتي كاش', 'hi': 'मैटी कैश', 'bn': 'ম্যাটি ক্যাশ'}, 'shortNameTranslation': {'ar': 'م. كاش', 'hi': 'एम. कैश', 'bn': 'এম. ক্যাশ'}}",39.0,34.0,2.0,1.0,18.0,18.0,16.0,21.0,,7.0,3.0,6.0,,,,,90.0,63.0,7.4,7.0,0.00889536,"{'original': 7.4, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,5.0,1.0,2.0,1.0,1.0,5.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Ezri Konsa,ezri-konsa,E. Konsa,D,4,183,3125,M,,827679,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,877564800,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إزري كونسا', 'hi': 'एज़री कोंसा', 'bn': 'ইজরি কনসা'}, 'shortNameTranslation': {'ar': 'إ. كونسا', 'hi': 'ई. कोंसा', 'bn': 'ই. কনসা'}}",58.0,56.0,2.0,1.0,46.0,46.0,10.0,12.0,,6.0,1.0,3.0,,,,,90.0,71.0,7.9,3.0,0.00491537,"{'original': 7.9, 'alternative': 7.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,2.0,,2.0,1.0,1.0,1.0,1.0,3.0,,,2.0,1.0,1.0,1.0,1.0,0.135,0.1284,,,,,,,,,,,,,,,
Pau Torres,pau-torres,P. Torres,D,14,192,4120,M,pauttorres,864169,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,853372800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باو توريس', 'hi': 'पाऊ टोरेस', 'bn': 'পাউ টরেস'}, 'shortNameTranslation': {'ar': 'ب. توريس', 'hi': 'पी. टोरेस', 'bn': 'পি. টরেস'}}",64.0,54.0,7.0,,40.0,47.0,14.0,17.0,,2.0,,7.0,,,,,90.0,69.0,6.4,11.0,0.0143431,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,3.0,2.0,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Digne,lucas-digne,L. Digne,D,12,178,4445,M,LDigne,96538,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,743126400,"{'value': 7400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكاس دين', 'hi': 'लुकास डिग्ने', 'bn': 'লুকাস ডিগনে'}, 'shortNameTranslation': {'ar': 'ل. دين', 'hi': 'एल. डिग्ने', 'bn': 'এল. ডিগনে'}}",34.0,28.0,4.0,3.0,17.0,21.0,11.0,20.0,3.0,6.0,8.0,3.0,,,,,90.0,59.0,6.9,14.0,0.0136957,"{'original': 6.9, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,3.0,2.0,,,,1.0,,2.0,,,,,,,,,,7.0,1.0,1.0,,,,,,,,,,,,
John McGinn,john-mcginn,J. McGinn,M,7,175,3796,M,,250223,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,782438400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جون ماكجين', 'hi': 'जॉन मैकगिन', 'bn': 'জন ম্যাকগিন'}, 'shortNameTranslation': {'ar': 'ج. ماكجين', 'hi': 'जे. मैकगिन', 'bn': 'জে. ম্যাকগিন'}}",40.0,35.0,2.0,2.0,5.0,7.0,32.0,35.0,1.0,2.0,1.0,2.0,,,,,90.0,53.0,7.4,9.0,0.201055,"{'original': 7.4, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,3.0,1.0,,,1.0,,,1.0,,,,1.0,,1.0,,0.0195,,2.0,2.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,
Boubacar Kamara,boubacar-kamara,B. Kamara,M,44,184,3320,M,,826204,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,943315200,"{'value': 39000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوبكر كامارا', 'hi': 'बौबाकर कामारा', 'bn': 'বউবকার কামারা'}, 'shortNameTranslation': {'ar': 'ب. كامارا', 'hi': 'बी. कामारा', 'bn': 'বি.কামারা'}}",74.0,68.0,2.0,1.0,36.0,39.0,32.0,35.0,2.0,8.0,1.0,3.0,,,,,90.0,86.0,7.5,7.0,0.0725159,"{'original': 7.5, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,9.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,,,1.0,,,2.0,,,,,1.0,,,,,3.0,,,,,,,,
Douglas Luiz,douglas-luiz,D. Luiz,M,12,175,11414,M,Douglas_Luiz,867887,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,894672000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوغلاس لويز', 'hi': 'डगलस लुइज़', 'bn': 'ডগলাস লুই'}, 'shortNameTranslation': {'ar': 'د. لويز', 'hi': 'डी. लुइज़', 'bn': 'ডি. লুইজ'}}",73.0,64.0,6.0,5.0,28.0,32.0,37.0,47.0,,3.0,2.0,9.0,,,,,90.0,90.0,9.1,15.0,0.0711618,"{'original': 9.1, 'alternative': 9}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,1.0,,1.0,,3.0,1.0,,,,,,3.0,2.0,,0.9007,1.705,6.0,1.0,,,1.0,,3.0,2.0,,,,,,,
Nicolò Zaniolo,nicolo-zaniolo,N. Zaniolo,F,10,189,9354,M,nicolozaniolo,864898,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,930873600,"{'value': 11400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيكولو زانيولو', 'hi': 'निकोलो ज़ेनिओलो', 'bn': 'নিকোলো জানিওলো'}, 'shortNameTranslation': {'ar': 'ن. زانيولو', 'hi': 'एन. ज़ेनिओलो', 'bn': 'এন. জানিওলো'}}",21.0,18.0,2.0,1.0,3.0,3.0,15.0,19.0,,7.0,1.0,2.0,,,,,76.0,35.0,7.0,7.0,0.0377391,"{'original': 7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,5.0,4.0,2.0,,,2.0,1.0,3.0,,,2.0,1.0,,,,0.0223,,1.0,2.0,,,,1.0,,,,,,,,,
Moussa Diaby,diaby-moussa,M. Diaby,M,19,170,7519,M,moussadiaby,855817,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,931305600,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موسى ديابي', 'hi': 'डायबी, मूसा', 'bn': 'ডায়াবি, মুসা'}, 'shortNameTranslation': {'ar': 'م. ديابي', 'hi': 'एम. डायबी', 'bn': 'এম. ডায়াবি'}}",29.0,25.0,2.0,1.0,5.0,5.0,21.0,26.0,,1.0,,1.0,,,,,85.0,39.0,7.3,8.0,0.538354,"{'original': 7.3, 'alternative': 7.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,,1.0,,,,,,,,1.0,1.0,,1.0,,0.0352,,2.0,3.0,,,1.0,,4.0,,1.0,1.0,,,,,
