name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,onTargetScoringAttempt,fouls,expectedGoals,expectedGoalsOnTarget,sofascoreId,aerialLost,dispossessed,shotOffTarget,firstName,accurateCross,keyPass,goals,outfielderBlock,lastName,bigChanceCreated,blockedScoringAttempt,bigChanceMissed,totalOffside,punches,errorLeadToAGoal,goalAssist
Ionuț Radu,ionut-radu,I. Radu,G,13,188,3307,M,815202,"{'alpha2': 'RO', 'alpha3': 'ROU', 'name': 'Romania', 'slug': 'romania'}",EUR,864777600,"{'value': 4900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيونوت رادو', 'hi': 'इओनुट राडू', 'bn': 'আয়নাট রাডু'}, 'shortNameTranslation': {'ar': 'إ. رادو', 'hi': 'आई. राडू', 'bn': 'আই. রাদু'}}",20.0,14.0,11.0,5.0,11.0,14.0,3.0,6.0,6.0,1.0,1.0,3.0,1.0,1.0,90.0,27.0,6.8,6.0,0.00041005,"{'original': 6.8, 'alternative': 6.6}",0,-0.7137,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Aarons,max-aarons,M. Aarons,D,3,178,1292,M,943645,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,946944000,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكس آرونز', 'hi': 'मैक्स आरोन्स', 'bn': 'ম্যাক্স অ্যারোনস'}, 'shortNameTranslation': {'ar': 'م. آرونز', 'hi': 'एम. आरोन्स', 'bn': 'এম. অ্যারোনস'}}",24.0,17.0,3.0,1.0,12.0,14.0,5.0,11.0,8.0,,,,,,85.0,49.0,7.4,12.0,0.00652934,"{'original': 7.4, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,2.0,1.0,11.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,
Chris Mepham,chris-mepham,C. Mepham,D,2,191,392,M,865740,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,878688000,"{'value': 3300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريس ميفام', 'hi': 'क्रिस मेफम', 'bn': 'ক্রিস মেফাম'}, 'shortNameTranslation': {'ar': 'ك. ميفام', 'hi': 'डी. बर्टौड', 'bn': 'সি. মেফাম'}}",68.0,52.0,6.0,2.0,39.0,45.0,13.0,23.0,8.0,,,,,,90.0,80.0,6.9,18.0,0.0157632,"{'original': 6.9, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,3.0,3.0,,,,4.0,1.0,1.0,1.0,1.0,,1.0,3.0,0.0888,0.1533,,,,,,,,,,,,,,,,,
Ilya Zabarnyi,illia-zabarnyi,I. Zabarnyi,D,6,189,16673,M,1023567,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,1030838400,"{'value': 46000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيليا زابارني', 'hi': 'इलिया ज़बरनयी', 'bn': 'ইলিয়া জাবারনি'}, 'shortNameTranslation': {'ar': 'إ. زابارني', 'hi': 'आई. ज़बरनयी', 'bn': 'আই. জাবারনি'}}",57.0,51.0,2.0,,42.0,43.0,9.0,14.0,4.0,,,,,,90.0,66.0,6.8,6.0,0.0123275,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,2.0,4.0,1.0,,,6.0,,2.0,2.0,,,,,,,IlliaZabarnyi,1.0,,,,,,,,,,,,,,,
Lloyd Kelly,lloyd-kelly,L. Kelly,D,6,191,2786,M,865167,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,907632000,"{'value': 18500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويد كيلي', 'hi': 'लॉयड केली', 'bn': 'লয়েড কেলি'}, 'shortNameTranslation': {'ar': 'ل. كيلي', 'hi': 'एल. केली', 'bn': 'এল. কেলি'}}",47.0,33.0,9.0,3.0,19.0,19.0,14.0,29.0,6.0,,,,,,90.0,72.0,6.8,21.0,0.013422,"{'original': 6.8, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,1.0,1.0,9.0,6.0,2.0,,,3.0,1.0,4.0,4.0,1.0,1.0,,2.0,0.1143,,,4.0,1.0,1.0,,,,,,,,,,,,,
Alex Scott,alex-scott,A. Scott,M,8,178,2151,M,1104986,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1061596800,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكس سكوت', 'hi': 'एलेक्स स्कॉट', 'bn': 'অ্যালেক্স স্কট'}, 'shortNameTranslation': {'ar': 'أ. سكوت', 'hi': 'ए. स्कॉट', 'bn': 'এ. স্কট'}}",38.0,29.0,1.0,,13.0,16.0,17.0,28.0,9.0,,,,,,90.0,55.0,7.3,16.0,0.0662643,"{'original': 7.3, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,6.0,1.0,4.0,8.0,1.0,5.0,5.0,,1.0,,,2.0,2.0,,,0.0311,,,3.0,,1.0,Alex Scott,1.0,1.0,,,,,,,,,,
Philip Billing,philip-billing,P. Billing,M,8,193,1832,M,548660,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,834451200,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيليب بيلينغ', 'hi': 'फिलिप बिलिंग', 'bn': 'ফিলিপ বিলিং'}, 'shortNameTranslation': {'ar': 'ف. بيلينغ', 'hi': 'पी. बिलिंग', 'bn': 'পি. বিলিং'}}",20.0,15.0,,,4.0,5.0,12.0,17.0,6.0,,,,,,82.0,37.0,7.3,12.0,0.0517916,"{'original': 7.3, 'alternative': 7.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,1.0,7.0,4.0,1.0,2.0,,,,3.0,3.0,1.0,,1.0,2.0,0.1079,0.1542,,,2.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,
Antoine Semenyo,antoine-semenyo,A. Semenyo,M,24,185,33799,M,934354,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,947203200,"{'value': 69000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنطوان سيمينيو', 'hi': 'एंटोनी सेमेन्यो', 'bn': 'অ্যান্টোইন সেমেনিও'}, 'shortNameTranslation': {'ar': 'أ. سيمينيو', 'hi': 'ए. सेमेन्यो', 'bn': 'এ. সেমেনিও'}}",16.0,10.0,,,3.0,3.0,8.0,14.0,6.0,,,,,,69.0,34.0,7.6,12.0,0.371357,"{'original': 7.6, 'alternative': 7.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,4.0,3.0,,4.0,1.0,,2.0,1.0,1.0,2.0,,1.0,,0.1526,0.6112,antoinesemenyo42,,1.0,,,1.0,2.0,1.0,,,1.0,1.0,,,,,
Ryan Christie,ryan-christie,R. Christie,M,10,178,1202,M,322391,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,793411200,"{'value': 9700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان كريستي', 'hi': 'रयान क्रिस्टी', 'bn': 'রায়ান ক্রিস্টি'}, 'shortNameTranslation': {'ar': 'ر. كريستي', 'hi': 'आर. क्रिस्टी', 'bn': 'আর. ক্রিস্টি'}}",25.0,18.0,4.0,2.0,4.0,5.0,14.0,21.0,2.0,,,,,,90.0,39.0,6.8,12.0,0.0865354,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,4.0,4.0,1.0,1.0,,,,2.0,,3.0,2.0,,1.0,,,,1.0,,,,,2.0,,,,,,,,,,
Marcus Tavernier,marcus-tavernier,M. Tavernier,M,16,178,1676,M,895576,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,922060800,"{'value': 18200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس تافيرنييه', 'hi': 'मार्कस टैवर्नियर', 'bn': 'মার্কাস ট্যাভার্নিয়ার'}, 'shortNameTranslation': {'ar': 'م. تافيرنييه', 'hi': 'एम. टैवर्नियर', 'bn': 'এম. ট্যাভার্নিয়ার'}}",28.0,24.0,1.0,,10.0,10.0,15.0,30.0,10.0,,,,,,82.0,61.0,7.5,18.0,0.077833,"{'original': 7.5, 'alternative': 7.7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,12.0,,3.0,12.0,,2.0,2.0,1.0,,8.0,3.0,1.0,2.0,2.0,1.0,0.4417,0.3736,,1.0,1.0,1.0,,1.0,,,,,,,1.0,1.0,,,
