name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,aerialWon,duelLost,duelWon,onTargetScoringAttempt,totalClearance,interceptionWon,unsuccessfulTouch,expectedGoals,keyPass,shotOffTarget,hitWoodwork,outfielderBlock,totalTackle,wonTackle,wasFouled,fouls,challengeLost,firstName,lastName,sofascoreId,totalContest,wonContest,bigChanceMissed,expectedGoalsOnTarget,dispossessed,totalCross,bigChanceCreated,accurateCross,goalAssist,blockedScoringAttempt,goals,totalKeeperSweeper,accurateKeeperSweeper,clearanceOffLine,errorLeadToAShot,totalOffside
Jason Steele,jason-steele,J. Steele,G,23,188,502,M,31867,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,650937600,"{'value': 715000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جايسون ستيل', 'hi': 'जेसन स्टील', 'bn': 'জেসন স্টিল'}, 'shortNameTranslation': {'ar': 'ج. ستيل', 'hi': 'जे. स्टील', 'bn': 'জে. স্টিল'}}",41.0,34.0,9.0,2.0,33.0,35.0,1.0,6.0,10.0,2.0,4.0,90.0,50.0,6.9,7.0,0.00017232,"{'original': 6.9, 'alternative': 7.1}",0,-0.114,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Webster,adam-webster,A. Webster,D,4,191,506,M,216308,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,789177600,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آدم ويبستر', 'hi': 'एडम वेबस्टर', 'bn': 'অ্যাডাম ওয়েবস্টার'}, 'shortNameTranslation': {'ar': 'آ. ويبستر', 'hi': 'ए. वेबस्टर', 'bn': 'এ. ওয়েবস্টার'}}",114.0,106.0,2.0,1.0,78.0,84.0,28.0,30.0,11.0,,,90.0,125.0,7.3,10.0,0.0132349,"{'original': 7.3, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,0.0272,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewis Dunk,lewis-dunk,L. Dunk,D,5,190,1872,M,115365,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,690681600,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس دانك', 'hi': 'लुईस डंक', 'bn': 'লুইস ডাঙ্ক'}, 'shortNameTranslation': {'ar': 'ل. دانك', 'hi': 'एल. डंक', 'bn': 'এল. ডাঙ্ক'}}",169.0,161.0,7.0,4.0,127.0,132.0,34.0,37.0,5.0,,,90.0,179.0,7.4,9.0,0.0173967,"{'original': 7.4, 'alternative': 7.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,2.0,3.0,3.0,7.0,,,2.0,1.0,0.0781,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Igor Júlio,igor-julio,I. Júlio,D,5,185,1286,M,842513,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,886809600,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيغور جوليو', 'hi': 'इगोर जूलियो', 'bn': 'ইগর জুলিও'}, 'shortNameTranslation': {'ar': 'إ. جوليو', 'hi': 'आई. जूलियो', 'bn': 'আই. জুলিও'}}",117.0,110.0,3.0,1.0,70.0,73.0,40.0,44.0,8.0,,,90.0,129.0,7.1,7.0,0.014311,"{'original': 7.1, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,3.0,4.0,,1.0,1.0,,0.0649,,1.0,,,2.0,2.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,
Simon Adingra,simon-adingra,S. Adingra,M,24,175,45746,M,1110842,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,1009843200,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيمون أدينغرا', 'hi': 'साइमन एडिंगरा', 'bn': 'সাইমন আদিংরা'}, 'shortNameTranslation': {'ar': 'س. أدينغرا', 'hi': 'एस. एडिंगरा', 'bn': 'এস. আদিংরা'}}",26.0,20.0,3.0,2.0,6.0,8.0,14.0,18.0,3.0,,,71.0,42.0,6.6,12.0,0.0198654,"{'original': 6.6, 'alternative': 6.4}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,4.0,5.0,1.0,1.0,,1.0,0.1506,,1.0,,,1.0,1.0,,,,,,simon.adingra,7.0,3.0,1.0,0.2031,,,,,,,,,,,,
Carlos Baleba,baleba-carlos,C. Baleba,M,17,179,22765,M,1199043,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,1073088000,"{'value': 58000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باليبا، كارلوس', 'hi': 'बलेबा, कार्लोस', 'bn': 'বালেবা, কার্লোস'}, 'shortNameTranslation': {'ar': 'ك. باليبا', 'hi': 'सी. बलेबा', 'bn': 'সি. বালেবা'}}",54.0,53.0,,,37.0,38.0,16.0,16.0,6.0,,,71.0,69.0,6.9,5.0,0.0121228,"{'original': 6.9, 'alternative': 6.8}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,6.0,4.0,1.0,1.0,,2.0,0.1745,,3.0,,,3.0,2.0,,1.0,3.0,,,carlos_baleba,,,,0.1669,2.0,,,,,,,,,,,
Mahmoud Dahoud,mahmoud-dahoud,M. Dahoud,M,18,177,1888,M,341589,"{'alpha2': 'SY', 'alpha3': 'SYR', 'name': 'Syria', 'slug': 'syria'}",EUR,820454400,"{'value': 2200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'محمود داوود', 'hi': 'महमूद दाउद', 'bn': 'মাহমুদ দাহৌদ'}, 'shortNameTranslation': {'ar': 'م. داوود', 'hi': 'एम. दाउद', 'bn': 'এম. দাহৌদ'}}",55.0,50.0,1.0,,35.0,35.0,15.0,21.0,7.0,,,71.0,67.0,7.2,11.0,0.0454717,"{'original': 7.2, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,4.0,3.0,,,1.0,2.0,,4.0,,,,2.0,1.0,,,,,,,2.0,1.0,,,2.0,1.0,1.0,,,,,,,,,
Kaoru Mitoma,mitoma-kaoru,K. Mitoma,M,22,178,21430,M,936849,"{'alpha2': 'JP', 'alpha3': 'JPN', 'name': 'Japan', 'slug': 'japan'}",EUR,864086400,"{'value': 28000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميتوما، كاورو', 'hi': 'मिटोमा, काओरू', 'bn': 'মিতোমা, কাওরু'}, 'shortNameTranslation': {'ar': 'ك. ميتوما', 'hi': 'के. काओरू', 'bn': 'কে. মিতোমা'}}",47.0,44.0,,,12.0,12.0,33.0,41.0,4.0,,,90.0,65.0,7.2,13.0,0.342241,"{'original': 7.2, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,3.0,,1.0,,3.0,0.0927,1.0,1.0,,,1.0,1.0,,,,,,KaoruM,4.0,2.0,1.0,,,6.0,1.0,1.0,,,,,,,,
Pascal Groß,pascal-gross,P. Groß,M,13,181,4485,M,48480,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,676944000,"{'value': 4500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باسكال غروس', 'hi': 'पास्कल ग्रोस', 'bn': 'প্যাসকেল গ্রোস'}, 'shortNameTranslation': {'ar': 'ب. غروس', 'hi': 'पी. ग्रोस', 'bn': 'পি. গ্রোস'}}",92.0,78.0,2.0,1.0,39.0,42.0,41.0,56.0,2.0,,,90.0,113.0,7.5,22.0,0.125933,"{'original': 7.5, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,4.0,6.0,,,,2.0,0.1443,2.0,,,,4.0,3.0,2.0,3.0,,,,pascalgross65,2.0,,,,,6.0,,2.0,1.0,1.0,,,,,,
Adam Lallana,adam-lallana,A. Lallana,M,10,172,1265,M,17054,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,579225600,,"{'nameTranslation': {'ar': 'آدم لالانا', 'hi': 'एडम लल्लाना', 'bn': 'অ্যাডাম লাল্লানা'}, 'shortNameTranslation': {'ar': 'آ. لالانا', 'hi': 'ए. लल्लाना', 'bn': 'এ. লাল্লানা'}}",35.0,32.0,,,16.0,16.0,17.0,21.0,1.0,,,58.0,44.0,7.1,8.0,0.187061,"{'original': 7.1, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,2.0,,,,2.0,,2.0,,,,,,2.0,,,,,,1.0,,,,1.0,2.0,1.0,1.0,,,,,,,,
