name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,interceptionWon,totalTackle,wonTackle,wasFouled,keyPass,challengeLost,onTargetScoringAttempt,totalClearance,expectedGoals,expectedGoalsOnTarget,sofascoreId,shotOffTarget,blockedScoringAttempt,bigChanceCreated,dispossessed,wonContest,outfielderBlock,unsuccessfulTouch,fouls,bigChanceMissed,totalOffside,errorLeadToAShot,goalAssist,goals
Alphonse Aréola,alphonse-areola,A. Aréola,G,23,195,3093,M,96531,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,730771200,"{'value': 6500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألفونس أريولا', 'hi': 'अल्फोंस एरियोला', 'bn': 'আলফোনস আরেওলা'}, 'shortNameTranslation': {'ar': 'أ. أريولا', 'hi': 'ए. एरियोला', 'bn': 'এ. আরেওলা'}}",35.0,31.0,7.0,3.0,30.0,33.0,1.0,2.0,5.0,1.0,3.0,90.0,42.0,6.8,4.0,0.00048792,"{'original': 6.8, 'alternative': 6.8}",0,-0.202,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vladimír Coufal,vladimir-coufal,V. Coufal,D,34,179,1643,M,138024,"{'alpha2': 'CZ', 'alpha3': 'CZE', 'name': 'Czechia', 'slug': 'czechia'}",EUR,714441600,"{'value': 2900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فلاديمير كوفال', 'hi': 'व्लादिमीर कुफाल', 'bn': 'ভ্লাদিমির কউফল'}, 'shortNameTranslation': {'ar': 'ف. كوفال', 'hi': 'वी. कुफाल', 'bn': 'ভি. কউফল'}}",70.0,57.0,4.0,1.0,33.0,36.0,25.0,39.0,5.0,,,90.0,104.0,7.1,21.0,0.0401511,"{'original': 7.1, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,5.0,1.0,1.0,1.0,2.0,6.0,1.0,2.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
Kurt Zouma,kurt-zouma,K. Zouma,D,4,190,2242,M,139227,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,783216000,"{'value': 8500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كورت زوما', 'hi': 'कर्ट ज़ौमा', 'bn': 'কার্ট জৌমা'}, 'shortNameTranslation': {'ar': 'ك. زوما', 'hi': 'के. ज़ौमा', 'bn': 'কে. জৌমা'}}",76.0,66.0,8.0,2.0,48.0,52.0,18.0,24.0,5.0,,,90.0,82.0,6.7,10.0,0.00463654,"{'original': 6.7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,,,2.0,4.0,3.0,4.0,,,,,,,1.0,1.0,4.0,0.0124,0.0431,,,,,,,,,,,,,,
Nayef Aguerd,nayef-aguerd,N. Aguerd,D,21,188,26523,M,877102,"{'alpha2': 'MA', 'alpha3': 'MAR', 'name': 'Morocco', 'slug': 'morocco'}",EUR,828144000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نايف أكرد', 'hi': 'नायेफ़ अगुएर्ड', 'bn': 'নায়েফ আগুয়ের্ড'}, 'shortNameTranslation': {'ar': 'ن. أكرد', 'hi': 'एन. अगुएर्ड', 'bn': 'এন. আগুয়ের্ড'}}",93.0,71.0,16.0,4.0,54.0,60.0,17.0,33.0,11.0,,,90.0,110.0,7.3,22.0,0.00743892,"{'original': 7.3, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,2.0,4.0,2.0,8.0,,3.0,4.0,3.0,,,,,4.0,0.0868,,nayefaguard,1.0,1.0,,,,,,,,,,,
Aaron Cresswell,aaron-cresswell,A. Cresswell,D,3,170,784,M,43443,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,629683200,"{'value': 480000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آرون كريسويل', 'hi': 'आरोन क्रेसवेल', 'bn': 'অ্যারন ক্রেসওয়েল'}, 'shortNameTranslation': {'ar': 'آ. كريسويل', 'hi': 'ए. क्रेसवेल', 'bn': 'এ. ক্রেসওয়েল'}}",57.0,49.0,3.0,2.0,28.0,31.0,23.0,28.0,4.0,,,85.0,74.0,7.3,8.0,0.148024,"{'original': 7.3, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,2.0,1.0,1.0,1.0,4.0,,,1.0,,2.0,1.0,,,2.0,,,,,,1.0,,,,,,,,,,
Edson Álvarez,edson-alvarez,E. Álvarez,M,11,190,10874,M,847151,"{'alpha2': 'MX', 'alpha3': 'MEX', 'name': 'Mexico', 'slug': 'mexico'}",EUR,877651200,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيدسون ألفاريز', 'hi': 'एडसन अल्वारेज़', 'bn': 'এডসন আলভারেজ'}, 'shortNameTranslation': {'ar': 'إ. ألفاريز', 'hi': 'ई. अल्वारेज़', 'bn': 'ই. আলভারেজ'}}",77.0,67.0,10.0,6.0,36.0,37.0,31.0,40.0,7.0,,,90.0,96.0,7.1,13.0,0.024874,"{'original': 7.1, 'alternative': 7.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,2.0,,4.0,5.0,1.0,,4.0,1.0,,,,,1.0,0.0455,,EdsonAlvarez19,2.0,,,1.0,1.0,1.0,2.0,1.0,,,,,
James Ward-Prowse,james-ward-prowse,J. Ward-Prowse,M,8,177,4283,M,161717,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,783648000,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس وارد-براوس', 'hi': 'जेम्स वार्ड-प्रोव्स', 'bn': 'জেমস ওয়ার্ড-প্রোস'}, 'shortNameTranslation': {'ar': 'ج. وارد-براوس', 'hi': 'जे. वार्ड-प्रोव्स', 'bn': 'জে. ওয়ার্ড-প্রোস'}}",57.0,52.0,1.0,1.0,28.0,29.0,26.0,30.0,5.0,,,73.0,64.0,7.0,6.0,0.0884108,"{'original': 7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,2.0,,,3.0,,,,,,,3.0,,,2.0,,,prowsey16,,,,1.0,,,,2.0,,,,,
Jarrod Bowen,jarrod-bowen,J. Bowen,M,20,174,8771,M,552884,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,851040000,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جارود بوين', 'hi': 'जारोड बोवेन', 'bn': 'জারড বোয়েন'}, 'shortNameTranslation': {'ar': 'ج. بوين', 'hi': 'जे. बोवेन', 'bn': 'জে. বোয়েন'}}",21.0,16.0,1.0,,5.0,5.0,11.0,20.0,5.0,,,90.0,55.0,7.0,18.0,0.0549683,"{'original': 7, 'alternative': 6.6}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,4.0,,3.0,,10.0,8.0,6.0,3.0,1.0,,3.0,1.0,1.0,,,0.3732,,jarrodbowen,3.0,1.0,,4.0,4.0,1.0,2.0,,1.0,,,,
Mohammed Kudus,mohammed-kudus,M. Kudus,M,20,176,89694,M,905163,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,965174400,"{'value': 60000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'محمد قدوس', 'hi': 'मोहम्मद कुडूस', 'bn': 'মোহাম্মদ কুদুস'}, 'shortNameTranslation': {'ar': 'م. قدوس', 'hi': 'एम. कुडूस', 'bn': 'এম. কুদুস'}}",47.0,43.0,5.0,5.0,15.0,15.0,28.0,33.0,9.0,,,90.0,75.0,6.3,20.0,0.0993206,"{'original': 6.3, 'alternative': 5.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,,1.0,1.0,14.0,7.0,6.0,,1.0,,1.0,,1.0,,,,,Kudus,,,,8.0,4.0,,3.0,2.0,,1.0,,,
Lucas Paquetá,lucas-paqueta,L. Paquetá,M,10,180,54701,M,839981,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,872640000,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكاس باكيتا', 'hi': 'लुकास पेकटा', 'bn': 'লুকাস পাকেতা'}, 'shortNameTranslation': {'ar': 'ل. باكيتا', 'hi': 'एल. पेकटा', 'bn': 'এল. পাকেতা'}}",59.0,44.0,5.0,3.0,15.0,18.0,30.0,45.0,3.0,,,90.0,80.0,6.9,24.0,0.118311,"{'original': 6.9, 'alternative': 6.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,4.0,1.0,3.0,1.0,10.0,7.0,5.0,,1.0,,1.0,2.0,2.0,,,0.1153,,Paqueta,2.0,,,4.0,4.0,,1.0,,,,1.0,,
