name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateLongBalls,goalAssist,accurateOppositionHalfPasses,totalCross,accurateCross,aerialLost,duelLost,challengeLost,dispossessed,totalContest,wonContest,bigChanceCreated,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,interceptionWon,totalTackle,unsuccessfulTouch,wasFouled,fouls,expectedGoals,expectedGoalsOnTarget,keyPass,firstName,lastName,goals,outfielderBlock,lastManTackle,wonTackle,errorLeadToAGoal,hitWoodwork,totalOffside,bigChanceMissed,punches,clearanceOffLine
Guglielmo Vicario,guglielmo-vicario,G. Vicario,G,1,194,7041,M,guglielmovicario,553606,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,844646400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيكاريو غولييلمو', 'hi': 'गुग्लिल्मो विकारियो', 'bn': 'উইলিয়াম দ্য ভিকারিও'}, 'shortNameTranslation': {'ar': 'ف. غولييلمو', 'hi': 'जी. विकारियो', 'bn': 'জি. ভিকারিও'}}",30.0,29.0,1.0,29.0,29.0,1.0,2.0,2.0,4.0,5.0,1.0,2.0,3.0,90.0,42.0,7.0,1.0,8.12e-05,"{'original': 7, 'alternative': 6.5}",0,1.0407,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro Porro,pedro-porro,P. Porro,D,23,173,11089,M,pedroporro29,913654,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,937180800,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيدرو بورو', 'hi': 'पेड्रो पोरो', 'bn': 'পেড্রো পোরো'}, 'shortNameTranslation': {'ar': 'ب. بورو', 'hi': 'पी. पोरो', 'bn': 'পি. পোরো'}}",62.0,52.0,5.0,18.0,19.0,62.0,,5.0,,7.0,,,,90.0,108.0,8.3,30.0,0.453405,"{'original': 8.3, 'alternative': 7.6}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,1.0,38.0,19.0,4.0,1.0,7.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,0.168,0.2901,5.0,,,,,,,,,,,,
Cristian Romero,cristian-romero,C. Romero,D,17,185,37279,M,cutiromero2,829932,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,893635200,"{'value': 56000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان روميرو', 'hi': 'क्रिस्टियन रोमेरो', 'bn': 'ক্রিশ্চিয়ান রোমেরো'}, 'shortNameTranslation': {'ar': 'ك. روميرو', 'hi': 'सी. रोमेरो', 'bn': 'সি. রোমেরো'}}",108.0,101.0,3.0,48.0,52.0,56.0,2.0,4.0,2.0,10.0,,,,90.0,122.0,8.3,8.0,0.0917495,"{'original': 8.3, 'alternative': 8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,53.0,,,,1.0,,,,,,1.0,1.0,,1.0,2.0,1.0,,1.0,0.2687,0.5496,1.0,,,1.0,1.0,1.0,2.0,,,,,,
Ben Davies,ben-davies,B. Davies,D,33,181,2694,M,,94758,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,735609600,"{'value': 4600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بين ديفيز', 'hi': 'बेन डेविस', 'bn': 'বেন ডেভিস'}, 'shortNameTranslation': {'ar': 'ب. ديفيز', 'hi': 'बी. डेविस', 'bn': 'বি. ডেভিস'}}",76.0,74.0,,37.0,39.0,37.0,1.0,4.0,2.0,4.0,,,,90.0,85.0,6.9,3.0,0.0700885,"{'original': 6.9, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,37.0,,,4.0,5.0,,,,,,,,,1.0,2.0,1.0,1.0,1.0,,,1.0,,,,,,2.0,,,,,,
Destiny Udogie,destiny-udogie,D. Udogie,D,13,186,5987,M,udogiethree,983572,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,1038441600,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديستيني أودوجي', 'hi': 'डेस्टिनी उडोगी', 'bn': 'ডেসটিনি উদোগি'}, 'shortNameTranslation': {'ar': 'د. أودوجي', 'hi': 'डी. उडोगी', 'bn': 'ডি. উদোগি'}}",50.0,43.0,,19.0,20.0,30.0,3.0,8.0,3.0,7.0,,,,90.0,72.0,6.6,11.0,0.0479403,"{'original': 6.6, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,24.0,,,,3.0,1.0,1.0,1.0,1.0,,,,,4.0,2.0,2.0,2.0,1.0,,,,,,,,,1.0,1.0,,,,,
Yves Bissouma,yves-bissouma,Y. Bissouma,M,8,181,14766,M,YB8,844842,"{'alpha2': 'ML', 'alpha3': 'MLI', 'name': 'Mali', 'slug': 'mali'}",EUR,841363200,"{'value': 13800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيف بيسوما', 'hi': 'यवेस बिसौमा', 'bn': 'ইয়েভেস বিসুমা'}, 'shortNameTranslation': {'ar': 'إ. بيسوما', 'hi': 'वाई. बिसौमा', 'bn': 'ওয়াই. বিসুমা'}}",119.0,112.0,1.0,32.0,34.0,85.0,,3.0,1.0,5.0,,,,84.0,130.0,7.4,8.0,0.134261,"{'original': 7.4, 'alternative': 7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,80.0,,,1.0,4.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,2.0,,,1.0,0.2179,,1.0,,,,,,1.0,,,,,,
Pierre-Emile Højbjerg,pierre-emile-hojbjerg,P. Højbjerg,M,8,185,4466,M,hojbjerg23,149593,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,807580800,"{'value': 18100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيير إيميل هويبيرج', 'hi': 'पियरे-एमिले होजबर्ज', 'bn': 'পিয়েরে-এমিল হজবজের্গ'}, 'shortNameTranslation': {'ar': 'ب. هويبيرج', 'hi': 'पी. होजबर्ज', 'bn': 'পি. হজবজের্গ'}}",100.0,93.0,4.0,25.0,25.0,75.0,2.0,2.0,,5.0,,,,67.0,109.0,7.4,10.0,0.15127,"{'original': 7.4, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,,68.0,,,,2.0,,1.0,,,,,,,,,2.0,,1.0,,,,,,,1.0,,,,,,,,
Dejan Kulusevski,dejan-kulusevski,D. Kulusevski,M,21,186,12068,M,dejan_k10,928124,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,956620800,"{'value': 44000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديان كولوسيفسكي', 'hi': 'देजान कुलुसेवस्की', 'bn': 'দেজান কুলুসেভস্কি'}, 'shortNameTranslation': {'ar': 'د. كولوسيفسكي', 'hi': 'डी. कुलुसेवस्की', 'bn': 'ডি. কুলুসেভস্কি'}}",65.0,60.0,1.0,10.0,11.0,58.0,,6.0,,6.0,,,,90.0,99.0,7.0,26.0,0.347117,"{'original': 7, 'alternative': 6.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,50.0,4.0,,,16.0,,6.0,9.0,2.0,,,1.0,,2.0,4.0,4.0,,4.0,0.0547,,3.0,,,,,,2.0,,,,,,
Giovani Lo Celso,lo-celso-giovani,G. Lo Celso,M,20,177,16348,M,locelso_giovani,798835,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,829008000,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيوفاني لو سيلسو', 'hi': 'लो सेल्सो, जियोवानी', 'bn': 'লো সেলসো, জিওভানি'}, 'shortNameTranslation': {'ar': 'ج. لو سيلسو', 'hi': 'जी. सेल्सो,', 'bn': 'জি. লো সেলসো'}}",61.0,55.0,2.0,8.0,8.0,54.0,,5.0,,4.0,,,,67.0,75.0,7.9,9.0,0.337609,"{'original': 7.9, 'alternative': 7.5}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,47.0,1.0,,1.0,2.0,,1.0,,,,1.0,1.0,1.0,,1.0,,4.0,,0.1675,0.0683,3.0,,,,,,1.0,,1.0,,,,
Brennan Johnson,brennan-johnson,B. Johnson,F,22,186,9634,M,brenjohnson_,1085180,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,990576000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برينان جونسون', 'hi': 'ब्रेनन जॉनसन', 'bn': 'ব্রেনান জনসন'}, 'shortNameTranslation': {'ar': 'ب. جونسون', 'hi': 'बी. जॉनसन', 'bn': 'বি. জনসন'}}",33.0,29.0,,6.0,6.0,29.0,,2.0,,5.0,,,,84.0,46.0,7.8,7.0,0.10579,"{'original': 7.8, 'alternative': 7.4}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,23.0,2.0,,1.0,1.0,,,2.0,2.0,,2.0,2.0,1.0,,,1.0,,,0.4415,0.0694,2.0,,,,,,,,,1.0,,,
