name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltySave,penaltyFaced,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialWon,duelLost,duelWon,challengeLost,dispossessed,bigChanceCreated,shotOffTarget,totalClearance,outfielderBlock,interceptionWon,totalTackle,possessionLostCtrl,expectedGoals,keyPass,totalLongBalls,aerialLost,blockedScoringAttempt,unsuccessfulTouch,accurateLongBalls,accurateCross,wonTackle,wasFouled,fouls,totalContest,wonContest,onTargetScoringAttempt,expectedGoalsOnTarget,penaltyConceded,bigChanceMissed,hitWoodwork,firstName,lastName,goals,penaltyWon,goalAssist,totalOffside,penaltyMiss
David Raya,david-raya,D. Raya,G,1,183,25247,M,d_raya1,581310,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,811123200,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديفيد رايا', 'hi': 'डेविड राया', 'bn': 'ডেভিড রায়া'}, 'shortNameTranslation': {'ar': 'د. رايا', 'hi': 'डी. राया', 'bn': 'ডি. রায়া'}}",17.0,17.0,16.0,16.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,24.0,7.0,0.00014129,"{'original': 7, 'alternative': 6.8}",0,0.3011,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben White,benjamin-white,B. White,D,4,186,13312,M,benwhite,846036,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,876268800,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بنيامين وايت', 'hi': 'बेंजामिन व्हाइट', 'bn': 'বেঞ্জামিন হোয়াইট'}, 'shortNameTranslation': {'ar': 'ب. وايت', 'hi': 'बी. व्हाइट', 'bn': 'বি. হোয়াইট'}}",82.0,78.0,15.0,15.0,63.0,70.0,3.0,,,,,,,,90.0,94.0,7.5,0.510344,"{'original': 7.5, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,8.0,0.103,1.0,,,,,,,,,,,,,,,,,,,,,,,
William Saliba,william-saliba,W. Saliba,D,2,193,43547,M,WSaliba4,941168,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,985392000,"{'value': 85000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويليام صاليبا', 'hi': 'विलियम सलीबा', 'bn': 'উইলিয়াম সালিবা'}, 'shortNameTranslation': {'ar': 'و. صاليبا', 'hi': 'डब्लू. सलीबा', 'bn': 'ডব্লিউ. সালিবা'}}",89.0,84.0,46.0,47.0,38.0,42.0,8.0,,,,,,,,90.0,93.0,7.0,0.0419814,"{'original': 7, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,2.0,3.0,,,,,,1.0,,,6.0,0.0963,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
Gabriel Magalhães,gabriel-magalhaes,Gabriel,D,6,190,45357,M,GabrielMagalhães,869792,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,882489600,"{'value': 70000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غابرييل ماغاليس', 'hi': 'गेब्रियल मैगलहेस', 'bn': 'গ্যাব্রিয়েল ম্যাগালহায়েস'}, 'shortNameTranslation': {'ar': 'غابرييل', 'hi': 'गेब्रियल मैगलहेस', 'bn': 'গ্যাব্রিয়েল'}}",92.0,82.0,29.0,35.0,54.0,59.0,9.0,,,,,,,,90.0,107.0,7.6,0.100089,"{'original': 7.6, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,6.0,1.0,9.0,,,,1.0,4.0,,2.0,1.0,11.0,0.1921,,4.0,1.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
Oleksandr Zinchenko,oleksandr-zinchenko,O. Zinchenko,D,35,175,17817,M,OZinchenko,287643,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,850608000,"{'value': 15500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوليكساندر زينتشينكو', 'hi': 'ओलेक्सांद्र ज़िनचेंको', 'bn': 'অলেক্সান্ডার জিনচেনকো'}, 'shortNameTranslation': {'ar': 'أ. زينتشينكو', 'hi': 'ओ. ज़िनचेंको', 'bn': 'ও. জিনচেনকো'}}",66.0,60.0,15.0,15.0,45.0,52.0,3.0,,,,,,,,64.0,77.0,6.8,0.300191,"{'original': 6.8, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,3.0,6.0,4.0,2.0,1.0,,,1.0,,,1.0,8.0,,2.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,
Martin Ødegaard,martin-odegaard,M. Ødegaard,M,8,178,81763,M,Ødegaard,547410,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,913852800,"{'value': 82000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارتن أوديغارد', 'hi': 'मार्टिन ओडेगार्ड', 'bn': 'মার্টিন ওডেগার্ড'}, 'shortNameTranslation': {'ar': 'م. أوديغارد', 'hi': 'एम. ओडेगार्ड', 'bn': 'এম. ওডেগার্ড'}}",81.0,70.0,7.0,7.0,66.0,80.0,2.0,,,,,,,,90.0,109.0,8.0,1.01013,"{'original': 8, 'alternative': 7.4}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,6.0,,8.0,3.0,,2.0,1.0,1.0,,,,1.0,25.0,0.0888,6.0,4.0,,1.0,4.0,1.0,3.0,,1.0,1.0,6.0,1.0,1.0,0.1705,,,,,,,,,,
Declan Rice,declan-rice,D. Rice,M,41,188,60954,M,DeclanRice,856714,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,916272000,"{'value': 114000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديكلان رايس', 'hi': 'डेक्लान राइस', 'bn': 'ডেক্লান রাইস'}, 'shortNameTranslation': {'ar': 'د. رايس', 'hi': 'डी. राइस', 'bn': 'ডি. রাইস'}}",107.0,100.0,24.0,26.0,76.0,82.0,5.0,,,,,,,,90.0,120.0,7.3,0.0901728,"{'original': 7.3, 'alternative': 7.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,4.0,2.0,9.0,,,,1.0,1.0,,1.0,4.0,10.0,0.0626,2.0,2.0,1.0,1.0,2.0,,,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,
Leandro Trossard,leandro-trossard,L. Trossard,F,19,172,31309,M,leandrotrossard,135666,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,786499200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لياندرو تروسارد', 'hi': 'लिएंड्रो ट्रोसार्ड', 'bn': 'লিয়েন্দ্রো ট্রসার্ড'}, 'shortNameTranslation': {'ar': 'ل. تروسارد', 'hi': 'एल. ट्रोसार्ड', 'bn': 'এল. ট্রসার্ড'}}",46.0,35.0,9.0,11.0,26.0,37.0,6.0,,,,,,,,79.0,66.0,7.0,0.105096,"{'original': 7, 'alternative': 6.7}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,3.0,3.0,,1.0,,3.0,,,,3.0,17.0,0.8497,1.0,1.0,,1.0,2.0,1.0,,1.0,,1.0,1.0,,1.0,0.1173,,1.0,,,,,,,,
Bukayo Saka,bukayo-saka,B. Saka,F,7,178,187094,M,BSaka7,934235,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,999648000,"{'value': 136000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوكايو ساكا', 'hi': 'बुकायो साका', 'bn': 'বুকায়ো সাকা'}, 'shortNameTranslation': {'ar': 'ب. ساكا', 'hi': 'बी. साका', 'bn': 'বি. সাকা'}}",62.0,57.0,1.0,2.0,58.0,68.0,2.0,,,,,,,,90.0,98.0,7.2,0.565365,"{'original': 7.2, 'alternative': 6.8}",9,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,8.0,,11.0,5.0,2.0,2.0,1.0,1.0,,,,3.0,19.0,0.5926,4.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,1.0,3.0,0.4687,,2.0,1.0,,,,,,,
Gabriel Jesus,gabriel-jesus,G. Jesus,F,9,175,76694,M,GabrielJesus,794839,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,860025600,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غابرييل جيسوس', 'hi': 'गेब्रियल जीसस', 'bn': 'গ্যাব্রিয়েল জেসুস'}, 'shortNameTranslation': {'ar': 'ج. جيسوس', 'hi': 'जी. जीसस', 'bn': 'জি. জেসুস'}}",39.0,36.0,6.0,7.0,30.0,32.0,2.0,,,,,,,,90.0,62.0,7.3,0.26155,"{'original': 7.3, 'alternative': 6.9}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,6.0,,1.0,1.0,2.0,2.0,,1.0,2.0,9.0,0.4626,4.0,,1.0,,5.0,,,1.0,4.0,,,,1.0,0.2912,,2.0,,,,,,,,
