name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialWon,duelLost,duelWon,challengeLost,shotOffTarget,blockedScoringAttempt,outfielderBlock,interceptionWon,totalTackle,wonTackle,fouls,expectedGoals,aerialLost,bigChanceCreated,onTargetScoringAttempt,unsuccessfulTouch,wasFouled,expectedGoalsOnTarget,keyPass,bigChanceMissed,goals,totalOffside,totalCross,dispossessed,totalContest,wonContest,firstName,lastName,goalAssist,accurateCross,errorLeadToAGoal,hitWoodwork,errorLeadToAShot
Jordan Pickford,jordan-pickford,J. Pickford,G,1,185,7467,M,jpickford1,138530,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,762998400,"{'value': 16100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان بيكفورد', 'hi': 'जॉर्डन पिकफोर्ड', 'bn': 'জর্ডান পিকফোর্ড'}, 'shortNameTranslation': {'ar': 'ج. بيكفورد', 'hi': 'जे. पिकफोर्ड', 'bn': 'জে.পিকফোর্ড'}}",29.0,9.0,27.0,7.0,2.0,2.0,7.0,27.0,1.0,13.0,3.0,6.0,7.0,1.0,90.0,42.0,8.8,20.0,0.00576134,"{'original': 8.8, 'alternative': 8.8}",0,1.2524,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Godfrey,ben-godfrey,B. Godfrey,D,22,183,591,M,,754698,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,884822400,"{'value': 5100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن غودفري', 'hi': 'बेन गॉडफ्रे', 'bn': 'বেন গডফ্রে'}, 'shortNameTranslation': {'ar': 'ب. غودفري', 'hi': 'बी. गॉडफ्रे', 'bn': 'বি. গডফ্রে'}}",12.0,8.0,1.0,,5.0,5.0,3.0,7.0,6.0,3.0,,,,,90.0,42.0,7.9,8.0,0.00995632,"{'original': 7.9, 'alternative': 7.7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,2.0,4.0,1.0,1.0,2.0,2.0,5.0,2.0,1.0,1.0,0.2351,,,,,,,,,,,,,,,,,,,,,
James Tarkowski,james-tarkowski,J. Tarkowski,D,6,185,2332,M,,145188,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,722131200,"{'value': 7200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس تاركوفسكي', 'hi': 'जेम्स टार्कोव्स्की', 'bn': 'জেমস তারকোভস্কি'}, 'shortNameTranslation': {'ar': 'ج. تاركوفسكي', 'hi': 'जे. टार्कोव्स्की', 'bn': 'জে. তারকোভস্কি'}}",17.0,14.0,2.0,,12.0,12.0,2.0,5.0,9.0,4.0,,,,,90.0,40.0,8.3,5.0,0.299798,"{'original': 8.3, 'alternative': 8.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,3.0,4.0,7.0,,,,,5.0,3.0,3.0,2.0,0.0274,2.0,1.0,1.0,1.0,1.0,0.0772,1.0,,,,,,,,,,,,,,
Jarrad Branthwaite,jarrad-branthwaite,J. Branthwaite,D,32,195,2559,M,,979563,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1025136000,"{'value': 46000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاراد برانثويت', 'hi': 'जेर्राड ब्रैंथवेट', 'bn': 'জারাদ ব্র্যানথওয়েট'}, 'shortNameTranslation': {'ar': 'ج. برانثويت', 'hi': 'जे. ब्रैंथवेट', 'bn': 'জে. ব্র্যানথওয়েট'}}",18.0,10.0,9.0,3.0,8.0,12.0,2.0,6.0,8.0,5.0,,,,,90.0,35.0,8.2,8.0,0.00201267,"{'original': 8.2, 'alternative': 8.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,1.0,3.0,,1.0,,4.0,,1.0,1.0,,0.1497,1.0,,1.0,,,0.3735,,1.0,1.0,1.0,,,,,,,,,,,
Vitaliy Mykolenko,vitaliy-mykolenko,V. Mykolenko,D,16,180,4121,M,mikola_16,876643,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,927936000,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتالي ميكولينكو', 'hi': 'विटाली मायकोलेंको', 'bn': 'ভিটালি মাইকোলেনকো'}, 'shortNameTranslation': {'ar': 'ف. ميكولينكو', 'hi': 'वी. मायकोलेंको', 'bn': 'ভি. মাইকোলেনকো'}}",12.0,8.0,6.0,3.0,3.0,6.0,5.0,6.0,3.0,3.0,,,,,45.0,19.0,6.8,4.0,0.00481623,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Harrison,jack-harrison,J. Harrison,M,20,175,1080,M,,829570,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,848448000,"{'value': 10800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك هاريسون', 'hi': 'जैक हैरिसन', 'bn': 'জ্যাক হ্যারিসন'}, 'shortNameTranslation': {'ar': 'ج. هاريسون', 'hi': 'जे. हैरिसन', 'bn': 'জে. হ্যারিসন'}}",26.0,15.0,9.0,2.0,6.0,8.0,9.0,19.0,4.0,11.0,,,,,90.0,56.0,7.3,21.0,0.0850483,"{'original': 7.3, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,7.0,11.0,2.0,1.0,,2.0,,2.0,1.0,1.0,0.1174,1.0,,,5.0,2.0,,5.0,1.0,,,1.0,1.0,8.0,6.0,,,,,,,
James Garner,james-garner,J. Garner,M,37,182,2524,M,,927361,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,984441600,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس غارنر', 'hi': 'जेम्स गार्नर', 'bn': 'জেমস গার্নার'}, 'shortNameTranslation': {'ar': 'ج. غارنر', 'hi': 'जे. गार्नर', 'bn': 'জে. গার্নার'}}",14.0,9.0,1.0,,2.0,3.0,7.0,11.0,,7.0,,,,,90.0,24.0,7.3,6.0,0.00168653,"{'original': 7.3, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,6.0,,,,1.0,2.0,2.0,2.0,,,,,,,2.0,,,,,,,,1.0,1.0,,,,,,,
Idrissa Gueye,idrissa-gueye,I. Gueye,M,27,174,17031,M,iganagueye,106337,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,622771200,"{'value': 970000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إدريسا غاي', 'hi': 'इद्रिसा गुये', 'bn': 'ইদ্রিসা গুইয়ে'}, 'shortNameTranslation': {'ar': 'إ. غاي', 'hi': 'आई. गुये', 'bn': 'আই. গুইয়ে'}}",28.0,24.0,3.0,1.0,15.0,17.0,9.0,11.0,3.0,9.0,,,,,75.0,41.0,7.2,7.0,0.0042616,"{'original': 7.2, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,2.0,5.0,,,,1.0,,,,1.0,0.0362,,,1.0,2.0,2.0,0.4299,,,,,,1.0,1.0,1.0,,,,,,,
Dwight McNeil,dwight-mcneil,D. McNeil,M,7,183,2030,M,,935543,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,943228800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوايت مكنيل', 'hi': 'ड्वाइट मैकनील', 'bn': 'ডোয়াইট ম্যাকনিল'}, 'shortNameTranslation': {'ar': 'د. مكنيل', 'hi': 'डी. मैकनील', 'bn': 'ডি. ম্যাকনিল'}}",25.0,17.0,8.0,5.0,5.0,10.0,17.0,22.0,2.0,4.0,,,,,90.0,50.0,8.1,18.0,0.351433,"{'original': 8.1, 'alternative': 7.9}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,5.0,2.0,,,2.0,,,1.0,1.0,1.0,0.1493,,2.0,1.0,3.0,1.0,0.2871,5.0,,,,7.0,2.0,2.0,,Dwight,McNeil,1.0,5.0,,,
Abdoulaye Doucouré,abdoulaye-doucoure,A. Doucouré,M,8,182,1300,M,,96535,"{'alpha2': 'ML', 'alpha3': 'MLI', 'name': 'Mali', 'slug': 'mali'}",EUR,725846400,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'عبدالله دوكوري', 'hi': 'अब्दुलाये डौकोरे', 'bn': 'আবদুলায়ে ডকোরে'}, 'shortNameTranslation': {'ar': 'ع. دوكوري', 'hi': 'ए. डौकोरे', 'bn': 'এ. ডকোরে'}}",22.0,13.0,1.0,,6.0,9.0,8.0,14.0,1.0,3.0,,,,,90.0,28.0,6.7,9.0,0.0928165,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,3.0,3.0,2.0,1.0,,,,,,,0.2115,1.0,1.0,,,,,1.0,1.0,,,1.0,,2.0,2.0,,,,1.0,,,
