name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,ballRecovery,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,totalContest,wonContest,outfielderBlock,keyPass,duelLost,totalClearance,totalTackle,wonTackle,fouls,goalAssist,aerialLost,bigChanceCreated,shotOffTarget,onTargetScoringAttempt,interceptionWon,expectedGoals,expectedGoalsOnTarget,blockedScoringAttempt,unsuccessfulTouch,totalOffside,challengeLost,dispossessed,goals,lastManTackle,hitWoodwork,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,errorLeadToAGoal
Dean Henderson,,,dean-henderson,D. Henderson,G,1,188,5014,M,deanhenderson,788134,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,858124800,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دين هندرسون', 'hi': 'डीन हेंडरसन', 'bn': 'ডিন হেন্ডারসন'}, 'shortNameTranslation': {'ar': 'د. هندرسون', 'hi': 'डी. हेंडरसन', 'bn': 'ডি. হেন্ডারসন'}}",31.0,20.0,16.0,6.0,16.0,17.0,4.0,14.0,1.0,1.0,11.0,1.0,1.0,2.0,90.0,42.0,7.1,12.0,0.00182025,"{'original': 7.1, 'alternative': 7.3}",0,0.3749,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathaniel Clyne,,,nathaniel-clyne,N. Clyne,D,17,175,674,M,,43215,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,670809600,"{'value': 465000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثانييل كلاين', 'hi': 'नाथनियल क्लाइन', 'bn': 'নাথানিয়েল ক্লাইন'}, 'shortNameTranslation': {'ar': 'ن. كلاين', 'hi': 'एन. क्लाइन', 'bn': 'এন. ক্লাইন'}}",32.0,28.0,1.0,,15.0,17.0,14.0,16.0,1.0,2.0,4.0,,,,78.0,38.0,7.0,4.0,0.07891,"{'original': 7, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Joachim Andersen,,,joachim-andersen,J. Andersen,D,5,190,2408,M,,362682,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,833500800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يواكيم أندرسن', 'hi': 'जोआचिम एंडरसन', 'bn': 'জোয়াকিম অ্যান্ডারসেন'}, 'shortNameTranslation': {'ar': 'ي. أندرسن', 'hi': 'जे. एंडरसन', 'bn': 'জে. অ্যান্ডারসেন'}}",62.0,47.0,14.0,4.0,32.0,39.0,15.0,24.0,1.0,2.0,5.0,,,,90.0,68.0,6.8,16.0,0.00560567,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,1.0,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Chris Richards,,,chris-richards,C. Richards,D,26,188,2004,M,,931844,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,954201600,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريس ريتشاردز', 'hi': 'क्रिस रिचर्ड्स', 'bn': 'ক্রিস রিচার্ডস'}, 'shortNameTranslation': {'ar': 'ك. ريتشاردز', 'hi': 'सी. रिचर्ड्स', 'bn': 'সি. রিচার্ডস'}}",50.0,42.0,6.0,3.0,29.0,32.0,13.0,18.0,2.0,4.0,7.0,,,,90.0,62.0,8.2,8.0,0.003012,"{'original': 8.2, 'alternative': 8.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,1.0,1.0,1.0,4.0,2.0,2.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.0719,0.2844,,,,,,,,,,,,
Daniel Muñoz,,,daniel-munoz,D. Muñoz,M,2,183,11977,M,daniel.chitiva,870360,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833068800,"{'value': 28000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانييل مونوز', 'hi': 'डैनियल मुनोज़', 'bn': 'ড্যানিয়েল মুনোজ'}, 'shortNameTranslation': {'ar': 'د. مونوز', 'hi': 'डी. मुनोज़', 'bn': 'ডি. মুনোজ'}}",52.0,41.0,4.0,3.0,16.0,20.0,26.0,33.0,,6.0,6.0,,,,90.0,88.0,8.2,16.0,0.102126,"{'original': 8.2, 'alternative': 8.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,1.0,1.0,,3.0,6.0,,5.0,1.0,4.0,2.0,2.0,,,,1.0,0.111,,1.0,3.0,1.0,,,,,,,,,
Adam Wharton,,,adam-wharton,A. Wharton,M,20,182,5314,M,,1109771,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1076025600,"{'value': 63000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آدم وارتون', 'hi': 'एडम व्हार्टन', 'bn': 'অ্যাডাম ওয়ার্টন'}, 'shortNameTranslation': {'ar': 'أ. وارتون', 'hi': 'ए. व्हार्टन', 'bn': 'এ. ওয়ার্টন'}}",34.0,24.0,4.0,,8.0,10.0,16.0,26.0,1.0,6.0,4.0,1.0,,,90.0,48.0,7.2,13.0,0.0702564,"{'original': 7.2, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,,,,1.0,3.0,1.0,4.0,2.0,,,1.0,,,,3.0,,,,,,1.0,1.0,,,,,,,
Will Hughes,,,will-hughes,W. Hughes,M,19,185,1013,M,,193554,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,798076800,"{'value': 5500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويل هيوز', 'hi': 'विल ह्यूजेस', 'bn': 'উইল হিউজেস'}, 'shortNameTranslation': {'ar': 'و. هيوز', 'hi': 'डब्ल्यू. ह्यूजेस', 'bn': 'ডব্লিউ. হিউজেস'}}",21.0,18.0,1.0,,10.0,11.0,8.0,10.0,,2.0,5.0,,,,68.0,31.0,7.0,5.0,0.0116045,"{'original': 7, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,1.0,,3.0,,2.0,1.0,2.0,,1.0,,,1.0,2.0,0.0238,0.0619,,2.0,,,,,,,,,,
Tyrick Mitchell,,,tyrick-mitchell,T. Mitchell,M,3,174,1365,M,,988275,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,936144000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيريك ميتشل', 'hi': 'टायरिक मिशेल', 'bn': 'টাইরিক মিচেল'}, 'shortNameTranslation': {'ar': 'ت. ميتشل', 'hi': 'टी. मिशेल', 'bn': 'টি. মিচেল'}}",32.0,26.0,2.0,2.0,7.0,9.0,20.0,25.0,,3.0,6.0,,,,90.0,52.0,7.8,11.0,0.121302,"{'original': 7.8, 'alternative': 7.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,1.0,3.0,1.0,,2.0,5.0,1.0,2.0,1.0,2.0,,,,,2.0,,0.5476,0.3467,,2.0,,1.0,,1.0,1.0,,,,,
Michael Olise,,,michael-olise,M. Olise,M,17,185,65968,M,MOlise,978838,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1008115200,"{'value': 125000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايكل أوليس', 'hi': 'माइकल ओलिस', 'bn': 'মাইকেল ওলিস'}, 'shortNameTranslation': {'ar': 'م. أوليس', 'hi': 'एम. ओलिस', 'bn': 'এম. ওলিস'}}",37.0,36.0,3.0,3.0,7.0,8.0,30.0,34.0,,2.0,4.0,1.0,,,85.0,64.0,8.7,14.0,0.133843,"{'original': 8.7, 'alternative': 8.5}",6,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,5.0,1.0,5.0,1.0,,2.0,10.0,,,,1.0,,1.0,,,3.0,2.0,0.5755,0.4944,3.0,2.0,,1.0,3.0,2.0,,,,,,
Eberechi Eze,,,eberechi-eze,E. Eze,F,10,178,55112,M,eze,864921,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,899078400,"{'value': 69000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيبيريشي إيز', 'hi': 'एबेरची ईज़े', 'bn': 'ইবেরেচি এজ'}, 'shortNameTranslation': {'ar': 'إ. إيز', 'hi': 'ई. ईज़े', 'bn': 'ই. এজ'}}",27.0,21.0,2.0,2.0,9.0,9.0,13.0,20.0,,10.0,2.0,2.0,,,85.0,52.0,7.6,16.0,0.0822601,"{'original': 7.6, 'alternative': 7.4}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,1.0,11.0,7.0,,2.0,5.0,,1.0,1.0,,,,,1.0,1.0,1.0,0.1981,0.0507,1.0,3.0,1.0,,1.0,,,,,,,
