name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,aerialWon,duelLost,duelWon,totalClearance,ballRecovery,fouls,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,sofascoreId,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,bigChanceCreated,totalTackle,unsuccessfulTouch,wasFouled,keyPass,dispossessed,totalContest,outfielderBlock,interceptionWon,challengeLost,wonContest,wonTackle,bigChanceMissed,shotOffTarget,expectedGoals,firstName,lastName,blockedScoringAttempt,hitWoodwork,totalOffside,goalAssist,onTargetScoringAttempt,expectedGoalsOnTarget,goals,accurateKeeperSweeper
Bart Verbruggen,bart-verbruggen,B. Verbruggen,G,1,193,4205,M,994363,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,1029628800,"{'value': 33000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بارت فيربروغين', 'hi': 'बार्ट वर्ब्रुगेन', 'bn': 'বার্ট ভারব্রুগেন'}, 'shortNameTranslation': {'ar': 'ب. فيربروغين', 'hi': 'बी. वर्ब्रुगेन', 'bn': 'বি. ভারব্রুগেন'}}",24.0,23.0,4.0,3.0,23.0,24.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,4.0,1.0,1.0,90.0,34.0,6.9,1.0,5.474e-05,"{'original': 6.9, 'alternative': 6.6}",0,-1.0265,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tariq Lamptey,lamptey-tariq,T. Lamptey,D,48,165,4099,M,914691,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,970272000,"{'value': 10000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لامبتي، تاريك', 'hi': 'लैम्पटे, तारिक', 'bn': 'ল্যাম্পটে, তারিক'}, 'shortNameTranslation': {'ar': 'ت. لامبتي', 'hi': 'टी. लैम्पटे', 'bn': 'টি. ল্যাম্পটে'}}",31.0,27.0,2.0,1.0,17.0,19.0,,2.0,4.0,1.0,1.0,1.0,,,,,85.0,52.0,7.0,9.0,0.300542,"{'original': 7, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,TariqLamptey,14.0,19.0,7.0,4.0,1.0,1.0,1.0,2.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,
Adam Webster,adam-webster,A. Webster,D,4,191,506,M,216308,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,789177600,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آدم ويبستر', 'hi': 'एडम वेबस्टर', 'bn': 'অ্যাডাম ওয়েবস্টার'}, 'shortNameTranslation': {'ar': 'آ. ويبستر', 'hi': 'ए. वेबस्टर', 'bn': 'এ. ওয়েবস্টার'}}",65.0,62.0,3.0,3.0,36.0,36.0,2.0,6.0,6.0,,7.0,3.0,,,,,90.0,76.0,6.8,6.0,0.0210062,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,26.0,29.0,,,1.0,,2.0,1.0,2.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,
Lewis Dunk,lewis-dunk,L. Dunk,D,5,190,1872,M,115365,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,690681600,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس دانك', 'hi': 'लुईस डंक', 'bn': 'লুইস ডাঙ্ক'}, 'shortNameTranslation': {'ar': 'ل. دانك', 'hi': 'एल. डंक', 'bn': 'এল. ডাঙ্ক'}}",36.0,33.0,4.0,2.0,27.0,27.0,1.0,2.0,1.0,3.0,4.0,1.0,,,,,45.0,41.0,6.5,3.0,0.00187584,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,6.0,9.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,
Igor Júlio,igor-julio,I. Júlio,D,5,185,1286,M,842513,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,886809600,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيغور جوليو', 'hi': 'इगोर जूलियो', 'bn': 'ইগর জুলিও'}, 'shortNameTranslation': {'ar': 'إ. جوليو', 'hi': 'आई. जूलियो', 'bn': 'আই. জুলিও'}}",74.0,69.0,2.0,1.0,38.0,40.0,1.0,2.0,5.0,1.0,6.0,,,,,,90.0,85.0,7.0,6.0,0.0403711,"{'original': 7, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,31.0,34.0,,,1.0,,3.0,,,1.0,,1.0,,,1.0,1.0,3.0,,,,,,,,,,,,,
Pascal Groß,pascal-gross,P. Groß,M,13,181,4485,M,48480,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,676944000,"{'value': 4500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باسكال غروس', 'hi': 'पास्कल ग्रोस', 'bn': 'প্যাসকেল গ্রোস'}, 'shortNameTranslation': {'ar': 'ب. غروس', 'hi': 'पी. ग्रोस', 'bn': 'পি. গ্রোস'}}",75.0,71.0,3.0,2.0,29.0,30.0,1.0,5.0,4.0,,3.0,2.0,,,,,90.0,91.0,6.9,11.0,0.318652,"{'original': 6.9, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,pascalgross65,45.0,54.0,9.0,3.0,1.0,,2.0,1.0,1.0,2.0,,,,,2.0,,1.0,1.0,1.0,0.3618,,,,,,,,,,
Billy Gilmour,gilmour-billy,B. Gilmour,M,6,169,4385,M,907668,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,992217600,"{'value': 18800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غيلمور، بيلي', 'hi': 'गिल्मर, बिली', 'bn': 'গিলমোর, বিলি'}, 'shortNameTranslation': {'ar': 'ب. غيلمور', 'hi': 'बी. गिल्मर', 'bn': 'বি. গিলমোর'}}",52.0,49.0,,,28.0,29.0,,1.0,1.0,,3.0,,,,,,70.0,56.0,6.7,5.0,0.0824799,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,billygilmour,22.0,24.0,1.0,1.0,,,,1.0,,,,2.0,,,,1.0,,,,,,,,,,,,,,
Facundo Buonanotte,facundo-buonanotte,F. Buonanotte,M,40,174,18331,M,1117025,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1103760000,"{'value': 16399999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فاكوندو بونانوتي', 'hi': 'फ़ाकंडो बुओनानोट्टे', 'bn': 'ফ্যাকুন্ডো বুওনানোত্তে'}, 'shortNameTranslation': {'ar': 'ف. بونانوتي', 'hi': 'एफ. बुओनानोट्टे', 'bn': 'এফ. বুওনানোট'}}",20.0,20.0,,,6.0,6.0,1.0,7.0,5.0,,4.0,1.0,,,,,70.0,30.0,6.4,5.0,0.0155081,"{'original': 6.4, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,facubuonanotte_,14.0,14.0,,,1.0,,1.0,1.0,3.0,1.0,2.0,2.0,,,1.0,,1.0,,,,Facundo Buonanotte,,,,,,,,,
Julio Enciso,julio-enciso,J. Enciso,M,10,173,11901,M,973556,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,1074816000,"{'value': 18900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'خوليو إنسيسو', 'hi': 'जूलियो एनकिसो', 'bn': 'জুলিও এনসিসো'}, 'shortNameTranslation': {'ar': 'خ. إنسيسو', 'hi': 'जे. एनकिसो', 'bn': 'জে. এনসিসো'}}",25.0,24.0,1.0,1.0,7.0,7.0,,1.0,5.0,1.0,2.0,,,,,,85.0,40.0,6.9,5.0,0.0378802,"{'original': 6.9, 'alternative': 7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,julioenciso.33,18.0,19.0,1.0,1.0,,,2.0,3.0,1.0,,,3.0,,,,2.0,,,1.0,0.0861,,,1.0,,,,,,,
Simon Adingra,simon-adingra,S. Adingra,M,24,175,45746,M,1110842,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,1009843200,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيمون أدينغرا', 'hi': 'साइमन एडिंगरा', 'bn': 'সাইমন আদিংরা'}, 'shortNameTranslation': {'ar': 'س. أدينغرا', 'hi': 'एस. एडिंगरा', 'bn': 'এস. আদিংরা'}}",34.0,25.0,,,8.0,10.0,,5.0,5.0,1.0,3.0,,,,,,90.0,56.0,7.0,18.0,0.119218,"{'original': 7, 'alternative': 6.8}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,simon.adingra,18.0,25.0,1.0,1.0,,,3.0,4.0,1.0,,1.0,4.0,,1.0,1.0,1.0,,,4.0,0.2848,,,,1.0,1.0,,,,,
