Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,Match Report,player_id
2023-08-11,Fri,Premier League,Matchweek 1,Home,L 0–3,Burnley,Manchester City,Y,FW,60,0,0,0,0,1,1,0,0,23,1,0,0,0.0,0.0,0.0,1,0,10,11,90.9,0,11,1,4,2,Match Report,2ee5b0c9
2023-08-27,Sun,Premier League,Matchweek 3,Home,L 1–3,Burnley,Aston Villa,Y,"FW,AM",80,0,0,0,0,2,0,0,0,25,1,0,1,0.1,0.1,0.0,1,0,15,16,93.8,3,13,1,3,1,Match Report,2ee5b0c9
2023-08-30,Wed,EFL Cup,Second round,Away,W 1–0,Burnley,Nott'ham Forest,N,,13,1,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,Match Report,2ee5b0c9
2023-09-02,Sat,Premier League,Matchweek 4,Home,L 2–5,Burnley,Tottenham,Y,FW,59,0,0,0,0,1,0,0,0,24,4,0,1,0.0,0.0,0.2,1,0,14,16,87.5,3,17,2,2,1,Match Report,2ee5b0c9
2023-09-09,Sat,UEFA Euro Qualifying,Group stage,Away,D 2–2,ch Switzerland,xk Kosovo,Y,FW,62,0,0,0,0,2,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,2ee5b0c9
2023-09-12,Tue,UEFA Euro Qualifying,Group stage,Home,W 3–0,ch Switzerland,ad Andorra,Y,FW,65,0,0,0,0,3,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,2ee5b0c9
2023-09-18,Mon,Premier League,Matchweek 5,Away,D 1–1,Burnley,Nott'ham Forest,Y,AM,62,1,0,0,0,3,2,0,0,28,0,0,0,0.2,0.2,0.0,1,0,18,21,85.7,1,22,3,3,1,Match Report,2ee5b0c9
2023-09-23,Sat,Premier League,Matchweek 6,Home,L 0–1,Burnley,Manchester Utd,Y,FW,72,0,0,0,0,2,1,0,0,22,0,1,1,0.5,0.5,0.0,1,0,10,12,83.3,1,14,1,3,0,Match Report,2ee5b0c9
2023-09-30,Sat,Premier League,Matchweek 7,Away,L 0–2,Burnley,Newcastle Utd,Y,FW,57,0,0,0,0,2,1,1,0,15,1,0,1,0.3,0.3,0.0,1,0,6,8,75.0,1,10,0,2,2,Match Report,2ee5b0c9
2023-10-03,Tue,Premier League,Matchweek 2,Away,W 2–1,Burnley,Luton Town,Y,LW,73,0,0,0,0,2,1,0,0,53,3,0,2,0.3,0.3,0.1,5,0,17,27,63.0,1,30,2,11,2,Match Report,2ee5b0c9
2023-10-07,Sat,Premier League,Matchweek 8,Home,L 1–4,Burnley,Chelsea,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,2ee5b0c9
2023-10-15,Sun,UEFA Euro Qualifying,Group stage,Home,D 3–3,ch Switzerland,by Belarus,N,,29,1,0,0,0,5,3,0,0,,,0,,,,,,,,,,,,,,,Match Report,2ee5b0c9
2023-10-21,Sat,Premier League,Matchweek 9,Away,L 0–3,Burnley,Brentford,Y,AM,75,0,0,0,0,2,1,0,0,29,0,2,3,0.1,0.1,0.0,1,0,19,20,95.0,4,21,4,3,1,Match Report,2ee5b0c9
2023-10-28,Sat,Premier League,Matchweek 10,Away,L 1–2,Burnley,Bournemouth,Y,FW,45,0,0,0,0,1,0,0,0,16,1,0,0,0.2,0.2,0.0,0,0,6,6,100.0,0,7,0,3,1,Match Report,2ee5b0c9
