player_name,player_id,position,player_slug,team_name,team_id,team_slug,rating,type,appearances,statisticsType,goals,expectedGoals,assists,expectedAssists,goalsAssistsSum,topSpeed,penaltiesTaken,penaltyGoals,shotFromSetPiece,freeKickGoal,scoringFrequency,totalShots,shotsOnTarget,bigChancesMissed,bigChancesCreated,keyPasses,successfulDribbles,successfulDribblesPercentage,possessionLost,saves,goalsPrevented,goalsConceded,cleanSheet,yellowCards,accuratePasses,accuratePassesPercentage,accurateLongBalls,penaltyWon,clearances,tackles,minutesPlayed,numberOfSprints,interceptions,redCards,kilometersCovered,total_contribution,total_goals,contribution_percent
Victor Osimhen,822471,F,victor-osimhen,Galatasaray,3061,galatasaray,7.7666666666667,overall,6,"{'sportSlug': 'football', 'statisticsType': 'player'}",6.0,6.4609,0.0,,6.0,33.12,3.0,3.0,,,82.666666666667,26.0,18.0,7.0,,,,,,,,,,,,,,,,,,,,,,6.0,9,66.66666666666666
Pierre-Emerick Aubameyang,51498,F,pierre-emerick-aubameyang,Olympique de Marseille,1641,olympique-de-marseille,,overall,8,"{'sportSlug': 'football', 'statisticsType': 'player'}",3.0,3.0807,4.0,,7.0,,,,,,,22.0,10.0,5.0,,,,,,,,,,,,,,,,,,,,,,7.0,11,63.63636363636363
Kylian Mbappé,826643,F,kylian-mbappe,Real Madrid,2829,real-madrid,8.5571428571429,overall,7,"{'sportSlug': 'football', 'statisticsType': 'player'}",13.0,7.8434,0.0,2.0326567,13.0,34.92,3.0,3.0,1.0,0.0,47.769230769231,40.0,22.0,4.0,4.0,25.0,17.0,50.0,,,,,,,,,,,,,,,,,,13.0,21,61.904761904761905
Gorka Guruzeta,605672,F,gorka-guruzeta,Athletic Club,2825,athletic-club,7.3571428571429,overall,7,"{'sportSlug': 'football', 'statisticsType': 'player'}",5.0,2.4082,0.0,,5.0,,,,,,93.8,,7.0,3.0,,,,,,,,,,2.0,,,,,,,,,,,,5.0,9,55.55555555555556
Anthony Gordon,914902,F,gordon-anthony,Newcastle United,39,newcastle-united,7.4125,overall,8,"{'sportSlug': 'football', 'statisticsType': 'player'}",6.0,4.915,2.0,,8.0,34.02,3.0,3.0,,,93.666666666667,,8.0,,,,,,,,,,,,,,,,,,562.0,116.0,,,,8.0,17,47.05882352941176
Erling Haaland,839956,F,erling-haaland,Manchester City,17,manchester-city,7.425,overall,8,"{'sportSlug': 'football', 'statisticsType': 'player'}",7.0,5.6866,0.0,,7.0,34.02,1.0,1.0,,,88.142857142857,28.0,15.0,7.0,,,,,,,,,,,,,,1.0,,,,,,,,7.0,15,46.666666666666664
Scott McTominay,879346,M,scott-mctominay,Napoli,2714,napoli,,overall,8,"{'sportSlug': 'football', 'statisticsType': 'player'}",4.0,3.0483,0.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,9,44.44444444444444
Dominik Szoboszlai,869856,M,dominik-szoboszlai,Liverpool,44,liverpool,7.5375,overall,8,"{'sportSlug': 'football', 'statisticsType': 'player'}",4.0,2.449,4.0,2.4658493,8.0,,1.0,1.0,3.0,1.0,,20.0,11.0,,7.0,22.0,,,,,,,,,453.0,90.6,35.0,,,,,,,,,8.0,20,40.0
Lukáš Provod,846122,F,lukas-provod,SK Slavia Praha,2216,slavia-praha,,overall,8,"{'sportSlug': 'football', 'statisticsType': 'player'}",0.0,,2.0,1.9795025,,,,,1.0,0.0,,20.0,,,,,,,156.0,,,,,,,,,,,,,,,,,2.0,5,40.0
Alejandro Grimaldo,177177,M,alejandro-grimaldo,Bayer 04 Leverkusen,2681,bayer-04-leverkusen,7.5,overall,8,"{'sportSlug': 'football', 'statisticsType': 'player'}",4.0,,1.0,1.4487305,5.0,,1.0,0.0,4.0,1.0,,,,,,20.0,,,133.0,,,,,,,,,,,25.0,,,,,,5.0,13,38.46153846153847
Folarin Balogun,934237,F,folarin-balogun,AS Monaco,1653,as-monaco,,overall,8,"{'sportSlug': 'football', 'statisticsType': 'player'}",3.0,3.5515,0.0,,,,,,,,,22.0,9.0,8.0,,,,,,,,,,,,,,,,,,,,,,3.0,8,37.5
Oscar Gloukh,1155158,M,oscar-gloukh,AFC Ajax,2953,ajax,,overall,8,"{'sportSlug': 'football', 'statisticsType': 'player'}",3.0,,0.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,8,37.5
Anan Khalaili,1403362,M,khalaili-anan,Royale Union Saint-Gilloise,4860,royale-union-saint-gilloise,7.4625,overall,8,"{'sportSlug': 'football', 'statisticsType': 'player'}",3.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,703.0,146.0,13.0,,,3.0,8,37.5
