team_name,total_goals
Arsenal,23
Barcelona,22
FC Bayern München,22
Real Madrid,21
Paris Saint-Germain,21
Liverpool,20
Borussia Dortmund,19
Chelsea,17
Atlético Madrid,17
Tottenham Hotspur,17
Newcastle United,17
Sporting CP,17
PSV Eindhoven,16
Manchester City,15
Inter,15
Club Brugge KV,15
Juventus,14
Bodø/Glimt,14
Bayer 04 Leverkusen,13
Qarabağ FK,13
FC København,12
Olympique de Marseille,11
Benfica,10
Atalanta,10
Olympiacos FC,10
Eintracht Frankfurt,10
Napoli,9
Galatasaray,9
Athletic Club,9
AS Monaco,8
AFC Ajax,8
Royale Union Saint-Gilloise,8
Pafos FC,8
Kairat Almaty,7
Villarreal,5
SK Slavia Praha,5
